{'CALIB_RAW_DAC_START_I': 786432, 'CALIB_RAW_FILETYPE': 'CALIB_RAW_FILETYPE_LIMP', 'CALIB_RAW_DAC_A_INDEX': 4, 'CALIB_RAW_SERIAL': '20190606_02', 'CALIB_RAW_VERSION': '1.0'}
140FE0,14107A,1410E0
15891A,158AE4,158B45
141078,140F81,141007
158CB1,158BB9,158E23
141140,141185,141041
158B74,158B40,158A2A
1410EA,140F48,1411E5
158923,158AE2,1588EA
140FC5,141170,141061
158A78,158AC5,1589C0
140FC5,141037,140F38
158A1F,158961,158800
140E95,140EDF,140F2A
158AB3,1588D3,15884F
140EBC,141025,140E7D
158A42,158A02,15899F
14142B,14131D,14121B
158B18,158B7E,158C43
14115C,1410B7,1413B9
158BC1,158C12,158BBD
1412D1,14121F,1411C9
158C72,158D0E,158C83
1410A1,14108A,140E30
158A31,158C26,15892D
141143,140FE4,141066
158B94,158C73,158C1D
1412C6,1410BE,140F4F
158A13,158B2E,15892E
140F43,140DBF,14118C
158951,158AE1,158A05
140FFD,140F80,140F56
158A81,158AD0,158931
14107D,14111C,14114C
158A3F,158C6D,158AB5
140FC1,140F19,14101E
158967,158932,1588E6
140F3D,140DEC,140FD6
158899,158A55,1589AD
140EB0,140F4E,140E1F
1588FE,158AFE,158A7C
140FAF,140D3F,140F4C
15894F,158A1C,15879A
140D68,140ECB,140D86
15876A,158846,1589DD
140E7B,140E9F,14106B
1588FE,158A15,158816
140EE7,140E67,140C38
158455,158527,1584C3
1414AB,141539,14150E
158E45,158F19,158FA0
141402,1415BD,1415A9
158ED6,158FA3,158DCF
141644,141341,141437
158FBC,158E26,159014
14162B,1415A2,1414D8
158FB8,158E0B,158F75
141617,14154B,141484
158F28,158D18,158ED6
141315,141485,14122C
158D57,158EBD,158E2E
14156F,141378,1412EA
158C7F,158C17,158D53
1413AE,1412CF,1413D4
158D8D,158CDC,158CEC
1413F5,141193,1412A2
158BBA,158C94,158E7F
1411C3,1412F7,14139F
158CAA,158D74,158CAD
1412FD,141131,1411FF
158D1E,158C06,158A53
1411B0,1410AB,141124
158C4A,158CFD,158D75
1413DD,1410C7,141186
158BCB,158B4B,158D5F
1411FA,14117E,141218
158A2C,158A99,158BD8
14109F,1410C5,141018
158BEE,158D6A,158B62
141073,140FBB,14111F
158EA6,158C10,158BC7
141316,1413FB,141288
158DD2,158BCB,158C86
141341,141352,1414A0
158DD4,158CC3,158C25
141235,1414D8,14144D
158BD3,158C77,158D0C
1411E5,141075,14126D
158BB0,158C3C,158EFC
1411BD,141177,141339
158B40,158D32,158CEC
14119F,1412BB,141246
158D0E,158D49,158C5B
141266,14124E,14120B
158B69,158DFA,158DA2
14134B,141086,141297
158C4A,158C79,158DB9
1413A9,1411B5,1411D2
158CA4,158C58,158D71
1411D9,141285,141092
158E05,158DD0,158C53
1411F9,1411EA,141328
158C99,158D55,158AF3
14134B,14102F,141368
158CDD,158CC6,158CB9
141090,14112D,141182
158A9B,158A66,158BD2
140FEB,141073,141015
158AAE,158D44,158BA7
1411BE,14113B,140FB4
158A3E,158A2F,158B39
141031,140ED7,140E21
158C36,158957,1589F0
140ED2,140D67,140B27
158806,158856,1588AD
140DC3,140F22,140BFD
15872E,1587B0,1587CE
140D55,140E96,140DFE
158917,158859,1588FF
140D0B,140D48,140BD3
1586F2,158903,1587F4
140CAF,140D65,140EAE
158787,15870C,1588DF
140C92,140E77,140D45
1587C2,1586D5,15867A
140DCE,140DA6,140CE6
15882E,15870E,158721
140F77,140D74,140BDA
15881B,158690,1585ED
140CE1,140E00,140ED7
15873C,158727,15874A
140E6D,140CE4,140F30
1587C8,15891D,15874F
140E99,140CE1,140C6F
15892C,15873F,1587F4
140D45,140DB6,140EEE
158687,158607,158429
140C49,140CE2,140AC0
158580,158636,158418
140908,140D50,140AB0
1583CE,158556,158840
140B1F,140C18,140C2C
158678,1584E3,1586B6
140B62,140D27,140BB1
1586A2,1588B8,1587B2
140E9F,140F31,14102D
15894E,1589AE,1587F9
140DA6,140EBA,140DED
1588FD,1586E6,1587AF
