{'CALIB_RAW_DAC_START_I': 983040, 'CALIB_RAW_FILETYPE': 'CALIB_RAW_FILETYPE_LIMP', 'CALIB_RAW_DAC_A_INDEX': 2, 'CALIB_RAW_SERIAL': '20190606_02', 'CALIB_RAW_VERSION': '1.0'}
-AA24A,-AA184,-AA1B2
-929F3,-92740,-925D6
-AA329,-AA223,-AA1A5
-926DB,-927FC,-926A1
-AA20C,-AA26A,-AA484
-9268A,-925D6,-9262B
-AA0E0,-AA3AC,-AA286
-92919,-926DB,-9281E
-AA332,-AA1CB,-AA3C0
-92776,-928C6,-9288E
-AA098,-AA324,-AA04B
-92722,-925E0,-927D0
-AA2DC,-AA235,-AA2BC
-92765,-92880,-92816
-AA2A3,-AA116,-AA098
-92687,-92725,-9277C
-AA1FB,-AA1D4,-AA2D9
-92741,-92717,-926A9
-AA25E,-AA079,-AA0A6
-9267B,-9276A,-92828
-AA0E5,-AA18B,-AA14D
-92650,-924E3,-927AD
-AA01F,-AA15A,-AA2C7
-927E0,-92740,-927A0
-AA236,-AA27F,-AA179
-92686,-9289A,-9260E
-AA3A1,-AA3FC,-AA1E5
-9282A,-9274C,-928AC
-AA117,-AA281,-AA11C
-925FF,-92695,-925A6
-AA2BB,-A9FE2,-AA4E9
-928A1,-92816,-92844
-AA2D5,-AA1DB,-AA207
-9276C,-927BA,-926C9
-AA02C,-AA32A,-AA1A8
-92645,-9275A,-925EE
-AA149,-AA197,-AA1D2
-92548,-924EB,-92536
-AA029,-AA0E4,-AA173
-92735,-92787,-926A5
-AA043,-AA121,-A9F40
-926AC,-92752,-926E8
-AA2BC,-AA1F9,-AA1CD
-926B9,-926AD,-927E0
-AA1D4,-A9FF1,-A9FE7
-926B3,-926AF,-926C4
-AA13F,-AA101,-AA02E
-9236D,-926B3,-92572
-AA117,-AA069,-AA1B4
-92774,-92791,-926B4
-AA0D2,-AA050,-AA078
-924BA,-925BD,-926CA
-A9FC9,-AA0B0,-AA143
-92600,-92856,-92586
-AA1A3,-AA0D2,-AA229
-92839,-926DE,-92710
-AA24B,-AA1BF,-AA170
-925DB,-92528,-9267D
-AA08C,-AA0E0,-A9FCC
-92667,-92724,-92615
-AA03D,-AA0DD,-AA0E5
-926C1,-927F4,-9262E
-AA0A8,-AA0F6,-AA046
-92716,-9263A,-925EE
-AA061,-AA091,-AA174
-92664,-9274D,-9267B
-AA0F4,-AA0E4,-AA219
-92561,-9269C,-92743
-AA083,-AA082,-A9FC1
-9252D,-92717,-92434
-A9F61,-AA072,-AA13B
-9279B,-9248F,-926F1
-AA187,-AA092,-AA1B7
-927A0,-92611,-927FD
-AA08C,-AA1BE,-AA18A
-92674,-926C8,-92584
-AA06A,-A9EEA,-A9F02
-92547,-92618,-92522
-A9EDA,-A9F63,-A9F98
-92674,-92386,-92704
-AA13E,-AA0DB,-A9F16
-926C6,-9240D,-92428
-AA044,-A9F85,-A9FF5
-924A1,-92457,-92540
-AA0EB,-AA071,-AA119
-930DD,-93321,-931BD
-A99A8,-A998B,-A9AF6
-920DB,-9208B,-9205C
-A9AA1,-A9A74,-A9966
-92155,-91E63,-91FA9
-A9BD7,-A993C,-A9AA6
-91F52,-91EC2,-91FEE
-A9948,-A99FE,-A9A85
-92008,-91DE2,-9200B
-A9A7C,-A9A46,-A98B8
-91EFB,-921D9,-92188
-A997A,-A9B97,-A9AEF
-91F8C,-91F05,-91FAF
-A98C5,-A9BD4,-A9860
-91E2F,-91E6C,-91F08
-A9932,-A9A26,-A9942
-91EE3,-91FB4,-91DE6
-A988D,-A9936,-A9860
-91F79,-91E65,-91FD6
-A9890,-A9898,-A990B
-91F97,-91F4C,-91E74
-A9A56,-A99A2,-A98A0
-92033,-91F40,-91DF4
-A9822,-A9A5E,-A9918
-91FFD,-91E2C,-91D7D
-A98B0,-A987B,-A98BF
-91F69,-91F3E,-91FBD
-A9888,-A9912,-A97A5
-91D83,-91F59,-91D6A
-A9894,-A98D7,-A98A2
-91E7F,-91EF1,-91F49
-A98C9,-A9868,-A9871
-91F51,-91D45,-91E67
-A98D3,-A9880,-A981F
-91DB1,-91F39,-91F14
-A98B5,-A9925,-A9894
-91D29,-91D1E,-91E1D
-A98C5,-A96DA,-A9804
-91F86,-91D1C,-92008
-A9891,-A9AD8,-A97E7
-91EA3,-91FCC,-91E9C
-A97CF,-A988C,-A98B3
-91E5F,-91C63,-91DA4
-A99F3,-A996B,-A985D
-91E61,-91DBB,-91D35
-A988F,-A9812,-A9788
-91EBA,-91C97,-9209E
-A972F,-A9735,-A9857
-91CDC,-91D57,-91D57
-A9952,-A9904,-A9814
-91E76,-91E8A,-91E45
-A98D7,-A9B31,-A9800
-91E3D,-91E5E,-91DDE
-A9956,-A96AC,-A9809
-91DF1,-92037,-91D8A
-A97CC,-A984F,-A9752
-91E2B,-91E98,-91E9E
-A9952,-A9874,-A9860
-91DE7,-91F4C,-91D3A
-A9924,-A97EC,-A9737
-91BDA,-91D87,-91D78
-A995B,-A98EC,-A9812
-91E9C,-9209B,-91F5B
-A9924,-A98D6,-A97E1
-91E0C,-91CD0,-91DC0
-A9801,-A98D5,-A979D
-91EEC,-91D0B,-91D53
-A99B7,-A99AC,-A97D2
-91D04,-91D6F,-91E2C
-A98B7,-A97BF,-A97FC
-91CDC,-91E4C,-91DE0
-A9626,-A979A,-A981A
-91DF0,-91C5E,-91E6D
-A96C0,-A9627,-A9779
-91D4B,-91D2F,-91EBC
-A9848,-A9770,-A972E
-91CF5,-91B7A,-91BF2
-A9669,-A9694,-A9991
-91DDD,-91DAB,-91C76
-A9834,-A97C1,-A9718
-91DD8,-91D27,-91C22
-A97BE,-A9733,-A9916
-91D59,-91F0C,-91DF8
-A973A,-A978A,-A95F4
-91C1B,-91CC9,-91D92
-A98A8,-A976A,-A9868
-91CA7,-91BAB,-91D37
-A9946,-A95E7,-A97A1
-91B74,-91C99,-91A9E
-A97D3,-A97EC,-A97D2
-91D40,-91E09,-91D80
-A96F7,-A966A,-A9781
-91C1C,-91B41,-91BBF
-A95C5,-A97F5,-A9713
-91D43,-91C4E,-91E50
-A9555,-A9719,-A9893
-91BB2,-91BE7,-91B00
-A969B,-A9564,-A954D
-91B88,-91AB7,-91CF5
-A9765,-A960B,-A9885
-91CFD,-91D44,-91C49
-A93F9,-A9592,-A9530
-91DC2,-91C51,-91B5B
-A96FE,-A96AC,-A9498
-91C84,-91A5F,-91B38
-A9592,-A95BD,-A9770
-91C3F,-91C33,-91C0C
-A94ED,-A957E,-A975E
-91B04,-91C19,-91CAB
-A966F,-A9473,-A9805
-91910,-91AC7,-91D21
-A9501,-A97B4,-A95B9
-91A61,-91BB8,-919D8
-A9462,-A94AE,-A955D
-91B51,-91C5F,-91CC3
-A9649,-A96F9,-A9788
-91BFD,-91AB1,-91B1E
-A95ED,-A96FF,-A95E6
-91D1C,-91C88,-91CDF
-A9632,-A9608,-A9584
-919DC,-91B7D,-91D01
-A94B7,-A95E7,-A963D
-91B16,-91A10,-91936
-A93CD,-A94C4,-A93ED
-9197A,-91ACE,-91C69
-A96ED,-A9567,-A957A
-91BE4,-91B52,-91B6E
-A95CD,-A96FD,-A952B
-91CA3,-91B58,-91CB9
-A99D1,-A9B16,-A9AE6
-92122,-91E98,-91F95
-A9AC3,-A9996,-A9A16
-91FD1,-9207E,-92073
-A9A59,-A9BB7,-A9B79
-92129,-9204C,-921BD
-A98F4,-A9C32,-A9BBD
-9206D,-9200B,-920C1
-A98BC,-A99E5,-A9AFB
-921B1,-921A2,-91EAE
-A99E4,-A9C32,-A9B2B
-921A5,-91F20,-9201C
-A9ADE,-A99D7,-A9A09
-91F57,-91F4C,-91E99
-A9B4C,-A9B87,-A9A39
-91E74,-91EB1,-91F9C
-A9A64,-A999A,-A9A65
-91FFF,-92060,-92066
-A99BD,-A9CC7,-A9BCF
-91FC4,-91FCC,-92187
-A9AB1,-A9C32,-A992F
-92071,-920B4,-91F57
-A9AB4,-A9A6D,-A9A8C
-920E8,-9205F,-92145
-A9B61,-A988C,-A9A44
-9230F,-91F6D,-9208F
