{'CALIB_RAW_DAC_START_I': 622592, 'CALIB_RAW_FILETYPE': 'CALIB_RAW_FILETYPE_LIMP', 'CALIB_RAW_DAC_A_INDEX': 8, 'CALIB_RAW_SERIAL': '20190606_02', 'CALIB_RAW_VERSION': '1.0'}
-53640,-5393E,-5376B
-3BB21,-3BB8A,-3BCE2
-53814,-53847,-53946
-3BB99,-3BC4B,-3BC65
-538A2,-53625,-5366F
-3BCA5,-3BA2A,-3B9C5
-53774,-5355C,-536AF
-3BB6C,-3BB6C,-3BDD6
-537BF,-538F7,-536FF
-3BE89,-3BE1A,-3BAB7
-537FA,-53728,-538AF
-3B910,-3BA1F,-3BAC7
-5366F,-5360A,-5357B
-3BAD5,-3BBE6,-3BA3A
-5340E,-534EC,-5360F
-3BAE7,-3B8A1,-3B9F6
-53318,-53325,-534F1
-3BA81,-3B9F5,-3B983
-53339,-534F1,-531FB
-3B97D,-3B9C4,-3BAB5
-53376,-5335F,-533CA
-3BA10,-3BA5E,-3B99E
-5360D,-5336C,-534B3
-3BA83,-3BB0D,-3BA4A
-534EE,-5358A,-53528
-3B9B6,-3B910,-3B849
-53143,-53261,-532CD
-3B8D8,-3B8C5,-3B91A
-53454,-53556,-536D8
-3BB68,-3B802,-3BA10
-534CC,-5342E,-532C0
-3BB59,-3B965,-3B89E
-532FC,-5353E,-53480
-3BB1C,-3B9DB,-3BA7A
-533F4,-535AC,-5330A
-3B97E,-3BAC4,-3B8F8
-532A8,-53365,-5325C
-3BAC4,-3B826,-3BA7B
-533CA,-532F3,-535AF
-3B8D5,-3B99E,-3B7A5
-533D9,-534B8,-5345C
-3B9DD,-3BA89,-3BA45
-533EB,-53430,-532B3
-3BB0A,-3BB63,-3BAA2
-5366A,-533B2,-536B1
-3BACC,-3B92A,-3B987
-53685,-534E6,-53712
-3BA20,-3B988,-3BB58
-53601,-534ED,-53583
-3BCA5,-3B9E9,-3B9F7
-53509,-53623,-5343A
-3B87F,-3B931,-3BA8F
-53456,-5362D,-53576
-3B84D,-3BA3A,-3BB67
-53424,-5337A,-53241
-3B90E,-3B832,-3B9EC
-5347C,-53448,-534D6
-3BAAC,-3B9AB,-3BA24
-53467,-535EA,-5355A
-3B91F,-3B96A,-3B98B
-534A1,-53440,-533CA
-3BA12,-3BA8A,-3BA8C
