{'CALIB_RAW_DAC_START_I': 655360, 'CALIB_RAW_FILETYPE': 'CALIB_RAW_FILETYPE_LIMP', 'CALIB_RAW_DAC_A_INDEX': 2, 'CALIB_RAW_SERIAL': '20190606_02', 'CALIB_RAW_VERSION': '1.0'}
127C7,12860,1278F
-51E0,-5242,-5278
12921,129A7,12953
-4F53,-5157,-5186
128A8,127B5,1295A
-4FB2,-50A3,-511D
12A9F,128F7,12ABA
-531F,-51F6,-50C9
12712,12804,12550
-51A5,-5226,-52D2
1288A,129F5,128A8
-51E1,-5290,-5104
1278C,128D9,127B9
-4EB0,-5250,-4E59
12A2B,129B6,129E5
-4DF3,-518D,-5092
12853,12AF2,1293B
-4FBE,-51AB,-4FEB
1299A,1289F,12A1B
-506A,-4FCB,-50D9
1296E,12AE3,12AB7
-50A1,-4FC5,-50AC
1295F,12928,1297E
-4FD0,-4F85,-5231
12ABB,1294F,12938
-4FD1,-5208,-4F8B
12AEB,12BB8,12B07
-4E25,-4F76,-5100
12AEE,12A85,12AEB
-5041,-5081,-4FD4
12BB8,1297E,12B4F
-4F65,-4F88,-5086
12AA1,129C0,12AF5
-4EF0,-5054,-5138
12A2C,12AEC,12A32
-4ED5,-50C7,-50D1
1291B,12B89,12B45
-50FD,-5021,-5192
12A5C,1296E,12A12
-50EE,-5159,-500D
126A8,128E3,12806
-505B,-5019,-51C2
12AFC,1287A,12B2A
-4EB2,-4F0D,-5091
12A69,128DE,1298E
-5070,-4FFF,-51D4
12C28,129DF,1299F
-4FC0,-4F45,-5250
12830,12BA1,12C07
-4F8E,-50E7,-5027
12818,12ACD,12B39
-4EA4,-4E46,-4FA8
12AE3,12B7C,12CFE
-4D65,-4E3E,-4D4E
12822,128A2,128C4
-537B,-52A6,-54AA
124ED,123F7,12816
-5565,-54BF,-545F
125B4,124A7,127A7
-5546,-5341,-53E0
12363,1262F,1256D
-53B2,-5323,-5341
1264B,1246E,12582
-549F,-5363,-5489
1266D,126C2,1260B
-5484,-525E,-5293
126C1,1249B,125A4
-51A8,-531B,-53A6
12573,126F0,12798
-53D5,-530D,-53E7
12760,12980,12919
-54A3,-5272,-544C
12627,125D2,1281E
-5280,-53AF,-5493
12669,126D7,126A4
-53A2,-53CA,-53F0
12515,12552,12550
-519F,-538A,-5475
127D1,127F9,12843
-5284,-53FA,-5366
12615,125FF,127AB
-51A7,-5459,-5314
12639,126FD,126CB
-5442,-53B4,-5495
126ED,127A9,127EA
-5396,-54CA,-549F
126AA,12787,1280A
-5139,-5276,-5428
12581,1256C,1274F
-5399,-52A0,-5307
12848,12751,12800
-50EE,-5295,-520C
126D2,126BC,128A9
-50DA,-514E,-5172
129BB,1284A,129B6
-51F2,-50F7,-5200
12755,127B3,126A1
-4F53,-51E0,-5318
1284E,128F1,12B7E
-50A1,-50B4,-5163
1282B,12874,12881
-5070,-512F,-509F
128E5,12909,1288A
-5115,-4F8C,-510A
1286C,128B2,129A2
-511B,-4FAD,-5186
12A24,12BCF,128DA
-4EA6,-510D,-507E
12B1F,12B3C,12915
-51E1,-50FA,-4FD2
12828,129F9,1293D
-51A9,-514E,-5191
129F6,12861,12AFC
-5166,-5178,-513D
12A19,12A05,12A61
-512C,-4DD4,-4E37
12A31,12A96,12AE8
-50C8,-5215,-521C
12ADD,1291A,12A04
-4ECA,-4F2A,-50F9
12996,128AD,12AE5
-5099,-5056,-51A3
12995,1272A,12A4B
-51A4,-5206,-5277
12979,128BB,1285C
-5139,-50BF,-50F3
1282C,12A22,12957
-4F26,-504D,-4FBD
127FD,1296D,12B40
-5170,-4F9D,-4F5D
128F3,1285A,12B28
-4D5D,-5049,-517C
129B5,128E3,12A3A
-4F56,-4FA9,-509D
129E1,12ABE,129A9
-4FF9,-50A4,-4F71
12985,1280A,127F3
-505B,-5228,-51F2
1280F,12969,129A4
-4FC1,-51DF,-50C2
128F6,12917,1294C
-5201,-51FC,-5161
12868,12902,129A9
-505A,-5071,-5170
12785,12836,12819
-51C0,-5121,-4FC4
12732,1294C,12A97
-516B,-51E8,-5313
127E5,127A2,128E4
-5073,-50F2,-53EE
12930,12934,12AA9
-50E3,-5077,-50F8
128C1,12B24,12655
-50E8,-506C,-503D
12A2D,12964,12AA8
-50A0,-4FC1,-4FEF
12A40,12A8A,12C99
-4FD2,-50CB,-514D
12A4A,12AC3,1296A
-4FEC,-4F7F,-50EA
12AB2,12B3D,12A30
-4FC5,-4FFC,-51AA
127F1,12A7C,12A9E
-504B,-50AF,-5160
1290F,1297B,128F5
-5060,-5151,-51A4
129BE,12AAC,12AEB
-4FCB,-5069,-4FFD
12843,1274B,129A0
-53D7,-5181,-5152
12A25,129C3,12A5B
-511B,-5142,-4FD6
12909,12AD1,12A89
-509B,-5112,-51BA
12AEB,12934,12922
-4E9A,-502E,-4FF6
128CB,1299A,1282D
-4F51,-5142,-4E56
12AD7,1297A,1298E
-511F,-5168,-51CE
12A48,12AB1,12C9B
-50E9,-4FF8,-5072
11D0B,11E91,11E5D
-491A,-49FE,-4AAA
12FF1,1308D,13014
-4B0D,-4740,-4965
131D4,13054,12EC7
-49B0,-4810,-49BF
13000,12DB4,12F06
-4A97,-4B6F,-4AC9
13070,131AA,130E8
-4A53,-4B4A,-4A3C
13127,12DCA,12FB6
-49B7,-4A2F,-4A8B
13046,13123,12FB2
-47A0,-4937,-4712
1315E,13213,1319B
-47C7,-4826,-4874
1340D,131FB,132A2
-4796,-48AE,-47A2
1311F,13039,12FE1
-4AEA,-4957,-4985
12F23,12E7F,13084
-48B9,-47F4,-495D
12F99,13089,13108
-46A7,-484F,-491F
131F1,131F2,13137
-481D,-4839,-48F7
132A3,131EE,131B1
-48F1,-4963,-4815
1327F,132E8,13470
-46DA,-485B,-4715
13210,13270,13173
-47F8,-4984,-46C4
131F5,133E7,133B2
-4A54,-4851,-4923
130AF,131EE,132AE
-47CB,-4A2F,-49FD
1316C,132C0,13046
-4A88,-48DF,-46F4
130AE,13284,131F1
-4810,-48CD,-47DA
1326C,13178,12F3A
-4811,-47A5,-455B
130DF,1305D,13174
-48D0,-489F,-47E3
12F86,132A6,13246
-4917,-4AE6,-4691
1311D,13224,13199
-4919,-4930,-4943
131E9,1336D,13310
-48EC,-494D,-486A
131B3,13141,1333E
-4850,-4907,-48E8
13212,1339B,13179
-48DD,-468B,-483F
1324E,1315F,134AB
-482C,-48A9,-47C2
132D2,12F4E,13120
-49A1,-47CE,-46AE
1330B,1333D,13274
-4601,-47EC,-46C9
1334E,131E0,1346C
-4766,-48C5,-45E0
132B3,13322,13359
-46FD,-45E2,-464A
13301,133D8,13469
-45EE,-4847,-46B9
1318F,13061,1346F
-4773,-46E8,-45B7
1354E,133E1,13385
-47D2,-47C1,-476B
1332E,132AF,13305
-4597,-45D2,-458F
13605,134F7,1321F
-45AC,-47B6,-4698
1334D,13355,131DA
-4631,-4619,-45CF
1339A,133D4,13294
-485C,-495A,-4717
134DF,13473,13384
-46FF,-4606,-4763
13472,13471,13658
-46FC,-46F3,-475A
13355,134AD,13459
-4580,-4496,-44BC
134EA,133B2,1356B
-4505,-4666,-4658
134EA,133C1,13325
-46EF,-47E2,-46F9
13646,134E2,13439
-470D,-45D2,-4500
134AF,13443,1363B
-4567,-45BD,-43F4
13579,13701,136FD
-4433,-42AB,-4451
133E5,1364D,1346F
-4500,-4540,-46DE
13454,1350C,134D5
-44E6,-446A,-45A1
13376,133D6,13404
-45DD,-44DB,-4586
135C3,133A5,13487
-448E,-46A1,-4628
13569,135AD,134DD
-4563,-462A,-4645
13516,13491,135A7
-464A,-4608,-4601
132B8,13344,13417
-46E7,-4696,-47B6
13420,13474,13538
-45C5,-44E6,-458F
132B1,135EF,13336
-478B,-447A,-4663
134DA,13586,1357A
-45F9,-4674,-45FE
13618,1352A,13459
-44BB,-46DA,-47DA
133F4,13484,13366
-47C0,-4684,-465D
1329C,13375,13353
-45D4,-4554,-44F8
135A0,134E9,1322F
-460D,-4582,-45F1
1323B,133F4,1323F
-462C,-47F9,-44FE
13393,133DE,132A5
-48DA,-453E,-44F8
13333,13346,134AB
-443A,-45BE,-4659
120FA,11F33,1215A
-47C1,-4818,-4914
131FE,13122,1314F
-4895,-4750,-46E9
1330C,1321A,1341F
-4741,-4783,-45ED
13129,132C0,13194
-474C,-4766,-47C5
134AD,134A0,1336D
-4804,-47A5,-45DD
1334D,133A3,133AC
-4581,-4686,-463C
1325C,1347F,13521
-46E2,-45E7,-4685
1341C,1335F,132E7
-4616,-46E3,-4649
13643,132AE,13578
-4742,-4757,-488C
1343D,132F4,1353D
-462F,-46ED,-469E
1338D,13225,133CB
-46A4,-4666,-4649
13309,13334,13444
-481D,-4749,-4503
134ED,1335A,135B1
-45C4,-4692,-46ED
1328C,13490,131A7
-472B,-461D,-4755
133CE,132A1,1321E
-4692,-4724,-4753
132BA,134E5,1334C
-45C1,-47C3,-4692
133BE,135AA,1367A
-47EE,-4426,-4666
13499,134B4,1343E
-4500,-45CE,-4583
13473,13474,1359A
-4646,-44D4,-4568
13395,1349D,13386
-44FE,-4515,-4656
13628,134FD,1342E
-44C7,-432C,-44D8
13567,134CA,1362C
-4506,-45D1,-44FA
13514,13600,13407
-44A8,-4470,-456C
13543,135E5,135B1
-4237,-42DD,-44D0
135CC,13710,13503
-4481,-45D1,-467D
13596,13549,13594
-43A5,-4452,-4479
135DB,135F1,1367A
-45FB,-44F0,-443A
13655,1334D,135B9
-450E,-4425,-46A6
13708,1354D,134E9
-44B4,-4631,-44B5
133C2,134B2,13285
-44E0,-4640,-44A1
1344C,13555,13558
-4380,-442C,-4395
132A0,13580,134B6
-4670,-467D,-45F2
134A4,134AC,13557
-446B,-45D8,-4694
1341A,134B6,13367
-43CC,-447B,-42BF
13511,13526,13488
-452A,-42F4,-4687
1337D,13554,13411
-43F6,-43CC,-43B1
136EC,135DA,136AC
-432B,-4430,-44B5
13662,13612,13668
-43AB,-45EB,-4392
13831,13559,1349F
-43D0,-44A7,-440E
135C4,1365C,135B7
-4440,-44B7,-4361
13791,13781,13658
-43B7,-4450,-44B2
1350D,13595,136D9
-447F,-4445,-4421
1365B,135C7,13698
-4404,-42C0,-460A
1368B,135F5,13659
-4534,-4422,-451A
13622,137BA,1360E
-4522,-4397,-459F
13456,1369F,13590
-421B,-41CD,-44C0
1360A,1370D,136FF
-42C1,-4421,-456E
13580,13828,13676
-439E,-42F6,-43B0
1374E,13604,13684
-435F,-437F,-42E7
13713,135D5,13570
-44BA,-4234,-405D
1368D,13976,13608
-4306,-43AA,-439F
138DC,136B2,1372C
-41C8,-41AE,-4184
1380A,137F4,13703
-424B,-4282,-42FA
1398A,13869,139F6
-4289,-42A0,-43F0
136FA,13743,136DC
-4335,-4366,-43D5
13684,13800,1379E
-4267,-420D,-42BA
13955,13706,138B4
-4315,-459B,-4242
1380B,1383B,13780
-421A,-4448,-42DE
13540,134BB,13673
-42D6,-4420,-4333
13548,13501,138D1
-41BA,-4361,-42D5
13705,1388B,13690
-422F,-42F3,-42DF
137F3,13692,13614
-42E2,-41EB,-414D
137FE,137F6,13818
-4251,-4431,-4181
135E7,138A1,1367E
-412F,-42FB,-41F0
12C6F,12EC1,12CB1
-3C82,-3BC7,-3D08
13FE7,13CC6,13E3B
-3C9C,-3B28,-3DA1
13E28,13CDE,13DDD
-3BCD,-3CC2,-3BBD
13B57,13E0A,13DD0
-3C7A,-3D60,-3E12
13E77,13E62,13BEE
-3C03,-3ACB,-3C18
13F1E,13D4A,13FA3
-3B5C,-3A0B,-3CEF
13E6E,13F78,13F46
-3A93,-3AC1,-3A27
13EC9,13EE8,13EB1
-3B5E,-3B49,-3A30
13F5E,1403E,13FBF
-3AA0,-3AB0,-39B3
13D6A,13D5D,13EC3
-3AE7,-3B21,-3C2D
13DC9,13F1B,13F3D
-3B88,-3B6B,-3B76
13D2D,13DF8,13D01
-3B6C,-3CEF,-3D12
13DEA,13F4E,13F47
-3BB0,-3AC0,-3BC7
13F15,13EE1,13F10
-3BAC,-3BE6,-3C23
13E97,13FDE,13F26
-3B06,-3C16,-3C2D
13D84,140D2,13D52
-3B30,-3C44,-3C4D
13E83,13FCA,13DA5
-3C9A,-3B30,-3ADF
1404D,13DF2,13EAC
-3B1B,-3AB8,-3B57
13E04,14009,13E42
-3B46,-39E4,-3AEE
13E47,13F47,13E9B
-3AAB,-3CC6,-3C5A
140C6,13F70,14005
-39BF,-3AEB,-3B24
13FCE,13F1F,13ED0
-3BDE,-3AEF,-3CB4
13F6B,13F69,14030
-3C29,-3CD8,-3A7F
13D39,13E59,13E56
-3BB1,-3BBA,-3C9C
13F0A,13F77,13E61
-3D8D,-3CC9,-3DF4
13DF0,13F2B,13DEA
-3D39,-3B8E,-3BCD
13DDF,13F6A,13F23
-3BF4,-3AC2,-3CAB
13FAE,13EC0,13DC4
-3CF4,-3BF1,-3A6E
13E6F,140D6,13F39
-3AA8,-3ADD,-3C04
13D37,13F0F,13EA7
-3B3C,-3BCD,-3AB3
14173,13DDF,13F5C
-3A5A,-3AA5,-39F1
13FF3,14155,13FEE
-3807,-39F2,-3A47
13F74,1417C,14036
-3C0E,-3C4E,-3CB3
13D86,13EE5,13DE1
-3C85,-3CD2,-3C17
13EBB,13E7E,13FED
-3B88,-3BCF,-3D2D
13FFA,13EB0,13F15
-3D40,-3D2E,-3BE4
13F54,13FE5,1412C
-3A07,-3AA8,-3A87
14015,1401D,14032
-3A5E,-3B7E,-3B29
13DAF,13FE1,14046
-3B0B,-3AB5,-3A05
1403D,14046,13FBB
-39AA,-38A3,-3B00
1427D,14162,14156
-3AE9,-39E6,-397B
13F7E,141DD,13FD5
-3A8C,-3B44,-3964
1409B,13E8A,13F7B
-3A4E,-3A0C,-3B60
13E49,13F5C,14095
-39F9,-3A59,-39C8
14068,13FB5,13E1D
-3AF1,-3A49,-39FE
14068,13F45,13F58
-3ADF,-3A17,-3A87
14057,1426D,140D5
-3B11,-3A94,-393B
14070,13F2D,13EC0
-3A97,-3A6D,-3AF0
1403D,140E9,14124
-38D8,-390E,-3A10
13FE0,14028,14204
-390B,-3988,-3A18
140F1,14053,140E0
-38BB,-39A3,-39A5
13F42,14258,13EC9
-39D2,-3AEB,-38B6
14110,14149,14185
-39A9,-38C0,-3B95
13FBE,140D4,13FA1
-3A81,-3A90,-3B51
140D1,13FA0,13EBD
-393A,-3AEB,-3C5D
13F3D,13E90,13FAB
-3878,-3C85,-3952
1412D,140D0,13FE3
-3A35,-3CE5,-3B79
13F2E,13EAE,13F15
-3A06,-39C7,-3AC8
13F58,1400C,1400B
-38D8,-3806,-3A4A
13ECC,13EDB,14130
-3A24,-37E4,-39EE
13FB0,140EF,1411C
-389B,-3AD6,-38C0
13F97,14134,1407B
-3988,-3AD2,-3A3D
14042,14187,1422F
-39D4,-3A37,-397D
1401B,14014,1402F
-3914,-37F4,-38F0
