{'CALIB_RAW_DAC_START_I': 786432, 'CALIB_RAW_FILETYPE': 'CALIB_RAW_FILETYPE_LIMP', 'CALIB_RAW_DAC_A_INDEX': 8, 'CALIB_RAW_SERIAL': '20190606_02', 'CALIB_RAW_VERSION': '1.0'}
-5E79A,-5E7A8,-5E767
-75FA4,-76133,-760AD
-5E6CE,-5E6C1,-5E593
-760BE,-76021,-76067
-5E535,-5E573,-5E493
-76064,-76172,-761B4
-5E93B,-5E7B6,-5E96F
-762DA,-76212,-762F0
-5EA81,-5E91C,-5E6CD
-76462,-76295,-760FB
-5E8D8,-5E8E6,-5E8E3
-76200,-7635C,-7643D
-5E926,-5E7D7,-5E8A2
-7625D,-761D8,-763C5
-5E9D8,-5E6F7,-5E944
-76441,-76314,-763B1
-5E8D8,-5E840,-5E83F
-761F4,-762E9,-76440
-5E711,-5E720,-5E7D5
-76327,-762AC,-762D7
-5E639,-5E60C,-5E819
-760CD,-76270,-7619F
-5E5E2,-5E679,-5E641
-76201,-76083,-762F4
-5E99E,-5E86A,-5E947
-7631C,-762F3,-76134
-5E998,-5E851,-5E96A
-762D7,-76374,-76325
-5E831,-5E87F,-5E766
-7628D,-7630F,-76269
-5E903,-5E861,-5E7D6
-7628F,-76381,-76343
-5E700,-5E7C3,-5E7CF
-76192,-76258,-760E4
-5E6FB,-5E4DA,-5E7B3
-7615B,-7631F,-76215
-5E5D4,-5E72E,-5E6B2
-76225,-75F75,-76026
-5F073,-5F168,-5F166
-75D38,-75D76,-75D1A
-5E317,-5E315,-5E2E1
-75F02,-75D26,-75C6B
-5E378,-5E4DF,-5E382
-75EA1,-75DB4,-75CEE
-5E47F,-5E17B,-5E2E4
-75A78,-75B9C,-75C68
-5E2F0,-5E1E2,-5DF8D
-75B69,-75B2B,-75BF1
-5E30F,-5E2DD,-5E34F
-75B61,-75E4B,-75D31
-5E1A8,-5E229,-5E2E1
-75C33,-75AEF,-75A7C
-5DF84,-5E0FD,-5E08A
-75BF5,-75CD5,-75C9C
-5E0F0,-5E3AC,-5DF6F
-75E50,-75C55,-75BD2
-5E3C5,-5E361,-5E39E
-75F64,-75DB4,-75EDC
-5E3E5,-5E2A4,-5E261
-75CDF,-75B09,-75B85
-5E2EA,-5E1C3,-5E180
-75B76,-75CF1,-75CC1
-5E0ED,-5E335,-5E2EE
-75BFC,-75D8D,-75BCE
-5E39E,-5E1F3,-5E111
-75CF7,-75A70,-75B86
-5E232,-5E374,-5E217
-75E1E,-75D0B,-75CDF
-5E2DC,-5E337,-5E25D
-75C03,-75A84,-75BCF
-5E320,-5E346,-5E395
-7616C,-75D81,-75EAF
-5E37A,-5E3A5,-5E2E7
-75E7C,-75F04,-75E77
-5E32D,-5E25F,-5E30B
-75E3A,-75D5B,-75F0D
-5E3D2,-5E51F,-5E3FE
-75DA7,-75EFF,-75DAA
-5E3EE,-5E3E9,-5E36D
-75DE3,-75D86,-75E42
-5E34E,-5E1CC,-5E197
-75ACE,-75CA0,-75CAD
-5E38C,-5E1C6,-5E183
-75A05,-75C4D,-75E6B
-5E277,-5E044,-5E2A4
-75BF9,-75D71,-75B70
-5E0AC,-5E255,-5E038
-75C74,-75D3A,-75EC6
-5E3FB,-5E253,-5E1DC
-75BE8,-75C88,-75E25
-5E18A,-5E116,-5E1E4
-75EBA,-75E2E,-75A6F
-5E0DB,-5E0B4,-5E319
-75B5B,-75D83,-75D78
-5E2BD,-5E2A8,-5E1BC
-75D2B,-75CFB,-75BFC
-5E31C,-5E2C5,-5E233
-75C66,-75C9D,-75D0A
-5E1BF,-5E200,-5E2AC
-75D69,-75DA4,-75CF0
-5E120,-5DEFC,-5E008
-75CC1,-75B72,-75B3B
-5DDF3,-5DDA4,-5DCBA
-75AE7,-7597E,-75800
-5DFA0,-5E05A,-5DFDC
-758CB,-7597D,-7596A
-5DF9A,-5DF21,-5DEA4
-75931,-7598D,-759FA
-5E02E,-5DED3,-5DE14
-75991,-75A58,-7572A
-5DF7B,-5DD98,-5DF4D
-75A05,-75836,-7588E
-5DF85,-5DFC0,-5DFA0
-75A03,-758DD,-7599B
-5DC7A,-5DEC7,-5DDE8
-757F0,-75801,-75A40
-5DD33,-5DE91,-5DDF6
-75931,-758B4,-75ABD
-5DE90,-5DE25,-5DE38
-758AE,-758CC,-7586D
-5DF6D,-5DDA1,-5DC91
-75A8D,-75A01,-758DA
-5DEED,-5DE28,-5DE73
-75A75,-75A04,-757A6
-5DD4D,-5DCE2,-5DECB
-758E1,-75977,-75906
-5DE86,-5DC99,-5DB7E
-7576D,-75788,-756C3
-5DC7F,-5DDB7,-5DD61
-75719,-758DD,-75833
-5DD5E,-5DD5C,-5DEAC
-757AC,-757AD,-756C6
-5DE24,-5DD9C,-5DC1F
-757BF,-758E4,-758C6
-5DDD5,-5DE2A,-5DDC9
-7595D,-758AC,-7594D
-5E06E,-5DF20,-5DEF1
-75B88,-75AB2,-7591B
-5DEC8,-5DEA2,-5E07B
-75A91,-759EB,-75BD1
-5E162,-5DFDC,-5DEE8
-75AC6,-759AA,-75976
-5DE66,-5DF19,-5DFF1
-75735,-75900,-75776
-5DE8B,-5DF8A,-5DCF5
-759EA,-758CA,-75815
-5DF3B,-5DDA9,-5DCAE
-7583C,-757D1,-759A1
-5DCF3,-5DE9C,-5DD1E
-75677,-758B9,-75802
-5DD8E,-5DDDA,-5DAA5
-757C1,-75679,-75A03
-5DEAA,-5DDAF,-5DE1C
-75747,-75827,-7594E
-5DDE6,-5DE4C,-5DF47
-75979,-75690,-75915
-5DE28,-5DE01,-5DDCD
-75958,-75921,-75991
-5DC4B,-5DD1A,-5DE77
-7582A,-75865,-75845
-5DD3A,-5DCF6,-5DE77
-757B5,-7591E,-75860
-5DD9E,-5DDDF,-5DC86
-75809,-7570D,-7581F
-5DEBC,-5DCC1,-5DF5F
-7577C,-756C5,-7582E
-5DFDC,-5E0D1,-5DF2E
-753AF,-755FB,-755C2
-5DB4E,-5DC7D,-5DC5E
-7546F,-7559E,-755F6
-5DA83,-5DCBA,-5DB3F
-75670,-755BA,-756E2
-5DAD7,-5D92F,-5DA98
-75648,-7556A,-75554
-5DAF1,-5DBA7,-5DB18
-755FB,-75726,-75465
-5D9DB,-5D915,-5DB89
-754D0,-754B3,-7553D
-5DB54,-5DC3F,-5D993
-75576,-7527E,-75557
-5DAD7,-5DB55,-5DB80
-755F1,-75562,-755FD
-5DA59,-5D9BD,-5DC1D
-75511,-754FD,-75575
-5DBB6,-5DBFF,-5DB4C
-7553F,-75569,-7559F
-5DAC2,-5DA3E,-5DC2C
-7561E,-7560F,-75540
-5DAB4,-5DB2F,-5DCC2
-755C4,-7555B,-755F8
-5DB05,-5D838,-5D9A9
-75478,-755D0,-754EA
-5DA35,-5DBA3,-5DC23
-755B1,-7575F,-7557C
-5DC80,-5D93A,-5DB49
-75387,-754BF,-75552
-5DA3E,-5DBFD,-5DAD8
-7557F,-754BD,-75428
-5DB44,-5DC61,-5DE33
-756D7,-75601,-7573E
-5DC3B,-5DB0D,-5DCCF
-75727,-75829,-75693
-5DC64,-5DB68,-5DBFE
-7562E,-756A7,-7574F
-5DB33,-5DCEE,-5DAA9
-756BF,-756CB,-7568B
-5D9C5,-5DBDF,-5DCE6
-755EA,-7563E,-75442
-5DB1E,-5DB09,-5DA59
-75637,-75681,-755A9
-5DA85,-5D9F4,-5DBB5
-7547C,-754C4,-754E9
-5D931,-5DA43,-5DD9D
-75616,-75523,-755BB
-5D9E3,-5D917,-5D96B
-7550A,-75628,-7563A
-5DA4B,-5D9E1,-5DB10
-7553C,-755BD,-7555D
-5DB86,-5D8F0,-5D9EF
-75443,-75588,-75403
-5DB20,-5DBB4,-5DB2D
-75292,-7544C,-755C6
-5DB26,-5DA4B,-5DD15
-753DB,-75412,-754FB
-5DC2F,-5DBC3,-5DC2E
-75605,-7553E,-7552D
-5DA6C,-5D936,-5D90D
-754F6,-754C9,-755A9
-5DB72,-5D8ED,-5D9F8
-75474,-75485,-75524
-5D82F,-5D88A,-5D834
-752BB,-751AF,-752C9
-5D8D8,-5D6D3,-5D710
