{'CALIB_RAW_DAC_START_I': 163840, 'CALIB_RAW_FILETYPE': 'CALIB_RAW_FILETYPE_LIMP', 'CALIB_RAW_DAC_A_INDEX': 6, 'CALIB_RAW_SERIAL': '20190606_02', 'CALIB_RAW_VERSION': '1.0'}
-14E05A,-14E090,-14E0B0
-165992,-165BE1,-165951
-14E00A,-14E0CB,-14E09F
-1659C4,-1659F3,-165C2B
-14E1C0,-14E219,-14DF46
-165B81,-165B50,-165C0E
-14E1FA,-14DF39,-14E07C
-1659B7,-165B89,-165D75
-14E085,-14E07F,-14DF84
-165B42,-165C38,-165C05
-14E134,-14E361,-14E27D
-165EBA,-165B51,-165AEE
-14E35C,-14DFEE,-14E0E3
-165B34,-165BE7,-165C04
-14E124,-14E243,-14E1A1
-165B71,-165DD9,-165B5C
-14E201,-14E18E,-14E1EA
-165A42,-165BD6,-165B04
-14E16B,-14E0AD,-14E0DE
-165D10,-165C20,-165D16
-14E0E0,-14E070,-14DF96
-16591B,-165A9F,-165C77
-14E001,-14DF8A,-14E14D
-165B79,-165A16,-165A68
-14DFCF,-14E1EA,-14E207
-165BE6,-165B6E,-165BAD
-14E0C3,-14E075,-14E19C
-165C74,-165C63,-165BC2
-14E24F,-14E142,-14E1DF
-165C22,-165BF3,-165BCC
-14E035,-14E199,-14E0AC
-165ACB,-165AEB,-165D28
-14E17C,-14E25F,-14E15C
-165A7A,-165C19,-16598D
-14DFFA,-14E064,-14E1F3
-165AF4,-165C0E,-165B2B
-14E099,-14DFB7,-14E09F
-165CBA,-165D59,-165C69
-14E13B,-14E0E6,-14DF7B
-165B6F,-165C7E,-165B44
-14E111,-14DF68,-14E12F
-165A49,-165CBC,-165B84
-14E1A2,-14E1DC,-14E11A
-165B78,-165CE8,-165BA3
-14E169,-14DF70,-14E17F
-165BEC,-165B55,-165D30
-14E04C,-14E1B8,-14E1F2
-165B4A,-165BF5,-165C4D
-14E0AB,-14E208,-14E09A
-165A1E,-165A0B,-165B64
-14E0B1,-14E009,-14E129
-165CE0,-165B7F,-165B97
-14E137,-14E13E,-14E2A3
-165E39,-165C08,-165CC3
