{'CALIB_RAW_DAC_START_I': 65536, 'CALIB_RAW_FILETYPE': 'CALIB_RAW_FILETYPE_LIMP', 'CALIB_RAW_DAC_A_INDEX': 4, 'CALIB_RAW_SERIAL': '20190606_02', 'CALIB_RAW_VERSION': '1.0'}
-1CEED6,-1CEEA5,-1CEF4A
-1E6861,-1E6A0E,-1E6850
-1CEDCA,-1CF12D,-1CF027
-1E68D0,-1E6A3C,-1E69CE
-1CF05D,-1CF00B,-1CEEC8
-1E66D0,-1E693A,-1E6B57
-1CF12A,-1CEEA7,-1CF009
-1E6925,-1E6AD8,-1E6A4F
-1CEF4D,-1CF011,-1CEF3C
-1E6A39,-1E6B08,-1E6A76
-1CF104,-1CEFCD,-1CEF34
-1E6B3E,-1E6963,-1E6A87
-1CF184,-1CEE24,-1CEEA0
-1E69C2,-1E6A07,-1E6C1E
-1CF074,-1CEEF6,-1CEEFE
-1E6B2F,-1E69FF,-1E6AEC
-1CEFE6,-1CEF13,-1CF085
-1E6A9F,-1E6997,-1E6B33
-1CF17F,-1CEF9A,-1CF034
-1E6B54,-1E69BD,-1E69FD
-1CF00A,-1CEFA8,-1CEF9F
-1E6B55,-1E6B10,-1E6880
-1CF031,-1CEFCD,-1CF14B
-1E6A79,-1E6D53,-1E6CDD
-1CF0F8,-1CF10C,-1CF136
-1E6CE1,-1E6D3C,-1E6D27
-1CF2B4,-1CF370,-1CF300
-1E6C8E,-1E6DD0,-1E6E52
-1CF262,-1CF368,-1CF2EC
-1E6CFA,-1E6D27,-1E6DA8
-1CF2E2,-1CF29B,-1CF304
-1E6DC8,-1E6EB7,-1E6D18
-1CF4A5,-1CF3B4,-1CF229
-1E6D59,-1E6CEA,-1E6BF1
-1CF6B4,-1CF4B8,-1CF1CC
-1E6D1E,-1E6F89,-1E6CAE
-1CF53D,-1CF37A,-1CF408
-1E6E63,-1E6E05,-1E6E4E
-1CF4F8,-1CF4CE,-1CF484
-1E6EE7,-1E6D28,-1E6D3F
-1CF330,-1CF35E,-1CF48C
-1E6DE8,-1E6F25,-1E6DE9
-1CF547,-1CF585,-1CF6E3
-1E6FFB,-1E6EE0,-1E6CF2
-1CF4FB,-1CF3CF,-1CF4E4
-1E6D53,-1E6E4E,-1E6F97
-1CF2FE,-1CF515,-1CF1F4
-1E6EF5,-1E6E83,-1E6DA4
-1CF363,-1CF3CE,-1CF594
-1E70B1,-1E6FCB,-1E6FA3
-1CF4DB,-1CF551,-1CF43D
-1E7072,-1E6F20,-1E6F0F
-1CF6D5,-1CF620,-1CF65D
-1E6F13,-1E7017,-1E7035
-1CF566,-1CF53F,-1CF654
-1E7032,-1E713F,-1E6FA1
-1CF413,-1CF496,-1CF538
-1E6C99,-1E6E47,-1E6E81
-1CF32C,-1CF28E,-1CF3D7
-1E6D72,-1E6F74,-1E6F8B
-1CF362,-1CF286,-1CF521
-1E6D0F,-1E6F45,-1E6B8F
