{'CALIB_RAW_DAC_START_I': 983040, 'CALIB_RAW_FILETYPE': 'CALIB_RAW_FILETYPE_LIMP', 'CALIB_RAW_DAC_A_INDEX': 0, 'CALIB_RAW_SERIAL': '20190606_02', 'CALIB_RAW_VERSION': '1.0'}
-E12A9,-E158E,-E1366
-F9139,-F8EA3,-F8FCD
-E14A7,-E153D,-E137A
-F8F81,-F8F68,-F8FBB
-E1465,-E12DC,-E13B6
-F8D85,-F8D81,-F8E57
-E13E2,-E1540,-E13DB
-F9169,-F8EA5,-F8CE9
-E12B0,-E10B2,-E122C
-F8DBA,-F8EB3,-F8D0B
-E14E2,-E1217,-E12CA
-F8D94,-F8C8D,-F8DC1
-E134D,-E12E9,-E11C8
-F8D0D,-F8ECE,-F8B3A
-E130B,-E12BF,-E1557
-F8D86,-F8D55,-F8E34
-E330C,-E3331,-E31D1
-F8DAE,-F8B78,-F8D53
-E1330,-E133E,-E1202
-F8C51,-F8DB9,-F9033
-E118E,-E1158,-E1461
-F8E88,-F8D62,-F8D73
-E133B,-E13C0,-E1110
-F8D25,-F8C18,-F8DA7
-E1501,-E1126,-E131E
-F8D87,-F8BF4,-F8E18
-E1033,-E1120,-E127B
-F8D91,-F8BF9,-F8CD8
-E1300,-E142D,-E11FA
-F8CD6,-F8B58,-F8E26
-E1194,-E11AE,-E14FC
-F8C9A,-F8C1F,-F8B4B
-E1105,-E1150,-E1050
-F8C18,-F8A67,-F8AF3
-E11F5,-E10D6,-E116E
-F8C9B,-F89EA,-F8B61
-E10D2,-E10ED,-E110F
-F898D,-F8C0B,-F8C93
-E1080,-E11CB,-E123B
-F8A89,-F8A84,-F8AC8
-E1077,-E0E8E,-E0FA3
-F8B0F,-F8BB8,-F88B2
-E100D,-E0F5E,-E10D4
-F8BF6,-F87DC,-F8A48
-E107C,-E0F5A,-E10C7
-F8B71,-F8AF8,-F8A61
-E110B,-E10DB,-E1079
-F8B40,-F8A48,-F8CD8
-E10AA,-E1096,-E10C2
-F8933,-F8815,-F8B1E
-E0DCB,-E0FD5,-E0F50
-F88C5,-F8AC6,-F892E
-E0CAC,-E0E63,-E0E60
-F8860,-F87E5,-F8B0B
-E101D,-E1031,-E0D90
-F8AB5,-F8983,-F884D
-E0E15,-E0E3B,-E0DB5
-F8890,-F896B,-F8914
-E0EB9,-E0DC6,-E0FCA
-F86F1,-F8750,-F87EC
