{'CALIB_RAW_DAC_START_I': 983040, 'CALIB_RAW_FILETYPE': 'CALIB_RAW_FILETYPE_LIMP', 'CALIB_RAW_DAC_A_INDEX': 8, 'CALIB_RAW_SERIAL': '20190606_02', 'CALIB_RAW_VERSION': '1.0'}
-A0A74,-A0957,-A08FC
-88EBD,-88DC0,-88E78
-A0837,-A0A27,-A0A87
-88D7B,-88E24,-88EAD
-A09F0,-A09D8,-A0B18
-88E4C,-88DBA,-88DCD
-A07E7,-A0867,-A0805
-88EC7,-88D52,-88E6C
-A07C7,-A09B5,-A0AC8
-88DDB,-88E34,-88D4B
-A08B1,-A0927,-A087D
-88E9A,-88DFF,-88CD8
-A07F5,-A0884,-A07C2
-88E9B,-88EBA,-88E1A
-A07D8,-A077C,-A07BA
-88D35,-88D6D,-88BBE
-A0731,-A05FE,-A084D
-896E8,-895FE,-89751
-A03F6,-A04AA,-A056C
-88950,-8896B,-88AA5
-A028F,-A03F9,-A03FE
-887F9,-88947,-887D5
-A024C,-A0377,-A030F
-888BB,-88905,-88804
-A0278,-A030E,-A0471
-887F5,-88924,-88921
-A026E,-A00A0,-A0331
-8887F,-888F8,-887E6
-A035A,-A02CA,-A0592
-8889F,-88838,-88916
-A0361,-A029B,-A0537
-88905,-88850,-88929
-A0350,-A036A,-A04E8
-88992,-888AD,-88780
-A0228,-A06F2,-A0620
-88943,-88A51,-88BA4
-A056C,-A03D1,-A0137
-887A8,-889B8,-88823
-A02A4,-A041C,-A03E7
-887F0,-888DE,-88962
-A042A,-A02C6,-A01EF
-8879E,-887BD,-8884D
-A02D4,-A02F7,-A0198
-889DF,-888AA,-8896A
-A04BE,-A0488,-A04FE
-88891,-888BE,-8895E
-A0485,-A0310,-A03DE
-888E2,-888B3,-888E4
-A02FB,-A029F,-A035A
-889BF,-889E8,-88895
-A048A,-A0454,-A027F
-888E9,-88AC5,-889FA
-A053C,-A056D,-A0457
-88A39,-88B49,-889C9
-A043C,-A04B0,-A0445
-88A9A,-88BD1,-88A2D
-A04A6,-A0327,-A0392
-889D2,-888BB,-8872B
-A0296,-A047B,-A0303
-8891C,-88B01,-88880
-A0527,-A0581,-A04CE
-88906,-88909,-8895F
-A030F,-A043C,-A0547
-88B4E,-889A4,-888F6
-A02A5,-A03F7,-A0516
-8896C,-88B54,-88943
-A03D6,-A0542,-A059D
-88803,-886CD,-887AA
-A0407,-A0537,-A039F
-889E8,-88A84,-88967
-A053C,-A045C,-A053D
-889D3,-88A05,-887E7
-A04B6,-A0547,-A04EE
-887EF,-887AD,-88897
-A043C,-A0364,-A045D
-88894,-88951,-887BE
-A00CC,-A02CB,-A0383
-88938,-8881E,-88977
-A03DA,-A02A9,-A0315
-888BF,-88AA8,-88977
-A0496,-A0292,-A0211
