{'CALIB_RAW_DAC_START_I': 294912, 'CALIB_RAW_FILETYPE': 'CALIB_RAW_FILETYPE_LIMP', 'CALIB_RAW_DAC_A_INDEX': 4, 'CALIB_RAW_SERIAL': '20190606_02', 'CALIB_RAW_VERSION': '1.0'}
-D0C8F,-D0CA1,-D0D3E
-E8706,-E8622,-E8787
-D0D44,-D0CF4,-D0C2A
-E8950,-E8788,-E87C9
-D0C57,-D0DC5,-D0DC1
-E867D,-E8662,-E87F9
-D0EA9,-D0CAC,-D0DBD
-E8548,-E86E3,-E8733
-D0C97,-D0D22,-D0C88
-E86E9,-E8876,-E87F1
-D0CDD,-D0DC2,-D0C2E
-E87C7,-E87EC,-E87BF
-D0E33,-D0C66,-D0B67
-E882A,-E8607,-E86F0
-D0C70,-D0CAE,-D0C95
-E8727,-E86F5,-E8849
-D0CD3,-D0D23,-D0C50
-E8724,-E89A8,-E8722
-D0C63,-D0CCE,-D0D3A
-E875E,-E876F,-E873E
-D0D0D,-D0B98,-D0BDC
-E8961,-E8874,-E8725
-D0C75,-D0E62,-D0D81
-E877B,-E881D,-E8664
-D0D21,-D0D93,-D0D92
-E886A,-E879D,-E865E
-D105A,-D0ED5,-D0F4E
-E87B3,-E871B,-E88C0
-D0E05,-D0D81,-D0E8A
-E88A5,-E8887,-E8A66
-D0E48,-D0D21,-D0E24
-E87DE,-E8747,-E87AA
-D0E9B,-D0E44,-D0EF0
-E899B,-E8849,-E87A9
-D0D39,-D0EED,-D0EFE
-E8700,-E8811,-E891A
-D0E14,-D0EA4,-D0E01
-E8865,-E896B,-E8849
-D0F77,-D0EE4,-D0F10
-E8B76,-E8ABD,-E8C3F
-D0F54,-D0E93,-D1073
-E8B66,-E8BEC,-E8C3A
-D10BB,-D0F9B,-D0FED
-E8BB0,-E8A4C,-E8971
-D1166,-D10A2,-D12B5
-E8A39,-E8B3A,-E8C38
-D118E,-D0FED,-D116E
-E8BD6,-E89B3,-E8AF8
-D1183,-D1139,-D12B3
-E8CEE,-E8D6E,-E8B43
-D1200,-D12D5,-D118C
-E8C4B,-E8C27,-E8B9B
-D126B,-D0FF4,-D1210
-E8BB0,-E8C34,-E8C1D
-D105F,-D1032,-D1057
-E8AAB,-E8B56,-E8C22
-D1062,-D1110,-D11CA
-E8CCD,-E8B39,-E8DA3
-D1166,-D122E,-D1244
-E8ABA,-E8C60,-E8CA4
-D1316,-D115E,-D10EB
-E8C33,-E8C1A,-E8DB7
-D136E,-D11A0,-D11E2
-E8B7A,-E8D56,-E8C68
-D1347,-D12DA,-D1121
-E8B3F,-E8AF2,-E8E3C
-D1328,-D12CC,-D1210
-E8BDB,-E8CE1,-E8CB0
-D1191,-D1227,-D1364
-E8BEC,-E8DDB,-E8B30
-D121D,-D12F4,-D131D
-E89E8,-E8A2F,-E8B54
-D1160,-D0F0C,-D1094
-E8BB8,-E8C07,-E8C22
-D11F6,-D0F85,-D0FD8
-E89DC,-E89BC,-E8BA9
