{'CALIB_RAW_DAC_START_I': 1015808, 'CALIB_RAW_FILETYPE': 'CALIB_RAW_FILETYPE_LIMP', 'CALIB_RAW_DAC_A_INDEX': 2, 'CALIB_RAW_SERIAL': '20190606_02', 'CALIB_RAW_VERSION': '1.0'}
-B8B57,-B8AB6,-B8DB4
-A1095,-A0F44,-A0E9F
-B8A2B,-B8A04,-B8944
-A0FB4,-A0DFB,-A0E84
-B8858,-B8BF9,-B8A5C
-A0EA4,-A0F01,-A104F
-B897C,-B8A37,-B8ADD
-A10B3,-A1097,-A1121
-B89D7,-B892A,-B8932
-A0E6F,-A0F2B,-A0E92
-B8845,-B89D7,-B89F1
-A10D7,-A0ED3,-A0EB2
-B8AA7,-B8A30,-B8BEB
-A11A5,-A0F9C,-A0E96
-B8939,-B8982,-B89E9
-A0F3F,-A0D8A,-A0E60
-B88E7,-B89CC,-B884C
-A0F44,-A0EE0,-A0E96
-B87F1,-B8751,-B8862
-A0EC1,-A0FE8,-A0F20
-B8910,-B8896,-B8818
-A0D78,-A0BD3,-A0C6C
-B8788,-B89C8,-B8886
-A0F8B,-A0E64,-A0C82
-B8AAC,-B89DF,-B8772
-A0E41,-A0E8A,-A0E59
-B8821,-B88B7,-B8785
-A0E16,-A0DF6,-A0E8B
-B88ED,-B8928,-B89EA
-A0E65,-A0CAC,-A0D52
-B86B9,-B888B,-B86E4
-A0DA4,-A0DB1,-A0E74
-B8829,-B878B,-B882E
-A0DB9,-A0D87,-A0DE2
-B8883,-B88D5,-B89BB
-A1087,-A0E60,-A0F2B
-B8887,-B88B7,-B89F4
-A0E66,-A0CB2,-A0DB8
-B8940,-B880F,-B888E
-A0BFB,-A0D62,-A0BD1
-B8946,-B898D,-B8A80
-A10DF,-A0D8E,-A0ECC
-B88EE,-B88B9,-B8A83
-A0ED3,-A0DC3,-A0EDD
-B892D,-B87E2,-B88B1
-A0E83,-A0C1D,-A0E28
-B8803,-B8A66,-B8736
-A0C6B,-A0CBC,-A0F35
-B8874,-B8735,-B8843
-A0D8F,-A0E8C,-A0CFD
-B8987,-B887E,-B8837
-A0D0B,-A0CD6,-A0D81
-B88C6,-B8899,-B86D9
-A0C7A,-A0A73,-A0DCE
-B86F2,-B8956,-B8A11
-A0E2F,-A0E85,-A0D5A
-B8893,-B884D,-B8A44
-A0E99,-A0DE3,-A0E2C
-B8951,-B8930,-B89C3
-A0EC9,-A0E78,-A0D34
-B88DE,-B885F,-B882D
-A0D59,-A0E19,-A0F1C
-B8838,-B8730,-B8823
-A0EDE,-A0E2D,-A0D14
-B85D5,-B8667,-B87B5
-A0EAB,-A0D40,-A0DCB
-B85D1,-B88C6,-B8901
-A0B9C,-A0D33,-A0D2D
-B8638,-B85C7,-B8785
-A0B49,-A0C60,-A0C89
-B86BF,-B86E8,-B8817
-A0CF3,-A0BBD,-A0AF0
-B8654,-B87A3,-B87E9
-A0D5E,-A0DEE,-A0CCE
-B883F,-B879E,-B8872
-A0E1A,-A0CA6,-A0B53
-B8862,-B872F,-B8626
-A0BEC,-A0C32,-A0EB9
-B84A3,-B8757,-B8585
-A0D21,-A0C21,-A0B6A
-B8689,-B863F,-B8699
-A0BD7,-A0C4A,-A0BA2
-B87AF,-B888A,-B86A8
-A0B07,-A0BB9,-A0C51
-B8742,-B876F,-B8791
-A096C,-A0CEA,-A0D5A
-B8674,-B8669,-B86C2
-A0D66,-A0C0A,-A0D12
-B87A5,-B878D,-B87F1
-A0C53,-A0B61,-A0BF0
-B8597,-B8539,-B8661
-A0B4F,-A0D20,-A0BDF
-B86CB,-B8538,-B8598
-A0AC2,-A0AB9,-A0C13
-B85F7,-B8545,-B84E5
-A0A94,-A0B73,-A0B02
-B88DD,-B8699,-B8670
-A0DC5,-A0D46,-A0AF8
-B8644,-B86DF,-B8763
-A0DC2,-A0C3A,-A0B3A
-B855E,-B88FB,-B85C8
-A0D59,-A0C0C,-A0DC6
-B8B8A,-B8AA7,-B8BE4
-A12AF,-A118B,-A13A1
-B8B0B,-B8ACB,-B8C73
-A1222,-A10AF,-A103E
-B8A3A,-B8A98,-B89FC
-A1008,-A119C,-A0EE8
-B8AAC,-B8C04,-B8A9B
-A112B,-A0F6C,-A1152
-B8A91,-B8B88,-B8AE4
-A121B,-A1098,-A0F1C
-B8CF5,-B8977,-B8A88
-A114E,-A110B,-A0D8D
-B8A30,-B8A60,-B89C8
-A109E,-A0F20,-A0FC2
-B89BF,-B89E1,-B8B8F
-A0ECB,-A0EC0,-A0EF8
-B8A38,-B8A43,-B8B4F
-A0FE4,-A1123,-A0FA5
-B8B29,-B89DC,-B8C07
-A1202,-A102C,-A0F82
-B8A25,-B8B56,-B8973
-A0FA7,-A0F92,-A0F26
-B89AE,-B8AAB,-B8AB9
-A0FF3,-A1094,-A10CF
-B8A4D,-B89C7,-B8A8C
-A1160,-A0F9C,-A0F69
-B891E,-B8ADD,-B897B
-A1165,-A1049,-A0F00
-B88C1,-B8AF3,-B89E4
-A0F85,-A118B,-A1041
-B8ABF,-B8A7A,-B8987
-A109F,-A10EC,-A109D
-B8B73,-B8C64,-B8BE6
-A1045,-A0F75,-A1122
-B8A69,-B8C2C,-B8A90
-A0FD5,-A1180,-A1034
-B8946,-B8941,-B89E1
-A0F55,-A0FDF,-A0F78
-B8965,-B8C45,-B8B9E
-A10CC,-A12F7,-A0E87
-B8C31,-B8BCF,-B89B7
-A0E61,-A0FF7,-A0EEE
-B8AED,-B8AEC,-B8B3A
-A0DE7,-A0D09,-A0ECC
-B8898,-B89E6,-B89FF
-A0FA9,-A115F,-A103E
-B8A83,-B8919,-B8AAB
-A0F53,-A0D85,-A0E9E
-B8C21,-B8B7F,-B8BD6
-A102F,-A0DF1,-A1160
-B8A1F,-B8A3E,-B8B07
-A0E80,-A0E59,-A0E1E
-B8A89,-B88F7,-B8911
-A10EE,-A0FC2,-A0F99
-B8B32,-B89CF,-B89B8
-A0EAE,-A0F20,-A1012
-B88EF,-B8B13,-B8A22
-A104B,-A0F5A,-A0FCF
-B88F8,-B899B,-B8914
-A0F64,-A0E4F,-A0E25
-B8960,-B894F,-B889C
-A0E20,-A0F0F,-A0DC8
-B8808,-B87CD,-B88AD
-A0F0E,-A1007,-A0E79
-B8949,-B8972,-B8A59
-A0F8D,-A0D18,-A0E5B
-B8881,-B8B07,-B8A4F
-A0F90,-A0E92,-A0F7E
-B88E0,-B894F,-B883E
-A0F76,-A0E82,-A0FAD
-B88A4,-B89E6,-B88C0
-A0ECF,-A0E9F,-A0F62
-B885A,-B87F5,-B88D0
-A0EE1,-A0F7C,-A0D26
-B8912,-B8741,-B886D
-A0D3C,-A0ED5,-A0E8E
-B87BC,-B87D1,-B8690
-A0D5D,-A0C5F,-A0CC6
-B8805,-B86D5,-B877F
-A0D47,-A0CB8,-A0D1D
-B87FE,-B89C9,-B886D
-A0E62,-A0DE8,-A0E11
-B885D,-B88A9,-B88BD
-A0C9A,-A0F29,-A0DDA
-B8973,-B8A56,-B88FA
-A0E9F,-A0F23,-A0E99
-B89F9,-B8916,-B8ABB
-A0C0C,-A0DF4,-A0D5A
-B877F,-B889A,-B8858
-A0DFD,-A0D9F,-A0D63
-B86F1,-B87CF,-B8811
-A0C07,-A0E21,-A0DE2
-B8587,-B879E,-B87B4
-A0C6E,-A0D48,-A0BC7
-B8754,-B899C,-B85F6
-A0B23,-A0D9E,-A0DFF
-B86B7,-B883D,-B886F
-A0D20,-A0EEB,-A0EC5
-B8943,-B87B9,-B8944
-A0D74,-A0D81,-A0BF9
-B875B,-B88C8,-B8923
-A0E4A,-A0EA2,-A0FDF
-B86FC,-B88C5,-B86D4
-A0C3C,-A0C7D,-A0EEC
-B8714,-B87D9,-B886F
-A0CAA,-A0D0C,-A0AFC
-B8715,-B872C,-B88F9
-A0E40,-A0CEB,-A0DB9
-B89BD,-B8879,-B87DC
-A0DA3,-A0E71,-A0EA7
-B86F5,-B87B7,-B8750
-A0B96,-A0B42,-A0BC9
-B86ED,-B87ED,-B8758
-A0FE0,-A0EF5,-A0CB3
-B8963,-B89F1,-B87FD
-A0F23,-A0CE5,-A0E40
-B86DB,-B8861,-B8785
-A0E4D,-A0E47,-A0DF1
-B87D9,-B89AA,-B875E
-A0CB1,-A0D83,-A0CE5
-B85D9,-B871C,-B883B
