{'CALIB_RAW_DAC_START_I': 884736, 'CALIB_RAW_FILETYPE': 'CALIB_RAW_FILETYPE_LIMP', 'CALIB_RAW_DAC_A_INDEX': 2, 'CALIB_RAW_SERIAL': '20190606_02', 'CALIB_RAW_VERSION': '1.0'}
-61147,-61129,-61048
-78A2D,-78C7B,-78CCE
-60FBA,-610AC,-61284
-78C64,-78A0A,-78B3F
-610C7,-6103A,-60E6B
-787D9,-789B8,-78ACC
-610CC,-610B2,-60F23
-789D8,-78A8B,-78AFA
-6101C,-60FE3,-60E19
-78987,-78B56,-78C4C
-60FD2,-60F6B,-610E9
-789AA,-78A3E,-78A7A
-610E0,-61174,-61061
-78ADA,-78C7A,-78AB0
-61315,-6110E,-61120
-78B9F,-78C2C,-78D25
-61154,-6115E,-611DC
-78B1B,-78AFC,-78BFB
-60FEC,-60FC6,-60FAE
-78B85,-78AFE,-78C52
-6103C,-60FCA,-61035
-78A01,-789CD,-789E8
-60EF1,-60F52,-61090
-78B5D,-78AD0,-78AA6
-6104B,-60F7C,-60FD7
-78A50,-78948,-78B5A
-61035,-60F0E,-60EDC
-78A77,-78A1C,-7862C
-60F78,-60DA2,-60F0E
-78897,-78AC8,-78BD1
-6116C,-61039,-60F56
-78A1D,-78AD8,-78B2F
-61021,-61033,-60FFF
-78958,-78951,-78952
-61096,-60F1D,-60EEC
-788F0,-78934,-788F1
-60E2A,-60CBF,-60C71
-787CA,-7881A,-7894A
-60E9A,-60F3B,-60F84
-78603,-78823,-789DF
-60E34,-60FEA,-60F1F
-787A5,-7874B,-7887C
-60E9C,-60F25,-60E50
-787B2,-78930,-7883D
-60D2A,-60E59,-60DCC
-788D3,-789D0,-7895B
-60F05,-60F87,-6105F
-78AAB,-78A73,-78957
-6101A,-60F22,-60DDF
-78A28,-78A84,-78AB3
-61072,-60E14,-6105D
-78A60,-78B43,-78AAF
-60F96,-60F2D,-60EDA
-787BB,-788AF,-78B9A
-610E5,-60F20,-60DED
-7878C,-789E8,-7892A
-60DB4,-60E94,-61014
-78AB3,-78970,-78A4A
-61000,-60E82,-60F31
-789F4,-78B69,-7899C
-61AD3,-61B4D,-61A79
-7836B,-782EF,-7815F
-60A1D,-6099C,-608DF
-78400,-7838B,-783B6
-60984,-606D4,-6089B
-784C2,-783AB,-78298
-609AE,-6080E,-6079F
-7811A,-7825F,-784E2
-60BFC,-6085E,-608E1
-78377,-78241,-7812B
-6096F,-60ABE,-60966
-781A3,-78386,-78516
-607F5,-607F5,-608CF
-78256,-782FF,-7835E
-60897,-60986,-608EC
-78394,-781D5,-7848D
-608E1,-60929,-607D6
-783F6,-78242,-781B8
-608A2,-60837,-60ABC
-78390,-78390,-7839E
-6097F,-60A36,-60974
-7820E,-78245,-783DF
-60891,-6077B,-608AF
-78480,-78328,-78217
-6086D,-609D9,-6090E
-78173,-78313,-78277
-60893,-607B3,-60833
-78298,-7828A,-78110
-60861,-6087C,-608E8
-783B4,-78426,-78314
-6098C,-608B3,-606EB
-7817D,-78259,-78323
-6076E,-60780,-607CF
-781F6,-78236,-7825A
-60764,-6087E,-6081D
-783BE,-7837D,-78331
-60957,-60803,-60774
-78371,-781AB,-78327
-60906,-60919,-60700
-78397,-782F7,-78154
-60805,-60553,-60803
-7811F,-7817D,-78145
-60900,-6082B,-609A0
-7835C,-78405,-781BE
-6087E,-60815,-60859
-78144,-7825F,-780FF
-60652,-60628,-6074E
-780E5,-78281,-7831C
-60684,-6066E,-606C1
-780AF,-78388,-7816C
-60952,-60757,-606B2
-781CA,-782B8,-78198
-60735,-60764,-607AE
-78171,-78318,-782ED
-608A3,-608F7,-607EB
-781EA,-7822D,-78199
-60711,-60718,-6080A
-78366,-782B5,-781A7
-60856,-607C2,-608D9
-782D4,-78297,-7815D
-606EC,-604DA,-60704
-78042,-782FF,-78105
-6053C,-60755,-607C4
-782E0,-781DD,-781DD
-6045B,-60511,-60702
-783EB,-781C9,-780AD
-6075C,-60621,-6061E
-78249,-78101,-781D3
-606E1,-60829,-6070F
-7825C,-77F75,-78127
-60709,-60585,-6059D
-78175,-77F7D,-782AB
-605E9,-6064A,-606A9
-7816D,-77F94,-78126
-60594,-607A8,-606AE
-780CD,-77F64,-77E55
-60443,-60433,-606F0
-77EB7,-77DD5,-780FD
-605DD,-605D8,-6054F
-78055,-78036,-78144
-604C1,-604A3,-6049F
-78064,-78158,-7811C
-6072B,-606FB,-6048A
-77FEC,-780BF,-77F22
-60676,-6066B,-604A6
-77F4F,-78141,-78295
-60595,-6083E,-604C0
-77F3A,-78130,-77FE7
-607F3,-606C6,-60561
-77FD3,-780DD,-780F6
-60680,-6075E,-603B0
-78108,-78218,-781B4
-60686,-605D8,-607E5
-7802A,-77EC1,-77F32
-60736,-6059A,-60370
-77FC2,-7800E,-77F9A
-60620,-60623,-60674
-77F1F,-78187,-77F45
-60524,-604ED,-60490
-78012,-77FBB,-77F37
-606D3,-60507,-6049B
-77E2F,-78100,-77E95
-605E9,-60551,-6057D
-78089,-78028,-780A2
-60599,-60349,-605CA
-77FAE,-77E5F,-77F79
-602C4,-605D2,-604FE
-780C0,-77EC8,-77EC6
-6058F,-60448,-6044D
-77DDC,-77E57,-77ECE
-60699,-60516,-60537
-77F4C,-7803B,-780B3
-603AC,-60487,-604CE
-77EE5,-77F39,-7803E
-6079D,-606AD,-604F6
-77E64,-780F7,-77F08
-605E0,-604D0,-60681
-78006,-7802B,-77EA3
-604A7,-606CD,-605BA
-77F9A,-78177,-77FDE
-6053D,-604A4,-6044C
-78021,-77EBA,-77E67
-6076F,-6073D,-60616
-77FA1,-78006,-77F0E
-60525,-60646,-60260
-77F26,-77FFC,-77DD3
-604CB,-60383,-603C7
-78124,-77EE0,-77EE8
-6047B,-606AD,-60824
-7847A,-78552,-78485
-60867,-60926,-607F4
-7837E,-78361,-78367
-60A2C,-6093F,-60A6F
-78386,-7847B,-78388
-609F4,-60AE3,-609D9
-782D3,-7847C,-78293
-60945,-608B8,-608C3
-781D8,-7827C,-7839B
-608C5,-608F0,-607AD
-784F7,-78289,-782B0
-6081B,-60832,-60984
-7831E,-782AD,-78276
-6093D,-60941,-60AEB
-784DF,-782E1,-782E3
-608FB,-607BD,-6091B
-7838B,-78253,-782F0
-608CD,-60A19,-608CB
-783C9,-7851B,-7840D
-60B5A,-60A89,-608F2
-782CA,-78546,-78486
-60AB9,-609F2,-60900
-783F3,-7835F,-78303
-60B2F,-60903,-608FC
-784A1,-78346,-785D3
-609A2,-60A7B,-6099D
-7849D,-78326,-7865D
-608EE,-607B5,-60987
-7824C,-782B8,-78510
-609B8,-60B06,-6095C
-781F1,-78302,-78407
-607D3,-606E7,-60820
-78512,-783F1,-78518
-60898,-60867,-609D4
-7841C,-78388,-784E9
-60918,-6080A,-6072C
-78275,-78489,-78607
-60ADC,-608CA,-608CA
-78272,-78394,-78340
-608AE,-6087F,-60993
-7838C,-782F0,-784BD
-60A8A,-60866,-607BF
-78281,-78129,-7803B
-6083F,-608C2,-6091A
-782B4,-7839D,-7827C
-6078A,-60758,-607EF
-78319,-782CC,-780F8
-607B5,-606AA,-6065C
-781A7,-78052,-78117
-60787,-608A3,-607ED
-783B8,-78302,-78346
-607AF,-60793,-609D4
-782C2,-78271,-783D4
-6071D,-60818,-60868
-78368,-78286,-78451
-6086B,-606E9,-60774
-78093,-781FF,-7840F
-60927,-609AF,-6072F
-781FC,-78263,-782BA
-608E8,-6067D,-6078B
-78301,-783B4,-781D3
-60968,-60931,-6096A
