{'CALIB_RAW_DAC_START_I': 884736, 'CALIB_RAW_FILETYPE': 'CALIB_RAW_FILETYPE_LIMP', 'CALIB_RAW_DAC_A_INDEX': 6, 'CALIB_RAW_SERIAL': '20190606_02', 'CALIB_RAW_VERSION': '1.0'}
14DF36,14E01D,14E108
136673,136698,136657
14E1F8,14E249,14E16A
1366D2,136519,1364F6
14DF3F,14DD42,14DF34
1363EC,1365BF,1365C2
14DF7A,14E145,14DE25
1363D1,13669A,1363D7
14E098,14DD7A,14DDC7
1365A9,1364EB,136528
14DEC5,14DEEB,14DE48
136482,1363F8,1363DD
14DF63,14E060,14DDF0
13640E,136354,13645C
14DF0D,14DFFD,14DDEE
1364E9,13656C,1366A5
14DF67,14DFDB,14E00A
136396,136518,136572
14DF85,14E189,14DD9C
13633E,136430,13640C
14DECD,14DFEC,14E04E
1364AA,13656E,1362A1
14DEAF,14DF80,14DEFD
136653,136519,13657E
14DF65,14DF80,14E0AB
1367A3,136540,1363BA
14DFA7,14E0BA,14E154
13654C,13659A,1363F0
14DECF,14E0D3,14E005
136545,136565,1366E9
14E031,14DE18,14DFE1
1364D4,1365AE,1364EB
14DED7,14DF70,14E074
136637,1362D8,136305
14E093,14DE4D,14DCEE
136555,1365C1,1364A7
14E0A9,14E0B1,14DFCC
1365AD,13657A,13645A
14DF41,14DF37,14DF0C
136693,136571,13661D
14E028,14E100,14DF9E
1366E6,136389,1363D3
14DF00,14DE3E,14DF76
13661A,1364CE,1362CF
14DF92,14DED2,14DEE4
1364EC,1365D4,136315
14DE54,14DE7A,14DEBC
136211,136428,136430
14DE8C,14DECA,14DEEA
13656B,136411,13643A
14E0B5,14DF12,14DFF9
136311,13654D,136419
14E160,14DFC7,14DFC6
1364F1,13651C,13643C
14DF5E,14DE69,14DE7C
13640C,13677D,136389
14DDF3,14E111,14DFE5
1365A7,1363A5,136431
14DF83,14DE7D,14DF25
136287,136429,13653F
14DF3B,14DF1B,14DD8E
136497,1364D2,13637D
14E054,14DDDA,14DEBB
1364B5,136362,136223
14DE47,14DBAD,14DEAC
1363FA,1363CD,1362D7
14DDC5,14DDAB,14DED4
136339,1362A2,1363BE
14DE32,14DD80,14DC61
13635F,13616B,136387
14DC8C,14DE6D,14DCFB
13628E,1363F6,136247
14DDA3,14DD34,14DEC5
1362E3,13646D,1361E4
14DEE6,14DDB5,14DEC6
1364A0,13639C,13634E
14DCFB,14DE32,14DC66
1362CF,13636B,1362B5
14DD77,14DDAD,14DE23
136251,136452,136252
14DE7E,14DD84,14DDD1
1363F7,136314,136415
14DEEF,14DCF7,14DE81
1361E1,1363AB,1363AE
14DDBE,14DD3F,14DD39
136255,136340,136236
14DAE6,14DD29,14DD3E
1360F6,13619D,13627B
14DE0F,14DF7E,14DD6E
136438,1364D2,1361FB
14DDD5,14DD47,14DD47
136444,1361EC,1362EF
14DC93,14DCC5,14DDB1
1361EA,13627E,13625C
14DBE5,14DE0C,14DB3F
1361DE,1363BA,13610E
14DEFF,14DD9D,14DEBD
1363E1,1362D4,1364F1
14DE35,14DDF2,14DA9B
136409,13621E,1362FA
14D4B1,14D5C8,14D3C4
1366F6,1366D5,136705
14E216,14E192,14E049
13671D,136966,13692B
14DFB1,14E1A2,14DF9D
136538,13667C,136423
14DEF1,14E27A,14E076
13647A,13665F,1363C7
14DF00,14E020,14E0DF
136896,136670,1364F6
14DF0E,14E146,14E1BE
136685,1367F6,136705
14E11B,14E011,14E012
1366F9,136552,1364F5
14E23D,14DFAD,14E0E0
