{'CALIB_RAW_DAC_START_I': 327680, 'CALIB_RAW_FILETYPE': 'CALIB_RAW_FILETYPE_LIMP', 'CALIB_RAW_DAC_A_INDEX': 2, 'CALIB_RAW_SERIAL': '20190606_02', 'CALIB_RAW_VERSION': '1.0'}
9A44E,9A308,9A3FE
B1F04,B1E82,B1DB9
9A427,9A34C,9A265
B1E27,B1C8D,B1ECC
9A28C,9A3C0,9A390
B1D98,B1E36,B1EBD
9A2EF,9A1F1,9A29D
B1CCE,B1DE9,B1D43
9A1E4,9A32B,9A3A7
B1F1A,B1D83,B1F91
9A503,9A2EA,9A54A
B1E19,B1E96,B1D28
9A412,9A6F0,9A4B5
B1F8B,B1D91,B1E5C
9A3B8,9A563,9A528
B1EED,B1EF4,B1E6F
9A477,9A2CC,9A2DB
B1FA0,B1EDF,B1F17
9A2FD,9A37D,9A48F
B1E2F,B1DCA,B1D9B
9A356,9A2A2,9A23B
B1E84,B1E66,B1D23
9A4BA,9A550,9A43A
B1D17,B1C2F,B1DD7
9A200,9A326,9A3CB
B1D17,B1E00,B1C65
9A54A,9A3AD,9A344
B1E21,B1F8E,B1E29
9A5EB,9A164,9A3A0
B1E3D,B1D70,B1EE7
9A3ED,9A49D,9A49E
B1E34,B1E2D,B1F33
9A659,9A413,9A4D1
B1231,B1386,B13B3
9AAD5,9AABD,9ACA7
B233E,B2472,B236A
9ABA1,9A99F,9A877
B2441,B233E,B2402
9AA29,9AA66,9A998
B2539,B2371,B2538
9A9D1,9AA5B,9AB70
B24E5,B2560,B241F
9AB55,9AA53,9A8A6
B2417,B234E,B236F
9A8B2,9A9FE,9AAD1
B2510,B25C3,B2410
9A99F,9A86C,9AB04
B2406,B262B,B23DA
9AAD2,9AAE9,9AA5C
B2462,B24D7,B2547
9A8FB,9AAE3,9A86D
B24BC,B23AC,B2492
9A7CE,9AB71,9AA4C
B23E6,B2441,B25D7
9A954,9ABF3,9A9B3
B2419,B2508,B24BB
9AB03,9A9BE,9A9B0
B257C,B25EB,B2557
9AC0A,9AC16,9AB46
B26D6,B249E,B253E
9AB72,9AB21,9A9B3
B2577,B251F,B25F6
9AA89,9AB12,9AA57
B2488,B2422,B2640
9AB0C,9AB2D,9AA48
B248C,B25C6,B268D
9AAE8,9AA20,9A9A6
B2349,B25D8,B24C3
9AA25,9AB0F,9AA42
B24E9,B254D,B25E0
9AB51,9AAFF,9AA16
B24AA,B2606,B26B2
9AC89,9AADF,9ABB8
B26CF,B25EB,B2578
9AAE2,9A9CB,9AB0B
B27DE,B2660,B26C5
9ACED,9AD2A,9AB99
B248F,B2673,B27BF
9AB50,9AC09,9ABB2
B26CE,B2692,B257B
9ABBA,9AB07,9ABB6
B26FE,B27A7,B2853
9ABE8,9AD04,9AB98
B25F8,B27C2,B25EF
9AC4D,9AA8D,9AC64
B2553,B26D2,B26B0
9ABDB,9AC5E,9AD77
B274F,B258B,B2765
9AAE3,9AA22,9AB5F
B2745,B24AE,B264C
9AE29,9AB97,9AA25
B2700,B26D4,B2627
9AD56,9AB93,9AAD3
B2710,B2568,B26EC
9ABA3,9AD62,9AB26
B265A,B2572,B26FF
9ABAE,9AB8F,9ABE3
B268E,B27B6,B284F
9AB84,9AB98,9AC61
B274E,B2729,B2695
9AC17,9A9EB,9AA99
B25AF,B2707,B2611
9AD40,9ABD4,9ACFE
B2586,B267C,B253E
9ABA9,9AB6A,9AC5F
B27C8,B2740,B25D2
9ADE9,9AC81,9AC93
B26DF,B25A5,B270B
9ACD8,9AD25,9AD68
B26B9,B27FA,B2824
9AB42,9AC24,9ADF9
B2517,B27C7,B2514
9A908,9ACE3,9AA59
B271D,B276D,B27AD
9ACD6,9AD28,9ACEC
B2545,B266E,B25DC
9AA6C,9AAD9,9AB24
B2570,B25D9,B26AE
9ACC6,9AB81,9AAEC
B2531,B270E,B264F
9AD1C,9ACF4,9ADBA
B26CD,B2916,B27E6
9AE09,9ADD4,9AF4B
B26FB,B2665,B2552
9AF1C,9ADED,9ADBB
B2700,B27BB,B26FA
9ACE1,9AAAB,9AB5E
B2765,B27CA,B2789
9AD63,9ACD8,9AC0E
B265A,B2623,B266C
9AD87,9AC19,9ACE4
B25D3,B26F6,B2634
9AB8E,9ACF8,9AB6A
B27AF,B2689,B292E
9ABB9,9AE29,9AB72
B2798,B2514,B2750
9AC2E,9ABEF,9AA4E
B2609,B250B,B24BD
9ACB8,9AAC9,9AA1A
B25EA,B265A,B24EC
9ABEA,9AB59,9AB7B
B2462,B265D,B29AE
9AB65,9AC71,9AD8B
B251D,B26B7,B271F
9AA8C,9AABF,9ABAC
B262F,B2934,B2642
9ACD5,9ACB9,9AC9D
B27A6,B2639,B274C
9AF49,9AC47,9AB90
B2468,B27B2,B285E
9ABD7,9AD17,9AD6C
B2607,B265F,B2639
9AA2E,9ABB0,9ACDF
B255E,B2778,B274A
9ADE3,9ADF6,9AB15
B2572,B2525,B2721
9AD1D,9AC1D,9AA33
B2586,B2731,B26C4
9AEB9,9ACCD,9ACA0
B27DE,B2983,B28DA
9AD49,9AD23,9AC0C
B261D,B26A5,B2667
9A799,9A810,9A84F
B22E2,B2194,B229B
9A8AA,9A74E,9A9F9
B23DC,B24BA,B254B
9A768,9A9D5,9A9F7
B231E,B22A3,B2400
9A866,9A9A8,9A99E
B2382,B243D,B23F1
9A86A,9A9E0,9AC8D
B2506,B2566,B24B1
9AA8F,9A780,9AB54
B245C,B2505,B25FA
9A84A,9AA51,9A9A5
B24E8,B24CA,B2499
9A94A,9A917,9A9C0
B2759,B25F7,B2615
9AB16,9ACB3,9AA88
B252A,B22C6,B2422
9A9B1,9AA3B,9A9AE
B243C,B247A,B23F9
9AA0C,9AA02,9A898
B249E,B24E9,B2562
9A954,9A9E1,9A8E9
B2229,B24F8,B2603
9A89F,9A854,9A7AB
B22D8,B2310,B2466
9A918,9A9CF,9A9AE
B2763,B247C,B25F9
9A9E8,9AA73,9A983
B22AC,B242F,B2505
9AB33,9AA02,9A9EE
B2478,B231C,B239B
9A957,9AA5B,9AA16
B23BD,B2535,B2272
9AA66,9A8A2,9AA83
B22E0,B24E5,B23CF
9A898,9A957,9AACB
B23ED,B2350,B2530
9A8FE,9A898,9A997
B22CA,B259C,B2514
9AABA,9AA01,9AB58
B2423,B23C3,B23EA
9A8D2,9A92A,9A8DB
B2220,B23FA,B2473
9A86D,9AC84,9AB7C
B23C2,B23FF,B250D
9AA71,9AAE6,9ABBC
B2701,B2701,B2702
9AB60,9A9F6,9AC0C
B265C,B2524,B26DC
9ABB6,9AC38,9AB62
B2536,B22EA,B26BD
9AC73,9ABA6,9AC07
B2474,B25B7,B25FA
9ACBC,9AC8F,9AA83
B24F2,B27F9,B2622
9AB85,9AB36,9ACBE
B2660,B2552,B25E8
9ACF6,9ABF7,9AC18
B26FD,B2631,B2623
9AAFF,9AB31,9AB13
B2521,B26D8,B24F7
9AC14,9AB4A,9AB24
B2661,B26C3,B2581
9ABE2,9ABA2,9AB3F
B25E6,B2580,B2546
9ABBB,9AB27,9ACB6
B2651,B2679,B274F
9ACA3,9ABF7,9AC1E
B2617,B26E0,B2791
9ACDF,9ABAA,9AC73
B26C0,B2869,B25FE
9AEC5,9AD27,9AD96
B2689,B27DB,B25F8
9ADCE,9AD24,9AC7C
B28FE,B2860,B27E6
9ACCE,9ABFD,9AD78
B2683,B263F,B276B
9AD20,9ADF2,9AB72
B271A,B2A49,B28C2
9AE25,9ABD3,9AE7D
B28BD,B270A,B281D
9AB34,9ADE3,9AE91
B261D,B2731,B26D2
9ADA2,9ABEC,9ADEF
B2501,B2709,B271B
9AA22,9ABD4,9AD52
B28F2,B27CD,B28BB
9AD7C,9ABF9,9AC08
B2790,B26CC,B29A8
9AEFA,9AF68,9AE75
B2889,B2974,B2866
9AC67,9ACDF,9AD68
B2731,B2628,B280B
9ACC0,9AC7B,9AC38
B27DA,B272F,B278D
9AE38,9ADD0,9AAEB
B26B9,B25D2,B2631
9ACA6,9AD86,9ACFD
B2626,B2568,B273F
9ADDC,9AD26,9AD50
B26AA,B2581,B26EB
9AE70,9AE76,9AD5D
B2817,B29B8,B2869
9ADC4,9AE0D,9AFD7
B2C16,B29C6,B2965
9B042,9AD93,9AD78
B2837,B286E,B2ABF
9B003,9AEBC,9AEEC
B28E6,B26CC,B2A5B
9B10E,9AE49,9AD9C
B2AD4,B28BF,B2A61
