{'CALIB_RAW_DAC_START_I': 557056, 'CALIB_RAW_FILETYPE': 'CALIB_RAW_FILETYPE_LIMP', 'CALIB_RAW_DAC_A_INDEX': 0, 'CALIB_RAW_SERIAL': '20190606_02', 'CALIB_RAW_VERSION': '1.0'}
1ECBB,1EC74,1EC02
71B7,7127,7283
1ECCD,1EC06,1EB93
7133,7246,704C
1ECEB,1EBC0,1ED09
72BA,72DA,737B
1EB75,1EF54,1EC47
7364,73AC,728D
1EF49,1EE32,1EE8E
736D,730A,72D8
1EDD1,1EEF4,1EC5F
7428,72C1,737D
1EE50,1ED0E,1ECD8
7355,7392,728D
1EE6C,1EE27,1EDC4
7463,7368,721F
1EDD0,1ED79,1EFA1
7397,743A,71FE
1EEF7,1ECFB,1EDAA
74D2,72A6,737C
1EDF8,1EE62,1EDC6
720B,72CF,7402
1EEB9,1ED83,1EDB2
731C,7300,7479
1EC40,1EC34,1EECF
71B0,7273,7345
1EB59,1ECEB,1ED0D
7157,7236,72B2
1EF26,1EDB1,1ED51
73F3,7314,73D6
1EF95,1EE25,1ED48
7459,744C,76B1
1EE1A,1EDDF,1ED8C
7004,6FD7,710C
1EA9F,1EAE9,1EA31
714A,72C3,719A
1ECF3,1ECD7,1EC96
6F7F,70B8,7050
1ED18,1ECDF,1EB4C
7165,6F3D,71AA
1EB5D,1ED02,1ED01
7237,71ED,721A
1EC6A,1ECCF,1EEBE
727F,71D6,71C3
1EC1F,1EB68,1EC07
7124,712C,71F8
1EAD6,1ED08,1ECEE
71CC,6FF2,71C0
1ED87,1EDE5,1EC6C
71B9,7153,7260
1EB0D,1EF3B,1EBFF
71A9,72EB,72DE
1EC9F,1EE2C,1ECBF
7439,712D,71C2
1EBFD,1ED0F,1EC5A
7329,743E,7341
1EE1F,1F06D,1EE36
73A5,71C9,72B9
1EE1D,1EFF6,1ED82
7459,7450,7438
1ED64,1EE8A,1EFEF
75A3,72E5,742A
1F04E,1EFEA,1EEAD
757A,7446,744E
1EE2E,1EE45,1EFCE
7553,75C6,7543
1EF28,1EEFA,1EE7B
7606,7561,7464
1EEB1,1F06B,1F106
7530,7501,74D3
1EE93,1F15C,1EFD5
75CC,730A,7401
1EE3E,1EF2E,1F030
7581,7530,776C
1F014,1EEAB,1EEC4
7336,73E9,72AB
1EE25,1EE85,1F006
730E,741D,7547
1F094,1EE6E,1F0AA
766A,76D0,756F
1F2ED,1F194,1F128
7701,748B,76C2
1F0C3,1F14D,1F151
742F,7635,75A6
1EFED,1F0B4,1F103
7560,74A4,758C
1EEEA,1F269,1F06A
75EC,7633,771F
1F136,1F101,1EF08
755D,74D5,7579
1EDDF,1F04E,1EF95
767F,7675,7669
1F056,1F19B,1F093
750A,756E,77E4
1F104,1F1B4,1F0C5
77A4,7708,76DC
1DCA8,1DC3C,1DC41
699A,6BBC,6BA4
1E292,1E3F6,1E596
6C30,69CB,68A7
1E491,1E5B4,1E60A
69DF,69C6,6983
1E5D2,1E767,1E5EF
6A93,699E,6A87
1E500,1E4CE,1E3B3
69FE,68E0,6842
1E51E,1E4EB,1E3CD
6BA1,6A7A,6A88
1E4F5,1E5C0,1E57E
6C77,6CAA,6B6C
1E50A,1E644,1E59A
6E8F,6B53,69EB
1E627,1E703,1E6AA
6CFD,6C7F,6CBC
1E657,1E67B,1E67B
68D7,6AE1,6C0A
1E4F6,1E69D,1E800
6C71,6AD1,6C21
1E733,1E7A8,1E699
6DC6,6AA3,6C88
1E627,1E6DA,1E49D
6CBC,6CB0,6E37
1E779,1EA69,1E86C
6DBB,6D69,6DD7
1E6E9,1E7C2,1E5A3
6CC0,6E34,6E35
1E96D,1E6F3,1E79F
6F98,6FC0,6E2B
1E772,1E734,1E6F6
6F4A,6F85,6DE3
1E8DA,1EB3C,1E9FF
6F15,6E80,6FF5
1EA93,1E9E6,1E93B
6E97,703E,6FC2
1E9A4,1E977,1E99D
7063,6EF8,6E34
1EA6B,1E8C4,1E8B3
6F52,6DC9,7054
1E900,1E8EB,1E9E8
6FC6,6F1E,6EFE
1EAD9,1EB0A,1E90F
6DEE,6FAB,6F21
1E9DF,1EB43,1E9C5
6EFB,6FCF,6E62
1E921,1EAB0,1E920
6DC4,6DC9,6E84
1E939,1E9E4,1EAD7
6F1E,6EE1,7088
1E8A3,1E9EE,1EB4C
6F5B,6E73,7020
1E850,1EAF9,1E9A5
6E9F,6D95,6D67
1E899,1E8FA,1E932
7008,6E0C,6DD1
1E984,1EAB1,1E9BD
6F9B,7037,6DB8
1EA51,1EB63,1EA33
6FE6,6EBD,6F04
1E76F,1EB6B,1EAD3
6FC8,701E,6E5A
1E921,1E9AD,1E90C
6B76,6E7F,6CB5
1E83F,1E685,1E6A1
6C3C,6C3D,6ADE
1E8AD,1E7DB,1E6CC
6CB3,6CD9,6E55
1E6CB,1E5CC,1E77E
6CA2,6B2A,6B68
1E7B1,1E5A5,1E752
6C61,6C8D,6CE2
1E66B,1E7D3,1E66A
6ECA,6DF1,6C55
1E8DA,1E8E7,1E640
6E4B,6D78,6BEF
1E943,1E85D,1E6AC
6D53,6D6B,6DD3
1E8AB,1E7D7,1E8E8
6E59,6BCB,6C78
1E73F,1E5C0,1E7F4
6CDF,6DC3,6CEB
1E7DE,1E590,1E6C4
6E56,6E05,6BBE
1E85B,1E845,1E6BB
6DED,6DA5,6E43
1E93E,1E791,1E7DB
6E3F,6D11,6DB8
1E77C,1E975,1E990
6E3A,6E16,6E79
1E9AB,1E753,1E9C5
6D22,6EBA,6F6A
1E7DF,1E9D6,1E8C6
6E6B,6DB6,7032
1E873,1E8BE,1E79C
6F10,70A9,728B
1EBDE,1EB9B,1EB28
6E96,70DD,6F92
1EA45,1EA32,1E8B7
70C2,70AE,717A
