{'CALIB_RAW_DAC_START_I': 98304, 'CALIB_RAW_FILETYPE': 'CALIB_RAW_FILETYPE_LIMP', 'CALIB_RAW_DAC_A_INDEX': 2, 'CALIB_RAW_SERIAL': '20190606_02', 'CALIB_RAW_VERSION': '1.0'}
125B23,125973,125C6E
10E23F,10E122,10E19E
125A48,1258D9,1258A2
10E0D1,10E0EA,10DF41
125B6D,125AFE,125BD6
10E02B,10E0B6,10E04D
125B19,1259B6,125B53
10E06F,10E165,10DDD6
125B65,125A89,125B14
10E0F1,10E1A8,10E0D4
125CBA,125AA3,125B89
10E141,10DFFA,10E037
125C0B,125B42,125BFF
10E16C,10DFF8,10E2A1
1259CB,125CA4,1259EA
10E068,10DF81,10E08E
125C77,125A3A,125B5B
10E078,10E0CE,10E22C
125DF5,125C91,125AA7
10E005,10DECB,10DF6F
125B2C,125B8D,125C7E
10E177,10E0BD,10E12E
1259FC,1259E5,125B27
10E0C0,10E05A,10E1E6
125BF9,125CB5,125C85
10E1E7,10E2AB,10E024
125CA0,125B28,125CAB
10E281,10E1DA,10E2D8
12502B,1250EA,125073
10E8D6,10E804,10E80B
1261DB,126238,12623F
10E855,10E5B0,10E650
126282,1262DC,126384
10E775,10E659,10E847
1262A6,1261DC,126309
10E94F,10E7D4,10E798
126316,12637F,12625F
10E6E4,10E5AC,10E79B
126168,126025,12615A
10E614,10E721,10E7EA
126098,1260E4,12628F
10E6FA,10E8F8,10E8CC
1262A7,126244,126282
10E6C6,10E899,10E8B4
1264AE,126387,12658B
10E871,10E9EB,10E768
12632D,1262AB,126152
10E5AD,10E752,10E6F4
126363,1262E6,126338
10E728,10E6A7,10E7E0
12607C,1262FC,126252
10E957,10E781,10E880
1262E5,12636C,126446
10E7E8,10E8F7,10E8A1
12628D,1260E0,126449
10E98F,10E8CB,10E79A
12653B,126244,12614A
10E77A,10E6EF,10E823
126295,126230,126148
10E9CB,10E7D1,10E6E0
1263F4,1262BD,1263A7
10EA27,10E983,10E8D0
126280,1261AD,126384
10E804,10E837,10E82C
12637D,1261A6,12630D
10E8D9,10E7B9,10EB0C
12635A,126351,126307
10E961,10E852,10E7E6
12620C,1261AF,12646C
10E755,10EA2B,10E7E7
126449,126213,12645D
10E8F8,10E9C7,10E834
1261BC,126368,12640F
10E821,10EA02,10E7C3
126484,1262FD,1264C4
10E84F,10E9DB,10E9CF
1264ED,126258,12657B
10EA07,10E90E,10E8AA
126380,126328,126210
10EA60,10E92C,10E806
126404,12639A,12642E
10EA4E,10E948,10EAD1
126574,126683,12658F
10EABB,10EC64,10EACC
1264EF,1265BF,1264D3
10EBE6,10E97C,10EA4A
126358,126456,126443
10E95C,10EA40,10EA84
12653F,126470,1264DB
10EA0A,10E96C,10EAB3
1263FA,126331,12655E
10E9E9,10EB2A,10E9EA
126437,126713,126549
10E98A,10E995,10E9B2
126362,126369,1262B2
10E967,10E82D,10E904
12635E,126290,126298
10E710,10E7A6,10E81B
126345,1263F9,126494
10EACC,10E7B4,10E897
12631E,126566,12649A
10EA44,10E9DC,10EA0F
12626E,1263A8,12638A
10E8EC,10E9B0,10EA89
126516,126488,1264F1
10EA8C,10E7C5,10E926
12650E,1262BE,126430
10E97D,10EB1F,10EAD2
1264DD,126483,1264A0
10E896,10E8CE,10E7BF
126406,126250,12640E
10EAE7,10E9B9,10EA41
1264A1,12631F,126276
10E9C3,10EA9A,10EADE
126410,126490,126306
10E9B2,10E72E,10E982
126439,1264F2,126363
10EA4F,10E99B,10E9E1
12641A,12635D,12654A
10E895,10EAF3,10E9CC
12658E,1265D3,1264A9
10EBDF,10EC59,10EA5B
126474,12634B,12669D
10EC57,10E8BF,10EA48
126610,1266F7,12664B
10EB72,10EA50,10EC4E
1263C4,1265F3,12637F
10EB90,10EA95,10E902
12640B,12651F,1264D7
10E94C,10EA63,10E9F3
126541,1263C4,126451
10EA60,10E9F7,10EA60
126485,1264C4,12647B
10EACA,10EA61,10EA64
126493,12670C,1263D1
10EB08,10EB9D,10EAF0
1266EF,12684C,1266E2
10EB1A,10ECA9,10EC53
1264D4,1265A0,1265BE
10EC89,10EC20,10EA0A
12670A,1267E7,126743
