{'CALIB_RAW_DAC_START_I': 393216, 'CALIB_RAW_FILETYPE': 'CALIB_RAW_FILETYPE_LIMP', 'CALIB_RAW_DAC_A_INDEX': 6, 'CALIB_RAW_SERIAL': '20190606_02', 'CALIB_RAW_VERSION': '1.0'}
-7A42B,-7A508,-7A65F
-91F8B,-91F9C,-91FE2
-7A7C7,-7A7AD,-7A6DC
-921EC,-92029,-921D5
-7A560,-7A69D,-7A66F
-92167,-91F10,-92070
-7A6BE,-7A5AC,-7A4F0
-9206B,-92189,-9225E
-7A5AA,-7A65A,-7A75E
-920EC,-92218,-92182
-7A7D4,-7A616,-7A6F6
-92045,-92127,-920C2
-7A73C,-7A7FD,-7A6E4
-91F4A,-921AF,-9209A
-7A7D1,-7A727,-7A6F0
-922A9,-921C7,-92032
-7A634,-7A662,-7A5E7
-92297,-92283,-9222B
-7A753,-7A9AD,-7A806
-9226F,-921BB,-91F40
-7A837,-7A80F,-7A694
-92000,-921FF,-920B1
-7A7B6,-7A79F,-7A52C
-92067,-91FC1,-921F4
-7A6BD,-7A62C,-7A723
-920C7,-91E90,-91F69
-7A617,-7A768,-7A766
-921B7,-91F8E,-9223F
-7A7FE,-7A696,-7A823
-92213,-92360,-92114
-7A771,-7A773,-7A7F9
-921DA,-92062,-921FC
-7A5F7,-7A8BD,-7A7E5
-92151,-9210C,-92297
-7A76E,-7A84E,-7A95E
-9239A,-92280,-92416
-7A917,-7A7CA,-7A6C8
-92167,-9233B,-92279
-7A94D,-7A80C,-7A804
-9227B,-9213E,-922E9
-7A75A,-7A6ED,-7A751
-91EF4,-92040,-922DA
-7A757,-7A62F,-7A614
-92212,-92052,-92058
-7A89F,-7A76D,-7A5FB
-921BB,-92172,-9225D
-7A8FB,-7A756,-7A59D
-92346,-9213A,-921C9
-7A75A,-7A5D5,-7A5CD
-92223,-924B4,-92262
-7A619,-7A891,-7A6EF
-922DB,-9237A,-922F0
-7A844,-7A761,-7A83E
-922C7,-9224A,-923AE
-7A68C,-7A6E5,-7A604
-9212A,-922C7,-922A9
-7A859,-7A807,-7A7FC
-92250,-923DB,-92384
-7AA00,-7A817,-7A969
-9232B,-9250B,-9241E
-7A819,-7A729,-7A896
-92111,-9224C,-92439
-7A863,-7A986,-7A976
-923E1,-92268,-924AD
-7A8C5,-7A803,-7A894
-9238A,-92442,-923AB
-7AAF9,-7A703,-7A815
-923C9,-92469,-92310
-7A8A5,-7A8B1,-7A7F4
-922E7,-923E8,-92308
-7AAC7,-7AACE,-7A96A
-92447,-92306,-92204
-7A83C,-7A894,-7A95E
-9237E,-92162,-920B1
-7A9F8,-7A91A,-7A97C
-922CE,-922FE,-922B5
-7A75F,-7A8B7,-7A822
-921CF,-92295,-9233F
-7A748,-7A7BD,-7A7FB
-923BD,-92227,-92342
-7A90D,-7A6EA,-7A94B
-92316,-923EC,-92346
-7AA15,-7A910,-7A969
-9226F,-92370,-9224B
-7A7C1,-7A6DC,-7A854
-920B6,-92319,-922BC
-7A999,-7A906,-7A99A
-92554,-92360,-9238F
-7A8A5,-7A85C,-7A816
-922F5,-92276,-923FD
-7AA10,-7A853,-7A922
-92214,-92496,-921F1
-7A826,-7A738,-7AAAC
-923A8,-923F9,-92218
-7A92E,-7A81B,-7AA7E
-92440,-922A5,-922EA
-7AA0A,-7A88C,-7A81E
-92514,-9256C,-92549
-7A8C4,-7A899,-7A8D7
-9242B,-9253E,-92447
-7A999,-7A88F,-7A938
-9227F,-9247D,-92596
-7AAE2,-7AA6A,-7AA0A
-92325,-92420,-92481
-7A8CC,-7A98C,-7A99C
-922D9,-921DD,-92201
-7A8D7,-7A911,-7AAC2
-926C3,-925A6,-923FA
-7A9F4,-7AAC9,-7A99B
-92517,-924D9,-924BF
-7AAC8,-7AC42,-7AA4D
-923C9,-9240C,-9250F
-7A967,-7A9FC,-7A91B
-9246D,-92533,-923D7
-7AA95,-7AB51,-7A98E
-9228C,-92611,-9257D
-7AAEF,-7ABB2,-7AB31
-9255D,-9246D,-924E0
-7AAC0,-7AB47,-7AA4B
-922DE,-924FE,-92316
-7A84E,-7A983,-7A843
-92650,-92474,-92329
-7A99C,-7A988,-7A72E
-92307,-922F5,-9240D
-7A86C,-7A7E3,-7A879
-923C7,-9213C,-922C5
-7A94D,-7A9AF,-7ABB2
-923DD,-9236E,-92458
-7B43B,-7B3C0,-7B357
-91F74,-92059,-91F81
-7A769,-7A64A,-7A48A
-9215E,-92059,-92120
-7A785,-7A634,-7A724
-920EC,-91FE8,-9223C
-7A5BA,-7A521,-7A657
-92087,-91FB7,-92150
-7A58E,-7A5AD,-7A562
-920A8,-921B2,-92210
-7A5E9,-7A5DE,-7A648
-92275,-92205,-9219E
-7A611,-7A64C,-7A8A0
-92160,-92016,-92172
-7A89B,-7A697,-7A67F
-9201C,-92278,-91F14
-7A58F,-7A45E,-7A55A
-921E9,-922F5,-9209E
-7A807,-7A8F4,-7A6E9
-92190,-9223A,-92219
-7A63C,-7A7A2,-7A82B
-92075,-9203C,-921E0
-7A72C,-7A6F3,-7A674
-920A0,-920EF,-920F0
-7A570,-7A47D,-7A584
-91F4B,-9206C,-91E73
-7A5A1,-7A45D,-7A570
-920A2,-91FE1,-91F97
-7A3E4,-7A463,-7A64B
-92178,-9209A,-920D8
-7A3C3,-7A56D,-7A700
-920B2,-92176,-920F4
