{'CALIB_RAW_DAC_START_I': 163840, 'CALIB_RAW_FILETYPE': 'CALIB_RAW_FILETYPE_LIMP', 'CALIB_RAW_DAC_A_INDEX': 4, 'CALIB_RAW_SERIAL': '20190606_02', 'CALIB_RAW_VERSION': '1.0'}
-163430,-1634BD,-163526
-17AE77,-17AD30,-17AF47
-163325,-163430,-1634B1
-17AF56,-17AD4E,-17AE79
-163562,-163526,-1634B1
-17AFC0,-17AF2A,-17AE94
-163594,-1633CC,-163577
-17AE70,-17AEA6,-17AF0E
-163600,-1637E3,-16379C
-17B02D,-17B1E3,-17AFEC
-1634E3,-1634DD,-163542
-17AE35,-17AD48,-17AD45
-16342F,-163298,-163223
-17ABC7,-17AD18,-17AE30
-1631F7,-16334C,-1632CB
-17AEEB,-17AF35,-17AEEC
-1634C5,-1634B0,-163318
-17AD6B,-17AF9E,-17AEA4
-163562,-1634EC,-16360B
-17ADCE,-17AD73,-17AE96
-1636DF,-1634C5,-1634A9
-17AEB7,-17AF9A,-17AE13
-1633D1,-163526,-1634D2
-17AF1D,-17AED2,-17AD38
-163449,-163351,-163404
-17AEDC,-17AF58,-17B03E
-163431,-1635C8,-16341F
-17AD73,-17AEE3,-17ADAC
-163594,-163663,-163430
-17B053,-17AFF2,-17AF52
-16357F,-16340C,-163645
-17AFA3,-17AEE5,-17B044
-1634A0,-1635FC,-1634B5
-17B02D,-17B091,-17AF11
-163613,-16340C,-163393
-17B0C6,-17B05D,-17B06D
-163662,-16340F,-16357D
-17B114,-17AE96,-17B05B
-1634BC,-1635C7,-16350D
-17B121,-17AEB2,-17AFCB
-163704,-1636A5,-163648
-17AEA7,-17B15B,-17AE06
-16347C,-163657,-1636F1
-17B25F,-17B351,-17B235
-1638C0,-16382E,-1637E1
-17B0C9,-17B36F,-17B158
-16387E,-163718,-1637EE
-17B18E,-17B36B,-17B4A7
-163992,-16390C,-1639A9
-17B2C7,-17B207,-17B2E9
-163932,-1638CD,-163934
-17B43C,-17B3B1,-17B326
-1639DE,-163A58,-16381D
-17B38B,-17B1FE,-17B32F
-163877,-1638F9,-163936
-17B18E,-17B341,-17B347
-16381A,-16397B,-163936
-17B47D,-17B29A,-17B3E0
-163A64,-1637EC,-16387B
-17B2B4,-17B2C0,-17B2EE
-1638A8,-163851,-16384A
-17B134,-17B420,-17B2A2
-163959,-163AB2,-163783
-17B62A,-17B424,-17B357
-163A30,-163A8F,-16381E
-17B404,-17B3BB,-17B4C2
-163956,-163A95,-163923
-17B264,-17B444,-17B56C
-163AF0,-163AEA,-163AD3
-17B23B,-17B50A,-17B527
-163977,-163A6D,-16380B
-17B290,-17B31B,-17B26B
-163A37,-16385F,-163A25
-17B4BB,-17B475,-17B4E3
-163901,-16395C,-163994
-17B129,-17B23F,-17B10A
-163833,-1637D7,-16389C
-17B0AB,-17B14E,-17B0D7
-163844,-163725,-1638AE
-17B159,-17B2EB,-17B219
-16389B,-163900,-163826
-17B282,-17B394,-17B26D
-163979,-1637B7,-163923
-17B1FB,-17B2FF,-17B210
-163A89,-163934,-16394B
-17B3D6,-17B444,-17B43C
-1637BC,-163859,-163931
-17B3CB,-17B4B8,-17B40F
-1639BA,-163918,-1637D7
-17B1EA,-17B3B0,-17B309
-163757,-1637E2,-163890
-17B18B,-17B366,-17B2BE
-163829,-1638BE,-1639AA
-17B3CC,-17B372,-17B16B
-163949,-163752,-163A68
-17B366,-17B217,-17B31E
-163A23,-163915,-16361E
-17B3DE,-17B489,-17B2C7
-163892,-163910,-163921
-17B44D,-17B385,-17B4BF
-163947,-163812,-163948
-17B4A0,-17B33E,-17B4B2
-1638A1,-1638E9,-163998
-17B535,-17B510,-17B427
-16387A,-163B14,-163960
-17B3E0,-17B4F3,-17B32F
-163F4B,-163E4A,-163F6A
-17AFD5,-17B055,-17B004
-163562,-1633BA,-163621
-17AF86,-17AF2A,-17AF48
-163636,-16352A,-163340
-17B05F,-17AFB5,-17ADC7
-1633FE,-1634A0,-163554
-17ADD2,-17AE54,-17B150
-163484,-163621,-163643
-17AF3D,-17AFC4,-17ADFF
-16364D,-16347A,-163515
-17AF2C,-17B01D,-17AE7B
-163424,-1633F3,-163446
-17B04C,-17ADF4,-17AFAD
-1634F7,-1635D5,-1635B9
-17B0BC,-17B143,-17B04F
-1634CD,-1633F2,-163523
-17B090,-17AEE9,-17B06B
-1634BB,-163639,-163513
-17AFFF,-17AEA2,-17B077
-163551,-1636A4,-163613
-17AFF5,-17AF9A,-17B1DB
-1637B3,-16374A,-1635DA
-17AEA4,-17B2A2,-17AE7B
-1634A6,-16367E,-163680
-17B060,-17B159,-17B24C
-1637C5,-1638E5,-1636C9
-17AF5C,-17B060,-17B0E0
-163768,-1634A9,-16360A
-17B0C8,-17B18A,-17B09C
-1638EC,-1636C5,-16369C
-17B01B,-17B0E7,-17B0FE
-163540,-163832,-163633
-17ACFB,-17AF28,-17ADE2
-16336E,-1632B8,-1632F9
-17AE0B,-17AFA3,-17B11E
-163488,-1633BA,-163571
-17AFF1,-17AEC1,-17AFAF
-1635C4,-1635A9,-1635E8
-17AF28,-17B076,-17B0AC
-1634BD,-16352A,-163516
-17AF1A,-17AEB5,-17AF43
-163547,-1634A3,-163625
-17B044,-17AFDE,-17B033
-163691,-16366C,-16365E
-17B017,-17AFCE,-17B10B
-1635DE,-1636F2,-1636D1
-17AFFC,-17AFDD,-17B185
-163758,-163697,-16374A
-17B0A6,-17B2A5,-17B144
-1637F8,-1637BF,-16367A
-17B193,-17B19E,-17B177
-163708,-1636F9,-1637C5
-17B24B,-17B185,-17B024
-1637FE,-16371F,-16384D
-17B084,-17B0BA,-17B0BA
-163660,-1636BE,-163785
-17B088,-17B29A,-17B14B
-163740,-1637AE,-163765
-17AFC6,-17B28C,-17B212
-1636DA,-163680,-16360F
-17B2C0,-17B1E0,-17B330
-16374D,-1636A2,-16378D
-17B27C,-17B14B,-17B08E
-1635C9,-163544,-163522
-17B2BB,-17B1FD,-17B38B
-163B82,-163A2C,-163A73
-17B40F,-17B4DE,-17B389
-163941,-163995,-1639F9
-17B3F8,-17B618,-17B438
-163BC3,-16398E,-163C23
-17B48C,-17B561,-17B45B
-163B57,-163A32,-163A58
-17B377,-17B47A,-17B437
-1639EA,-1639D7,-163BD8
-17B611,-17B42D,-17B550
-163B5B,-163B52,-163BE4
-17B541,-17B543,-17B694
-163AA1,-163ADF,-163ABB
-17B543,-17B5E9,-17B565
-163B00,-163871,-163A7C
-17B3FA,-17B718,-17B6FD
-163CF9,-163A58,-163CF4
-17B66B,-17B620,-17B751
-163C43,-163D78,-163DA9
-17B5D0,-17B732,-17B733
-163BA9,-163EA8,-163C2F
-17B61D,-17B6D5,-17B64C
-163B89,-163BEC,-163B4A
-17B672,-17B66A,-17B6F8
-163D17,-163B33,-163B60
-17B563,-17B6CC,-17B500
-163E6F,-163D49,-163B38
-17B824,-17B7F4,-17B6E3
-163D22,-163DCB,-163C3F
-17B72D,-17B5E7,-17B68A
-163D4B,-163C6E,-163B46
-17B447,-17B6D0,-17B697
-163B8E,-163B5E,-163D2E
-17B2E1,-17B439,-17B575
-163BE8,-163B0C,-163AAF
-17B49C,-17B439,-17B5BA
-163C25,-163A90,-163E6B
-17B50E,-17B6EC,-17B5AB
-163A7D,-163A55,-163A75
-17B444,-17B4DD,-17B5FC
-163B11,-163AFC,-163BEE
-17B622,-17B600,-17B7EE
-163BF5,-1639FE,-163AC9
-17B606,-17B8D0,-17B768
-163D3C,-163D0F,-163A3E
-17B62C,-17B5E7,-17B4CE
-163A49,-163BB2,-163A80
-17B6AE,-17B6B9,-17B75D
-163DC1,-163D0C,-163C89
-17B8E5,-17B4A4,-17B6D4
-163B9D,-163CE9,-163D33
-17B5A0,-17B894,-17B54F
-163B2E,-163CBD,-163BAA
-17B66F,-17B6BE,-17B57B
