{'CALIB_RAW_DAC_START_I': 753664, 'CALIB_RAW_FILETYPE': 'CALIB_RAW_FILETYPE_LIMP', 'CALIB_RAW_DAC_A_INDEX': 4, 'CALIB_RAW_SERIAL': '20190606_02', 'CALIB_RAW_VERSION': '1.0'}
11BB6A,11BBBA,11BA5C
133661,13389B,133724
11BD5D,11BBCB,11BC04
1336E5,133605,133739
11BBB5,11BAB2,11B9AA
1335BB,1336B3,1337FC
11BAEE,11B98E,11BB37
133496,13358F,13355B
11B8FC,11B9DC,11BB94
13369B,133358,133549
11BA7F,11BAA5,11BA23
1332F3,133574,133363
11BAC9,11B8BF,11B89A
13337D,1334EB,1335AA
11BA71,11BAF1,11B989
133308,133558,1333F4
11BA98,11B8DC,11BAE1
1333BE,13338B,13313E
11BA10,11BA30,11B7FB
133475,13346C,133315
11B800,11B7F4,11B8E6
1334E1,1333DD,1333D9
11BAB0,11B8B9,11B8C8
133272,13332F,133393
11BA2A,11B839,11B74E
1332E1,133546,1335F3
11BB16,11BC78,11BB67
133349,1334E9,13340D
11BC4E,11BB52,11BC03
133770,133775,13353E
11BB85,11BBA5,11BBF1
133520,1335C1,1335FC
11BA91,11BBAE,11BB84
1335E2,133671,1335CB
11BAE5,11BAB5,11B9B4
133663,133527,1334B7
11BAB3,11BBB8,11BA35
133446,13329F,13351C
11BC15,11B9A5,11BB62
13354E,13360E,1334D7
11B989,11B96A,11BC96
1334EC,133570,133578
11BA80,11BA55,11B9F0
1334EB,133540,133484
11B8B0,11B99F,11B9A9
1334A0,1333BF,133421
11BBEA,11B9B4,11BBE8
13341F,13365C,133599
11BA94,11BA7F,11BBE3
13349F,1334D9,1334C0
11BA4D,11B8AA,11BC1E
1333DF,1334B7,133397
11B7AB,11B6FA,11B990
13332C,133385,1333AB
11B82F,11B910,11B850
133156,13306F,133016
11BA04,11B728,11B875
132DF7,132F8C,132F3A
11C0EB,11BF86,11C0B3
133823,133933,1337AB
11BD46,11BDDF,11BF32
1338D1,133736,1336B4
11BD50,11BCDA,11BD83
1338A0,133894,1339D7
11BDB4,11BD53,11BDD8
1337D9,13378E,133755
11BE33,11BB87,11BC07
133739,133736,13390B
11BD2F,11BF9F,11BE0C
1337F3,13376C,133895
11BCE8,11BEE6,11BCE3
13385C,13381A,13367C
11BB58,11BC75,11BD2D
1338E1,13384C,1339D9
11BE01,11BBAB,11BE13
133993,133827,1337EA
11BDF5,11BF34,11BD75
13376E,133821,133800
11BC1A,11BC86,11BD4A
133675,133571,1337C9
11BD58,11BD37,11BD1D
13371F,1337D9,13390B
11BE5E,11BE1B,11BBEA
1337BD,13382F,13372C
11BD06,11BAFD,11BC21
13362C,133656,133682
11BDCD,11BA77,11BB60
13345B,13359B,1335F3
11BD87,11BCAF,11BAE6
1336A1,1337A6,133489
11BDC4,11BDF4,11C0C5
13394B,133887,133899
11BE5F,11BCCD,11BD77
13372D,13390D,13377C
11BB94,11BF40,11BE41
1338B8,13366C,133586
11BD9E,11BD43,11BD74
1336D2,1335DF,133831
11BDFA,11BC63,11BC43
1335B7,1336DB,13368D
11BDDE,11BE01,11BD4E
13370A,1336F2,133816
11BBF0,11BD0A,11BD66
1335C1,1336C9,133927
11BDA0,11BD1A,11BC93
13365B,1336E4,13372B
11BD82,11BBAC,11BE7D
133651,1337B5,1336E4
11BB3B,11BAAF,11BB4F
133672,133557,13365F
11BCD6,11BC71,11BDB3
133766,133530,1336CA
11BCAD,11BC19,11BD19
1337BD,1335E3,133917
11BAEB,11BA51,11BC48
133799,1336F4,1336BC
11BC1E,11BC16,11BE39
13376A,133791,13375E
11BA9A,11BB16,11BB9F
1334C4,13367A,1335C5
11BB9A,11BB34,11BC81
133746,13370D,1336FA
11B7A8,11B85F,11B8D7
1332AF,1333E5,133323
11B712,11B6DA,11B84B
1332E2,133231,13325C
11B7CD,11B796,11BA34
1333CA,1332C3,13337A
11B85E,11BA51,11B6B2
1332B8,133221,13325C
11B807,11B93E,11B6E7
133324,1331C5,1331F5
11B76E,11B627,11B6D6
132FDD,133349,1331C5
11B85C,11B8A4,11B8B6
133036,13325B,1331AC
11B847,11B687,11B702
13335B,13336B,133316
11B8C5,11B83C,11B827
1330FF,13350C,133184
11BA1A,11B8FF,11B91C
133318,1331BB,133333
11B64A,11B781,11B764
1331CC,1332CC,133276
11B5D6,11B779,11B642
13327C,132F63,133198
11B645,11B6D2,11B731
1331E3,13309B,1330D0
11B896,11B7B5,11B5C4
132F06,13311A,1330A2
11B56B,11B683,11B6AF
132FF8,133047,133098
11B6F3,11B645,11B626
132EF8,13313C,13311B
11B97E,11B915,11B8B2
13323F,13331B,13338D
11B78F,11B826,11B88C
13326E,1333CC,1333B2
11B888,11B8C1,11BAC9
1330BB,1331C8,1332CB
11BA22,11B8C0,11B813
1333B8,13345F,133239
11B901,11B6D7,11B7FC
1332B3,1331FE,133263
11B822,11B7E2,11B8F7
13314E,133275,133271
11B78E,11B638,11B897
13321A,13312F,13335F
11B787,11B5D1,11B587
133120,1331FC,1330E3
11B661,11B749,11B973
133130,133042,133208
11B6C9,11B7EE,11B788
1330A9,133233,1331C0
11B7E0,11B6CB,11B79A
1332CD,1332BE,132EC1
11B7E7,11B614,11B5DE
133136,1331E7,133189
11B4C2,11B6DE,11B627
1330AB,13302B,133121
11B6C4,11B70D,11B560
132FB8,133012,132FE1
11B5DD,11B42E,11B677
1330AA,13303D,132DCD
11B5D4,11B677,11B649
133D5F,133D21,133D72
11CA91,11C924,11C876
1342BB,13431D,134244
11C7F7,11C982,11C7CA
134347,1343DF,1342C4
11C98B,11C6DE,11C8C2
13421D,134269,134131
11C780,11C8DA,11C9F4
13407F,134388,134274
11C98E,11C8C6,11C974
1340E4,134215,13425C
11C89C,11C767,11C8B3
1340F8,134167,134022
11C627,11C7A6,11C7DB
134053,133F9D,1340FF
11C714,11C649,11C6B2
1340F2,1342F1,1340EB
11C7CC,11C7CB,11C605
13413C,1341DF,134060
11C76F,11C5D5,11C63F
134230,134192,13422E
11C7EA,11C819,11C665
134127,134015,133FAE
11C6D8,11C5FF,11C5F4
134218,134291,1341F9
11C6F3,11C573,11C778
134108,133F37,13411F
11C706,11C6C7,11C702
1340E3,134146,134212
11C627,11C647,11C74D
133F98,133EFE,133F1F
11C670,11C52F,11C566
1341C5,133FD7,13406A
11C877,11C8C8,11C90B
133F8F,134102,1341FF
11C7EF,11C7FD,11C83A
1342E8,1341FA,1340F8
11C83E,11C72F,11C849
1342BA,134182,134176
11C6B6,11C8D0,11C7BC
134027,13420B,13403F
11C88F,11C783,11C64B
133F7F,1340DE,13424D
11C564,11C54D,11C6A6
1341BA,134297,1341BD
11C4AF,11C731,11C8DE
133FD5,1340D2,13417C
11C5F1,11C842,11C417
134153,1340D7,1340F5
11C6F1,11C597,11C6B8
134022,1340C9,1342CD
11C62F,11C5E5,11C6C9
133F52,1340B0,134189
11C566,11C61F,11C547
134060,134164,133E68
11C652,11C52D,11C5DB
133FFA,133F3A,13413C
11C7DA,11C6DF,11C718
1341F2,13404E,134076
11C610,11C4EB,11C41B
133F4F,133FC0,133F16
11C669,11C595,11C71C
13413A,133FE3,133F26
11C668,11C5F4,11C44B
133F02,133DA8,133D3A
11C31D,11C11C,11C24B
133D38,133B4C,133AE5
11C1A0,11C127,11C1D9
133BB0,133D42,133C37
11C11E,11C25E,11C0CA
133C02,133B0F,1339BC
11C1E5,11C1A0,11C1E5
133DFD,133C76,133C75
11C235,11BFCF,11C075
133AD5,133C88,133BC7
11C10A,11C1B5,11BF08
133A14,133A85,13398B
11C046,11C0B9,11C0B4
133ACE,133AE8,133B06
11C022,11BFFE,11C048
133B90,133CB9,133C85
11C218,11C163,11C17C
133BA2,133B56,133B79
11BFD4,11C02D,11C0A8
133AF7,1339CD,13397E
11C0C6,11C061,11BF63
133A4C,1339D7,133A4E
11BEDA,11BF34,11C103
133B56,133B23,133B87
11BED6,11C171,11BF40
13397D,133A34,133943
11C1E9,11C04E,11C03F
133A6B,133B6D,133CE8
11C023,11C0A7,11C0DD
13386A,133AE0,133B7B
11C0A0,11C04C,11C16A
133899,133A9B,133B6E
11C3D2,11C13D,11C33A
133BA8,133D15,133CBE
11C08D,11C1AF,11BF91
133CBD,133C90,133C4B
11C209,11C109,11C276
133B0D,133B81,133B8F
11C33F,11C23B,11C2D8
133A6F,1339F1,133A25
11C246,11C04B,11C287
133A7A,133B1D,133C1F
11C18B,11C13D,11C0B0
133BC4,133AEE,133B8D
11C023,11BF3F,11C0C2
133B11,133C2D,133C87
11C172,11BFF7,11C0BD
133BC0,133B46,133B2F
11BFA1,11C0D8,11C10B
133B22,133ADC,133B26
11C02F,11C020,11C17C
133B89,133B0A,133B9B
11BEA4,11C08D,11C031
133AD7,133B10,133BEA
11C1B7,11BFC0,11BFCA
133B70,133B85,133BCC
11BE63,11BF47,11BF70
133AE5,133A14,133989
11C1E7,11C000,11C0D8
133C4E,1339D3,133C0E
11BF05,11C026,11BF54
13391B,133B15,133953
11BF6A,11C05D,11C1D7
1335CF,13361C,133700
11C576,11C6E2,11C505
133EA2,134059,134032
11C63F,11C62F,11C4C8
13410A,13409B,133F64
11C589,11C469,11C4F9
133E77,133E9E,13400D
11C77F,11C3DD,11C3D0
133FE8,133ED8,133F55
11C39E,11C3E3,11C3BA
133EF7,134029,134019
11C393,11C46D,11C6F7
133F91,133F6D,133FC1
11C6C2,11C4AE,11C4EA
1340AF,133F4B,133E1A
11C572,11C59D,11C50C
133E51,134091,13406A
11C5B1,11C4B3,11C5AE
133CFE,133D11,133D7B
11C30A,11C331,11C47D
133F70,134091,133F7E
11C53E,11C421,11C518
133EF4,133DB8,1340C4
11C2DB,11C574,11C259
1340C3,134089,133DA5
11C56B,11C44F,11C46E
133D84,13407B,133F55
11C318,11C55A,11C265
133E4E,133E41,133D47
11C3DB,11C4CA,11C557
133E25,133DA4,133CE3
11C4DE,11C38E,11C2EF
133C8F,133F0F,133CCA
11C413,11C515,11C60D
133FDE,133FBD,133EDE
11C473,11C551,11C57D
134080,134173,133E92
11C554,11C3C9,11C300
133D23,133C12,133DC1
11C463,11C26D,11C46D
133DF9,133D1C,133E51
11C368,11C360,11C452
133C0C,133D1B,133D11
11C4E4,11C53E,11C4B2
133F4F,133F77,133E4E
11C44D,11C471,11C420
133EA9,133DEE,133C30
11C2DF,11C4BB,11C366
133D98,133E82,133E58
11C48D,11C455,11C361
133E3D,133DA3,133E48
11C342,11C3DB,11C510
133CD8,133D79,133E96
11C35D,11C310,11C39B
133CEA,133BFE,133CE2
11C2FD,11C178,11C28D
133C65,133CE9,133C5D
11C3CB,11C3D8,11C23E
133DF9,133C12,133D2E
11C2C6,11C306,11C1F6
133F0F,133DD6,133E60
11C31F,11C18D,11C19E
133CF5,133BBC,133C7E
11C368,11BF3B,11BFA8
133E0D,133B92,133CF8
11C176,11C2FB,11C01B
1339A0,133862,133CB5
11BFCF,11C164,11C0A2
133A1B,133AE6,133A79
11C0D5,11BF34,11C02C
133BA2,133A34,133C0F
11C06B,11BFB2,11C13B
133D8F,133CB7,133BA7
11C08F,11C147,11C0CD
13396E,133965,133A1A
11BF38,11C0B5,11BF00
133B40,133C23,133BA0
11BF35,11BDAB,11BF5A
1338D4,1337D6,133A75
11BD58,11BE39,11BFB4
133BB6,133A87,133A33
11BDC8,11BF22,11BF87
1337F2,1339A3,1338BC
11BF90,11C032,11BFFA
133AC3,1338FD,1338E0
11BDA7,11BF4B,11BFDC
