{'CALIB_RAW_DAC_START_I': 262144, 'CALIB_RAW_FILETYPE': 'CALIB_RAW_FILETYPE_LIMP', 'CALIB_RAW_DAC_A_INDEX': 0, 'CALIB_RAW_SERIAL': '20190606_02', 'CALIB_RAW_VERSION': '1.0'}
CFED4,CFF8C,CFDE0
B8525,B863D,B83AD
CFE38,CFF13,D00E1
B84AC,B8564,B8450
CFD53,CFC4D,CFD44
B838A,B84F1,B83C3
CFF36,CFFDF,D0023
B8832,B8500,B85E6
CFF5B,D0025,CFED4
B847D,B864F,B8497
D00C9,CFF7E,D00AB
B8779,B8847,B863B
D0135,D0286,D016F
B864E,B86B0,B8730
D00AA,D02B1,CFFCE
B85DF,B8555,B8743
D015F,D028D,D022C
B86B0,B8466,B8691
D01C6,D00B2,D0356
B8690,B8819,B881F
D0064,D00CD,D0001
B8548,B8745,B87F0
D024A,D03A6,D0217
B8744,B8639,B8796
D0085,D0191,D025E
B8913,B86E7,B872A
D0178,D0001,D0027
B875B,B8806,B8726
D00D9,D0236,D0190
B869A,B8748,B872A
D0284,D0368,D044A
B8847,B8714,B891C
D01EE,D01BF,D010F
B87ED,B87C6,B879C
D008C,D020C,D02B3
B8805,B8633,B867A
D0232,D037A,D0268
B895E,B87AD,B88EB
D038D,D02C3,D0298
B83B1,B845A,B83F1
CFF08,CFF75,CFD85
B84F2,B82BA,B81EE
CFD9C,CFFA5,CFFF6
B839A,B8448,B8473
CFEA7,CFCBE,CFF5E
B83DE,B8400,B85DD
D000E,CFDE1,D002C
B8591,B8505,B863B
CFE0E,CFE97,CFEBC
B8585,B861D,B83FE
CFF7F,CFEB5,CFFF0
B86D4,B83FE,B859A
CFE82,CFFF0,CFE85
B8642,B84DA,B849D
D00EA,D003F,D0043
B867F,B86B9,B8623
CFE67,CFF99,D002C
B86EC,B85FD,B8411
CFF9B,D009B,CFE82
B86D4,B8595,B852D
CFD48,D005A,D0073
B8652,B857C,B85CF
D0018,CFF7D,D00A7
B8566,B85D5,B8339
CFF8B,D00D3,D00D0
B8645,B8656,B86BC
D0307,D00D4,D021D
B870F,B888A,B8869
CFEA1,D016A,D0291
B86A8,B87FE,B87D3
D0233,D03E5,D00BC
B87E3,B893B,B881D
D02D8,D0398,D029B
B8809,B86E2,B887E
D024B,D022C,D04D0
B893D,B8746,B8914
D03D6,D02A9,D0276
B88A4,B8979,B891D
D04BC,D03E4,D036C
B88C6,B8ACD,B8AA6
D04FE,D034C,D04B9
B8939,B890E,B8A16
D03D1,D0410,D0505
B8936,B8A53,B8A19
D0353,D0441,D03B7
B889D,B8AC5,B8984
D04CF,D0502,D04D7
B8A4F,B88A4,B8803
D03F7,D04C0,D04BF
B8B3F,B89FA,B8A71
D06A7,D0530,D050D
B89CE,B8A43,B8710
D050C,D0238,D02FE
B8983,B8954,B89C4
D04FA,D04BE,D03DB
B8A8C,B89A5,B89F9
D04F2,D03A8,D04D1
B8B69,B8B6B,B8B92
D0607,D04D6,D0541
B8B83,B8B19,B8B29
D044A,D04A0,D03D2
B893D,B8AE5,B8A76
CF06D,CF060,CEFF4
B7F8C,B7C82,B7F39
CF8CF,CF9BA,CF7D9
B7E4C,B7D66,B7BA6
CF937,CFAD3,CFB40
B7C90,B7F1C,B7D86
CF68D,CF731,CF915
B7FE7,B7F0F,B7D9A
CF966,CF904,CF9FF
B7D1B,B7EC6,B7E6B
CFA34,CFA21,CF8B9
B7DF7,B7D40,B7EC0
CF8C7,CF8A1,CF874
B7DDA,B8033,B7F1B
CF7B1,CF8BA,CF7A2
B7EDD,B7E9E,B7FC7
CFA13,CF9D1,CFB62
B8030,B7D91,B7F6C
CF8C8,CFB02,CF869
B7E67,B7FF7,B8040
CFB6C,CF979,CFA55
B804B,B7FA2,B8081
CF9EA,CF8D3,CF8B1
B7D7D,B7C5C,B7E31
CF7E6,CFA5A,CF97E
B7FBD,B809C,B7E91
CF836,CF974,CFA03
B8028,B81E1,B80AF
CFB68,CFC5B,CFB67
B8058,B7FA1,B7F22
CFA7B,CFA76,CFC74
B8127,B8014,B821B
CFA3A,CFA40,CF9C3
B8098,B8056,B811B
CFBF3,CFB05,CFC95
B82D6,B8127,B82EC
CFA7B,CFD33,CFD58
B81DA,B7FDE,B8202
CFBE9,CFC05,CFB92
B83A3,B808C,B81BD
CFCCE,CFBB6,CFC79
B81F0,B7F1C,B804C
CFAD6,CFB81,CFDBB
B827D,B81D9,B8308
CFBF0,CFC73,CFE8F
B813D,B8242,B821A
CFB91,CFD2B,CFCBE
B8130,B8233,B8126
CFEBE,CFD67,CFE28
B8315,B8527,B8343
CFDAF,CFD7C,CFDE3
B85E6,B8360,B83AA
CFC23,CFDAC,CFE17
B8305,B858A,B822D
CFE21,CFF0A,CFD98
B82A5,B8380,B828A
CFE43,CFE39,CFE04
B83D1,B8721,B83C9
CFDCB,CFDE2,CFCBF
B83E2,B837E,B83D3
CFD63,CFDA5,D004E
B83D6,B823B,B83A4
D000C,CFF61,CFE29
B844E,B83B1,B83A5
CFCB6,CFD2F,CFD3B
B827F,B80ED,B7DBD
CFBC4,CFB75,CF957
B7E22,B7F9F,B8024
CFAE0,CFA27,CFA66
B80FD,B8181,B8012
CFA93,CFB2B,CFBB5
B814B,B7F44,B7E88
CFBC9,CFB6D,CFA23
B80C9,B80E7,B80E9
CFB16,CFBE5,CFA83
B8140,B8138,B8019
CFCE6,CFC08,CFBC3
B8183,B80F8,B7F3D
CF9F9,CFA2A,CFB7E
B80B2,B7F21,B7FE5
CFCDD,CFB0B,CFB6B
B8057,B80E9,B8016
CFC72,CFA62,CFD45
B81F1,B8202,B815C
CFC6E,CFB14,CFC5A
B8270,B825B,B80D9
CFBEA,CFA56,CFD36
B8132,B8126,B8149
CFB98,CFD7C,CFDCB
B846F,B8287,B811A
CFE65,CFD3D,CFDBD
B8013,B8321,B814E
CFE2B,CFC6D,CFE80
B8182,B8399,B82BF
CFD26,CFD9A,CFD8C
B8235,B848B,B8140
CFE31,CFC6C,CFDD0
B824E,B82BC,B85AA
CFBAF,CFBFC,CFE05
B855C,B850A,B84F3
CFDC2,CFE2B,CFE49
B8239,B835F,B85DF
CFE11,CFF4C,CFFBF
B8508,B8412,B84AC
D029D,D0110,CFF58
B8314,B8569,B85CC
CFF8B,CFE9A,CFFB7
B8587,B8618,B86E3
D0019,CFFFA,D01E0
