{'CALIB_RAW_DAC_START_I': 360448, 'CALIB_RAW_FILETYPE': 'CALIB_RAW_FILETYPE_LIMP', 'CALIB_RAW_DAC_A_INDEX': 2, 'CALIB_RAW_SERIAL': '20190606_02', 'CALIB_RAW_VERSION': '1.0'}
8A876,8AA41,8A947
A24BE,A251B,A2503
8A8BA,8A9C1,8AA41
A228D,A2426,A2492
8A89D,8AB9E,8A91F
A247A,A24E4,A2457
8A885,8A86C,8A8B4
A262D,A2693,A2591
8AAEA,8A9E2,8A90C
A2269,A2472,A26F9
8A8EE,8A851,8AA95
A2576,A26F1,A2416
8ABB4,8AB09,8AC6C
A2672,A244E,A2771
8A8D3,8AA15,8AB2A
A264A,A2656,A25D7
8AB56,8A94C,8AAC4
A25BD,A2436,A23BD
8A97D,8AB6F,8AAA6
A24B6,A2562,A2374
8AB10,8AB8C,8AC6D
A249A,A26A5,A255D
8AA12,8AB60,8AABD
A2379,A23F4,A2764
8AC20,8ABEB,8ABE0
A255E,A2455,A266B
8AD63,8AAC3,8AA1E
A23E3,A2560,A269C
8AB01,8ACBB,8AAFB
A2640,A253E,A2504
8ABB2,8AC5B,8AC9C
A2588,A239C,A26AE
8AC36,8AADF,8AC9B
A2594,A24DA,A250E
8AA2C,8AB4A,8ABB7
A2490,A2679,A2644
8AB37,8AC5A,8AAEE
A25E1,A263C,A24D6
8AA0A,8AA0A,8AA1C
A25A9,A2618,A25F8
8A8E9,8AAE7,8ABC2
A2309,A24FB,A2573
8A8FF,8A987,8AA90
A2595,A264E,A2545
8A9D1,8AAB9,8AAA6
A256B,A23FF,A2693
8A977,8AB50,8AB1D
A2532,A257E,A2584
8AAA2,8AA37,8AAA1
A2577,A26F3,A26B2
8AC82,8ABC4,8AC09
A25CD,A26D4,A249C
8AC02,8AC9D,8AC2D
A2536,A2719,A259C
8ABAC,8AB0A,8ABD0
A2670,A262F,A250F
8AACE,8AA88,8AA37
A24CF,A2448,A258B
8AA82,8AB4E,8AC17
A24DA,A2654,A26F8
8AC4E,8AB03,8AB87
A2506,A2732,A26BA
8AB27,8ABF4,8ADB9
A2539,A26C3,A25AF
8AB35,8AAA8,8AB1A
A24EF,A2490,A26F7
8AC00,8ABF5,8AC26
A2650,A26B2,A26BC
8AD08,8AD64,8AA97
A264B,A24A1,A24AB
8ABD1,8AC9F,8AB70
A27E6,A28AE,A280B
8AEF0,8ACDF,8AC80
A2903,A27C7,A27D5
8AB5A,8ACAB,8A96C
A250B,A26A6,A248A
8AD89,8AC8B,8AC40
A26FC,A2632,A2617
8ABDC,8AC26,8ADDB
A26C7,A2946,A27C8
8AD4C,8AB8C,8AC9C
A2713,A261C,A26F5
8AD1B,8AB32,8AD03
A25B0,A2705,A2895
8AD71,8ADBB,8ACC2
A26DB,A27EF,A2657
8ABF3,8AD28,8AE40
A28C4,A2549,A274F
8AE05,8AD03,8AC4D
A2881,A2628,A28AE
8AD25,8ABD8,8ADF8
A27A0,A2646,A28A0
