{'CALIB_RAW_DAC_START_I': 720896, 'CALIB_RAW_FILETYPE': 'CALIB_RAW_FILETYPE_LIMP', 'CALIB_RAW_DAC_A_INDEX': 6, 'CALIB_RAW_SERIAL': '20190606_02', 'CALIB_RAW_VERSION': '1.0'}
9F8A1,9F8AA,9F7BA
B70AF,B7124,B7155
9F768,9F93C,9F8A5
B706C,B71C4,B732D
9F7B3,9F858,9F824
B7222,B70FD,B72F5
9F5AF,9F73B,9F91F
B726B,B70B7,B71A3
9F78E,9F584,9F68F
B7437,B71D7,B7174
9F73F,9F7F2,9F6EB
B7150,B73B7,B72EB
9F833,9F8C7,9F781
B7191,B7267,B71CB
9F8ED,9F756,9F83A
B7129,B732F,B744D
9F5AB,9F72D,9F721
B7373,B7237,B72D2
9F829,9F7A9,9F79F
B70BB,B7103,B7210
9F75E,9F9DF,9F8E1
B7265,B7162,B7474
9F8FA,9F849,9F79A
B716C,B7242,B7343
9F787,9F862,9F6EF
B71E7,B7098,B709C
9F737,9F666,9F992
B71F0,B70E6,B730A
9F5E6,9F880,9F77A
B711E,B730E,B724B
9F785,9F7BA,9F7B2
B7128,B702A,B7080
9F7D1,9F632,9F695
B72F1,B70F7,B7210
9F754,9F8C4,9F7AA
B70F0,B70A6,B6F5C
9F7D0,9F54A,9F72B
B6F7C,B6F94,B7076
9F4DC,9F6DC,9F6ED
B6E85,B70A8,B6F27
9F780,9F60B,9F87F
B72DC,B70E6,B7233
9F718,9F540,9F6D3
B7182,B71EF,B70DD
9F59B,9F68A,9F68D
B6FD8,B724D,B7028
9F5F0,9F766,9F699
B6FCD,B7169,B7075
9F7B7,9F75E,9F692
B718A,B725B,B7343
9F69D,9F509,9F54A
B712E,B6F9D,B7033
9F579,9F577,9F4E2
B70EF,B7142,B7141
9F78E,9F592,9F66A
B6FDC,B702F,B70D4
9F660,9F5A2,9F641
B7086,B6F6C,B711B
9F8B1,9F6BC,9F74E
B709B,B6F05,B7039
9F64C,9F37C,9F6C1
B6F62,B7009,B71F3
9F83F,9F6C9,9F651
B710C,B6FEC,B7301
9F7DA,9F683,9F5ED
B70C3,B70E0,B70D7
9F6C1,9F474,9F53F
B6EA8,B71A1,B7173
9F707,9F773,9F5D5
B6FE4,B7163,B706B
9F638,9F556,9F496
B6F8D,B7190,B704C
9F47D,9F36B,9F5A9
B6FD7,B6F1C,B6E98
9F511,9F3D1,9F4F2
B7002,B6EEA,B705A
9F43E,9F683,9F5DC
B6FB8,B7123,B70C4
9F68E,9F63C,9F403
B6F5E,B70CB,B7022
9F623,9F62F,9F450
B71BA,B71B4,B71A2
9F69C,9F61C,9F688
B6F7E,B6F98,B6F7E
9F4D4,9F414,9F480
B6E54,B6FBC,B6F11
9F58E,9F566,9F3D1
B6FEC,B700E,B6FBD
9F2A7,9F60C,9F79C
B6F36,B7063,B7381
9F790,9F8BF,9F60B
B707F,B705B,B7022
9F616,9F664,9F3FE
B70AA,B6E6B,B6F19
9F6A0,9F718,9F560
B712D,B6EBE,B6FB1
9F685,9F710,9F640
B6686,B6423,B653A
9FB31,9F8C2,9FA4F
B74EC,B7397,B7336
9FA5D,9F93B,9F9F8
B73EB,B74B0,B738C
9FAB3,9FAB4,9F8E0
B7440,B7529,B736A
9F9D4,9FA66,9F894
B731B,B72CB,B7494
9FA69,9FAD8,9F8FB
B733E,B7292,B72D2
9F8DC,9F8F2,9F9AE
B747D,B74B4,B74B5
9F6B9,9F99C,9F936
B74D0,B74D8,B7411
9FA33,9FA5B,9F954
B736E,B74E6,B743F
9F8F6,9FA55,9F917
B7397,B71CF,B7176
9F86A,9F989,9F8BD
B7306,B742A,B74BC
9FA43,9F7CA,9F87B
B7210,B721B,B73C1
9F794,9F820,9F822
B746A,B71BA,B72EA
9F80B,9F799,9F5DB
B7330,B722F,B725A
9F903,9F91B,9F9DC
B735D,B737B,B74D7
9F991,9F965,9F764
B7342,B72D1,B735B
9F904,9F8B5,9FB25
B729B,B734C,B7293
9FA1F,9F849,9F773
B70B8,B7282,B735C
9F7FB,9F618,9F95B
B732B,B7407,B72D2
9F6C3,9F890,9F817
B72C1,B7370,B70DD
9F819,9F795,9F75C
B71A4,B71D8,B7262
9F867,9F7C3,9F7B5
B71E2,B7285,B7214
9F972,9F7AD,9F822
B7163,B7209,B7335
9F99B,9F7EA,9FA74
B72FA,B725A,B7286
9FA7A,9F919,9F9C3
B7308,B744E,B7351
9F6E5,9F8A5,9F71A
B72A1,B72A9,B71AC
9F7A8,9F7D4,9F639
B7267,B70CD,B71F0
9F810,9FA7B,9F8CC
B72D5,B7489,B720D
9F82B,9F8CA,9F7F1
B7301,B739F,B712E
9F76B,9F8E3,9F746
B72CB,B72D1,B70F0
9F7B3,9F660,9F7B5
B7347,B72CF,B70D4
9F894,9F744,9F9F4
B724E,B7323,B7476
9F7CB,9F8FF,9F7AF
B7528,B7586,B7350
9F84A,9F4F0,9F61E
B706F,B70B1,B70F8
9F625,9F796,9F7E8
B731B,B71E6,B7055
9F70A,9F7B3,9F690
B7156,B7051,B7160
9F649,9F65F,9F665
B7238,B72D6,B7205
9F600,9F6F5,9F72B
B727E,B7169,B7247
9F8DB,9F8FE,9F8BC
B71B3,B7348,B71C0
9F93D,9F884,9F877
B7339,B72EE,B722E
9FB55,9F9BC,9F844
B72E7,B7251,B735E
9F6E3,9F749,9F6F9
B7267,B71E0,B70FD
9F623,9F790,9F631
B7453,B719A,B7240
9F6BA,9F77D,9F8A8
B7158,B7059,B70D1
9F67F,9F655,9F577
B715B,B7119,B71AD
9F66E,9F761,9F76F
B7157,B6FBA,B72B5
9F609,9F843,9F75B
B70FC,B72CA,B72AC
9F57C,9F733,9F799
B7151,B71EA,B7016
9F686,9F7C0,9F595
B72C2,B7213,B7294
9F844,9F730,9F818
B71E2,B717D,B7051
9F679,9F515,9F76B
B72C7,B7236,B7232
9F541,9F4A2,9F5EA
B71B7,B7238,B722B
9F846,9F7EB,9F890
B71DF,B7236,B71EE
9F903,9F62D,9F823
B7247,B700F,B7001
9F68A,9F557,9F509
B700E,B7114,B727C
9F769,9F913,9F670
B71FB,B71D7,B7262
9F60A,9F7BF,9F565
B7185,B7364,B7324
9F689,9F6E2,9F817
B7245,B71BB,B7103
