{'CALIB_RAW_DAC_START_I': 196608, 'CALIB_RAW_FILETYPE': 'CALIB_RAW_FILETYPE_LIMP', 'CALIB_RAW_DAC_A_INDEX': 8, 'CALIB_RAW_SERIAL': '20190606_02', 'CALIB_RAW_VERSION': '1.0'}
1BD90,1BE68,1BF29
4560,46F4,456C
1BF77,1BFA8,1BF54
4578,45EC,45EE
1C0C3,1C03D,1C0C4
474B,47A2,4624
1C1AF,1C17A,1C1BA
457A,446B,4648
1BFD6,1BF99,1BED1
46D3,4555,44E1
1BF5D,1C0A4,1BFCC
44D0,45E3,4555
1C007,1BFA1,1C0CB
47BF,4622,44B4
1C02C,1C2B5,1C10E
4770,4566,469A
1C0FD,1C108,1C1E8
4458,456F,4679
1C0A8,1C005,1C12D
4604,46CC,4782
1C043,1C08E,1C122
4705,472B,469D
1C467,1C4B0,1C55E
45E9,4746,4908
1C2CA,1C179,1C24C
46EC,48E8,499F
1C265,1C440,1C503
4994,49A9,4749
1C205,1C2D5,1C3FF
47B4,48BF,46A4
1C3C2,1C427,1C3D5
494F,47B4,4915
1C335,1C1DF,1C448
4A1D,492A,4998
1C349,1C477,1C31D
4A11,4854,48D7
1C2E0,1C4C6,1C3AC
47C9,4871,4BAD
1C446,1C360,1C494
487D,48AA,4978
1C484,1C3DD,1C2B6
4907,474A,49B7
1C207,1C1E5,1C223
47AB,498D,48DE
1C2CF,1C208,1C1A2
49E2,4808,4964
1C41B,1C2ED,1C4DA
48FC,4810,49C9
1C490,1C236,1C646
49D4,4ADD,4A0D
1C4B3,1C42E,1C596
4B09,4906,4A71
1C539,1C52B,1C2F3
498D,4972,4A56
1C49A,1C3DD,1C27B
4952,48A9,4909
1C55B,1C452,1C3DA
4754,480C,47AF
1C286,1C3F3,1C3D2
4967,4811,487F
1C22C,1C40E,1C063
4847,48E1,497B
1C111,1C337,1C30D
483E,48B0,49B2
1C1E3,1C43B,1C491
49AB,490B,489A
1C2C4,1C3B6,1C571
495C,48CC,4AC7
1C41D,1C676,1C5B8
49F4,4991,498F
1C531,1C314,1C34C
4A24,49A9,47B5
1C456,1C427,1C4D1
4B38,4A20,47EC
1C31E,1C444,1C4E7
4A47,4914,49C3
1C467,1C3EB,1C38C
4A4C,46F3,4915
1C1EC,1C567,1C510
4A55,4991,4920
1C397,1C382,1C39C
4A15,4A32,4A8A
