{'CALIB_RAW_DAC_START_I': 819200, 'CALIB_RAW_FILETYPE': 'CALIB_RAW_FILETYPE_LIMP', 'CALIB_RAW_DAC_A_INDEX': 0, 'CALIB_RAW_SERIAL': '20190606_02', 'CALIB_RAW_VERSION': '1.0'}
-7F573,-7F628,-7F772
-97179,-9733B,-9738B
-804DF,-806F2,-807A9
-972D0,-97210,-9723E
-7F63A,-7F614,-7F7B5
-97202,-9724A,-97345
-7F6F8,-7F4FE,-7F574
-970AD,-97187,-97197
-7F8C6,-7F666,-7F601
-97033,-970D0,-97081
-7F715,-7F433,-7F46A
-96F73,-9710E,-970B1
-7F70A,-7F706,-7F7BE
-9707D,-96F54,-9706B
-7F5DC,-7F582,-7F56F
-9711C,-9707F,-97113
-7F507,-7F5F5,-7F6C7
-971D2,-97194,-9702D
-7F638,-7F58A,-7F628
-970F1,-96EDD,-971B8
-7F535,-7F63E,-7F61E
-97034,-97120,-970DD
-7F5CC,-7F694,-7F775
-96F6D,-970D6,-9707E
-7F523,-7F5D2,-7F5B8
-97156,-97065,-96FE0
-7F53A,-7F256,-7F50D
-96F24,-96F12,-96C95
-7F37E,-7F42E,-7F422
-96F4C,-96F1F,-97010
-7F510,-7F4B0,-7F3B3
-96FB8,-96E99,-96E5B
-7F48C,-7F4D4,-7F4D1
-96FE9,-96E3B,-96F0E
-7F562,-7F5A8,-7F3E3
-96BEC,-96DD0,-96EA0
-7F232,-7F33F,-7F20D
-96EAD,-96CA1,-96D32
-7F258,-7F0BE,-7F2C7
-96DDF,-96D63,-96D38
-7F359,-7F2EE,-7F33C
-96DBE,-96E54,-96C43
-7F2DD,-7F399,-7F298
-96D0B,-96C1D,-96B28
-7F4A9,-7F446,-7F394
-96D39,-96DC3,-96E16
-7F356,-7F472,-7F152
-96CA6,-96DB7,-96CE7
-7F425,-7F415,-7F30B
-96F0C,-96DC2,-96E5B
-7F268,-7F17E,-7F1ED
-96DA3,-96BEF,-96B8B
-7F2B0,-7F438,-7F26A
-96DB4,-96B84,-96B33
-7F208,-7F166,-7F2E7
-96C86,-96D11,-96B8D
-7F194,-7F175,-7F303
-96D28,-96D12,-96C47
-7F221,-7F14B,-7F13F
-96C1C,-96C03,-96C12
-7F14E,-7F24D,-7F16F
-96C5A,-96CDD,-96C6C
-7F031,-7F0E6,-7F144
-96AC0,-96BA7,-96B1A
-7F202,-7F1E1,-7F16D
-96BF1,-96B6C,-969F7
-7F0DA,-7EE55,-7F277
-96DE7,-97074,-96F99
-7F462,-7F5D6,-7F4F8
-96F8D,-96DCD,-9705B
-7F527,-7F480,-7F2BD
-96E36,-96E34,-96F56
-7F573,-7F5D7,-7F48A
-96F84,-96F08,-96E5E
-7F4A6,-7F34D,-7F3B8
-96EAA,-96D12,-96F86
-7F4DE,-7F4F0,-7F3D0
-96D7B,-96E2A,-9704F
-7F26B,-7F2B1,-7F22F
-96C8B,-96D88,-96EFA
-7F2EE,-7F52F,-7F3B3
-96E02,-96EB2,-96D85
-7F210,-7F1BD,-7F369
-96C61,-96D9B,-96CDA
-7F2C1,-7F25A,-7F20F
-96DC9,-96D52,-96C11
-7F2B6,-7F411,-7F47E
-96E83,-96C91,-96CF9
-7F2E8,-7F13E,-7F2A6
-96DF1,-96EA4,-96D95
-7F173,-7F317,-7F37F
-96CB3,-96C1D,-96CAF
-7F302,-7F343,-7F1EB
-96CDB,-96DE6,-96B1A
-7F2A7,-7F18E,-7F123
-96CF0,-96C86,-96D28
-7F275,-7F3D8,-7F3D2
-96B0C,-96AFB,-96AB7
-7F27B,-7F23F,-7F1D0
-96BF9,-96CAC,-96D11
-7F166,-7F1F1,-7F2B1
-96B46,-96A44,-96C46
-7F389,-7F003,-7F1D9
-96BCC,-96962,-96C0A
-7F3C6,-7F135,-7F133
-96C36,-96D84,-96AE6
-7F0F5,-7F0C8,-7F082
-96B63,-96BCC,-96C60
-7F20D,-7F076,-7F05B
-9673D,-969DA,-9696F
-7F021,-7EFA5,-7EEB0
-969BA,-96B8C,-96B21
-7F0E7,-7F0D7,-7F026
-96A79,-96AB3,-969D7
-7EFF1,-7EDA5,-7EDFA
-966FA,-968B8,-96951
-7ECB4,-7EEB3,-7ED2F
-96A63,-96990,-96A7B
-7EF4B,-7F024,-7EEB1
-96B7C,-968E7,-96986
-7EFC7,-7EF59,-7EED8
-9695E,-96A8A,-969FC
-7EE93,-7ED90,-7EFF3
-9693B,-96821,-968E3
-7EF7D,-7EFEA,-7EDFF
-967C0,-96908,-968F4
-7ED52,-7EE07,-7EF37
-9697B,-96851,-96917
-7EE77,-7EE1D,-7EFFE
-969F8,-9698D,-967FF
-8035F,-80411,-80299
-975A6,-97555,-9745A
-7FB4F,-7FBE4,-7FA62
-97523,-97688,-9745D
-7FA2E,-7FA2C,-7F800
-97501,-97314,-97473
-7FB76,-7FAF1,-7FA3D
-97441,-97517,-9747D
-7FA1C,-7F84A,-7F995
-974E5,-9726F,-97538
-7FA29,-7FA4D,-7FD0B
-973A3,-97430,-974FA
-7F951,-7F921,-7FA34
-97418,-974F2,-9735C
-7F8CF,-7F9AC,-7FA58
-97343,-97382,-97431
-7F92F,-7F7D0,-7F88A
-97402,-97382,-973DD
-7FA6E,-7FA77,-7FAAD
-97539,-97456,-97689
-7F9CC,-7F8E6,-7FA77
-9746B,-97321,-974EB
-7FB30,-7F87A,-7F9D0
-97477,-9747F,-9738D
-7F8E3,-7FAAD,-7F789
-971CF,-972A2,-972E2
-7F8AF,-7FAA6,-7FA77
-974BB,-97274,-97463
-7F949,-7F89E,-7F7A3
-97342,-9734E,-974E0
-7F9EB,-7F8C9,-7F97E
-97301,-97331,-971D5
-7F8C1,-7F9DC,-7F8CC
-97291,-973F4,-9706C
-7F81C,-7F8BB,-7F579
-9726F,-9718D,-9716A
-7F692,-7F8C0,-7F8F0
-9709E,-9727E,-97208
-7F669,-7F724,-7F7C5
-97093,-971EF,-972D4
-7F6F7,-7F6BB,-7F700
-970FE,-97426,-972A2
-7F826,-7F557,-7F85D
-972C1,-9719A,-971F2
-7F83E,-7F594,-7F733
-971F6,-9713D,-97236
-7F6B0,-7F8F1,-7F542
-97347,-9728C,-971E2
-7F668,-7F66B,-7F745
-96FEB,-96F60,-97172
-7F58C,-7F7AF,-7F710
-96FDE,-970A5,-97043
-7F5E4,-7F5B1,-7F588
-970CC,-96FEA,-971F0
-7F6AD,-7F604,-7F783
-97049,-9709E,-97000
-7F5F3,-7F537,-7F56E
-97114,-96E8C,-97163
-7F5DE,-7F44F,-7F49E
-97051,-9707E,-970B2
-7F5D8,-7F4F0,-7F4F4
-96F0A,-97134,-96FF6
-7F6AC,-7F5C4,-7F6C8
-9712A,-96FDA,-96F4A
-7F680,-7F5B7,-7F6B2
-9732F,-97343,-97302
-7F77F,-7F7D8,-7F7A8
-9736B,-97448,-9726F
-7F898,-7F6FE,-7F818
-972F8,-972D9,-974B6
-7F76E,-7F6DF,-7F897
-97339,-971F9,-97223
-7F8A6,-7F9C6,-7F789
-971F0,-971BD,-9739D
-7F7E9,-7F7BA,-7F797
-97066,-9727B,-9735C
-7F806,-7F68A,-7F6A5
-9727B,-972A5,-9742F
-7F7D6,-7F770,-7F6E4
-971F7,-97246,-97269
-7F69E,-7F629,-7F629
-97162,-96EF7,-9719C
-7F6F3,-7F54C,-7F75B
-9709F,-97131,-97189
-7F567,-7F8D4,-7F7ED
-972BD,-97245,-972A2
-7F649,-7F794,-7F616
-97105,-97220,-971AB
-7F67E,-7F63E,-7F6B6
-971E2,-97203,-970AC
-7F5E4,-7F765,-7F5AE
-9704A,-97156,-970BF
-7F63B,-7F475,-7F637
-96EEB,-970C4,-970A8
-7F59A,-7F7EA,-7F71D
-97013,-97121,-97094
-7F795,-7F68D,-7F3FE
-96E3C,-96F2B,-96E8D
-7F49A,-7F48E,-7F38A
-96ECB,-96E83,-96F02
-7F41B,-7F4C4,-7F4EF
-970B5,-96DDF,-96E40
-7F4FF,-7F58A,-7F416
-96EAA,-96EBF,-96EB0
-7F3BF,-7F361,-7F322
-96D92,-96ED7,-96E74
-7F5F2,-7F4A7,-7F2B7
-96EDB,-96E5D,-96DFD
-7F353,-7F572,-7F3B5
-96E6D,-96FFB,-96E19
-7F49C,-7F600,-7F3D3
-96E7E,-96DBB,-96D78
-7F23E,-7F28C,-7F363
-96CD9,-96D2F,-96DBF
-7F474,-7F43E,-7F34F
-96FA8,-96EB8,-96D6D
-7F4F0,-7F3B6,-7F51F
-96D56,-96C38,-96D72
-7F2C5,-7F302,-7F3D9
-96DC1,-96C58,-96D28
-7F37F,-7F297,-7F2FB
-96CB4,-96CF6,-96CE3
-7F340,-7F31B,-7F2B6
-96B44,-96D3A,-96B4A
-7F0BC,-7F18D,-7F064
-96C1C,-96CDF,-96D26
-7F3DD,-7F1EF,-7F1A3
-96E0F,-96CDD,-96C2B
-80074,-7FFF2,-80019
-96C4B,-96C61,-96C4F
-7F119,-7F0E2,-7F4B0
-96A2A,-96BDF,-96BCE
-7F1D9,-7EF1E,-7F2C9
-96BDF,-96DE5,-96C12
-7F364,-7F1F1,-7F1E2
-96B8F,-96BAD,-96BC5
-7F12E,-7F1F1,-7F1A2
-96C7F,-96BE8,-96C74
-7F1CC,-7F1C0,-7F251
-96DC4,-96BC0,-96D9D
-7F187,-7F146,-7F270
-96D34,-96D17,-96B64
-7F2E7,-7F1A8,-7F0A3
-96B60,-96B1E,-96B0F
-7EFDF,-7F0E9,-7F104
-96969,-96C01,-96AEA
-7F1F5,-7F12A,-7F22D
-96B86,-96B6D,-96AEB
-7F13C,-7F15F,-7F1E4
-96C59,-96B6C,-96BDE
-7EF74,-7EF8B,-7F16C
-969E3,-96B9D,-96B68
-7F129,-7F04E,-7F029
-96D29,-96C45,-96A08
-7F07F,-7F0C5,-7F0CE
-96A9B,-96AD1,-96A8C
-7F105,-7EF6E,-7EFFB
-96B3E,-96BBC,-96C67
-7F0B6,-7F0C4,-7EF75
-96B34,-96A48,-96DB1
-7F177,-7F0B4,-7F02E
-9674A,-96914,-968F6
-7EE18,-7EF48,-7F0CE
-96822,-966A8,-96919
-7EDFD,-7EC4D,-7EDA5
-96A4A,-966D4,-969AA
-7EDDF,-7EF01,-7ECF0
-96811,-96BAC,-96A9A
-7EDF6,-7EE5B,-7EE22
-969DE,-968EF,-96A35
-7EFA7,-7EFDC,-7F0D5
-96874,-96974,-968BD
-7F06E,-7EF3B,-7ED61
-96A6B,-96870,-96994
-7F05A,-7F129,-7EF4A
-968ED,-96A37,-9693F
-7EE42,-7ECB2,-7F04B
-968B7,-96B21,-968FC
-7EED1,-7F034,-7EF9C
-96962,-9687C,-96995
-7EE13,-7EE4A,-7EDE1
-96675,-968D5,-96A7E
-7EE7F,-7F06C,-7EDD5
-9686A,-9685C,-96854
-7ECFF,-7ED41,-7EE75
-968CF,-967DA,-968A6
