{'CALIB_RAW_DAC_START_I': 786432, 'CALIB_RAW_FILETYPE': 'CALIB_RAW_FILETYPE_LIMP', 'CALIB_RAW_DAC_A_INDEX': 2, 'CALIB_RAW_SERIAL': '20190606_02', 'CALIB_RAW_VERSION': '1.0'}
-4700F,-47018,-47052
-2F390,-2F604,-2F49B
-46E37,-46E86,-4726F
-2F5C0,-2F67C,-2F714
-47012,-46ED6,-46F07
-2F743,-2F73A,-2F5DF
-471CF,-47258,-47161
-30EA0,-30CB3,-30EE8
-473A4,-471FD,-473FC
-2F935,-2F7FB,-2F6E4
-4737D,-472B7,-471C3
-2F82B,-2F661,-2F775
-47258,-473BC,-472F3
-2F808,-2F85F,-2F8FF
-4744F,-473FB,-4754D
-2F8FF,-2F9D7,-2F7F3
-472D5,-472FB,-473B4
-2F788,-2F8A8,-2F86B
-47185,-4743C,-47214
-2F82A,-2F6A6,-2F747
-47168,-473C1,-47322
-2F72D,-2F8AC,-2F809
-4753C,-4747A,-47337
-2F795,-2F618,-2F6C6
-47233,-473BA,-472BA
-2FA44,-2F703,-2FA23
-472F5,-4737E,-471B2
-2F6B3,-2F7F7,-2F6FF
-4709A,-47231,-47368
-2F89B,-2F885,-2F715
-4711B,-47242,-472CD
-2F7FF,-2F7FB,-2F885
-47223,-47395,-47012
-2F766,-2F762,-2F792
-473E9,-47375,-47339
-2F7BF,-2F92A,-2F9C6
-470B8,-47287,-4723B
-2F820,-2F6AE,-2F880
-47194,-473A7,-47349
-2F569,-2F773,-2F828
-46EDD,-471F5,-47290
-2F637,-2F8D5,-2F852
-470C9,-471D9,-470FB
-2F9BB,-2F800,-2F77C
-470E4,-46F2F,-47072
-2F74F,-2F683,-2F89F
-47132,-470CA,-4724E
-2F5D1,-2F6CD,-2F80E
-47181,-4727F,-471E7
-2F666,-2F604,-2F7A1
-47321,-46F3E,-471B5
-2F655,-2F84E,-2F7A0
-47046,-4702E,-47226
-2F859,-2F70B,-2F65B
-470FF,-4720A,-47000
-2F521,-2F355,-2F517
-47098,-46FCD,-46E9A
-2F720,-2F53B,-2F548
-46FEF,-47089,-47029
-2F56C,-2F546,-2F72F
-47031,-470F5,-47042
-2F559,-2F485,-2F71D
-46F3F,-4701B,-47187
-2F554,-2F522,-2F4F0
-46EF1,-46F45,-46FD2
-2F5E8,-2F698,-2F428
-46FCD,-46FC3,-46FA7
-2F55A,-2F4B9,-2F505
-46ECF,-46E5C,-46F5F
-2F576,-2F45B,-2F55E
-46F8A,-4707E,-46EC3
-2F63E,-2F66B,-2F6C4
-46FDD,-46FB4,-46EA7
-2F776,-2F6D6,-2F4B8
-46F5C,-470FD,-4700D
-2F618,-2F620,-2F5EE
-46F58,-46ED0,-46F7B
-2F40F,-2F417,-2F65F
