{'CALIB_RAW_DAC_START_I': 425984, 'CALIB_RAW_FILETYPE': 'CALIB_RAW_FILETYPE_LIMP', 'CALIB_RAW_DAC_A_INDEX': 6, 'CALIB_RAW_SERIAL': '20190606_02', 'CALIB_RAW_VERSION': '1.0'}
-72CED,-72C7B,-72C86
-5B1B1,-5B174,-5B3AB
-72D62,-72A70,-72A84
-5B1E2,-5B272,-5AFAC
-72B48,-72B93,-728EF
-5B0DA,-5B1CE,-5AFD9
-728D8,-72AE4,-72B2F
-5AFC2,-5B13E,-5B132
-72DDD,-72C57,-72B41
-5B37C,-5B2F5,-5B183
-72CAC,-72C4A,-72D08
-5B312,-5B202,-5B1F2
-72C9E,-72D3A,-72A4D
-5B171,-5B374,-5B15D
-72CD9,-72B63,-72D9E
-5B1D3,-5B254,-5B252
-72C69,-72A1C,-72D87
-5B04A,-5B374,-5B311
-72B7F,-72C4D,-72ACA
-5B163,-5AF28,-5AFC8
-72C0C,-72D3E,-72F83
-5B336,-5B1DA,-5B20C
-72C54,-72E44,-72BEA
-5B35E,-5B122,-5B419
-72AD4,-72CC1,-72CE9
-5B2C9,-5B2ED,-5B3FF
-72BAC,-72D84,-72F08
-5B0E0,-5B062,-5B2D3
-72E36,-72DA9,-72CD1
-5B17D,-5B388,-5B343
-72C8A,-72D80,-72CF5
-5B330,-5B1EF,-5B42C
-72C2D,-72DFF,-72D9B
-5B220,-5B4BC,-5B221
-72FC4,-72E85,-72C33
-5B2ED,-5B1E2,-5B0BF
-72CC9,-72D50,-72C31
-5B2A3,-5B1E2,-5B2BE
-72DA0,-72DD8,-72D7C
-5B149,-5B0F9,-5B0D9
-72D4B,-72A06,-72C6A
-5B160,-5B154,-5B0FD
-72D34,-729B4,-72B3A
-5B246,-5B0AF,-5B024
-72DF4,-72E68,-72CE1
-5B3BE,-5B200,-5B524
-72C9C,-72E5B,-72E25
-5B39D,-5B06D,-5B2B1
-72F51,-72E52,-72E16
-5B512,-5B24A,-5B257
-72EE2,-72D7C,-72E73
-5B2B7,-5B203,-5B338
-72CBF,-72E22,-72E35
-5B398,-5B1BB,-5B1D6
-72D05,-72CC6,-72D2A
-5B2B9,-5B39B,-5B2AC
-72DCF,-72CBB,-72AE4
-5B17E,-5B2D0,-5B435
-72F27,-73006,-72D7B
-5B4A1,-5B1FD,-5B240
-72E69,-72E49,-7307B
-5B590,-5B4F7,-5B5B3
-72ECD,-72E28,-72F5B
-5B3A6,-5B329,-5B533
-72E3D,-72ED9,-72F3C
-5B4EF,-5B553,-5B402
-72F5C,-72F27,-72EB6
-5B457,-5B3DB,-5B45B
-72FCE,-7304B,-72E22
-5B58F,-5B523,-5B560
-72E5F,-72C25,-72D15
-5B428,-5B4D6,-5B2E0
-72D7B,-72EEE,-72CFB
-5B5E8,-5B4DC,-5B457
-73017,-72F74,-72FF9
-5B610,-5B7DB,-5B617
-72E53,-72EE3,-72FFF
-5B371,-5B4A7,-5B4DD
-72E2E,-72EEE,-7302E
-5B49F,-5B491,-5B424
-7301C,-72EFC,-73027
-5B69A,-5B609,-5B4C5
-72F6D,-72FFD,-730C6
-5B540,-5B2CC,-5B4E4
-72F49,-72F47,-73118
-5B62B,-5B58A,-5B662
-72ECA,-72E17,-73131
-5B4F5,-5B4AD,-5B40B
-72EF1,-72EA4,-72F9B
-5B692,-5B591,-5B4A5
-72F4F,-72EAD,-730F4
-5B334,-5B447,-5B360
-72D81,-73024,-72ED4
-5B4C1,-5B403,-5B418
-72F67,-72F07,-7308E
