{'CALIB_RAW_DAC_START_I': 688128, 'CALIB_RAW_FILETYPE': 'CALIB_RAW_FILETYPE_LIMP', 'CALIB_RAW_DAC_A_INDEX': 0, 'CALIB_RAW_SERIAL': '20190606_02', 'CALIB_RAW_VERSION': '1.0'}
-31421,-3156F,-31524
-48E33,-48D06,-490A1
-312F9,-31148,-31428
-48D76,-48CE3,-48D04
-314F8,-3127F,-312DA
-48CA8,-48EE4,-48D2C
-3135F,-3130C,-314A5
-48D7E,-48E8F,-48EBE
-31338,-3154A,-31295
-48D66,-48D07,-48DFB
-313F8,-313E5,-313C9
-48AF2,-48C59,-48D82
-312A1,-3115B,-311B7
-48D62,-48E53,-48D0E
-312E4,-312B4,-311FF
-48D53,-48C89,-48BDC
-31314,-31390,-31350
-48C16,-48DD5,-48B54
-311D1,-311B6,-31096
-48BAD,-48BFD,-48CAC
-31387,-3146C,-3123E
-48C0D,-48C8D,-48B87
-31357,-311B0,-310DD
-48CA6,-48BA8,-48B03
-30FFA,-31259,-31141
-48AE6,-48AE4,-48B39
-30F48,-30F00,-3101C
-48CA5,-48A09,-48C91
-311D1,-30FD4,-31114
-48BD1,-48A91,-48C29
-30FAF,-31102,-31069
-48C3D,-48AF7,-48BE9
-30FB4,-310BC,-30F11
-48A5B,-48B1D,-48C27
-30FB1,-30F72,-30F7E
-48977,-48B27,-488C2
-30FE2,-30F37,-31006
-4895A,-489C0,-4897C
-30E86,-310A8,-310EB
-48AA4,-48AD7,-48ADF
-30F4B,-30DED,-30E5B
-48853,-48827,-489C9
-310CB,-30F02,-30F59
-48CD2,-48CDA,-48F2A
-31301,-314AB,-31575
-48C53,-48EDF,-48E10
-31273,-3133B,-31337
-48C28,-48F21,-48D6D
-31191,-31338,-3125D
-48DD1,-48EC7,-48F1F
-31594,-311B6,-31567
-48E26,-48C51,-48E51
-3147D,-31065,-31145
-48D5B,-48A5D,-48CC6
-31313,-311D4,-31288
-48D18,-48D34,-48C4A
-31117,-31196,-311EA
-48CAE,-48BC6,-48BDB
-30F68,-310BF,-31226
-48B37,-48B97,-48D32
-31242,-3117D,-311C0
-48C0B,-48C52,-48B5F
-31095,-310B0,-30F0C
-48AC9,-48A89,-48BC0
-31131,-310BC,-312F3
-48B24,-48DF5,-48CC0
-3123E,-31113,-312BB
-48C81,-48B91,-48B52
-31044,-310D7,-31010
-48A79,-48C2E,-48AC7
-31265,-3110B,-31164
-48BB9,-48C66,-48C6B
-311A8,-3120A,-3118C
-48AFC,-48B04,-48AC1
-3100A,-3104B,-3114A
-48B95,-489E4,-48A97
-3100C,-30FD1,-30ED6
-489F9,-48967,-48925
-30F89,-30CF5,-30E54
-48965,-488B7,-4889E
-30FD2,-310D4,-310AF
-48897,-48AB8,-489FF
-30E7F,-30F98,-30EA6
-488B7,-489C8,-48B5B
-30E95,-30F7C,-30DC1
-48892,-4892E,-48A0B
-30EA0,-310CD,-30F91
-48A2B,-48974,-4896E
-30E40,-30FA2,-30F77
-48921,-488D7,-487C5
-30D0D,-30E4C,-30BBD
-4885A,-487C9,-48712
-30C4D,-30C60,-30D33
-48822,-48986,-4872C
-30DC8,-30C8A,-30CAD
-488B8,-487B5,-488D8
-30FBA,-30C9A,-30DB5
-4888C,-488A6,-489F2
-31006,-30CA7,-30E09
-48810,-487EF,-487CB
-30F98,-30BEA,-30D2C
-48758,-48896,-4877F
-30D5B,-30D73,-30C7F
-4860C,-4869A,-48790
-30CC7,-30DBE,-30D98
-48824,-48765,-488AF
