{'CALIB_RAW_DAC_START_I': 32768, 'CALIB_RAW_FILETYPE': 'CALIB_RAW_FILETYPE_LIMP', 'CALIB_RAW_DAC_A_INDEX': 0, 'CALIB_RAW_SERIAL': '20190606_02', 'CALIB_RAW_VERSION': '1.0'}
15751E,15743C,157392
13FA21,13F951,13F93F
157404,1572DB,1575B0
13F88C,13F848,13F925
15756D,157444,15714A
13FB50,13FA64,13FAD3
15766A,1575AC,157452
13FA52,13FBA1,13FA32
1576A4,157610,157506
13F963,13FA00,13F947
1574F2,1575A0,157570
13FB34,13FC3F,13FB57
1575B3,15786C,157605
13FB88,13FBFE,13FBE0
15764E,157600,1577FA
13FD63,13FBA1,13FAD2
1577FE,157798,1575E8
13FC84,13FA59,13FC1A
1575A4,157633,15746C
13FC28,13FC5D,13F9B9
1577A3,157891,1575B2
13FC2B,13FC13,13FC1E
1576D1,15771A,15769D
13FBC4,13FCF3,13FDAA
1577C3,1577D2,157738
13FC2C,13FBC0,13FC26
157628,157832,157655
13FDC0,13FC11,13FAC7
157556,157779,157653
13FC3C,13FC50,13FC5B
157662,1576ED,15772B
13FD5B,13FDA3,13FE2B
157501,1578DB,157789
13FC68,13FA70,13FC88
157808,1577C8,1577A2
13FC6C,13FDF3,13FD71
157739,157731,1578F7
13F821,13FA43,13F7DF
1571B0,15757B,15740F
13FA0A,13F86F,13FB1C
157486,157562,157570
13F862,13F949,13FA0D
1574F6,157573,157451
13FA07,13F933,13FAE3
15759A,157598,157484
13F91E,13FA61,13FA4D
15744E,15760D,1574E2
13F9F6,13FB57,13F989
15755B,157448,157394
13F98B,13FAA7,13FA21
157405,1575C7,15760E
13FADA,13FB65,13F9F2
1576B8,15767F,1576E3
13FC39,13FA12,13FA7A
157699,1576E7,15749E
13FC4C,13FC49,13FA6C
15743C,1576B2,1575F6
13FC73,13FB3D,13F912
1575C8,1575C4,157484
13FAF9,13FBC5,13FB14
15783C,15757F,157578
13F9CB,13FA41,13FC4D
1576E5,1576F8,15778E
13FC9A,13FD54,13FCD8
1577C7,157793,1577B7
13FCA3,13FA9B,13FD5D
15749A,157734,1576D8
13FCB8,13FB4F,13F9A2
157731,157715,1575ED
13FDBB,13FF09,13FD7A
1577B4,157699,157765
13FD43,13FBB4,13FD71
157844,157896,1577D1
13FCF4,13FDE8,13FE62
1576ED,157843,157728
13FD98,13FD56,13FDA9
1579DF,157870,157928
13FE3A,13FD48,13FEB4
157768,1577DC,15790B
13FEA8,1400DF,13FD7C
157850,157928,1578F8
13FF17,13FDB1,13FD08
15791A,1577E9,157834
13FE28,13FEF7,13FD68
157A48,157B35,157980
1401C0,140058,13FF1F
157959,157973,157A63
13FE28,13FEBE,13FE71
15791A,157A00,157874
13FFC3,13FECF,13FF3D
157571,157A26,157897
13FF46,13FD2B,13FDED
157AF3,15792E,1579EE
13FE22,14011E,13FEF1
157948,15796C,157995
13FDA2,13FEE5,13FEA7
15795B,1578E8,1578C5
13FE26,13FFCD,13FE90
157992,15793A,157A1C
13FDAC,13FFB0,13FF80
156A26,1569A8,1569D6
13FEFF,13FE25,13FF4F
157998,1579CC,1578B8
13FEC3,13FE68,13FF9E
157A02,157ACE,157978
1401C2,13FFDB,140010
1579F7,157965,157BB4
13FFE8,13FF6E,140085
157C42,157B53,157CD8
14008E,13FF32,14004C
1579A4,1579E5,157831
13FE80,13FDBE,13FFC6
157AF8,157C23,157A4A
14010F,13FFC9,14011F
157A6B,157A34,157A86
14036D,1400BC,13FEB3
157AEB,157A8B,157C96
1400A7,1401C4,140159
157B47,157A43,157AC1
140025,13FFCE,13FF29
157B0F,157B87,157B8C
140279,14007C,1400FD
157ACC,157BC3,157D1F
140095,140176,13FFE3
157C67,157CA1,157B10
14016D,13FF9D,1401A3
157C42,157BFF,157DF2
140274,140102,1400BA
157ADB,157CCF,157B55
140174,140216,14008E
157CAE,157CF2,157CC3
1404EE,140297,14037A
157B61,157D03,157B81
140134,14029D,1403B1
157D72,157CE9,157E34
1400A2,140117,14027E
157CAC,157CDD,157D10
140267,140263,140213
157CA9,157BFB,157BE4
14044A,1402EE,140378
157C8D,157D05,157CE2
1403E1,1403C5,140338
157EC0,157CB3,157DF7
140266,14032E,14035B
157DF5,157EC8,157EA4
140401,1404EC,140490
157E1E,157CF8,157EAD
140596,140539,140346
157FDA,157E94,157FA4
1403C4,1403B5,140287
157F9C,157D15,157F86
140484,14052F,140402
157F5D,157DD5,157F03
1406A5,140545,140382
157ED4,157F25,157F86
140362,1405BD,1404C1
157FB4,1580B9,157F4B
14043F,1404F3,140567
157E5A,157D79,158089
140542,140607,1404D8
157E6E,157FD7,157DFD
1404D6,140494,1403FF
15801C,157FB0,158157
1405D2,1404DF,1405AF
1580FD,158167,158335
1403B3,14044B,140475
157D77,157E67,157C2F
1403E6,1401B3,14045D
157EA1,157DBD,157E5A
140343,140302,140385
157BE5,157D37,157C59
14029F,1404A6,1402F1
157D69,157DD9,157D74
140447,140219,140144
157A03,157CD5,157D17
1401EF,1401AD,1402C8
157CE1,157DE3,157E6A
14033B,140221,140277
157D2B,157DC5,157CD5
14034F,140270,140375
157DB6,157E40,157DE4
1402EE,140385,1402F3
157CAD,157D4E,157DCB
1402EF,1402FE,1401CD
157D79,157D9E,157D38
1401DB,1400BF,1402FC
157CFD,157C7F,157CFE
140436,140354,1402E9
157F5B,1580EE,157E7B
14032C,1402F5,1404C8
157CD8,157EF8,157DF0
1403CB,1403AE,14031F
157EC5,157F78,157F87
1402D5,140396,1404D8
157ECB,157EE3,157F99
140409,140467,14033A
157EA4,157FA0,157DFC
140577,140610,14073A
15801D,158065,157F65
140518,1404A3,1405E9
157F86,157F45,158137
1405C1,14069E,140643
157F7A,15804E,15802F
140557,14059B,14062C
15800B,1580BA,157F82
140414,14034D,1404A8
157FB6,157FD2,15815B
1406C7,140532,14067F
1580C3,1580AE,1581A9
14066B,1406C8,14050E
15818E,158025,15823E
1405AB,14076C,14075C
1581CB,1581AF,15815C
140882,140773,14069C
15814A,1580B4,158023
140730,1406AB,1406B7
1580BD,1581AF,15813A
1405C9,14076C,140771
1580DD,158115,15821F
14076B,140789,140706
158229,158200,15801E
140893,1406E8,1405C7
158183,158084,15827A
1407CF,1406DF,14069C
1580CF,1581F8,15817F
1405E0,1405B8,14070A
158128,157FE3,15815F
140790,1407B8,14065A
156D2A,156D6C,156D1C
13FB13,13F9B1,13F9DC
1575FD,15750E,15771B
13FD5E,13FBBE,13FB3F
1576D8,1575B2,15764C
13FB53,13FBCF,13FAF7
157689,157608,157573
13FC9A,13FCD9,13FC7F
157622,157770,1575CD
13FC25,13FCA7,13FE2E
15772F,15772E,15773F
13FDB1,13FB29,13FB3B
1577EF,157692,157591
13FC49,13FAA7,13FD0A
157745,157728,157855
13FB1E,13FCFA,13FCD8
1576CC,157824,15773A
13FDA2,13FCD8,13FD62
157789,1575DD,1576C2
13FD7C,13FDE0,13FC77
1578F9,157675,1578AD
13FC73,13FE1A,13FD68
1575F4,1577E8,1578CE
13FE5D,13FCF7,13FBA5
15772B,15774A,15772E
13FCEB,13FDD8,13FFD8
157596,157710,15789F
13FD20,13FC74,13FD37
157634,1577B1,157673
13FC3E,13FD21,13FE7F
15778E,15786B,157781
13FE1A,13FE57,13FE0C
15770F,1577A6,157859
13FEF9,140091,13FFE9
157982,1578D2,1578A4
1400B8,13FF9D,13FF97
1578D0,1579A5,157968
13FE37,13FE53,13FD98
157988,157855,157A17
13FF1D,13FF97,13FF84
1578EE,157A64,157B3A
140117,13FEB0,13FFB5
1579FA,157793,157B6D
14010A,13FED9,13FF17
15791E,157A95,157A0E
13FF15,1400BC,13FFF2
157A36,1579E1,157813
13FF12,13FED8,14017C
157A8A,157BFF,157BC7
1400E9,1401FB,14019A
157B3E,157935,157B46
140135,14000A,14005C
1579A4,157C47,157D32
140198,140138,140116
157B84,157D41,157AB9
140059,140152,1400A4
157D1A,157BDF,157AFA
14008B,1400B7,140187
157C2F,157DBD,157C69
1400AC,1401DC,1400B2
157ADA,157ABB,157B50
1400DB,1400A8,140314
157AA3,157CA9,157CA5
1401EA,140240,1400E3
157B0B,157B50,157A78
13FEC7,13FF4E,13FD9F
157826,1578D1,157A15
13FDCF,13FD55,13FEEB
157A5B,1578F2,157932
13FCD5,13FE7D,13FFC3
1578A7,1579A7,15764F
13FEDA,13FE35,13FDED
157962,157932,157A30
13FF41,13FFDD,13FF60
15787E,1578A9,157945
13FE03,13FEBB,13FF54
157AD9,157A3E,157AB4
13FEEF,13FF17,13FD41
1578FB,157A1E,15784F
13FE89,13FF97,13FEDE
157A3C,157B6A,157C96
13FFDD,13FFB7,140038
157882,1579D7,15792C
13FFA4,13FEAE,13FFF1
1579C6,157A4D,15799D
13FF8A,13FF3A,14007A
1579BE,1579BB,157906
13FEBC,1400C0,13FFB8
157A66,157B0F,157AB3
13FE94,13FEDF,140010
157A40,157B29,157BB6
13FFF5,13FF3E,13FF74
157901,157AEF,1577F9
13FF50,13FF0E,13FF6C
1578BE,157A83,1578F7
13FF41,14005F,13FF46
157A8C,1579C5,157890
13FFFF,13FFCF,1400ED
157C52,157B2A,157B81
140218,1400FC,140101
157CBB,157E0A,157CEF
140224,1403DE,140302
157D0E,157CD9,157DF9
1402AD,140330,140161
157C81,157D3C,157CB0
1400B9,1401AD,1401BD
157D13,157F25,157C85
14030C,1402A1,14010E
157D5D,157D1E,157C29
14017C,1401CF,14019F
157AEF,157BCC,157CB4
140094,140163,1402AF
157F15,157CCC,157D8F
140302,1402C7,1401F1
157D13,157DF8,157CA5
140174,140254,14018C
157B21,157B6A,157C9A
1401B4,140030,14026C
157CC7,157C6B,157C38
140389,1400C6,140281
157CF0,157D02,157E5D
1403A2,140344,1401E9
157CCF,157D50,157F5E
140402,140358,1404B1
157FF6,157EAF,157DC3
1403EF,1402C6,1401CA
157CC9,157D33,157E32
1402CA,14030A,14038D
156FD3,156F33,156D8D
14052C,1403C9,1402A5
157D66,157DF5,157DF8
1404DF,14017F,14043C
157DCA,157F73,157EB8
14049D,1403C5,14038D
157E8A,157E09,157DE6
1402E4,1403D3,14049D
15809B,157D0D,157D1C
1405C2,1404D6,1402E8
157D9C,157ECB,157EDA
14040B,1402CF,140461
157DFE,157E1C,157E70
140458,1403B8,14041F
157DF7,157E75,157EDC
140635,140341,1404E9
158028,157F4B,15809F
14071D,1405E2,1404AA
157F62,157F1F,158108
1405B8,1404B8,140361
157FF0,158061,157DA7
140535,140532,1406F0
157F0A,157EF9,157EB3
1405DD,14048B,140551
157FF7,158179,158316
14059D,14062F,1405ED
158088,157F74,158069
14051A,1404F7,1404B3
157F9C,158022,1580B6
14054B,140653,1405CF
157EC5,158191,158056
14073F,14061F,140505
158103,1581FC,15818A
140640,1407CD,14074F
158342,158209,1581FE
140622,14083B,14080B
158010,15828E,158295
140872,1407D0,1407B9
158336,1583AE,158212
1407B9,140764,14071A
1581E2,15833B,158180
14081E,1408EE,140B09
158358,1581C9,15817D
140865,1408A8,140818
1583F7,1582E3,158367
1408D2,1408A0,1406FF
1583AB,1581E4,15811D
14086A,1407C4,1407F5
1583D0,15855D,1584CD
140740,140975,14076F
15840D,15828D,158260
1406DA,14098B,140995
158399,158265,15845E
14085C,1409C6,1409C3
158392,1583AB,158396
140927,14097B,140858
158438,158378,1584F3
14097E,140891,140951
158423,158355,15831E
140804,14095A,1409B2
1581E4,15849B,158271
1409FD,140A32,140962
1583C3,158540,1583A4
140939,140922,1409C3
1582A2,158275,15848D
140485,140620,140705
15807D,1580B6,15812A
14074A,140512,14066C
157F19,15809C,157FCF
1405C7,140641,1407C7
15814F,15824F,158070
140623,14078E,14078B
158021,158189,1582B8
1406E7,140508,1405C9
15822D,158150,1580EE
14070B,14079E,14065A
1581CE,15810C,15813D
1405AF,140673,14082C
15820D,15818E,158198
1406BF,1407D2,1408DD
158192,1581AF,1583C5
140907,140759,140873
15833F,1581CC,1583A0
1407EE,140859,140657
1583C7,1580B6,158395
1408F4,1406E3,1408D3
1582DC,1582FA,15839D
1408F9,140675,1406AE
158350,15836D,1584C0
14088E,140860,140813
1583C4,1583E7,158320
1408BB,14089E,140838
158136,1582F2,1583A9
140916,140A05,1407E3
1582DA,158486,1582BB
14084A,140754,1408B2
15819F,158202,158252
1409DB,140901,14089A
158208,1583DE,158479
1408A5,140901,140748
1583ED,158464,1585EB
1408A0,140985,14097C
158367,1582C2,1584D6
140A74,140909,140B11
158410,15847D,15839C
1409C7,140A21,1409CB
1585E5,15837E,15840C
1409C1,140B11,1409D4
1584B4,1583CA,15849F
140B44,140ADD,140A57
1584B6,1585CF,158504
140B5F,14098F,140A56
15870F,1586C0,158745
140B1E,140A73,140D27
158478,1584C4,15867E
1409D2,140B0B,140AAA
158634,158472,1584B1
1409E4,140C04,14095E
1585F7,1585A1,15854D
140A1E,140C61,140AB8
158528,1586EF,15861F
14099D,140B5A,140BDD
158543,158595,15846E
140B33,140A1F,140C5B
158674,158441,15841E
140B28,1409E3,140ADB
15849C,1585ED,1587AF
140BD6,140D15,140CC2
156A46,15692C,156939
140ABE,140C84,140BBD
1585F2,158562,15859B
140C86,140AC8,140CD3
158517,1585E2,15878B
140CB6,140B67,140A12
1586E0,15875A,1586E1
140C30,140C72,140BA1
158774,15886A,1588ED
140C50,140CD1,140DB0
15871F,158702,158927
140EE0,140C30,140D23
158796,158762,158497
140DB9,140E62,140D5D
1585F5,1587EB,1586AF
140C11,140E48,140CCD
1588D8,1588A3,1586E8
140D51,140DD9,140DE9
158917,15870D,15865F
140DE9,140E5A,140D86
1589C3,158863,1589D1
140D3B,140F39,140C6A
15882E,15887B,1588CA
140E8E,140DB0,140E7D
15885E,1589AA,1588AB
140F0F,140C94,140D8A
15896B,15886A,15891E
140F94,140DED,140FB4
158951,158868,1587CB
140D10,140DD9,140E83
158831,1588F5,1588E9
14101D,140DE3,140E44
1586E7,1585C6,1588C2
14107A,141041,140FBE
158A8E,158CB7,158A51
1410D8,1410E3,140FDA
158A66,158A75,158A78
141023,1410F0,141132
1588AE,158A3A,158A32
1410FC,140F8D,14109B
158B7A,158B70,158B4D
140F6A,140ED4,1410BC
1589FF,1588C9,158A5F
1411CD,140F84,14119C
158A1E,158A73,158AB9
1411E8,14125E,141063
158B33,158B68,158BA4
1410AD,140EC2,1412C9
158C59,158C64,158BD6
1411F9,1410B4,140FA3
158B92,158C2B,158CC6
141122,1412E3,141175
158B0C,158CE8,158C52
14115D,1411A2,140F71
158C73,158C2D,158B90
1411A9,14111C,1410B9
158EC7,158DE3,158D64
14128F,1410C3,1411F3
158A6B,158C09,158D10
141217,14117A,1411AA
158C62,158D21,158CEE
14127E,1411E9,14115A
158E8B,158CD8,158C9F
141406,14147D,141399
158B69,158BE2,158BDA
141050,140FD6,140FF9
