{'CALIB_RAW_DAC_START_I': 229376, 'CALIB_RAW_FILETYPE': 'CALIB_RAW_FILETYPE_LIMP', 'CALIB_RAW_DAC_A_INDEX': 2, 'CALIB_RAW_SERIAL': '20190606_02', 'CALIB_RAW_VERSION': '1.0'}
CB9AD,CBA2C,CBB8A
DE131,DE1A1,DE10F
C66D7,C675C,C67E1
DE253,DE289,DE2BF
C696C,C68C7,C6783
DE2CE,DE403,DE2D1
C6866,C6975,C6954
DE32D,DE361,DE35E
C67FF,C65C8,C671C
DE20C,DE31A,DE127
C6721,C6681,C670E
DE350,DE1DE,DE1F0
C699A,C6A37,C685F
DE1CE,DE1B0,DE1D5
C68D9,C671E,C688C
DE0EA,DE27D,DE1ED
C69D7,C6809,C68A6
DE306,DE124,DE1D6
C693E,C6778,C669C
DE214,DE390,DE227
C6829,C669B,C6764
DE265,DE2F4,DE206
C6838,C66CC,C6826
DD6AE,DD657,DD44C
C6F42,C6D40,C6D9D
DEA12,DE8F3,DE8EF
C6F8A,C7073,C6FE6
DE984,DE90B,DEAB9
C6FB7,C6F5F,C709B
DE887,DE867,DE82D
C6F37,C6F54,C6EFC
DEAEC,DE8A0,DEABE
C6F4B,C6ECF,C6E00
DE910,DEAA2,DE946
C6F59,C6F77,C7065
DE965,DEABD,DE9D8
C6FA7,C6F0D,C6FC4
DE8C8,DEA98,DE995
C6EC8,C6E50,C6F78
DEAEE,DEA78,DEA49
C6FF7,C6FBC,C6EDE
DE881,DEB0C,DEA46
C6CF7,C6E58,C6EE9
DE87D,DE892,DE9D4
C701B,C6E92,C6F4D
DE77E,DE9F9,DE77D
C6D65,C6C87,C7024
DE93C,DEA9B,DEB1D
C7106,C7003,C6E6F
DEA27,DE6BC,DEA6F
C6F63,C6F0C,C6DBD
DE6A4,DE750,DE7D8
C6F18,C6FED,C6ED6
DE8E8,DE8BB,DE920
C6F61,C6E7B,C6DC3
DE894,DE872,DE892
C6FB8,C6F78,C6F7D
DE962,DEA28,DE88E
C6DE4,C6F82,C6D02
DE9C5,DEACA,DE8B6
C6E77,C6F3A,C6DFA
DE82D,DE935,DE8B0
C6EA9,C6F62,C6F18
DE8E4,DEB86,DE9B1
C703F,C6F78,C6F09
DEAC3,DEAFE,DEC66
C70B1,C717A,C6FCA
DE994,DEA4F,DEA0C
C6F82,C7041,C6FA1
DEA73,DE9C1,DE964
C6FE3,C712F,C7136
DE88D,DEAB7,DED11
C6EED,C6CE5,C7069
DEB17,DEAA7,DEC13
C72C0,C72C8,C70A4
DEC33,DEB3B,DEBAC
C70E7,C705B,C70A2
DEB21,DE88B,DE927
C6F84,C70E6,C705D
DE8BC,DEAB2,DE9A8
C7014,C7051,C7052
DE9BD,DE899,DEBB2
C6E17,C7080,C6FC8
DEA61,DEB20,DE9A1
C710D,C6F15,C6FE5
DE7F6,DEA2B,DE921
C6F14,C70F3,C6F21
DE97D,DE811,DE97D
C7022,C6F9D,C707E
DE993,DEB49,DE901
C714D,C70B3,C6EDB
DEA76,DE8FE,DEA26
C7120,C6FE7,C6EFC
DE9F0,DEAAA,DECA2
C70BB,C727E,C6F47
DEBA6,DEB79,DE9A1
C7115,C7058,C7205
DEACF,DEBDD,DEA3A
C716B,C6F61,C7018
DEA5E,DEAFB,DEACC
C6FAE,C70B8,C7027
DEB4A,DEA2E,DE92A
C70AD,C70A8,C706E
DEADB,DEBAD,DEC67
C71F4,C71BB,C7042
DEA93,DE9C6,DEC0F
C71FD,C715C,C6EFF
DEB59,DEA48,DEAB0
C7227,C722D,C710E
DEBB0,DEB03,DE8B0
C6F28,C70EC,C70B5
DEC02,DEC36,DEBE3
C7293,C70D3,C70F4
DEC30,DECAB,DEC05
C7108,C713D,C6E8D
DEB14,DEC98,DEA89
C7115,C7070,C71C3
DEC45,DEBF3,DEBD5
C724C,C71FD,C71B6
DEC02,DEABD,DEBEB
C7279,C710F,C71C2
DEA63,DEBD9,DEC0D
C702E,C7138,C7159
DEB3E,DEAF1,DECC9
C70D8,C720E,C7091
DE939,DEAF5,DEB03
C7117,C72C7,C7121
DEB04,DEBF9,DEAA7
C700F,C70E0,C709C
DEB71,DEA94,DECFD
C72A8,C712C,C721E
DEB63,DEDAC,DEAAD
C73A5,C7221,C7116
DEB87,DEAD2,DEAC3
C7275,C7281,C71AD
DEC7C,DEC68,DED1B
C7275,C6EF1,C6FB4
DEA21,DEB77,DE9C7
C710D,C6F42,C6EFC
DEBFD,DED16,DEB0A
C72B1,C7234,C7247
DEA3F,DEC0C,DEB08
C70BD,C70ED,C6F48
DECB3,DED79,DEC97
C71DD,C728F,C7139
DEBD8,DEBD6,DEB33
C711D,C725B,C7270
DEB29,DECFC,DED4D
C712E,C72B7,C72F2
DEB9C,DEC47,DEAEF
C70AA,C73A6,C7020
E355E,E360A,E34C3
C3185,C3144,C33DC
DAD1E,DAC2D,DAB60
C3210,C3197,C3286
DAC7C,DABCB,DADA1
C33AA,C3368,C313F
DAE40,DAC4E,DAA11
C317E,C31E9,C2F51
DAB61,DACA4,DAD17
C3166,C3131,C321F
DABBC,DAB72,DAD0B
C33FE,C3190,C32A1
DAB72,DADC5,DACDA
C3206,C33E2,C3344
DACB3,DACFF,DAD35
C3282,C31C4,C3316
DAD86,DACD8,DAE74
C32BE,C326B,C3119
DAB40,DAC78,DAD55
C317D,C330F,C31EF
DAD83,DADA4,DAE01
C3295,C324D,C32AA
DADB9,DAC40,DAD1B
C328E,C33F8,C3410
DADFB,DAF3C,DAF92
C3296,C33A8,C339F
DAE51,DAD6D,DAE16
C348D,C3255,C3374
DAC5F,DAFFD,DAC79
C32B1,C32ED,C335E
DAF69,DABC0,DADE7
C31F3,C32EA,C32B3
DAE22,DABAF,DAE0E
C33EB,C32A6,C326D
DAE7A,DAE72,DAED5
C35F8,C329C,C3305
DAED8,DAE40,DAE28
C3234,C330D,C3491
DAD74,DACD3,DAB6B
C345A,C3357,C3438
DAE73,DAF97,DAD96
C348B,C3211,C355F
DAE81,DB079,DAE60
C33A0,C3434,C320A
DAE96,DADEA,DAE15
C3534,C32F6,C3377
DAD6B,DAF9B,DAEBB
C35C7,C3541,C34D8
DAFBD,DB111,DAE9C
C351B,C3431,C3754
DAED1,DAEF7,DAE06
C3499,C32A7,C32AE
DAEBE,DADDD,DAEFE
C3588,C3533,C3509
DAF35,DAFB1,DAF85
C355A,C350E,C34E8
DAFDF,DAEEF,DAF98
C34C7,C35E3,C357A
DAEF8,DAEC8,DAF42
C3607,C34D7,C340E
DB10C,DB0AD,DB07D
C347E,C3595,C36D1
DAF97,DB008,DB164
C3533,C3685,C35AE
DAE7A,DAE33,DAE5D
C35B4,C354D,C3588
DB018,DAF92,DB077
C3610,C3558,C34F3
DB05F,DAFF3,DB037
C34BD,C3548,C353B
DAE98,DB08B,DB18B
C35E9,C361B,C3670
DAF9D,DAFAB,DB158
C34CC,C35FF,C3411
DB0FF,DADF7,DB076
C3373,C360E,C3506
DAFC9,DAF40,DAFB6
C35C6,C33F9,C3556
DB0C4,DAE78,DB0DC
C34CE,C34E3,C359B
DB065,DB111,DB023
C34FD,C3467,C3662
DAE90,DB020,DB033
C3429,C340E,C353A
DB1C1,DAFF3,DAE73
C35E4,C3701,C3520
DB14F,DAEC6,DB14A
C3674,C364A,C3611
DAFC7,DB13B,DAECD
C35EB,C3469,C3685
DAFDA,DAFCF,DAF6A
C345B,C34F4,C3480
DB0EB,DB09E,DB061
C3450,C3311,C34F6
DAF29,DB213,DB053
C3696,C34E7,C34F6
DB1BA,DB035,DB012
C386D,C3487,C360A
DB0C1,DB215,DB1FA
C358E,C35D0,C3705
DB087,DB276,DB083
C38A5,C36C7,C36BD
DB0E8,DB11F,DB382
C3677,C3463,C35E5
DB161,DB1AC,DB0EB
C368A,C36A0,C3717
DB32A,DB173,DB317
C3740,C3699,C3742
DAF6F,DB090,DB11A
C37F8,C37AA,C3934
DB1C0,DB3C9,DB211
C3873,C3798,C3962
DB38D,DB38E,DB318
C3A77,C38EF,C38BD
DB1DA,DB102,DB234
C365A,C3926,C38A5
DAFF8,DB34B,DB1AE
C36DA,C3885,C36F2
DB0C2,DB219,DB392
C3827,C3787,C375B
DB1A9,DB1CF,DB27E
C3A55,C398A,C3992
DB360,DB27C,DB160
C38CC,C3ABF,C3ABD
DB414,DB281,DB167
C393A,C37BB,C3949
DB37D,DB241,DB2AD
C39D4,C3945,C3924
DA54A,DA703,DA5F2
C4048,C4091,C3EAA
DB816,DB7E6,DB93C
C3F76,C3F7A,C3EF9
DBAD2,DB9E7,DB79B
C4072,C3EC5,C3E7B
DB850,DB6D6,DB817
C3E53,C3D9F,C3EC2
DB937,DB91E,DBB37
C4119,C3FCB,C3EB8
DB953,DB89F,DB8E9
C3EE5,C3DA3,C3E19
DB83D,DB9ED,DBB03
C3DFD,C3FED,C4068
DB86D,DBA5C,DB908
C3E0E,C3E63,C3EDB
DBA8B,DBC88,DBA34
C3EE5,C402C,C40DC
DB993,DBA94,DB947
C3FA6,C3DCC,C3F96
DBA71,DBA7F,DBC75
C3F6C,C400B,C40FC
DB9E1,DB90A,DBA77
C3EA8,C3E92,C3F00
DBAEF,DB9D5,DBAE3
C41A2,C40E1,C4065
DBB1B,DBBC5,DBA1F
C423E,C4099,C402B
DBC4B,DBAA4,DBA7F
C4026,C4191,C3FCA
DB96A,DBBF1,DBC03
C3F44,C3E94,C3E9C
DBA51,DB910,DBB00
C3F00,C40E1,C4010
DBA5C,DBC34,DB923
C4019,C3F78,C42C9
DBA6A,DBAB1,DB95A
C40CE,C4115,C3EBE
DBB2F,DBA82,DBBF2
C41BC,C3FCC,C41FD
DBCF6,DBD64,DBC8D
C40FD,C4195,C40CE
DBB44,DBDE0,DBB9F
C4138,C4132,C428C
DBB70,DBCD7,DBA6A
C4253,C41DC,C4342
DBBE7,DBC9F,DBC86
C42CF,C4284,C42B3
DBE4C,DBE3C,DBE38
C4230,C3FE2,C423B
DB962,DBAB5,DBC62
C434B,C430A,C4182
DBE70,DBD12,DBD54
C41EA,C4266,C3FC2
DBA9C,DBC12,DBD16
C42A8,C41D3,C4238
DBB89,DBC7C,DBAF4
C4284,C40EC,C41B3
DBB12,DBC52,DBB0C
C41CF,C415F,C40FD
DB9AB,DBBEF,DBD28
C4165,C4230,C4255
DBB9E,DBC43,DBD82
C411F,C3F76,C4267
DBA65,DBB1B,DB96F
C406D,C4006,C4078
DB961,DBC2F,DB8F4
C41BB,C414C,C4070
DB990,DBC68,DBB96
C4339,C403C,C411E
DBBEB,DBB0D,DBAED
C40F5,C4060,C41F5
DBC96,DBD2F,DBD6B
C420C,C4123,C41FA
DBC2F,DBBAA,DBC42
C427A,C4064,C429A
DBD6C,DBA88,DBA94
C4228,C42C3,C40E7
DBC2C,DBDEC,DBD00
C4139,C438F,C41CD
DBC69,DBF1A,DBEC5
C4450,C428D,C3F62
DBC0F,DBC9C,DBC7C
C426A,C40AF,C4244
DBD3B,DBAE9,DBC42
C4230,C43B5,C424F
DBBA8,DBC63,DBB3B
C42B9,C41E0,C4099
DBBF5,DBC3D,DBC18
C41A7,C4299,C407C
DBC6F,DBC99,DBC4A
C43DE,C405E,C410A
DBBED,DBE30,DBEE4
C4168,C420D,C4395
DBCAF,DBD6A,DBCFD
C424A,C40B4,C4226
DBC74,DBCAF,DBCD7
C4202,C413C,C40DA
DBAFF,DBBDC,DBAE8
C41D4,C423D,C41BB
DBC5F,DBC28,DBB1B
C419F,C42B3,C4086
DBD67,DBC06,DBC8E
C4258,C41AF,C42F3
DBC51,DBBF8,DBDA7
C41BD,C43C7,C4260
DBDC5,DBEA9,DBE2D
C42EC,C426D,C420C
DBDA1,DBCF5,DBC49
C433A,C43FF,C4395
DBDA0,DBE2B,DBDFC
C44E0,C425B,C42CB
DBECE,DBF51,DBD8B
C42AD,C4371,C42A0
DBCA6,DBD80,DBD06
C428D,C4272,C41A7
DBC5E,DBD9C,DBC30
C420D,C42EF,C4225
DBD7B,DBBEC,DBC5E
C42FE,C432D,C43A9
DBDEB,DBDD9,DBD05
C44A8,C41F9,C43D3
DBDD3,DBE42,DBF3E
C43F3,C4433,C43D5
DBCA6,DBD94,DBD3F
C43D1,C434D,C43BD
DBDAC,DBFC1,DBC9B
C44B6,C4461,C4494
DA7D7,DA9CE,DA7A1
C42D8,C412C,C4030
DBB12,DBC0A,DBAAA
C40D0,C3FC0,C3F7D
DBCCF,DBAFD,DBB5B
C419F,C3E9E,C4003
DB8E5,DBB20,DB957
C411E,C410C,C40C2
DB862,DBB28,DBD29
C4107,C40D7,C409A
DB9FC,DBAEB,DBB7E
C423A,C40E1,C4213
DBA1E,DBBBF,DBB77
C41F3,C4295,C4189
DBB21,DBB50,DBA8A
C403D,C41BD,C4011
DBB14,DBC57,DBCE5
C3FFE,C3FF6,C4170
DBCB3,DBAE8,DBB11
C40EC,C40F8,C4154
DBD25,DBDD0,DBC86
C4227,C413F,C41B3
DBC70,DBC2D,DB9F2
C41E2,C411F,C40C9
DBDD6,DBD48,DBCE1
C4162,C4293,C41F5
DBD42,DBDDA,DBE61
C4322,C4140,C41C1
DBB14,DBD09,DBAB7
C4152,C41CA,C4338
DBB7C,DBD63,DBC18
C4109,C41B1,C419F
DBD26,DBC3F,DBDD2
C425C,C41F8,C42CA
DBCB7,DBD9C,DBE4B
C428D,C42C4,C4136
DBBD4,DBC8C,DBB2C
C4258,C40F2,C420E
DBC16,DBBD4,DBD38
C4399,C41AF,C427A
DBC44,DBD4E,DBD8F
C4243,C43A6,C4408
DBD29,DBC97,DBBE4
C424A,C4305,C4268
DBE39,DBFD4,DBD02
C4522,C42A7,C42FE
DBDA3,DBE12,DBC6D
C4409,C4285,C40F9
DBDD0,DBBF9,DBF16
C431F,C4229,C4180
DBC22,DBCC6,DBEB3
C40A9,C4187,C429C
DBD6F,DBB3D,DBD0C
C4338,C4383,C40E7
DBC12,DBCC7,DBAD2
C420E,C4322,C4470
DBD08,DBEFF,DBEE2
C4235,C4400,C4494
DBC7F,DBD9A,DBEA4
C434E,C43CA,C4448
DC089,DBE66,DBE2E
C42FE,C4260,C43E5
DBB5A,DBE00,DBD4F
C43F8,C4415,C4438
DBD0C,DBD68,DBC59
C4521,C4369,C4164
DBDB4,DBF20,DBE5E
C464C,C444C,C44A8
DBD9F,DBDBD,DBE6F
C4402,C4458,C439D
DBDA7,DBDAE,DBE0A
C4343,C44CD,C438A
DBC61,DBD6C,DBC99
C45FE,C42A4,C44C5
DBCD2,DBF9C,DBDAF
C43E8,C42F0,C42D0
DBDB0,DBEFB,DBFA9
C4372,C4481,C4382
DBE68,DBDEA,DBEBA
C4391,C44B7,C43E8
DC0CD,DC022,DBF63
C437F,C458C,C4502
DBE02,DBDE7,DBFF3
C43D4,C432C,C4446
DBBB6,DBE52,DBCDF
C43BD,C4340,C422F
DBE02,DBC7B,DBEAC
C43CD,C4368,C425C
DBCDE,DBDC0,DBD64
C443C,C42F2,C450F
DBDE4,DBD45,DC1F9
C43AA,C443C,C468D
DBE0F,DBD83,DBE20
C41B5,C4573,C43CB
DBF17,DBD18,DBC2A
C43FB,C42C3,C438B
DBE26,DBE44,DC08B
C4435,C449D,C443A
DBEE0,DBD7B,DBE41
C451B,C458C,C41C0
DBE75,DC05A,DBF62
C4148,C446D,C422C
DBD8C,DBEA9,DBF3A
C4429,C4344,C43D3
DBDE7,DBE85,DC063
C428C,C45C1,C4460
DBE4A,DBE63,DBD20
C44F4,C453F,C448B
DC193,DBEA5,DC11A
C44B5,C455C,C4412
DBFB6,DC124,DC040
C447E,C460D,C458A
DBF8D,DC0B2,DC192
C457D,C4463,C4522
DBEBC,DC00D,DBF7F
C44A8,C462E,C4554
DBE20,DC17F,DC27C
C453B,C4469,C44FF
DBF45,DBE32,DBF60
C464F,C443B,C46C5
DBFE5,DC0AB,DC0A6
C4586,C4598,C46F2
DC123,DBF73,DBEB1
C446A,C4582,C465F
DBEDB,DC224,DBF28
C4547,C43FC,C4501
DBF7E,DBF61,DC0A1
C4435,C44AA,C455E
DB38A,DB4EA,DB327
C4AD6,C4B7C,C4B04
DC46A,DC6DD,DC479
C4C2D,C4BEA,C4B21
DC66C,DC688,DC5DB
C49EF,C4C7F,C4D3D
DC502,DC4D3,DC65A
C4B98,C4A84,C4AF4
DC6D0,DC7E2,DC6A0
C4E12,C4CFE,C4CBC
DC5D4,DC806,DC743
C4D0B,C4CA9,C4CA7
DC67D,DC6A1,DC63A
C4CE7,C4B53,C4CFC
DC6EA,DC6F6,DC8BC
C4E16,C4D5D,C4CFE
DC7DC,DCAC4,DC8BF
C4D2C,C4CB3,C4C83
DC691,DC531,DC7FA
C4E7D,C4D0C,C4C55
DC709,DC681,DC57C
C4D74,C4D77,C4CD8
DC66F,DC619,DC752
C4C08,C4BDC,C4E28
DC5CB,DC7C9,DC746
C4B43,C4CE7,C4B11
DC4E0,DC717,DC72F
C4D4D,C4C8E,C4B82
DC7BD,DC8B9,DC68B
C4CEA,C4E14,C4C3E
DC5E6,DC502,DC79B
C4CF6,C4B82,C4DC2
DC690,DC8D4,DC7C3
C4D7A,C4BD4,C4BFB
DC73E,DC87E,DC90F
C4D6C,C4DA0,C4CDE
DC711,DC6E7,DC7D2
C4CF3,C4C75,C4F02
DC605,DC639,DC705
C4E52,C4DFD,C4CA0
DC739,DC843,DC5EB
C4C16,C4C62,C4DE7
DC535,DC736,DC7D1
C4C52,C4D33,C4E77
DC64E,DC71F,DC7A8
C4C32,C4E1C,C4E63
DC744,DC717,DC682
C4F48,C4E27,C4EB5
DCA0C,DC867,DC957
C4EE8,C4CBA,C4DA4
DC685,DC7A0,DC92A
C4E1C,C4C8B,C4CD1
DC838,DC745,DC727
C4C26,C4D49,C4DBD
DC81C,DC76F,DC762
C4D19,C4BAB,C4E51
DC5BD,DC71E,DC705
C4D0D,C4D0F,C4F0F
DC572,DC78F,DC6F8
C4E04,C4BF8,C4D6C
DC788,DC83C,DC8DD
C4DA4,C4D21,C4C67
DC7A5,DC77B,DC8AF
C4D7A,C4E7A,C4E5A
DC854,DC8BC,DC775
C4D93,C4D6C,C4D97
DC6B2,DC808,DC8AA
C4C8A,C4EA9,C4CC1
DC7EB,DC7CF,DC708
C4D0D,C4D7E,C4D37
DC7A0,DC752,DC690
C4E4F,C4D8C,C4AF3
DC6C7,DC646,DC838
C4CA8,C4BB6,C4D91
DC731,DC794,DC73F
C4DB9,C4CF2,C4C36
DC73C,DC75D,DC6BA
C4D75,C4EBB,C4CB8
DC6B2,DC793,DC751
C4D78,C4BB5,C4CDF
DC994,DCA1E,DC9A2
C4C35,C4DCC,C4C25
DC6EA,DC79A,DC6D7
C4C45,C4D4F,C4B52
DC5BF,DC4C5,DC727
C4CD3,C4B8F,C4BD7
DC747,DC7B7,DC8CF
C4C48,C4D27,C4DFC
DC7F2,DC90C,DC820
C4D08,C4D01,C4D13
DC731,DC6DF,DC7D2
C4C7B,C4BAE,C4B0D
DC7EA,DC730,DC847
C4CDF,C4CB9,C4D94
DC607,DC89F,DC646
C4AB9,C4D06,C4CAD
DC65D,DC934,DC7B5
C4F90,C4D35,C4E3E
DC402,DC6D2,DC787
C4C35,C4DD9,C4DC0
DC857,DC745,DC7B2
C4C64,C4CD9,C4F21
DC88D,DC7A8,DC902
C4F33,C4E4F,C4E87
DC761,DC8DD,DC88D
C4DEC,C4B95,C4D87
DC6CB,DC968,DC8D3
C4D6A,C4F7D,C4E91
DC725,DC9E0,DC7D2
C4DC2,C4EB7,C4D29
DC8CE,DC98D,DC7D5
C4DF0,C4F56,C4E13
DC985,DCAC5,DC9B8
C4E29,C4F89,C4E03
DC940,DC85B,DC8AC
C4F1D,C4E7D,C4D36
DCA33,DC90E,DCA3F
C4F1E,C4DB5,C4F48
DC7C1,DC8B0,DC753
C4DF1,C4D96,C4F33
DC875,DC64D,DC7FA
C4DC5,C4D7D,C4EEF
DC9BA,DC885,DC923
C4E7F,C4D10,C4DBB
DC845,DCA3F,DC87C
C4E11,C4DE1,C4F0B
DC7FC,DC726,DC89A
C4C96,C4ECF,C4DF0
DC9F6,DCCCC,DC984
C48A7,C49BE,C4B10
DC68B,DC4ED,DC26E
C48DB,C47F7,C4964
DC457,DC53D,DC2F1
C4B5A,C49CC,C4A64
DC492,DC4D1,DC425
C4A2A,C4B04,C4BA4
DC52E,DC5CD,DC414
C4A9A,C4AA4,C4A94
DC4F5,DC5B5,DC336
C4B78,C4BC1,C4B00
DC331,DC418,DC339
C49FF,C4C44,C4B47
DC4C9,DC322,DC3BA
C48C3,C4881,C492F
DC527,DC3B2,DC5BA
C493B,C4B71,C49F4
DC56D,DC4EE,DC555
C4A89,C4A22,C4A1C
DC5B1,DC333,DC591
C4A44,C4A8A,C485A
DC68A,DC460,DC6A7
C4ADD,C4ACB,C48E2
DC55D,DC529,DC739
C4B22,C4A6B,C4992
DC3EC,DC571,DC557
C4BCE,C4B2A,C49F2
DC71D,DC56C,DC3BD
C49FD,C4B08,C4ADA
DC47D,DC4C7,DC520
C4A0F,C4A42,C4AC5
DC594,DC5F4,DC458
C48B8,C4B35,C4BEE
DC4FC,DC797,DC5C7
C4BB8,C4BD4,C4AD7
DC872,DC580,DC630
C4B65,C4C6C,C4DEA
DC611,DC4EC,DC6FE
C4AC1,C4ABF,C4C34
DC6EA,DC633,DC5C8
C4D4E,C4B08,C4D4A
DC729,DC5B5,DC6F3
C4BB3,C4DC9,C4B5A
DC852,DC8F5,DC879
C4DD1,C4DFD,C4D65
DC57A,DC5A8,DC702
C4B7D,C4C18,C4B2F
DC754,DC7C1,DC891
C4DDF,C4D84,C4DC3
DC750,DC6A5,DC671
C4D83,C4D91,C4BA3
DC62F,DC8CE,DC78D
C4C40,C4DF4,C4B44
DC6A6,DC5C1,DC6D9
C4BDD,C4C69,C4B96
DC7E9,DC494,DC8A1
C4D72,C4D6B,C4BA4
DC981,DC83F,DC6FD
C4BEF,C4AF7,C4DAF
DC77E,DC640,DC6E7
C4E9B,C4E04,C4D0F
DC6AB,DC771,DC676
C4E75,C4CEC,C4CBC
DC853,DC7D0,DC8EE
C4CF2,C4D40,C4C9C
DC66A,DC604,DC6D6
C4B91,C4C2B,C4D31
DC8E0,DC7AB,DCA21
C4E55,C4D4E,C4E77
DC6FB,DC9B7,DC854
C4CB1,C4E5B,C4E10
DC7C6,DC9DE,DC9C0
C4CE8,C4E0A,C4D64
DC7DE,DC803,DC5F5
C4DCD,C4DC9,C4D9D
DC8D0,DC6A7,DC88C
C4DFF,C4C0E,C4BF2
DC728,DC8A7,DC81C
C4D03,C4DC3,C4E26
DC891,DC99E,DC758
C4DFD,C4C3C,C4DDA
DC67A,DC76B,DC759
C4BB8,C4DFE,C4D55
DC8C8,DC675,DC8B8
C4D1C,C4C74,C4DE7
DC6D3,DC89F,DC7D0
C4D8F,C4C53,C4E54
DC8F4,DC8DB,DC905
C4D46,C4E5F,C4DEE
DC7F8,DC811,DC842
C4EA9,C4E2E,C4D29
DC846,DC84B,DC820
C4EF0,C4F4D,C4E0B
DC816,DC997,DC7B2
C4DCD,C4CA1,C4FF8
DC78F,DC78D,DC783
C4E01,C4D06,C4CAE
DC76F,DC6F0,DC8AC
C4E02,C4E50,C4E01
DC78C,DC808,DC92F
C4FCC,C4DF3,C4E8F
DC905,DC784,DC835
C4D2D,C4D81,C4E70
DCA59,DC9FA,DC850
C5000,C4E16,C4DB8
DC768,DCB0D,DC89D
C4F7B,C5020,C503D
DCAB1,DC857,DC8E7
C500B,C50D5,C4EC9
DCAF4,DC90F,DC916
C4F4F,C4F7E,C4F62
DCB48,DCA2F,DC9E3
C4DD7,C4E2E,C4E19
DC977,DC7FA,DC94F
C4EE6,C4FAF,C4FB9
DCA18,DC998,DCAB9
C518C,C4EBE,C4E5D
DC6F7,DC89C,DC95E
C4EA7,C4EDC,C4CF4
DC693,DC94C,DCA9E
C4DD6,C4F23,C5041
DC8A6,DC977,DCAA4
C4FF5,C4F50,C4F28
DCA54,DC94E,DC713
C4E38,C4E4D,C4E4B
DC8B2,DCA88,DCA7A
C5070,C5030,C5091
DC03C,DBD96,DBDFD
C5695,C5773,C56B4
DD08A,DD13B,DD18A
C5474,C551A,C53C2
DD17F,DD0AD,DD069
C555B,C5460,C52F7
DCFFF,DCFBD,DCE78
C562B,C5567,C5440
DD05F,DD034,DD17B
C55D9,C573A,C55E4
DD0DD,DCF8F,DCF07
C54D5,C563B,C555A
DD1E5,DD131,DCF1D
C55D0,C56E2,C55C4
DCF84,DD0A3,DCE6F
C549F,C5661,C56DD
DD0E1,DD007,DD001
C5693,C5522,C55DE
DCDAE,DCFAE,DCFF9
C572F,C55E8,C581C
DD042,DD0E8,DD0B4
C541F,C54A9,C55D2
DD094,DD06E,DCF53
C54AC,C5447,C561D
DCFC3,DD04A,DD19A
C58C6,C570F,C55C5
DD0C2,DCF79,DD13F
C568C,C5745,C5785
DCF15,DD1CD,DD166
C55F8,C5739,C579E
DD0A5,DCE68,DCE61
C558F,C57BA,C5666
DD19D,DD1E2,DD2C6
C580E,C56D2,C56FE
DD069,DD0E0,DD199
C55BF,C56D2,C5751
DD0D6,DD345,DD238
C57C0,C575B,C5957
DD2B0,DD234,DD38E
C56F0,C570B,C570C
DD20E,DD2B3,DD015
C5727,C5720,C5883
DD12D,DD30F,DCFD1
C5683,C55D3,C5669
DCF36,DD1D7,DD199
C5690,C584A,C5689
DD0E9,DD0CC,DD115
C59E3,C5761,C55ED
DD195,DD2EA,DD28C
C568F,C56DE,C563A
DD16D,DD347,DD201
C56C7,C588E,C5868
DD133,DD180,DD0CF
C5604,C57FA,C58C4
DD18A,DD24D,DD375
C58C8,C5562,C5828
DD274,DD490,DD383
C5A19,C598B,C5781
DD1DF,DD2CB,DD0CD
C57B6,C57C4,C5709
DD222,DD29E,DD104
C551D,C57F2,C5A63
DD303,DD363,DD297
C57C6,C55DB,C56E3
DD0FE,DD0F7,DD06A
C580D,C58F0,C56FB
DD185,DD06F,DD150
C5645,C58C4,C56D5
DD297,DD081,DD098
C585A,C5837,C5762
DCFCF,DD154,DD228
C5770,C5693,C57B2
DD1AC,DD3B2,DD1B9
C55E1,C5858,C588A
DD1AF,DD1C8,DD24F
C59C3,C5805,C59CA
DD26F,DD39A,DD2CB
C58A9,C5858,C594A
DD245,DD235,DD23F
C58B5,C5889,C57BA
DD64E,DD3A2,DD4A8
C5873,C579D,C590D
DD097,DD02C,DD33C
C590A,C5838,C580C
DD186,DD265,DD431
C592B,C5885,C58FE
DD393,DD298,DD25A
C589C,C57A0,C58CD
DD19D,DD36D,DD312
C59BD,C59E7,C58D0
DD18C,DD32A,DD38F
C586C,C56FE,C5913
DD1EA,DD3B7,DD224
C59C2,C596B,C5977
DD465,DD2F5,DD33E
C5A0F,C588A,C591B
DD464,DD1FF,DD4A7
C5A4A,C58EC,C59EA
DD23E,DD28F,DD0C6
C57F3,C59D1,C58AF
DD3F5,DD439,DD3B8
C582D,C5AEB,C583B
DD33D,DD206,DD361
C58E9,C5768,C59A5
DD36A,DD2DF,DD2E7
C5934,C59CF,C5B8E
DD349,DD24C,DD43B
C5A7A,C5839,C5913
DD546,DD431,DD2EC
C5903,C5967,C58EE
DD335,DD27C,DD343
C593A,C592E,C5B1A
DD565,DD290,DD3E4
C5A0E,C59FF,C58FD
DD2EF,DD206,DD4A6
C59A5,C58F2,C5BD0
DD533,DD49B,DD537
C5A99,C5B56,C5ABA
DD378,DD4D4,DD66A
C5C15,C5A57,C5B32
DD5E5,DD710,DD587
C5897,C5A42,C5A9D
DD56E,DD469,DD591
C5ABE,C5BA0,C59E1
DD5DB,DD47A,DD5E4
C5B9E,C5A9C,C5CC6
DD35F,DD5BB,DD69B
C599B,C599B,C595E
DC28C,DBFD2,DC0C6
C588E,C577E,C5886
