{'CALIB_RAW_DAC_START_I': 229376, 'CALIB_RAW_FILETYPE': 'CALIB_RAW_FILETYPE_LIMP', 'CALIB_RAW_DAC_A_INDEX': 2, 'CALIB_RAW_SERIAL': '20190606_02', 'CALIB_RAW_VERSION': '1.0'}
CB9AD,CBA2C,CBB8A
E4C54,E4DBF,E48E4
CD03A,CCF42,CCF72
E4A2A,E4B42,E4AF3
CD232,CD07B,CD26F
E4C75,E4C77,E4ABE
CD08F,CD019,CD139
E4AF0,E4BDC,E4BF6
CD08A,CD024,CD2FC
E4993,E4AD2,E4A2B
CD1FF,CD0A1,CD25E
E4BCA,E4C84,E4CC9
CD3F9,CD113,CD270
E4B31,E4B5A,E4BA9
CD026,CCFDD,CD03B
E4C3E,E4CDE,E4BD1
CD1E0,CD0D7,CCFC4
E4D3A,E4C96,E4BF2
CD1D1,CD07A,CD110
E4AB5,E49BB,E4A10
CD0CD,CD14B,CD095
E4B16,E4AD9,E4AF6
CD029,CD126,CD297
E4C44,E4E01,E4B37
CD0A7,CCFD6,CD08C
E4B3B,E49FE,E4B5D
CD012,CD124,CD0D7
E4EDF,E4C48,E4DE9
CD37E,CD2C0,CD1E2
E4BC6,E4B6F,E4B85
CD1AE,CD2CF,CD147
E4CC1,E4D3D,E4D1E
CD1C3,CD1E4,CD18D
E4CED,E4BDF,E4C28
CD457,CCF5D,CD113
E4B39,E4C5B,E4C47
CD0BE,CD24F,CD380
E4E55,E4E3C,E4D19
CD442,CD1B6,CD2A1
E4BC4,E4D58,E4E29
CD204,CD297,CD1E7
E4BA3,E4B71,E4C0F
CD202,CD17A,CD044
E4D6C,E4EB7,E4BF0
CD30F,CD1B3,CD439
E4B51,E4D61,E4C98
CD255,CD1DB,CD462
E4E46,E4CE7,E4DD9
CD35A,CD3B2,CD2AC
E4C27,E4C4E,E4C34
CD29D,CD119,CD340
E4C0B,E4D18,E4CCC
CD1BE,CD3E0,CD1D6
E4D6B,E4CF3,E4C6F
CD258,CD147,CD22F
E4D8B,E4D28,E4E03
CD3CC,CD337,CD207
E4C17,E4CBD,E4C90
CD071,CD0FE,CD223
E4CDC,E4EA0,E4DA3
CD49B,CD476,CD2B9
E4D7B,E4BD8,E4BCC
CD3C5,CD448,CD3E0
E4D5D,E4D91,E4EB4
CD2B9,CD336,CD384
E4C69,E4BD7,E4C2D
CD1B2,CD348,CD2EF
E4D71,E4E03,E4D55
CD38B,CD50E,CD32D
E4BDE,E4E41,E4D38
CD362,CD379,CD458
E4CED,E4C3D,E4BEF
CD382,CD106,CD3DF
E4BBE,E4EB1,E4C08
CD317,CD24C,CD150
E4CB0,E4C86,E4C4E
CD422,CD27D,CD337
E4CC8,E4DA4,E4CFC
CD3FC,CD276,CD302
E4F45,E4DA2,E4F45
CD50E,CD22A,CD2D2
E4EAD,E4CBD,E4E58
CD225,CD36A,CD463
E4B3C,E4CEC,E4CC2
