{'CALIB_RAW_DAC_START_I': 327680, 'CALIB_RAW_FILETYPE': 'CALIB_RAW_FILETYPE_LIMP', 'CALIB_RAW_DAC_A_INDEX': 4, 'CALIB_RAW_SERIAL': '20190606_02', 'CALIB_RAW_VERSION': '1.0'}
-C39AA,-C39A6,-C38F1
-AC061,-AC0EE,-ABFF8
-C3A5E,-C3A28,-C39C3
-AC0D8,-ABF9B,-AC01A
-C3B54,-C3CB2,-C3A88
-AC1F6,-ABF8F,-AC1B1
-C3B69,-C3A6D,-C3C6C
-AC142,-AC17D,-AC07A
-C3B3C,-C3B9F,-C3B84
-AC216,-AC130,-AC050
-C3C4C,-C3B0D,-C3B60
-ABFEE,-AC1D2,-ABF88
-C3C9E,-C3B95,-C3BB2
-AC229,-AC356,-AC15A
-C3A79,-C3B0F,-C3CCC
-ABF81,-AC024,-AC0EE
-C3A5D,-C3B28,-C3ABD
-AC171,-AC04E,-AC06C
-C3B7B,-C3C29,-C3C17
-ACEA5,-ACD9D,-ACE42
-C3684,-C3589,-C36ED
-ABD1F,-ABC50,-ABB11
-C365B,-C3673,-C36A7
-ABD2C,-ABC57,-ABC35
-C37C2,-C3711,-C3715
-ABE87,-ABCD9,-ABC74
-C3432,-C3911,-C3773
-ABF85,-ABDB7,-ABF6D
-C394B,-C377D,-C38D9
-ABEEF,-ABEAE,-ABDC4
-C3AAA,-C3A59,-C3902
-ABF84,-ABDE5,-ABC78
-C399D,-C38CE,-C393F
-ABD87,-ABFB4,-ABE89
-C3A04,-C3984,-C38D6
-ABF39,-ABE0F,-ABC9D
-C39BE,-C380E,-C3763
-ABF91,-ABDF1,-ABEC5
-C37F3,-C3797,-C3687
-ABD25,-ABD53,-ABDF1
-C3749,-C379F,-C3759
-ABDB3,-ABF83,-ABE49
-C3830,-C379B,-C388D
-ABEF2,-ABEAE,-ABFC8
-C38DE,-C3854,-C39AA
-AC0C9,-ABE8E,-ABE14
-C387F,-C3940,-C387A
-ABDFB,-ABF41,-ABF2A
