{'CALIB_RAW_DAC_START_I': 950272, 'CALIB_RAW_FILETYPE': 'CALIB_RAW_FILETYPE_LIMP', 'CALIB_RAW_DAC_A_INDEX': 8, 'CALIB_RAW_SERIAL': '20190606_02', 'CALIB_RAW_VERSION': '1.0'}
-98CDC,-98BDB,-98CE5
-812F6,-81173,-8108C
-98AC7,-98D0A,-98EA2
-811DE,-8126E,-81197
-98BC7,-98E5B,-98C69
-81100,-810E5,-810CB
-98DEA,-98C86,-98BB2
-8110C,-81389,-81138
-98F54,-98C28,-98C28
-80FDE,-811B5,-8113C
-98B57,-98C79,-98BF3
-8109E,-81195,-81138
-989FB,-98AB4,-98B90
-81470,-81174,-811F1
-98DA0,-98EBD,-98E6D
-812A6,-8135B,-812A1
-98E3E,-98FF0,-98FD7
-814DE,-813C3,-8140E
-98C75,-98DA5,-98DD6
-81338,-8128A,-81103
-98C57,-98C70,-98CB7
-813AF,-81201,-81117
-98DD5,-98D33,-98CE9
-81377,-81306,-81270
-98BBA,-98C2A,-98EAF
-8115C,-81333,-81264
-98C6F,-98D2E,-98D22
-8140F,-81230,-811EA
-98AB4,-98D19,-98C34
-8107D,-8106F,-8118B
-98B2C,-98CD2,-98ABD
-80FB9,-8116B,-8116E
-98CDA,-98DA3,-98C8A
-810F9,-81051,-8100F
-98A31,-98B79,-98BE1
-812AD,-81105,-810A4
-98986,-98A51,-98C5D
-81181,-810ED,-81067
-98C06,-98B9F,-98AFB
-8117A,-810FF,-8115F
-98B15,-98B05,-98B39
-810DF,-80FF9,-811FD
-98B45,-98C03,-98D54
-8110A,-81130,-81344
-98E02,-98CE4,-98C2B
-80D66,-80F13,-81166
-989A5,-98BF2,-98A60
-81016,-80E60,-8106A
-9892B,-98BFB,-9888D
-80ED5,-80F9F,-81058
-989FE,-989D9,-9883D
-80FDF,-80F26,-80F7A
-988BF,-987CD,-98BDD
-80EE5,-80E64,-81007
-9889B,-987E8,-989D7
-80DEF,-80F0F,-80E65
-98A3C,-989F4,-989BF
-80DE5,-80E14,-80F14
-988E4,-988E4,-9885B
-80D51,-80DC6,-80EFC
-98A23,-989C1,-989D4
-80EC8,-80D89,-80E85
-988CE,-98945,-98A62
-80FC7,-80F0F,-80F2B
-989C5,-989E0,-989A7
-810BD,-80E82,-80E48
-987FD,-989DE,-988AA
-80CDE,-80DAB,-80E28
-987A3,-98964,-98937
-80ECB,-80E90,-80FDD
-987BC,-987DB,-98909
-80E83,-80E5A,-80C91
-98810,-98878,-98900
-80F13,-80ED8,-80FD6
-98B48,-98A14,-9889D
-80E22,-80E85,-80D13
-987F1,-98974,-98979
-8100F,-810E4,-81096
-98907,-9896E,-98A68
-80FE5,-81083,-80F93
-98936,-98970,-98966
-80FCD,-80F65,-81093
-98AAA,-989E3,-98AAD
-81110,-8111B,-80FFB
-98B5C,-988B7,-989E3
-80FE7,-80F8F,-80ED7
-988EE,-98940,-98BBD
-80FCB,-80F8E,-80CA3
-98A55,-98A56,-98A69
-81070,-80DC0,-80FF9
-9889E,-989B5,-988FC
-80FC3,-80F37,-80EE4
-988E5,-9892C,-98968
-80E35,-80DA2,-80EAD
-98885,-98920,-988D0
-810D3,-80F72,-811BD
-989EE,-98A9D,-98AE8
-80F17,-80DE8,-81126
-98A0F,-989E8,-98AD6
-8100B,-812D5,-80E7E
