{'CALIB_RAW_DAC_START_I': 393216, 'CALIB_RAW_FILETYPE': 'CALIB_RAW_FILETYPE_LIMP', 'CALIB_RAW_DAC_A_INDEX': 0, 'CALIB_RAW_SERIAL': '20190606_02', 'CALIB_RAW_VERSION': '1.0'}
68A50,6878B,687F9
8011A,80051,8013C
6896E,688CC,687FC
8021F,802A4,80189
688D2,6879B,688B4
80260,8023B,80360
686A7,6883D,68A72
803B9,80215,80379
68704,68A86,689D5
80316,8034A,801FD
68839,6888A,687C7
804F8,803AE,802F2
6889C,68790,68A68
8037B,80235,802CD
686A5,68707,6877C
8034C,803CB,802A0
68ABC,6884B,689D5
8031F,8043D,803E1
68B54,688F4,6897D
80469,8045F,804B0
688CC,68932,68BE8
805FB,8042D,805DA
68A6E,68AB0,68B82
8057E,80593,80608
68ACD,68B81,689E9
804AF,8054F,805D8
68AAF,68D2C,68B91
803AD,80512,80497
689D0,68C7D,68AC9
803CA,80378,8039E
68D1F,68AA0,68A3C
805FD,806C9,806E0
68A97,68AFB,68B43
805E1,8071F,806F6
68A3B,68BDE,68B78
80698,8075D,805F8
68D0E,68C73,68CA6
80521,803B6,80718
68BF7,68BBD,68B3F
8060A,8063D,804EB
68BC7,68AB6,68BBE
80619,80769,80654
68CD5,68B36,68EF0
80614,806AF,8075D
68C80,68B33,68BD2
804EA,8094B,8065E
68C48,68C25,68E3C
7F6E3,7F668,7F7EC
68D6D,68D57,68D3C
80631,80485,80592
68D45,68A4D,68B89
8049B,80784,807C0
68A36,68C68,68CAF
8064B,80530,806DC
68B73,68B77,68AFA
80642,805B2,8070F
68C6B,68C6D,68A52
806E5,805AC,80604
68D87,68D97,68DC7
806ED,80737,80793
68CEB,68D28,68D28
80650,8076E,805B3
68BAE,68B8B,68B14
806EE,807F4,80807
68D45,68DBB,68C97
806EF,80789,80989
68E0F,69022,68D46
8090E,807F8,80A2D
68E76,68F5C,68E13
8075F,80975,80731
68D55,68D78,68E63
808FE,806F8,807CA
68DF1,68C2D,68DBE
808AF,80A0B,808FA
68F2D,68DFD,68D79
