{'CALIB_RAW_DAC_START_I': 655360, 'CALIB_RAW_FILETYPE': 'CALIB_RAW_FILETYPE_LIMP', 'CALIB_RAW_DAC_A_INDEX': 4, 'CALIB_RAW_SERIAL': '20190606_02', 'CALIB_RAW_VERSION': '1.0'}
ACBE8,AC85E,AC9DB
C32F9,C320A,C3216
DACAF,DAC38,DACE7
C32DE,C3187,C334E
DAC1D,DAC4F,DAC2C
C3294,C3219,C3174
DAC61,DAD05,DABE0
C32B1,C3213,C30A2
DAC7D,DAC05,DAA09
C3138,C3126,C301A
DA9E0,DAB1B,DA8B9
C2ECA,C30A0,C30DA
DA9CF,DA854,DA8F8
C2FEC,C2F01,C2E9A
DA811,DA82C,DA6F2
C2CA6,C2EB9,C3058
DA9B6,DA93A,DA9EC
C2FDE,C2F67,C2FC8
DA6E4,DA91A,DA872
C2F50,C2D46,C2C44
DA921,DA831,DAA48
C2F43,C2CE7,C2DC2
DA663,DA6A0,DA9D7
C2C33,C2F39,C2E0B
DA9DD,DA8EE,DA775
C2C1D,C2D7F,C2CF7
DA5F7,DA750,DA904
C2EBD,C2DFF,C2BB5
DA74C,DA844,DA79B
C2E07,C2CFA,C2CEE
DA809,DA785,DA74C
C2D00,C2B55,C2DCA
DA8C4,DA752,DA779
C2C76,C2FA2,C2D18
DA624,DA67D,DA6D3
C2C28,C2CC9,C2BD5
DA5BD,DA695,DA6E5
C2C2B,C2C88,C2A98
DA6EC,DA74F,DA724
C2C1C,C2C3E,C2D6F
DA65E,DA633,DA8A6
C3000,C300B,C3069
DAA6C,DA9C1,DA916
C2EE9,C2E66,C2DDA
DA922,DA8FB,DA964
C2F6E,C2DA3,C2E04
DA7F3,DA806,DAA3A
C2EE3,C2F43,C2E8C
DA8EC,DA9F8,DA9C3
C2F45,C2E79,C2FA8
DA80A,DA984,DA713
C2C34,C2DA6,C2DAF
DA80D,DAA0E,DA7B7
C2D21,C2F60,C2DC3
DA63B,DA74F,DA916
C2D78,C2F00,C2E5F
DAA4E,DA8A6,DA992
C2FC2,C2CEC,C2E49
DA850,DA6AD,DA5FB
C2CEB,C2EF0,C2C8F
DA67F,DA73B,DA773
C2E2E,C2DAB,C2B5B
DA682,DA8E4,DA85D
C2C4D,C2D3F,C2C13
DA6D2,DA855,DA647
C2D8E,C2F62,C2D78
DA800,DA774,DA920
C2D1B,C2DC2,C2CAE
DA8AC,DA717,DA73C
C2E02,C2C6A,C2C7F
DA6B0,DA6FC,DA738
C2CCB,C2B87,C2C9F
DA1F6,DA1B2,DA1B3
C31F5,C3117,C3116
DAD3B,DAB3A,DAC2A
C3081,C3180,C30DE
DABBA,DAB67,DAA9A
C3188,C3110,C2FFB
DACDC,DAAD4,DAA95
C311A,C3096,C2FE0
DAA52,DAC58,DAC28
C3139,C3040,C3119
DACFB,DAC41,DA923
C31E4,C3098,C312F
DAADA,DAAAD,DAAEA
C30AC,C2F46,C3199
DAA24,DAA47,DAC0D
C31C0,C319C,C308F
DAA74,DA9F6,DAB8A
C309B,C3062,C2F06
DAB00,DAB52,DAAB2
C301B,C3132,C30A0
DABB9,DAAFE,DAD4B
C2E5E,C30EC,C3102
DAB1B,DAA11,DA9DF
C2EFD,C2DA0,C3000
DA980,DAA17,DAA65
C3057,C2F46,C2E7A
DA8FC,DABA5,DAA98
C2F1B,C3055,C3075
DAAF3,DAC44,DAAE7
C3087,C2F0A,C301C
DABE6,DAB2C,DAB34
C305D,C2FA7,C2EF7
DAA9E,DAB32,DA9CA
C33A8,C326A,C32D7
DABA2,DAB85,DAAD3
C325E,C30D6,C3024
DACCF,DABD8,DABFC
C3277,C328B,C328D
DAB35,DAAE8,DAB88
C32D1,C315D,C303F
DAC66,DABD1,DAD1C
C3236,C31C9,C314A
DAD00,DAAD1,DABE8
C30DE,C3029,C307B
DAA74,DAAA5,DA999
C3061,C3121,C3062
DAA59,DABB1,DAA34
C2F28,C314A,C30B7
DABE2,DA94E,DA8B3
C3122,C2F80,C2F6B
DAA09,DAAC8,DAA7C
C2FEB,C3018,C3090
DAC74,DA89A,DABD3
C2F2A,C2F2C,C2F64
DA973,DA74D,DA873
C3055,C30F7,C3056
DAA8B,DA9C7,DAAD7
C2FF8,C30A7,C2DD2
DA94D,DA7A1,DA9FF
C2FD7,C3009,C2EE7
DA896,DAA7B,DAA0A
C2F5D,C2EA9,C2FAE
DA9E5,DA986,DA870
C3147,C2E1D,C2F61
DA9DF,DAA68,DA997
C2DBE,C2F76,C2C94
DA769,DA7A7,DA5D2
C2BB6,C2CA3,C2C78
DA6B2,DA696,DA628
C2E5D,C2DA8,C2D34
DA534,DA4CD,DA6B1
C2C36,C2A71,C2BAF
DA664,DA805,DA80B
C2BF6,C2D78,C2C3A
DA787,DA583,DA5DB
C2C9D,C2CA4,C2D80
DA771,DA67A,DA70D
C2C55,C2D7C,C2BAF
DA63F,DA745,DA528
C2B09,C2B55,C2C78
DA817,DA6C7,DA760
C2B85,C2C93,C2CE5
DA521,DA71E,DA5F4
C2C9F,C2DB4,C2BBC
DA40F,DA6E4,DA589
C2C44,C2CA8,C2C51
DA599,DA5FF,DA5F1
C2D03,C2AFE,C2A53
DA4C7,DA68F,DA755
C2C0C,C2B7E,C2B5B
DA686,DA712,DA58B
C2B99,C2A2D,C2A9B
DA68C,DA508,DA70B
C2C84,C2BAE,C2BCA
DA696,DA5BE,DA716
C29E9,C29D1,C2AA1
DA4A8,DA716,DA5DF
C2CBF,C2D4F,C2D76
DA89C,DA8B3,DA940
C2E20,C2DCC,C2CEA
DA7B5,DA818,DA6C0
C2DCE,C2E14,C2D31
DA72F,DA681,DA5FD
C2BE1,C2CBD,C2C61
DA4EB,DA667,DA65F
C2DAD,C2D49,C2C3F
DA4B0,DA5F0,DA624
C2C23,C2C19,C2B36
DA565,DA5C2,DA6BB
C2B8A,C2D86,C2C3B
DA451,DA3F7,DA763
C2B8B,C2949,C2B1D
DA804,DA7C9,DA6D5
C2B3A,C2AD7,C2A71
DA51C,DA5B2,DA619
C2B07,C2AEA,C28AD
DA66E,DA4EF,DA5D5
C2C4D,C2AFE,C2B6F
DA7CF,DA692,DA52D
C2BC6,C2AF9,C2C13
DA6B9,DA5D5,DA56E
C2D1B,C2CDD,C2B2E
DA4E5,DA550,DA706
C2BE3,C2A67,C2917
DA419,DA49E,DA608
C2B5F,C2A9E,C2CB4
DA4BD,DA672,DA505
C2AD4,C2A7B,C2C1D
DB457,DB340,DB27F
C3D1F,C3CEB,C3EF0
DB568,DB6D2,DB627
C3DD0,C3B72,C3B68
DB429,DB641,DB5E9
C3C37,C3C96,C3BBC
DB5E5,DB558,DB640
C3A8E,C3B61,C3C10
DB412,DB769,DB5DA
C3A91,C3B6B,C3B25
DB3FE,DB788,DB6CA
C3B75,C3BBF,C3C73
DB5F6,DB522,DB68F
C3C97,C3CB0,C3C0D
DB50C,DB54F,DB468
C39F9,C3BA5,C3AE8
DB45F,DB5CE,DB609
C3D41,C3B68,C3D36
DB6BC,DB54E,DB687
C3E14,C38ED,C3C4D
DB355,DB718,DB585
C3D13,C39AE,C3AAA
DB52C,DB648,DB501
C3C3A,C3AFC,C3BEC
DB4DE,DB3CF,DB4B5
C3BD7,C3B2E,C39E8
DB463,DB41B,DB51A
C39A6,C3AD7,C3BA4
DB250,DB46B,DB4BA
C3D3B,C38D1,C3A9A
DB3E3,DB46E,DB3DF
C3A12,C3A63,C3A09
DB51F,DB2A0,DB393
C3D5E,C3B23,C3C1C
DB550,DB63B,DB4D3
C3AA8,C3D02,C3D7A
DB552,DB5D8,DB48D
C3C10,C3987,C3C14
DB643,DB453,DB5BD
C3996,C3A5E,C3B73
DB410,DB5D8,DB498
C39F8,C3845,C3B84
DB37F,DB434,DB4EE
C3B5D,C3A20,C3BFC
DB541,DB71B,DB3F7
C39B8,C3BF7,C3959
DB3E3,DB3B6,DB41A
C3ABF,C3BC9,C3994
DB60E,DB62B,DB6A2
C3B26,C3B5C,C3BA4
DB3C9,DB5F6,DB571
C3B04,C3B9C,C3ABE
DB370,DB4F6,DB278
C3A3E,C3981,C39F8
DB740,DB4DD,DB400
C38BF,C3984,C3605
DB4F7,DB308,DB330
C3939,C3795,C3968
DB1B0,DB2D3,DB294
C3A75,C39EC,C3995
DB536,DB48A,DB52E
C3A46,C3874,C3AC4
DB34F,DB436,DB358
C3948,C3890,C39E7
DB1A0,DB31D,DB492
C365A,C35C8,C362C
DB08E,DB1E6,DB18A
C36C2,C3618,C3658
DAFD7,DAFAD,DB2B0
C3706,C35C9,C36FF
DB167,DB127,DB1F6
C34C6,C3660,C364E
DAFA9,DB194,DB102
C36B0,C3810,C36AB
DAFA3,DB0AD,DB0B5
C36CD,C364F,C3610
DB07D,DAF69,DB1A0
C376F,C37AC,C35E4
DAFFD,DB0DE,DB00C
C3623,C36C1,C3709
DB312,DB0D0,DB14A
C36B2,C367A,C367E
DB14D,DB08F,DAFFB
C3661,C3681,C379B
DAFEB,DB1F7,DB0C6
C3856,C367B,C37D3
DB13D,DB0DA,DB1A7
C37A1,C3714,C3685
DB15D,DB1CF,DAFE3
C355B,C35E9,C380D
DB329,DAF68,DAE97
C3739,C36CA,C3653
DB11B,DB17F,DAFCC
C35B4,C373C,C3592
DAEBF,DADF4,DAE4C
C33A5,C33E5,C354E
DAEFD,DADF6,DAF20
C3828,C3718,C357D
DB000,DB232,DB328
C386A,C3785,C362D
DB096,DB0F6,DB2EB
C371E,C3712,C3785
DB067,DB20E,DB1D1
C3746,C3521,C375F
DB087,DB200,DB0A3
C3663,C3820,C35BD
DAF5F,DB1DD,DB258
C35AB,C34D8,C34A5
DB052,DB01E,DB08D
C354D,C35FA,C34FC
DB0D6,DB157,DB0D5
C362E,C3538,C350C
DAEDB,DB234,DB2E6
C36D3,C3686,C360E
DB0D6,DAF88,DB037
C3650,C3568,C3463
DB0CA,DAF34,DB031
C3658,C35BE,C366B
DAE38,DAF2F,DAE0A
C3331,C350B,C3484
DAF3A,DB0A2,DAD66
C3562,C3540,C3516
DAF92,DAF98,DADE2
C335D,C34D4,C34D7
DAD9F,DAE16,DAFA5
C3593,C3441,C3582
DAD96,DB1CD,DAE41
C3421,C33FA,C363E
DAAE8,DA9E4,DA91E
C3B71,C3AA0,C3AE2
DB442,DB570,DB3B4
C3922,C3950,C3A27
DB42E,DB47A,DB440
C3B5B,C37BC,C39E0
DB326,DB453,DB32B
C3A4B,C3962,C39CF
DB4EE,DB3D9,DB4FF
C3C16,C3A63,C3B10
DB388,DB215,DB4B3
C38B6,C3B00,C3B60
DB4B4,DB53C,DB4BC
C3670,C3806,C391C
DB21F,DB44E,DB46B
C3ABD,C3C0F,C395F
DB3EC,DB686,DB58A
C3C29,C39BE,C3B55
DB467,DB451,DB5BD
C394B,C3890,C38C6
DB47A,DB26A,DB40A
C3801,C3826,C38D6
DB1A8,DB3D4,DB3D9
C39D6,C37E7,C38D4
DB48A,DB303,DB3FE
C392C,C39BD,C3A6B
DB3CC,DB333,DB461
C38B0,C3AC5,C39B0
DB219,DB3C8,DB445
C3A5B,C3904,C39A0
DB3C9,DB35F,DB38D
C387A,C350F,C379F
DB3C7,DB199,DB22F
C3B82,C3983,C39BE
DB3EA,DB41D,DB577
C388B,C3A67,C3AAC
DB3E7,DB2CE,DB398
C3ADD,C3816,C3699
DB19E,DB331,DB341
C37AD,C386A,C393F
DB33B,DB325,DB3D2
C39EE,C38B5,C3AEB
DB1F5,DB1CE,DB2BA
C3889,C3882,C3802
DB066,DB217,DB29B
C391B,C3A91,C39A4
DB2BD,DB36C,DB47C
C38DF,C394E,C37A2
DB667,DB5A8,DB352
C3934,C3ACC,C388F
DB3D4,DB3C1,DB428
C39E4,C391B,C39CF
DB323,DB271,DB3EA
C37F6,C371A,C3989
DB223,DB22E,DB34B
C3A96,C3B0A,C3853
DB35B,DB3E1,DB349
C3833,C37B1,C3679
DB1F0,DB0E7,DB1C5
C377D,C369B,C36E7
DB331,DB2C5,DB137
C3796,C3883,C37C0
DB1B1,DB1E1,DB2A2
C3854,C36C9,C3764
DB177,DB1BC,DB1E6
C356D,C354D,C34BE
DAE5D,DAFD4,DB1E6
C3544,C333C,C3549
DAE36,DAF5C,DAF1C
C3617,C35DD,C3563
DB098,DAFD6,DAFAC
C3611,C34A9,C349B
DB037,DAE75,DAF27
C32DD,C33B6,C34E6
DAEBE,DADC0,DAF01
C348F,C35D8,C35E2
DADCB,DAF14,DAF97
C349F,C364B,C369E
DAE46,DAF19,DAE32
C3579,C34BB,C3411
DB05E,DB015,DB046
C35B6,C3511,C37CF
DB1B1,DAEA9,DAFCF
C364C,C35B1,C3667
DAF93,DAFF1,DB09D
C34B7,C3478,C348D
DAE6A,DAF53,DAE9F
C35A3,C3285,C331D
DB06E,DAF6F,DAE89
C356F,C349D,C34A1
DB012,DAE6B,DAD04
C3438,C3394,C34C6
DAD03,DAEBC,DAE4B
C3423,C342E,C32CA
DAE35,DAD53,DAC2B
C31F4,C327A,C3242
DAEDF,DADD6,DADBB
C3597,C37C8,C371D
DB0DA,DB009,DB113
C3485,C34A0,C34DC
DAF1F,DB2BE,DB22D
C36B2,C3570,C35BA
DB1AA,DB063,DAF9A
C3513,C334C,C3289
DAE03,DAEE0,DAF5F
C3441,C3490,C3591
DB059,DB050,DB03C
C35B3,C35C0,C344B
DAFD9,DAE3E,DAFA4
C367B,C3406,C36C7
DAD22,DAE7B,DADF5
C3292,C33F7,C3572
DAF91,DAF8B,DAF9E
C3412,C34CA,C3442
DAED0,DACEE,DADCD
C34BC,C3286,C343A
DAD2D,DAE2E,DAF50
C33AA,C3241,C340D
DAEC1,DAE0B,DADB2
C3394,C336C,C34D1
DAC05,DAE46,DB009
C32A8,C3209,C33C3
DAE32,DAD73,DAE63
C3355,C3419,C338E
DAD6E,DADD5,DADC2
C3244,C31B0,C31BA
DAB66,DAE56,DAD7E
C31C0,C31CB,C316D
DA2BE,DA318,DA2D4
C383A,C367F,C3721
DB185,DAFA1,DAF8E
C3691,C3577,C356C
DB17D,DB3FC,DB18F
C35E4,C37F8,C371F
DB222,DB0B4,DB013
C37A0,C37E7,C37D2
DB247,DB2EC,DB19C
C3622,C37EC,C3598
DB04E,DB0CA,DAED6
C3713,C3796,C3647
DB101,DB213,DB134
C3664,C36C8,C37B7
DB050,DAF5A,DAF48
C354B,C367C,C3598
DAEE1,DB299,DB1A4
C367D,C366E,C3560
DB007,DAF70,DAFD7
C36D2,C35E5,C36B9
DB185,DB0BC,DB18C
C35E9,C3688,C36D2
DAD1B,DB02A,DADF2
C34EB,C34B4,C3599
DAEF2,DADCA,DB089
C34F0,C34AC,C344C
DADB3,DAEDD,DAE4B
C369E,C347D,C33C3
DAFC3,DAEDC,DAF61
C3474,C361A,C347E
DAF11,DAF69,DAE99
C356A,C3542,C33FB
DAFAE,DAEA6,DAFDE
C37D9,C36BC,C3806
DAEC0,DB186,DB091
C348E,C351E,C35DA
DB012,DB07B,DB037
C3522,C364D,C388A
DAFB5,DAFBD,DAFFB
C343F,C35B7,C35A1
DAE80,DB196,DB233
C3605,C3682,C3522
DADC5,DB0A5,DAF3E
C35DB,C376E,C37E2
DAF82,DB189,DB09C
C37A0,C35C7,C3690
DB09C,DB01B,DAE78
C356A,C361C,C34ED
DB07E,DAF75,DB146
C36B4,C36A8,C3590
DAE0F,DAF93,DAFCF
C35BD,C3621,C34C8
DB09A,DB110,DAFE9
C3561,C35C7,C348F
DAF54,DAEA0,DAE9F
C33EA,C342A,C36A3
DAF3B,DAF32,DAE4F
C35C5,C3432,C3574
DAF2D,DAE4D,DAEE9
C345B,C340C,C346A
DAF35,DADE8,DAE57
C3466,C31A4,C336F
DAB4D,DAD78,DABA9
C31FA,C3315,C33C9
DAB16,DADA9,DAD0F
C3204,C33F8,C3151
DAC59,DABDA,DAC9E
C33D3,C337B,C32B4
DAD2D,DAD77,DABF2
C3251,C311D,C30F7
DA929,DAB5D,DAB81
C30E6,C3047,C3023
DAB4F,DABE0,DACAE
C31E8,C3229,C302B
DAA41,DAB87,DA9E9
C30CF,C2FC0,C2F57
DAB7D,DAAC0,DAAC1
C30A0,C3122,C2F3E
DABAE,DAD14,DA979
C3073,C3067,C3062
DA97D,DAB76,DAB46
C3097,C2F50,C318C
DAB0A,DAAD9,DABB3
C3133,C3085,C32C0
DA9E9,DAB41,DAB41
C314F,C3135,C30F0
DAABE,DAAE3,DAB8D
C2FDE,C31AF,C2F67
DABFE,DAA46,DAD2B
C3001,C2F65,C325E
DA8CA,DA7C6,DA82C
C2EAE,C2CB6,C2FC0
DAA23,DAA8D,DA998
C2E3B,C2F8B,C2D00
DA7F5,DA9A0,DA94D
C2D35,C2F93,C2F70
DA7FE,DAAFF,DAA17
C3058,C3011,C3025
DAA7A,DAA5B,DACB1
C3137,C3164,C3119
DAA9B,DAAF2,DAB5A
C3179,C3234,C312B
DA92B,DA99A,DAB4C
C31C4,C2F3F,C2F9E
DA990,DA86F,DAA4A
C3070,C2D8F,C3026
DAA4C,DAA6B,DAB6E
C2FBC,C31F5,C2F70
DA913,DAAE5,DA8FA
C318E,C2EB9,C2FD3
DAA34,DABB1,DAB70
C2FC8,C2DD7,C2ED0
DAD21,DAB72,DA9E8
C2D99,C2FDC,C30A2
DAA09,DAA46,DAA56
C2E2C,C2F65,C2E83
DAA2F,DA94A,DAA4B
C2EBA,C2DC8,C2DCE
DA69D,DA7B9,DA568
C2E28,C2D2E,C2E24
DA781,DA84A,DA6F3
C2EE6,C2EBB,C2CE8
DA9C6,DA90C,DA88A
C2E1D,C2E5A,C2EF7
DA8B7,DA83F,DA7D4
C2E27,C2D93,C2CBA
DA993,DA7CE,DA781
C2CBD,C2E13,C2D94
DA2F5,DA59F,DA420
C354E,C343F,C33F5
DAC86,DACF3,DAE0D
C3311,C33B0,C34E3
DAD40,DAF07,DADE1
C3302,C330A,C3293
DAB84,DAC70,DAD14
C334A,C3274,C32CF
DAD6C,DAC36,DABE9
C3149,C3407,C3433
DAC4B,DAC80,DAEE2
C3289,C34B0,C33F0
DADEC,DAC7B,DAC37
C32B6,C3079,C30C0
DAA9B,DABB5,DAA7E
C3085,C31B3,C3053
DAD64,DAC55,DAC4F
C3409,C330C,C306C
DAC66,DAB32,DADA3
C34A7,C3309,C32E4
DAB74,DAB50,DADDD
C330E,C32D0,C3365
DABB2,DAB0F,DAB23
C312D,C3369,C323A
DAC76,DAB99,DAD78
C3238,C31E8,C31FE
DACA3,DAB0C,DAC96
C3168,C330C,C315D
DAB6D,DAE01,DABA2
C31A7,C3305,C31E0
DABF6,DA9CD,DAD3A
C3015,C2F92,C301D
DAAA1,DAA61,DAD87
C32EC,C339F,C3358
DAC82,DAD67,DACD3
C3353,C32B1,C33B6
DAD21,DACC0,DAB36
C32A6,C331C,C32BF
DAC77,DAE67,DAD45
C3426,C32A6,C34E2
DAD5C,DAF76,DAE54
C3433,C33EF,C348A
DAC87,DAE10,DAD53
C3280,C3228,C3331
DAC39,DABF4,DAD4A
C324B,C3170,C329A
DACB4,DAACC,DAA18
C335C,C3089,C3371
DAD14,DACD9,DAC03
C31B7,C3101,C31FE
DAC43,DAD22,DAADF
C30A4,C3103,C3186
DABB9,DAC93,DACFE
C3231,C321A,C30D1
DAB04,DAAF3,DACF0
C325C,C3291,C335B
DAB62,DAD65,DAE83
C3337,C3228,C330F
DABBD,DAC58,DACA4
C3054,C3087,C3038
DAADF,DAB8A,DACAF
C30A0,C3146,C30F1
DAA74,DAB90,DA90A
C31FA,C3083,C2F65
DA8D4,DAAB4,DA97C
C2EF6,C2ECA,C2F44
DA7AD,DA7CE,DA718
C2E91,C2D58,C2C3E
DA837,DA77E,DA70E
C2E75,C2E15,C2CEF
DA7DA,DA948,DA74A
C2ECF,C2E66,C2EAF
DA962,DA6D7,DA80E
C2E0A,C2D39,C2DDF
DA9B5,DA904,DA703
C2DDC,C2EA0,C2D5F
DA8B2,DA774,DA94A
C2D84,C2E3E,C2D50
DA996,DA80D,DA73D
C3003,C2CE9,C2E29
DABA7,DAAD8,DA9EA
C2E62,C2E89,C2E43
DA8D5,DA8D2,DA8A9
C2FF7,C2DBD,C2E35
DA76A,DA727,DA922
C2DD5,C2DAF,C2D4A
DA94F,DA7BD,DA76E
C2D72,C2D6E,C2F35
DA763,DA7F6,DA703
C2C3C,C2C3E,C2C4C
DA727,DA667,DA836
C2C4B,C2D4B,C2B14
DA898,DA5CD,DA602
C2BE3,C2C8D,C2B70
DA56D,DA693,DA78C
C2C5C,C2B86,C2D7F
DA5C9,DA64E,DA5CB
C2F8F,C2E47,C2C46
DA780,DA907,DA8B6
C2E52,C2F1C,C2F09
DA7C2,DA989,DA762
C2E41,C2C46,C2DD3
DA840,DA6A2,DA74B
C2E54,C2DE6,C2E54
DA8B4,DA5D0,DA907
C2D37,C2E35,C2CCE
DA81A,DA67D,DA770
C2C83,C2C67,C2B8B
DA6B5,DA813,DA8DB
C2D90,C2D03,C2D68
DA769,DA737,DA798
C2A15,C2CF8,C2CC6
DA676,DA745,DAA22
C2DDF,C2C89,C2CF0
DA6E4,DA6D8,DA7C8
C2C22,C2D3C,C2CF9
DAA2D,DA7E8,DA75F
C2C2F,C2DEA,C2CF5
DA8E2,DA615,DA69E
C2E7A,C2BCA,C2C8B
DA70C,DA9DF,DA71B
C2E47,C2D79,C2D8E
DA6CE,DA680,DA744
C2DB0,C2F87,C2A38
DA859,DA87C,DA729
C2BCC,C2D58,C2CEE
DA6F1,DA571,DA658
C2D3E,C2EA6,C2BE0
DF59A,DF6D0,DF5CE
C3CB9,C3C2B,C3BEF
DB4D0,DB4F0,DB7C3
C3CAD,C3CB1,C3D17
DB5F8,DB626,DB70D
C3C6E,C3C01,C3AFB
DB809,DB696,DB634
C3CD8,C3B8A,C3C28
DB717,DB6D6,DB6F3
C3BA6,C3D37,C3BC9
DB5AC,DB64F,DB4D2
C3B22,C3ABE,C3A5E
DB6C1,DB8D1,DB670
C3C36,C3BE3,C3A9F
DB730,DB5F3,DB521
C399A,C3D97,C3BCD
DB4E2,DB754,DB4D5
C3B09,C395D,C3A89
DB5B4,DB5C6,DB44B
C39CE,C3A5B,C3D7D
DB2CE,DB56A,DB4EA
C3A4D,C3A85,C3969
DB4B0,DB4CF,DB314
C39AF,C394F,C38E0
DB3A8,DB440,DB311
C3977,C3A4C,C39EB
DB6C9,DB464,DB480
C3AC4,C3B88,C3845
DB48F,DB4C0,DB555
C39EC,C397A,C394F
DB46E,DB2AF,DB374
C3A47,C3A75,C3873
DB415,DB32E,DB4EC
C3CBF,C3D03,C3D29
DB7D2,DB663,DB5B9
C3C4F,C3C9E,C3AFE
DB556,DB5B1,DB6B4
C3AB8,C3BE4,C3B1E
DB495,DB524,DB3B4
C3A5F,C3976,C3A49
DB4CA,DB65F,DB5D9
C39CC,C39D1,C3999
DB306,DB33B,DB32F
C3B03,C3936,C39E2
DB32E,DB2D1,DB492
C3A64,C39EB,C3A37
DB5C1,DB4DC,DB440
C3A18,C3A09,C37ED
DB4D2,DB4AE,DB4D7
C3972,C3CEE,C3993
DB4F8,DB277,DB4B0
C396E,C3A44,C3A3E
DB538,DB4A1,DB66F
C3AE7,C3A4A,C39A1
DB505,DB48E,DB24D
C3C22,C38AA,C3941
DB4DA,DB4E8,DB4B3
C395D,C39BF,C3A31
DB3E7,DB409,DB3C8
C3915,C3A9B,C3A53
DB52C,DB48F,DB5A7
C3B54,C3AA9,C3A85
DB5EB,DB314,DB34F
C38F8,C3865,C3941
DB1C9,DB07F,DB116
C3715,C3613,C369F
DAFDF,DB083,DAEA7
C3691,C36D2,C3548
DB041,DB01F,DB022
C3785,C35C9,C332A
DAFA5,DAEC7,DAFAE
C3607,C368C,C35AB
DB12D,DB244,DB09F
C368E,C3640,C3665
DAEF0,DAF7B,DAFA4
C3642,C3616,C361F
DB00F,DB198,DB1F0
C35D8,C359A,C37FA
DB0BE,DAFC3,DAEC5
C34B4,C3507,C345B
DB0D7,DB1B2,DB06B
C357A,C3634,C3485
DAFB2,DAEE2,DAEED
C370C,C35C2,C33CC
DAED7,DAEAD,DAF9F
C3439,C36FC,C34EC
DAC84,DAEE2,DAFDE
C36BB,C3573,C3532
DAF1C,DAF65,DAE35
C34D2,C3477,C3556
DAED3,DAD16,DAE0F
C353A,C32B2,C3329
DADF4,DADF4,DAE49
C33F3,C34D2,C3382
DACFD,DADDE,DAD5B
C3344,C34CF,C3142
DADC7,DAD6A,DAE7D
C35F7,C3655,C3446
DAE2F,DAFCC,DAEEC
C34C3,C3446,C3817
DB069,DB090,DAEF3
C34FD,C34DC,C36AE
DB048,DADE5,DAE6D
C355D,C3333,C354E
DAE95,DAE54,DAE90
C36D1,C3497,C34F2
DB035,DAEA6,DAFCC
C355B,C359A,C346D
DAE2A,DAF83,DAF79
C3681,C33A7,C34CE
DAC58,DAD66,DAF50
C33BB,C32AC,C3284
DAF32,DB187,DAF16
C3423,C32CF,C331E
DAF90,DAEE8,DADD8
C344E,C3248,C3233
DADCA,DADD6,DAF40
C330B,C33D8,C33BD
DAE2D,DAD5D,DADEF
C338D,C33CF,C3435
DADC4,DACAD,DACEA
C327A,C30BE,C323E
DAB68,DABDD,DAB22
C33E8,C32D3,C33E1
DAB21,DACDD,DAE05
C3377,C32F8,C32BE
DAD1D,DABD3,DAB5C
C2FD5,C2F59,C3186
DA959,DAA6F,DA89B
C38E2,C37FA,C3842
DB37B,DB11A,DB20C
C3900,C3844,C38F2
DB1BF,DB128,DB253
C39AC,C380B,C3785
DB1C3,DB1CF,DB2A1
C353A,C3781,C3863
DB2A7,DB29D,DB274
C37EA,C3628,C37A4
DB10D,DAF6D,DB164
C36F8,C3663,C364B
DB262,DB19A,DB0EE
C361A,C37D8,C397F
DB356,DB072,DB1D0
C37AE,C373C,C374D
DB2F3,DB3BD,DB33E
C3771,C379E,C3916
DB121,DB23B,DB133
C3970,C37B6,C36DA
DB2BC,DB270,DB358
C36D2,C374C,C3579
DB083,DB0D9,DB09F
C35AD,C368A,C3637
DB00E,DB1B6,DB242
C385F,C375A,C3661
DAF7C,DB123,DB262
C36DA,C3694,C368C
DB102,DB192,DB16B
C366D,C364F,C371D
DB091,DB0EF,DB293
C3419,C3501,C37D3
DB1F9,DB0DF,DB1B9
C3816,C3973,C379C
DB273,DB24F,DB224
C389B,C37E0,C37DE
DB15D,DB2A2,DB1DB
C36F6,C35D8,C37BC
DB112,DB18E,DB26A
C35F2,C385D,C37FD
DB37B,DB290,DB448
C370F,C3710,C378F
DB05C,DB1E3,DB1B2
C354E,C3713,C36DF
DB1FE,DB161,DB1A5
C36D9,C37DC,C35EC
DAFE0,DB1BF,DB1E8
C3729,C3644,C36B1
DB15D,DB283,DB14E
C3697,C378A,C3880
DAE5D,DB106,DB05D
C3752,C36A7,C37D8
DB153,DB01F,DAFB4
C37EC,C33C2,C3616
DB0A2,DAF08,DAE77
C340D,C3556,C34C5
DAFD5,DB0B5,DB123
C32E4,C3473,C3409
DAEFA,DAFBA,DAF7E
C3517,C3539,C33F8
DAFF0,DAE61,DAEE0
C33A5,C33E6,C35EE
DAE3E,DAEC2,DAFE4
C338C,C36D1,C34C6
DADB3,DAD6F,DAF7C
C3190,C3400,C3345
DAE84,DAD7C,DAE1F
C32E6,C344E,C31CB
DAC8B,DAE51,DAD05
C327E,C3169,C3307
DAD44,DACB1,DAC29
C2F01,C31A9,C306A
DADE7,DAC75,DAE2E
C303E,C328A,C300E
DAA09,DAD07,DAB59
C31A7,C3105,C31DD
DAD4D,DAABD,DAAB1
C2FB5,C306A,C320F
DAB69,DAB90,DAB9A
C30EA,C2FAE,C30AC
DACB4,DAE95,DACC0
C320D,C314D,C3076
DAA7E,DABE4,DAA61
C31A7,C31D2,C31A4
DAC53,DACF3,DACDF
