{'CALIB_RAW_DAC_START_I': 655360, 'CALIB_RAW_FILETYPE': 'CALIB_RAW_FILETYPE_LIMP', 'CALIB_RAW_DAC_A_INDEX': 4, 'CALIB_RAW_SERIAL': '20190606_02', 'CALIB_RAW_VERSION': '1.0'}
ACBE8,AC85E,AC9DB
C47BC,C4688,C475C
ACD27,ACCC3,ACD3E
C47D7,C473B,C48E7
ACE81,ACDC0,ACEE8
C48A5,C4734,C489E
ACC3A,ACDC0,ACC2E
C4775,C47E6,C4770
ACD2C,AC9BF,ACD64
C44FF,C4538,C45FB
ACA94,ACAA9,ACB12
C443E,C4527,C45AB
ACBCC,AC9B0,ACB27
C4402,C46E9,C451E
AC9AD,ACB7C,ACBEE
C45E7,C44DE,C4691
ACC54,ACA31,ACBDD
C448E,C44E0,C465C
AC9DF,ACBA6,ACCB9
C44A1,C43D6,C459C
ACBC6,AC9D2,ACA90
C4440,C443B,C4594
ACACF,AC9CA,AC786
C45B3,C4584,C47F6
ACD07,ACC45,ACB35
C4724,C469E,C4701
ACCA5,ACBAA,ACC3A
C4645,C45FB,C4655
ACAAF,AC9A7,ACACC
C433E,C4479,C4583
ACA20,ACA48,AC858
C4399,C43D9,C44EC
ACD6A,ACC50,ACB99
C452F,C46BB,C464C
ACBBF,ACE20,ACCF8
C451F,C4624,C45E6
ACB7C,ACB2B,AC998
C4487,C4608,C45C9
ACC17,AC9CB,ACBEC
C470E,C461F,C4646
ACB31,ACBD3,ACB7D
C4363,C43C3,C467B
AC82C,AC950,AC91C
C4536,C43AA,C461B
AC9A7,ACAE2,AC99F
C4495,C45B2,C448B
ACAEB,ACBB0,ACC00
C446C,C4552,C466F
ACB22,ACBB7,ACB38
C4404,C44E7,C4385
AC9C5,ACA6B,ACBCB
C4598,C4563,C46F8
ACBC7,ACA8F,ACA7F
C44E2,C448B,C4560
AC98D,ACA3D,ACA02
C4537,C4439,C450D
AC982,ACA46,ACC59
C435D,C445E,C44C9
ACAA9,AC9FA,ACAB0
C44A3,C44F9,C45AF
ACAF1,ACAB9,ACB10
C4439,C459B,C4500
AC93C,ACAA9,ACAC4
C4552,C43F3,C4376
AC81C,AC7D1,AC759
C431F,C43E6,C3FBE
AC7FD,AC77D,AC76B
C429A,C4359,C409E
AC8AC,AC7B5,AC7C3
C4110,C3FFB,C4142
AC8B7,AC71F,AC76E
C41B8,C42BC,C413B
AC857,AC7BD,AC7D6
C41DA,C41B1,C4240
AC6C4,AC696,AC76F
C4196,C41A5,C40DF
AC74F,AC792,AC7ED
C41AC,C401D,C41A4
AC67D,AC6E1,AC81E
C418F,C4304,C4205
AC703,AC78F,AC6CD
C414B,C421C,C4179
AC5EB,AC683,AC7FA
C402E,C3EC4,C4047
AC636,AC4DA,AC485
C4063,C3EF2,C3F1E
AC499,AC309,AC53E
C4004,C4081,C406C
AC5B7,AC6A9,AC4D6
C3EF8,C40F2,C4008
AC5AC,AC53A,AC2EA
C3DDC,C3D2B,C4113
AC4EB,AC2E8,AC37E
C3DB0,C3E57,C3EE5
AC2EE,AC4B5,AC3C9
C3EA2,C41C0,C4245
AC742,AC6AD,AC810
C40CA,C4196,C411E
AC7CF,AC615,AC66A
C4093,C401D,C41E9
AC816,AC67B,AC682
C404C,C4132,C428A
AC702,AC66F,AC5FE
C4023,C41A9,C41EF
AC6CC,AC76C,AC5F2
C4066,C3FFE,C405A
