{'CALIB_RAW_DAC_START_I': 819200, 'CALIB_RAW_FILETYPE': 'CALIB_RAW_FILETYPE_LIMP', 'CALIB_RAW_DAC_A_INDEX': 8, 'CALIB_RAW_SERIAL': '20190606_02', 'CALIB_RAW_VERSION': '1.0'}
-7D5FE,-7D699,-7D697
-659D8,-65731,-659AC
-7D313,-7D415,-7D223
-658FB,-659F1,-659E2
-7D496,-7D4C6,-7D4B4
-658BC,-657C4,-658EE
-7D28F,-7D518,-7D48F
-65771,-65A8E,-65893
-7D337,-7D3C9,-7D4C3
-65A75,-65AA5,-65B22
-7D363,-7D404,-7D5F6
-659B4,-65930,-6573D
-7D4F5,-7D509,-7D51E
-65AB7,-659FC,-65AC3
-7D549,-7D3F6,-7D3CF
-65B43,-658BE,-65ACC
-7D2B0,-7D31A,-7D351
-65876,-65830,-65BA1
-7D507,-7D401,-7D323
-657FA,-659B1,-65790
-7D2E1,-7D4B3,-7D384
-65858,-658EB,-65911
-7D344,-7D39F,-7D26D
-6585F,-6585B,-658EF
-7D2B0,-7D1F0,-7D42F
-658A2,-65999,-65A83
-7D2CA,-7D37F,-7D374
-65567,-65592,-6579F
-7CF81,-7D2FD,-7D0C3
-65880,-65630,-65765
-7D1C1,-7D330,-7D14F
-658BA,-6592B,-657FB
-7D153,-7D31D,-7D3B6
-656EC,-65784,-656FA
-7D144,-7D161,-7D18C
-65763,-656EA,-658A0
-7D37D,-7D318,-7D25A
-65707,-655EF,-65686
-7D2A5,-7D170,-7D192
-65680,-656F0,-656C2
-7D257,-7D0F1,-7D066
-6546B,-654D1,-6571A
-7D0C2,-7D0A7,-7CFAF
-657C2,-65629,-6558D
-7D125,-7D17C,-7D2C0
-6585F,-656F3,-657A1
-7D1E1,-7D251,-7D1BF
-65910,-65797,-6592F
-7D127,-7D0CA,-7D1EB
-65809,-65661,-65708
-7D2D8,-7D0C8,-7D0AB
-65641,-65660,-655A4
-7CEDD,-7D052,-7D171
-65992,-6565B,-6549E
-7D26D,-7D1DF,-7D21B
-65791,-65789,-655C8
-7D003,-7D16A,-7CFAE
-655AC,-657BB,-656D2
-7CF7F,-7D156,-7D02B
-658D7,-6570C,-65784
-7D30C,-7D2F6,-7D258
-6586A,-658A8,-657D1
-7D1D9,-7D1DA,-7D216
-65874,-65845,-65690
-7D289,-7D019,-7D117
-654D7,-6569A,-656EC
-7D2DB,-7D15F,-7D21C
-656FE,-65699,-65534
-7D1CD,-7D0DA,-7D158
-657B5,-6574D,-65682
-7D0C7,-7D121,-7D0BD
-6564A,-656C6,-655A4
-7D158,-7CFDD,-7D06B
-6562F,-656CE,-657D1
-7D02B,-7CFF2,-7D0D2
-65630,-655D8,-65593
-7D1F0,-7D127,-7D1D4
-65684,-65432,-65516
-7D147,-7D1C7,-7D296
-65584,-655DC,-657EB
-7D076,-7D002,-7D286
-656EF,-657E9,-6550D
-7D001,-7D031,-7CF9D
-657B7,-6571F,-656D0
-7D0F2,-7D283,-7CFCF
-657CA,-658AD,-65577
-7D175,-7D39F,-7D2B0
-657A2,-655E6,-654E4
-7D1B7,-7D29E,-7D2F2
-655CB,-65737,-655F3
-7D227,-7D13D,-7D16F
-65FB0,-660C0,-6604C
-7CD54,-7CD6D,-7CBD0
-65360,-652EB,-65449
-7CCD6,-7CD47,-7CF23
-65234,-65207,-65283
-7CC9F,-7CE55,-7CEF3
-653F0,-651FE,-65290
-7CE10,-7CB8A,-7CC91
-65310,-65224,-651F5
-7CCA8,-7CAB0,-7CC71
-65355,-65146,-652AF
-7CC74,-7CC9C,-7CB09
-6527D,-652B1,-65310
-7CB49,-7CCC6,-7CCAC
-65350,-6539A,-6522D
