{'CALIB_RAW_DAC_START_I': 720896, 'CALIB_RAW_FILETYPE': 'CALIB_RAW_FILETYPE_LIMP', 'CALIB_RAW_DAC_A_INDEX': 0, 'CALIB_RAW_SERIAL': '20190606_02', 'CALIB_RAW_VERSION': '1.0'}
-5BFA3,-5BE92,-5C1DB
-44555,-44319,-44629
-5BF28,-5C023,-5BF51
-44544,-44386,-44524
-5BE6E,-5BFD0,-5BF35
-443D8,-4453B,-44611
-5BF6E,-5C034,-5C110
-44637,-44518,-445C5
-5BEE1,-5BEF9,-5BF99
-44607,-44494,-4448F
-5C091,-5C135,-5C004
-444D0,-443BC,-441BA
-5BD8D,-5C029,-5C044
-444AF,-4468F,-444BB
-5BF94,-5BF1E,-5BD0D
-4439F,-44498,-444A8
-5BD23,-5BE1D,-5C044
-4452E,-44490,-444C5
-5BFA6,-5BE8B,-5C00C
-44387,-442E8,-4437B
-5BED8,-5BFBF,-5C017
-44685,-44412,-445EF
-5BE1C,-5BF1A,-5C0A8
-44504,-44320,-44484
-5BE49,-5BED1,-5BDE0
-442D0,-4423B,-441AB
-5BC60,-5BDA9,-5BDC0
-44216,-4440C,-44316
-5BE79,-5BD97,-5BD73
-4431B,-4442D,-44127
-5BD0D,-5BDFA,-5BCE3
-442B5,-4413B,-442EA
-5BBA1,-5BBFD,-5BB71
-4431A,-44136,-442E8
-5BCC1,-5BCDF,-5BCF9
-44126,-44260,-443AC
-5BA88,-5BC61,-5BB96
-441BF,-44071,-44133
-5BB26,-5BB37,-5BCDA
-4416D,-441AB,-4431F
-5BBC6,-5BB28,-5BCD1
-44265,-442DA,-44303
-5BD08,-5BDB8,-5BEE4
-4432A,-441BC,-440FB
-5BB50,-5BCF0,-5BBA9
-440E7,-441D3,-44153
-5BC8A,-5BB89,-5BA8F
-440AF,-44139,-43FF2
-5BBDC,-5BC4F,-5BBA5
-43F34,-44135,-44183
-5BAFC,-5BD07,-5BCC2
-44286,-4415F,-440F0
-5B9A6,-5BB48,-5BA86
-440D2,-43FED,-44133
-5BCD7,-5BCE7,-5BBEA
-4408C,-4410C,-44105
-5BADA,-5BD69,-5BCBD
-4421C,-4400E,-44292
-5BC56,-5BAA5,-5BB22
-43F73,-43F69,-44001
-5BEE3,-5BDE4,-5BEAB
-44393,-44433,-4436C
-5BCBF,-5BFB0,-5C0E8
-443D5,-44276,-44250
-5C0C1,-5BDFC,-5BE92
-444E2,-4451F,-44358
-5BEBA,-5BC50,-5C069
-44200,-44230,-44479
-5BD7F,-5BD97,-5BDF3
-442E4,-44479,-444D3
-5C034,-5BED2,-5C01D
-44468,-44159,-443C2
-5BE34,-5BE6F,-5BE96
-4430D,-44254,-443EA
-5BE63,-5BF68,-5BDE6
-441D9,-440AE,-442B4
-5BE1A,-5BD38,-5BDAD
-443FE,-442DC,-44285
-5BBCA,-5BBBF,-5BCE3
-44271,-44210,-44108
-5BAF2,-5BB0A,-5BC88
-44112,-4405F,-43F08
-5BC55,-5BC02,-5BBF3
-440B2,-4407B,-44197
-5BB5E,-5BC8B,-5BC8D
-44278,-43F5C,-4423D
-5BC0F,-5BDFE,-5BB2D
-442CB,-44029,-43FC3
-5BC03,-5BD12,-5BCE7
-43FF4,-44172,-44174
-5BCFC,-5BB02,-5BA63
-44144,-440F8,-442A4
-5BC38,-5BA0D,-5BB4F
-43F53,-43FE9,-43F4E
-5B97B,-5BA81,-5BA70
-43FD3,-44066,-43F66
