{'CALIB_RAW_DAC_START_I': 294912, 'CALIB_RAW_FILETYPE': 'CALIB_RAW_FILETYPE_LIMP', 'CALIB_RAW_DAC_A_INDEX': 6, 'CALIB_RAW_SERIAL': '20190606_02', 'CALIB_RAW_VERSION': '1.0'}
-ED29E,-ED1A4,-ED0DB
-D5755,-D5748,-D5619
-ED2D1,-ED096,-ED1A3
-D57CD,-D580F,-D5850
-ED02E,-ED2EE,-ED21F
-D56D2,-D56DF,-D57EE
-ED080,-ED2B6,-ED008
-D55BC,-D5898,-D57C1
-ED244,-ED2E1,-ED22E
-D573E,-D5689,-D54D1
-ED1FC,-ED218,-ED265
-D5691,-D571D,-D57FA
-ECF71,-ED201,-ED30D
-D5811,-D5881,-D57EE
-ED314,-ED288,-ED2E2
-D56C0,-D588E,-D59B0
-ED44A,-ED15A,-ED266
-D5957,-D5939,-D5831
-ED346,-ED256,-ED1B4
-D574B,-D572D,-D55BA
-ED1E5,-ED30D,-ED237
-D55C1,-D5379,-D5783
-ED05E,-ED1DD,-ED366
-D591E,-D58BC,-D56AE
-ED168,-ED16F,-ED215
-D56B3,-D5634,-D5782
-ED36F,-ED2C1,-ED1BF
-D570D,-D579E,-D57D3
-ED204,-ED37F,-ED14D
-D5784,-D5777,-D57A3
-ED1B3,-ED1E9,-ED19C
-D57F2,-D57F0,-D592C
-ED30F,-ED364,-ED2A9
-D597D,-D56A6,-D5828
-ED323,-ED38E,-ED390
-D567E,-D57F7,-D579A
-ED23A,-ED3D9,-ED3B6
-D5903,-D5687,-D583E
-ED36E,-ED22B,-ED203
-D5924,-D5947,-D57B5
-ED1D1,-ED229,-ED126
-D5732,-D5996,-D5994
-ED3C6,-ED17E,-ED218
-D57D3,-D576C,-D5903
-ED27B,-ED249,-ED230
-D61DD,-D5F61,-D61A9
-ED057,-ECFCB,-ED038
-D5558,-D54BF,-D53C9
-ECD49,-ECF5B,-ECDE1
-D559F,-D54E3,-D5456
-ED002,-ECE51,-ECF71
-D5477,-D5553,-D5559
-ECFB0,-ED12E,-ED07A
-D53DC,-D53D1,-D522E
-ECEAE,-ECE1E,-ECF32
-D5608,-D53A3,-D53DE
-ECC0E,-ECDFE,-ECC4D
-D55D7,-D554F,-D52A5
-ECFED,-ECDC6,-ECF30
-D531F,-D5499,-D545C
-ED04D,-ECF63,-ED021
-D53EE,-D5476,-D53F5
-ED0D7,-ED16B,-ED049
-D5689,-D561D,-D566D
-ED0C7,-ED12E,-ECEDA
-D5604,-D559E,-D55D5
-ED19E,-ED0B0,-ECF70
-D5508,-D5576,-D56BD
-ECFB2,-ED07D,-ECF88
-D56AD,-D5646,-D5764
-ED0D7,-ECFC8,-ED17A
-D57D4,-D5530,-D5515
-ECF1B,-ECF5D,-ECDBA
-D5423,-D5567,-D5407
-ECFA8,-ECF46,-ED066
-D561F,-D5699,-D572E
-ED060,-ED079,-ECF56
-D580B,-D5870,-D56D2
-ED1FE,-ED2BF,-ED182
-D55C1,-D57A3,-D56B9
-ECF89,-ED211,-ED0DE
-D5604,-D55BA,-D5683
-ED26F,-ED0EF,-ECFE4
-D559B,-D5646,-D563D
-ED0E9,-ED20B,-ED185
-D559B,-D5719,-D55D2
-ECF9E,-ED01C,-ED053
-D5671,-D5517,-D56AD
-ECF99,-ECFEC,-ECFED
-D5365,-D5577,-D54EE
-ED0EB,-ED00C,-ECE23
-D5696,-D5545,-D560A
-ED029,-ED1C1,-ED04E
-D5471,-D56E6,-D55EE
-ED091,-ED0D1,-ED004
-D5714,-D55FF,-D5656
-ED01C,-ED1D2,-ED0C6
-D569F,-D5593,-D54B2
-ECF8D,-ECFF1,-ECF9F
-D5682,-D54A2,-D557C
-ED14F,-ED092,-ED0F9
-D55C1,-D55DB,-D5670
