{'CALIB_RAW_DAC_START_I': 327680, 'CALIB_RAW_FILETYPE': 'CALIB_RAW_FILETYPE_LIMP', 'CALIB_RAW_DAC_A_INDEX': 6, 'CALIB_RAW_SERIAL': '20190606_02', 'CALIB_RAW_VERSION': '1.0'}
-B5EE5,-B5FFB,-B5FCD
-CDBFC,-CDE86,-CDC42
-B60A7,-B5ED3,-B60DD
-CD9FB,-CDA50,-CDA53
-B5DC6,-B5F04,-B5EA1
-CD816,-CD8AB,-CD952
-B609C,-B6068,-B5ED5
-CDC34,-CDA94,-CDBE2
-B6205,-B6136,-B60D1
-CDBB2,-CDB39,-CDB53
-B6197,-B6027,-B6232
-CDBAD,-CD9D7,-CDCE2
-B60F0,-B6099,-B5EC6
-CDC17,-CDC14,-CDA80
-B60A0,-B6232,-B612A
-CDC98,-CDA2B,-CDB96
-B60AF,-B6105,-B6175
-CDBE6,-CDC50,-CDE86
-B63A3,-B60FC,-B6101
-CDC8E,-CDAB1,-CDCCD
-B5FBE,-B5F1B,-B611E
-CDB70,-CDBDC,-CDAD1
-B6159,-B6358,-B604F
-CDB29,-CDA83,-CDB50
-B5FE4,-B61CF,-B6098
-CDB76,-CDA39,-CDAE7
-B60E6,-B5FEC,-B5F94
-CDB0D,-CDB95,-CDB81
-B624D,-B603B,-B5FBF
-CDBE1,-CDC6D,-CDB90
-B618C,-B621A,-B611F
-CDCB1,-CDDD4,-CDC41
-B60B6,-B631E,-B63B1
-CDCC3,-CDD61,-CDCF2
-B62FD,-B6489,-B61D9
-CDD02,-CDE10,-CDD52
-B6100,-B612A,-B6059
-CDC02,-CDB94,-CDB1E
-B60DC,-B62D3,-B6181
-CDC71,-CDB38,-CDC1E
-B6107,-B6191,-B5FEA
-CDD02,-CDDAE,-CDB54
-B6245,-B62E7,-B61A9
-CDBDC,-CDC9E,-CDB67
-B6029,-B5FE2,-B5F8A
-CDC8A,-CDC0D,-CD9FE
-B6225,-B6123,-B62EB
-CDE2B,-CDE11,-CDCDF
-B616E,-B61FB,-B6208
-CDDBA,-CDBD7,-CDC7B
-B621F,-B634E,-B631C
-CDC13,-CDD4D,-CDCBD
-B6193,-B6257,-B6190
-CDC39,-CDB99,-CDE0B
-B624C,-B61F1,-B630C
-CDB36,-CDA66,-CDBE2
-B62E6,-B6210,-B61C3
-CDCE3,-CDD71,-CDC98
-B6167,-B61C5,-B60E5
-CDC3D,-CDCC3,-CDBB6
-B69C8,-B6B62,-B6BAF
-CD92C,-CD919,-CD759
-B5DEF,-B5CDC,-B5EF4
-CD733,-CD96E,-CD835
-B601B,-B6017,-B5D04
-CD94F,-CDA3C,-CD87A
-B5E45,-B5E39,-B5D5C
-CD719,-CD8FB,-CD829
-B5FCD,-B5D09,-B5E7E
-CD86D,-CD82D,-CD6FD
-B5E68,-B5E8A,-B5C6F
-CD82D,-CD6D0,-CD644
-B5D96,-B5D38,-B5C9C
-CD7A0,-CD7F1,-CD967
-B5CD4,-B5F78,-B5D76
-CD812,-CD8D4,-CD7F5
-B5E13,-B5C95,-B5E52
-CD9D5,-CD9B3,-CD8C3
-B5F1F,-B5E37,-B5E52
-CD8F5,-CD87C,-CD947
-B5D1C,-B5B84,-B5D76
-CD6B6,-CD77A,-CD741
-B5D90,-B6018,-B5FF8
-CD9E1,-CDAE7,-CDA0C
-B5F7E,-B5F57,-B5F36
-CD7C5,-CD89C,-CD9F4
-B5F80,-B5F7B,-B5E18
-CDA06,-CD894,-CD82D
-B5FFA,-B5D7F,-B6004
-CDA1C,-CDCF4,-CDA88
-B5DF9,-B6093,-B601F
-CDC37,-CDAB4,-CD9C2
-B5E42,-B6089,-B60A3
-CDA69,-CDA60,-CDB41
-B5F95,-B6050,-B5FFA
-CDA8F,-CDA78,-CDC37
-B5FD4,-B5F52,-B6030
-CDAA9,-CDAC3,-CDAE0
-B6143,-B6027,-B5FCE
-CDA4A,-CDA27,-CD950
-B5FFD,-B5F9D,-B5D93
-CD880,-CD976,-CD9E0
-B5FCB,-B6047,-B6004
-CDA6C,-CDA71,-CD9AB
-B5FEE,-B6058,-B5F44
-CD8F1,-CD744,-CD9D2
-B5DFC,-B5ED6,-B5EE2
-CD826,-CD9ED,-CD907
-B5DEC,-B5C7A,-B5D75
-CD9B5,-CDAAB,-CDA38
-B61DC,-B5FEF,-B60CC
-CDCD0,-CD9D6,-CDADD
-B5E1E,-B5F9B,-B61AE
-CDB31,-CDB95,-CDC2B
-B6019,-B6257,-B5FA7
-CDA32,-CDB71,-CDB01
-B5ED3,-B5F3B,-B60B6
-CDA21,-CDB9C,-CDAD9
-B6244,-B6202,-B6040
-CD927,-CDAF8,-CDA9A
-B5E53,-B6076,-B5F49
-CDA49,-CD977,-CDAB6
-B603A,-B5FDA,-B61D0
-CD9E4,-CD95C,-CDA5C
-B5E3E,-B5E29,-B5D59
-CDA10,-CDCF3,-CDBF3
-B5ED8,-B5E72,-B6022
-CDA49,-CDB62,-CDB8A
-B60B9,-B6078,-B5F6D
-CDB2D,-CDBC7,-CDC7C
-B6182,-B6294,-B6164
-CD981,-CDA06,-CDBAB
-B60E7,-B621B,-B5FCF
-CDBD6,-CD9AA,-CDC69
-B6084,-B5FC6,-B5FFF
-CDC2A,-CDA5A,-CD97B
-B6203,-B5FBA,-B6020
-CDA92,-CDABC,-CDB81
-B5EA3,-B60AD,-B617F
-CDB32,-CDC05,-CDA85
-B6285,-B61A3,-B5EC5
-CDCC4,-CDC4A,-CDB8C
-B615D,-B6131,-B61CF
-CDAA8,-CDA99,-CDB6B
-B5FFF,-B60BE,-B60C4
-CDAD7,-CDA28,-CDC4A
-B60E7,-B6185,-B61E2
-CDABF,-CDBDF,-CDBC8
-B6139,-B6114,-B61A9
-CDC4E,-CDC84,-CDBC8
-B61B0,-B6230,-B5FEC
-CDCB4,-CDA1F,-CDA0F
-B613A,-B61CA,-B608E
-CDBD7,-CDBAC,-CDBD7
-B61B8,-B60C0,-B638E
-CDD17,-CDB72,-CDB1F
-B6345,-B62BD,-B62EF
-CDC5D,-CDBBB,-CDC49
-B633B,-B61B0,-B623C
-CDD20,-CDE9B,-CDD7B
-B624B,-B60D3,-B638F
-CDE23,-CDABE,-CDDC5
-B631A,-B62B8,-B63F8
-CDC80,-CDDC4,-CDD79
-B60D9,-B6187,-B622C
-CDD46,-CDD46,-CDB22
-B61C1,-B61C7,-B60A7
-CDD8A,-CDC07,-CDC5F
-B6130,-B607E,-B60C7
-CDC3F,-CDC2B,-CDDC0
-B603C,-B612B,-B626A
-CDBE2,-CDD0E,-CDD2E
-B6098,-B6183,-B611F
-CDD4B,-CDA56,-CDCA8
-B6154,-B63D2,-B62E7
-CDD0D,-CD93D,-CDC53
-B61E8,-B6379,-B60C3
-CDC0B,-CDB18,-CDBC8
-B63F5,-B6181,-B624B
-CDCD4,-CDDE5,-CDE38
-B60EA,-B6337,-B6276
-CDD72,-CDC9A,-CDD0F
-B6301,-B6346,-B61C4
-CDDBD,-CDDC1,-CDD4D
-B6072,-B6239,-B63A0
-CDD59,-CDDEA,-CDD9D
-B6152,-B608D,-B6261
-CDB2A,-CDC04,-CDC2F
-B670D,-B689B,-B664A
-CE0B4,-CE09C,-CE035
-B6752,-B6732,-B6889
-CE1FA,-CE1ED,-CE1F8
-B666B,-B65F4,-B6685
-CE23A,-CE202,-CE1CC
-B66DF,-B640F,-B676E
-CE04D,-CE10C,-CE0B3
-B677E,-B6603,-B64F7
-CE00D,-CDF31,-CE133
-B6591,-B65BE,-B64F3
-CE00F,-CE074,-CE11C
-B6509,-B673F,-B65FE
-CE019,-CE11F,-CE10D
-B6786,-B665F,-B663C
-CE009,-CDF62,-CE202
-B673E,-B667A,-B6645
-CE149,-CE29D,-CE21D
-B677A,-B66A4,-B66FF
-CE215,-CE1DF,-CE259
-B66B9,-B66AD,-B659C
-CE218,-CE191,-CE22C
-B681B,-B67E9,-B684B
-CE0C3,-CE2FF,-CE0DA
-B67A2,-B68E8,-B6766
-CE1B7,-CE05C,-CE1F3
-B6829,-B67C0,-B663F
-CE13F,-CE1BE,-CE060
-B6655,-B682D,-B68D2
-CE1AC,-CE322,-CE08D
-B6858,-B67BC,-B676C
-CE214,-CE1CA,-CE1DF
-B68F7,-B6A39,-B6901
-CE15B,-CE355,-CE15C
-B6634,-B6800,-B6827
-CE25D,-CE058,-CE3DF
-B6863,-B67B5,-B682F
-CE283,-CE0A9,-CE32E
-B6A2A,-B68B5,-B6971
-CE2AE,-CE31F,-CE1B7
-B66EE,-B69C9,-B68D0
-CDEC6,-CE399,-CE1F7
-B66DF,-B65F3,-B6764
-CE108,-CE098,-CE26B
-B6706,-B673E,-B688E
-CE2B3,-CE30B,-CE25F
-B66DD,-B66C7,-B6942
-CE2B1,-CE206,-CE065
-B667F,-B67A0,-B6828
-CE375,-CE3DE,-CE338
-B6916,-B6839,-B685C
-CE38F,-CE335,-CE086
-B66F2,-B67D1,-B68EA
-CE298,-CE4DE,-CE268
-B6AA0,-B68B7,-B6857
-CE2EF,-CE3E3,-CE308
-B67F6,-B6811,-B6777
-CE4D4,-CE23E,-CE248
-B67EE,-B6930,-B69D9
-CE188,-CE1CB,-CE2D7
-B6873,-B6894,-B674C
-CE3FE,-CE390,-CE481
-B6748,-B66E6,-B66C5
-CE29D,-CE1AF,-CE2A6
-B67A5,-B673E,-B6723
-CE137,-CE15E,-CE25F
-B6937,-B6768,-B68DE
-CE51E,-CE388,-CE393
-B6A74,-B6A02,-B6A5E
-CE4A2,-CE517,-CE3E6
-B6B41,-B6980,-B68B7
-CE1FA,-CE30C,-CE405
-B697B,-B68F7,-B6A74
-CE36A,-CE2C7,-CE23E
-B6614,-B67D6,-B684D
-CE261,-CE1ED,-CE45E
-B695B,-B67DC,-B6A99
-CE363,-CE397,-CE300
-B67E1,-B69C9,-B6B36
-CE54A,-CE420,-CE36F
-B68C2,-B6932,-B67E8
-CE588,-CE4B1,-CE492
-B6B49,-B6BDA,-B6A1D
-CE34A,-CE3AA,-CE462
-B6933,-B6A5E,-B6966
-CE3C0,-CE2EC,-CE485
-B69AA,-B699C,-B69AE
-CE479,-CE327,-CE431
-B6A01,-B686F,-B68EA
-CE239,-CE30C,-CE47B
-B68F9,-B6949,-B6A6B
-CE33D,-CE585,-CE3EE
-B67BE,-B6904,-B68B1
-CE3EB,-CE20A,-CE1A4
-B6869,-B694E,-B6819
-CE1BC,-CE3A3,-CE49F
-B6865,-B6A78,-B695E
-CE35B,-CE497,-CE45C
-B6A30,-B685E,-B6A40
-CE42B,-CE52E,-CE647
-B698D,-B6A71,-B6B4B
-CE4CF,-CE379,-CE6D7
-B6AA0,-B68FC,-B6AA6
-CE631,-CE3DA,-CE534
-B6707,-B6820,-B6A7B
-CE3AB,-CE349,-CE471
-B6953,-B6859,-B69B4
-CE36E,-CE42E,-CE3E8
-B6964,-B68F4,-B69BF
-CE486,-CE284,-CE4E7
-B6AA6,-B6981,-B67F7
-CE3C1,-CE346,-CE39B
-B680E,-B6832,-B6935
-CE4E4,-CE3F2,-CE57C
-B69D5,-B69CE,-B6980
-CE521,-CE52C,-CE68C
-B6979,-B6A4E,-B6897
-CE496,-CE368,-CE476
-B6970,-B6B14,-B6A3A
-CE5DF,-CE5DC,-CE71F
-B6A66,-B682F,-B68F1
-CE427,-CE3B7,-CE309
-B6A84,-B686D,-B6976
-CE361,-CE31F,-CE46C
-B67A4,-B687A,-B6856
-CE309,-CE361,-CE512
-B6986,-B69C5,-B6A1B
-CE45B,-CE58D,-CE418
-B7386,-B7488,-B7349
-CE2F8,-CE119,-CE233
-B670B,-B6689,-B68B9
-CE227,-CE1D4,-CE2F9
-B6620,-B65DA,-B64EE
-CE272,-CE1B9,-CE114
-B6875,-B65D5,-B66F0
-CE128,-CE1DF,-CE129
-B6739,-B65B1,-B6639
-CE022,-CE018,-CE0A3
-B65A1,-B65A1,-B6816
-CE2CB,-CE240,-CE110
-B67F6,-B67FB,-B64EB
-CE057,-CE17E,-CE220
-B671F,-B653C,-B6409
-CE03A,-CE227,-CE303
-B6632,-B6667,-B6478
-CE2FF,-CE1B6,-CE29B
-B6782,-B66A2,-B6771
-CE120,-CE025,-CE177
-B65F4,-B652A,-B6666
-CDE41,-CDF86,-CE067
-B663A,-B65F5,-B6696
-CE083,-CE04A,-CE140
-B63D7,-B6594,-B6649
-CDFAC,-CDF61,-CE1FA
-B673B,-B6558,-B660D
-CE1BB,-CE0EE,-CE375
-B68D7,-B6824,-B6658
-CE010,-CE16A,-CE05D
-B66C7,-B678E,-B65A1
-CE0A3,-CE078,-CE08E
-B682D,-B6665,-B678F
-CE0FD,-CE25B,-CE300
-B6896,-B6762,-B6787
-CE354,-CE38D,-CE336
-B64FE,-B6749,-B6722
-CE117,-CE253,-CE216
-B65D4,-B668C,-B66B3
-CE0DD,-CE0BC,-CDF7A
-B67B1,-B68A6,-B667D
-CE10F,-CE082,-CE1E2
-B65C6,-B67DC,-B65EE
-CE160,-CE304,-CE1E4
-B6866,-B6630,-B65CC
-CE158,-CE0D3,-CDFF2
-B6727,-B6544,-B682C
-CE0B8,-CE265,-CE15F
-B64C2,-B65C9,-B6569
-CE1A7,-CE0EE,-CE06E
-B664F,-B6801,-B66B1
-CE207,-CE0C0,-CE249
-B6848,-B672F,-B657F
-CE2CA,-CE201,-CE318
-B6866,-B6629,-B67D2
-CE140,-CE0EC,-CE229
-B6789,-B680E,-B67CF
-CE015,-CE089,-CDF37
-B6861,-B6568,-B6534
-CDFFC,-CDF7A,-CE006
-B6901,-B66E0,-B67E1
-CE168,-CE3B6,-CE493
-B676E,-B6752,-B66EC
-CE263,-CE287,-CE0FA
-B6759,-B67E9,-B6776
-CE18E,-CE42C,-CE400
-B691B,-B68EA,-B693B
-CE2CA,-CE36E,-CE2D0
-B6775,-B6871,-B6836
-CE2ED,-CE12D,-CE296
-B6903,-B68B1,-B67BD
-CE1A3,-CE3D2,-CE490
-B69A3,-B6691,-B68E8
-CE3FC,-CE248,-CE2DF
-B6800,-B6A7A,-B6869
-CE1E5,-CDFE4,-CE390
-B6931,-B67BD,-B67AA
-CE017,-CE175,-CE1E0
-B6878,-B6944,-B6969
-CE1F3,-CE2EA,-CE37B
-B6866,-B65C2,-B675F
-CE2BC,-CE381,-CE4B4
-B683D,-B69AF,-B685F
-CE3A5,-CE3C1,-CE2DC
-B6890,-B689E,-B6807
-CE29D,-CE4DD,-CE145
-B6881,-B67F4,-B6A51
-CE429,-CE49F,-CE3AF
-B683F,-B6B19,-B69BA
-CE1E0,-CE196,-CE21D
-B6983,-B6893,-B697E
-CE4DC,-CE336,-CE546
-B67DD,-B690E,-B6854
-CE2F2,-CE282,-CE22A
-B683B,-B6917,-B69BE
-CE494,-CE3EF,-CE56A
-B6AB4,-B6980,-B6B03
-CE381,-CE381,-CE46B
-B6935,-B6A1A,-B66D0
-CE343,-CE2B7,-CE3E1
-B6AC2,-B69AC,-B684D
-CE223,-CE328,-CE389
-B6A88,-B685F,-B69FB
-CE363,-CE47C,-CE526
-B6939,-B691E,-B6918
-CE3D3,-CE476,-CE5F3
-B69FD,-B6A23,-B68B6
-CE44D,-CE44E,-CE234
-B6A3A,-B6B3E,-B6A9D
-CE367,-CE310,-CE42E
-B6842,-B6A4D,-B6826
-CE3D5,-CE372,-CE35F
-B69A4,-B6881,-B6758
-CE359,-CE319,-CE4C0
-B6A03,-B6AF9,-B694F
-CE54E,-CE413,-CE45C
-B6A77,-B6B17,-B6896
-CE55C,-CE3A1,-CE405
-B6A1A,-B6A0F,-B69EC
-CE666,-CE561,-CE47E
-B6B28,-B6B85,-B6AF4
-CE4D2,-CE4C4,-CE493
-B6AAA,-B68CF,-B6982
-CE42D,-CE502,-CE62C
-B6A69,-B697D,-B6A2A
-CE4F5,-CE464,-CE50C
-B69B3,-B676A,-B6953
-CE5AA,-CE48B,-CE1F9
