{'CALIB_RAW_DAC_START_I': 131072, 'CALIB_RAW_FILETYPE': 'CALIB_RAW_FILETYPE_LIMP', 'CALIB_RAW_DAC_A_INDEX': 4, 'CALIB_RAW_SERIAL': '20190606_02', 'CALIB_RAW_VERSION': '1.0'}
-19E347,-19E32A,-19E24D
-1868C8,-186800,-1867DD
-19E285,-19E1F2,-19E1CB
-1866D5,-18690B,-1869D8
-19E23D,-19E261,-19E166
-18682D,-18674C,-1867AB
-19E356,-19E4C5,-19E1A9
-186995,-186859,-1868E6
-19E246,-19E34B,-19E358
-186773,-186681,-1866F7
-19E270,-19E25A,-19E629
-186A5C,-1869DB,-186A8C
-19E4FF,-19E339,-19E3E6
-1867C4,-18694F,-1868A6
-19E473,-19E3A0,-19E329
-186942,-1867DD,-1868A4
-19E401,-19E386,-19E4E9
-18698D,-18697D,-186B79
-19E363,-19E225,-19E4E4
-1867F0,-186A06,-186806
-19E4C4,-19E40A,-19E5C1
-1868B7,-186911,-18693A
-19E3E7,-19E268,-19E3C5
-186A5A,-186A9B,-186ABD
-19E3F0,-19E55E,-19E3E5
-187784,-187868,-18783F
-19E0B0,-19E038,-19E24C
-1868AF,-186775,-186814
-19DEA9,-19E133,-19E1D3
-186672,-1865D8,-186839
-19DF50,-19E2D9,-19E18F
-18682C,-1865E8,-1866BE
-19E245,-19E08E,-19DFE5
-18676E,-1866E7,-186663
-19E03B,-19E1F1,-19E29F
-1867BE,-1866B4,-186627
-19E224,-19E182,-19E052
-1865F4,-186714,-1866E0
-19E0C6,-19E145,-19E172
-186762,-186762,-1867DF
-19E131,-19E1F1,-19E033
-18671E,-186386,-186614
-19DF5B,-19E111,-19E17C
-1868A0,-186780,-186797
-19E1F8,-19E14C,-19E06E
-1865FB,-1867E8,-1867C5
-19E35B,-19E2B9,-19E3B4
-186909,-1869E2,-1867CB
-19E2D2,-19E181,-19E0F9
-1867B2,-1865F5,-186733
-19E040,-19E214,-19DFD5
-186695,-1865F7,-1866F9
-19E1FE,-19E067,-19E291
-1867A6,-1865C9,-18683C
-19E18D,-19E278,-19E2B3
-18682C,-186718,-18684C
-19E2FF,-19E3BB,-19E36B
-18692A,-18687E,-186715
-19DEDB,-19DE86,-19E088
-1867C1,-186771,-1866BF
-19DFF6,-19E0B6,-19DFC9
-186615,-18687A,-1866CA
-19DE13,-19E11C,-19E1C3
-186787,-1867BB,-186700
-19E001,-19E2A8,-19E021
-186725,-186528,-1865F7
-19E00E,-19E311,-19E0EC
-1866DD,-1866BD,-186869
-19E222,-19E1A7,-19E2DB
-186818,-1868E8,-1865B7
-19E1FE,-19E478,-19E33A
-186993,-1868B4,-186845
-19E313,-19E20C,-19E15A
-1867A8,-18660A,-1866DC
-19E1C0,-19E40D,-19E2EA
-1868B7,-1867E0,-186792
-19E223,-19E193,-19E1DB
-1866BC,-1867A9,-18684D
-19E42E,-19E275,-19E378
-186B31,-18684F,-18685A
-19E268,-19E197,-19E0D0
-18680C,-186899,-1868B2
-19E257,-19E218,-19E26E
-1868A4,-1867AD,-1866BD
-19E288,-19E1B5,-19E26B
-1867EC,-1867E0,-18667D
-19E2EA,-19E3C4,-19E2F5
-186AB0,-1868FD,-1869E8
-19E251,-19E434,-19E513
-18698A,-18691E,-186B43
-19E750,-19E543,-19E67C
-186C10,-186A32,-186BA2
-19E63A,-19E456,-19E588
-186C99,-186C78,-186C0D
-19E5EB,-19E530,-19E619
-186D24,-186BA7,-186DCC
-19E828,-19E6F9,-19E618
-186CFD,-186C0D,-186A40
-19E5D1,-19E63A,-19E5BD
-186D1A,-186BDE,-186D50
-19E412,-19E772,-19E5F2
-186D60,-186C16,-186C2D
-19E6ED,-19E6B8,-19E6BC
-186C29,-186C7A,-186DE1
-19E6CC,-19E679,-19E763
-186CC0,-186D0E,-186B6C
-19E649,-19E7E1,-19E5BA
-186C1E,-186D32,-186E35
-19E7E4,-19E74A,-19E6C9
-186A83,-186D53,-186D35
-19E7D2,-19E79B,-19E89F
-186DC4,-186C81,-186C47
-19E670,-19E58A,-19E70E
-186CB3,-186E2B,-186BC8
-19E80C,-19E814,-19E6E1
-186CE9,-186DBC,-186BCC
-19E71E,-19E873,-19E6FA
-186BDB,-186DE3,-186CF5
-19E845,-19E793,-19E848
-186D1C,-186E1E,-186D5B
-19E5DE,-19E773,-19E799
-186C0E,-186BA0,-186B8B
-19E3D9,-19E490,-19E2B7
-186B93,-186D6E,-1869B0
-19E5D2,-19E666,-19E602
-186A5C,-1869FD,-186CD3
-19E672,-19E601,-19E5CE
-186C2C,-186D11,-186BF2
-19E6CA,-19E753,-19E4E5
-186DBC,-186B42,-186BB3
-19E4D1,-19E6E5,-19E63C
-186BC7,-186C09,-186C68
-19E6FD,-19E7CB,-19E8C6
-186C16,-186AD2,-186C3E
-19E736,-19E6DA,-19E5EF
-186F24,-186D5A,-186C83
-19E6D6,-19E6A1,-19E725
-186AAA,-186ACD,-186C13
-19E627,-19E69A,-19E7AE
-186DDF,-186C82,-186E6F
-19E759,-19E78E,-19E813
-186EA6,-186BD0,-186BF3
-19E83C,-19E79F,-19E68F
-186FA2,-186F35,-186D32
-19E970,-19E8EF,-19E800
-186DE1,-186F77,-186C94
-19E978,-19E7FE,-19E8DA
-186D44,-186F10,-186F0A
-19E96D,-19E7DF,-19EA2E
-186DFC,-186E22,-186EAA
-19E8D9,-19E703,-19EA2B
-186E33,-186C2E,-186E0D
-19E8D6,-19E802,-19E833
-18718C,-187165,-187372
-19E2C5,-19E3E7,-19E17A
-18694A,-186725,-186992
-19E3BC,-19E400,-19E395
-18695B,-18691C,-1868C3
-19E409,-19E589,-19E41A
-186A99,-1867CE,-186A8A
-19E407,-19E31F,-19E15D
-186A83,-18671A,-186A52
-19E3E1,-19E413,-19E5D4
-186A8A,-1869A6,-1868D1
-19E4AD,-19E4C7,-19E41A
-186B4B,-1868EC,-1869BB
-19E522,-19E340,-19E437
-186A70,-186A42,-186B88
-19E59C,-19E610,-19E464
