{'CALIB_RAW_DAC_START_I': 327680, 'CALIB_RAW_FILETYPE': 'CALIB_RAW_FILETYPE_LIMP', 'CALIB_RAW_DAC_A_INDEX': 0, 'CALIB_RAW_SERIAL': '20190606_02', 'CALIB_RAW_VERSION': '1.0'}
903C4,9031E,902F9
A7D50,A7E50,A7DAF
90344,902D3,9059E
A7E4B,A7D79,A7CA6
9037F,902CA,9027E
A7EC2,A7D83,A7D94
90543,903C2,904CF
A7E5E,A7EC5,A7DA9
9038B,9038F,9040B
A8133,A7EF5,A7F00
90458,903C5,90383
A7D03,A7DF3,A7F19
9062A,902FC,90347
A8036,A7FF9,A8236
90567,90650,906CF
A7E65,A8003,A8053
905F9,905AD,904DD
A8187,A81DD,A80EB
904B4,904F8,90672
A7F73,A8068,A8038
905BB,904C8,9062D
A8066,A8193,A7FCC
90417,90629,90521
A7E9E,A7FCF,A7FC6
90434,90505,90427
A7F19,A7FEC,A7F7A
90678,90681,907E7
A803A,A817B,A81DA
90570,905EE,906BF
A8135,A810D,A80EA
90971,90666,904CE
A8279,A8325,A82D8
90743,907A4,9078D
A80F5,A82CB,A816A
907D1,908D9,908AB
A832C,A82E4,A801C
908CB,90702,907B6
A81A4,A811B,A82B1
90A60,90986,907E1
A83B8,A8296,A83DD
909FD,90580,906CF
A82F4,A8577,A8232
909A7,90948,907A1
A823D,A81B5,A821C
90720,9090B,90827
A83F9,A8342,A816E
90785,9072F,907F1
A8171,A8305,A844A
90AA2,90AC4,9089D
A83D9,A8448,A836E
907EF,90953,909BA
A8167,A805B,A8392
90884,90964,90A10
A8270,A846F,A8229
9083A,9096C,90AA5
A841B,A843C,A83FC
909C4,90835,907FE
A836C,A8490,A84B1
90662,9052E,90719
A80AB,A80DA,A7F8B
904F8,90660,90713
A818E,A8142,A80A2
90568,906C4,90731
A8156,A812A,A7F26
90561,90584,906FD
A8340,A8161,A8068
905B1,907E1,90746
A8080,A80E3,A7F92
906DC,90690,90677
A818C,A8268,A8122
90711,907AB,907C4
A8184,A81AA,A8295
906E1,9055B,905B3
A82E1,A833F,A82CE
90746,90736,90673
A8028,A8068,A8096
906AD,90623,90743
A81D4,A8190,A8352
9058A,90609,907C9
A8169,A81E7,A8359
90821,9071B,9071C
A81BD,A820C,A83E4
9085B,905DF,90820
A836A,A82B6,A83DE
909A3,906E5,908FC
A83DA,A8224,A8421
90800,908F2,9088F
A8515,A837D,A8413
906F2,90832,906C2
A8103,A826D,A82C6
909DC,90C97,90A59
A84C2,A84A9,A85B1
90B71,90936,909CB
A85EE,A8368,A8619
90B75,90A5F,90B39
A83E5,A835C,A859F
90B5B,90C99,90B12
A85FE,A8672,A873A
90BDF,90C78,909FA
A8586,A8475,A8555
90A19,90C24,90AF4
A864E,A86C7,A866A
90BDA,90C08,90B8E
A8505,A85D5,A863E
90915,90A29,90B60
A8633,A8717,A84EA
90AD3,90AC9,90A36
A8405,A8487,A85C2
