{'CALIB_RAW_DAC_START_I': 1015808, 'CALIB_RAW_FILETYPE': 'CALIB_RAW_FILETYPE_LIMP', 'CALIB_RAW_DAC_A_INDEX': 8, 'CALIB_RAW_SERIAL': '20190606_02', 'CALIB_RAW_VERSION': '1.0'}
-A60D6,-A614C,-A616A
-8E86A,-8E7D5,-8E894
-A648F,-A64D9,-A623E
-8E89C,-8E8F3,-8E912
-A633B,-A6184,-A6413
-8E743,-8E7DB,-8E877
-A62B1,-A6271,-A6244
-8E736,-8E820,-8E793
-A630E,-A62E6,-A60D9
-8E853,-8E811,-8E6D4
-A61DF,-A633B,-A610F
-8E733,-8E85E,-8E6D3
-A610B,-A62C3,-A60E4
-8E753,-8E83D,-8E5FA
-A61BA,-A6084,-A60FC
-8E755,-8E74E,-8E67E
-A6295,-A614C,-A6342
-8E76A,-8E78D,-8E600
-A611E,-A6361,-A61BE
-8E7ED,-8E84F,-8E81F
-A6317,-A6305,-A64C8
-8E817,-8E63D,-8E798
-A618F,-A6116,-A62B6
-8E7CB,-8E82B,-8E80F
-A62D1,-A62FE,-A60F9
-8E61C,-8E6FA,-8E7A3
-A6056,-A5F68,-A62C9
-8E79F,-8E8DB,-8E764
-A6076,-A61E5,-A6206
-8E7B7,-8E5B5,-8E696
-A61F7,-A6075,-A61A0
-8E7D4,-8E791,-8E604
-A610A,-A6311,-A6250
-8E5EA,-8E48C,-8E3EA
-A5FCD,-A5E9B,-A60EC
-8E654,-8E34D,-8E5DB
-A5E54,-A6085,-A5F83
-8E583,-8E5B1,-8E46F
-A5FCD,-A613B,-A5EAC
-8E53F,-8E42D,-8E5BA
-A5FFE,-A5F68,-A5EE7
-8E4D9,-8E497,-8E4ED
-A5F40,-A6036,-A5F11
-8E2CD,-8E3DD,-8E2CB
-A5D09,-A5E3C,-A5ED7
-8E5C3,-8E497,-8E48E
-A5E0E,-A5DBB,-A5F1A
-8E533,-8E486,-8E467
-A5D7F,-A6156,-A5DD8
-8E2DB,-8E2D5,-8E454
-A5C4E,-A5D8C,-A5E5E
-8E480,-8E6C4,-8E5DB
-A6095,-A5F37,-A5F94
-8E2F6,-8E316,-8E2B2
-A5EE7,-A5F87,-A5DB4
-8E3AC,-8E3E1,-8E376
-A5E3D,-A5D37,-A5D71
-8E2B1,-8E349,-8E26C
