{'CALIB_RAW_DAC_START_I': 98304, 'CALIB_RAW_FILETYPE': 'CALIB_RAW_FILETYPE_LIMP', 'CALIB_RAW_DAC_A_INDEX': 4, 'CALIB_RAW_SERIAL': '20190606_02', 'CALIB_RAW_VERSION': '1.0'}
-1ABB24,-1ABBE8,-1ABB49
-1C35D5,-1C35E5,-1C36A8
-1ABA9C,-1ABAA1,-1ABC7D
-1C361E,-1C3714,-1C3729
-1ABC25,-1ABABC,-1ABB21
-1C35F4,-1C372A,-1C3709
-1ABBAD,-1ABB0B,-1ABBC5
-1C3781,-1C3591,-1C3568
-1ABD3C,-1ABC58,-1ABBF6
-1C3772,-1C361D,-1C3847
-1ABD90,-1ABC0A,-1ABD82
-1C3702,-1C3760,-1C371C
-1ABCB5,-1ABDEE,-1ABB02
-1C36CD,-1C398F,-1C3899
-1ABDE2,-1ABE34,-1ABC06
-1C3748,-1C36AB,-1C3936
-1ABCA7,-1ABD86,-1ABCDD
-1C3717,-1C3520,-1C3689
-1ABE88,-1ABCDF,-1ABD54
-1C37AE,-1C3836,-1C3AC8
-1ABBA9,-1ABB78,-1ABABF
-1C386D,-1C3739,-1C3799
-1ABE1B,-1ABEEB,-1ABBA3
-1C37AE,-1C38E5,-1C371A
-1ABC0E,-1ABC92,-1ABD0B
-1C3771,-1C3799,-1C388C
-1AC020,-1ABE56,-1ABB9F
-1C3731,-1C3897,-1C3A9D
-1ABD6C,-1ABEC7,-1ABD51
-1C3672,-1C34FB,-1C3648
-1ABAF9,-1ABC6A,-1ABC57
-1C3633,-1C3810,-1C3509
-1ABB72,-1ABCA3,-1ABCFF
-1C3688,-1C36F5,-1C3846
-1ABE12,-1ABC97,-1ABAB4
-1C37DE,-1C3659,-1C38FA
-1ABB64,-1ABCFF,-1ABD4E
-1C38C7,-1C385E,-1C386F
-1ABCA1,-1ABD38,-1ABDA1
-1C36C5,-1C3606,-1C3855
-1ABD62,-1ABD2A,-1ABDA7
-1C359A,-1C383D,-1C38B7
-1ABEE3,-1ABC48,-1ABE4B
-1C38C8,-1C3791,-1C3879
-1ABD68,-1ABCF3,-1ABCF9
-1C36ED,-1C37CA,-1C360D
-1ABBBD,-1ABC3B,-1ABE69
-1C36B5,-1C36AB,-1C379D
-1ABD87,-1ABCEA,-1ABCF9
-1C378F,-1C37BC,-1C387E
-1ABD44,-1ABE27,-1ABCF0
-1C398C,-1C3775,-1C3825
-1ABE43,-1ABF17,-1ABD52
-1C37D6,-1C37D0,-1C379A
-1ABD60,-1ABDAB,-1ABC13
-1C3711,-1C3756,-1C35ED
-1ABD62,-1ABD00,-1ABD77
-1C38BE,-1C366F,-1C36CE
-1ABE06,-1ABDDE,-1ABD94
-1C3720,-1C374F,-1C379E
-1ABE14,-1ABE2E,-1ABCDD
-1C3A92,-1C3940,-1C3A75
-1AC07A,-1AC0F7,-1ABFAA
-1C3AC0,-1C393E,-1C39BF
-1AC05D,-1ABEB9,-1ABEC5
-1C39C3,-1C3BD1,-1C3B9B
-1AC21D,-1ABF64,-1ABEBF
-1C39A7,-1C3BFE,-1C3AB1
-1AC036,-1AC0EF,-1AC093
-1C3BCD,-1C3AC4,-1C3AD7
-1ABFB2,-1AC290,-1AC1E9
-1C3AC7,-1C3A82,-1C3ABE
-1AC0AD,-1ABFE4,-1ABEAB
-1C38CC,-1C3BD8,-1C3953
-1AC0A1,-1AC271,-1AC095
-1C3AFB,-1C3C86,-1C3C2B
-1ABF8E,-1AC03C,-1ABFCA
-1C3A04,-1C3CF1,-1C3AED
-1ABF7B,-1AC1DE,-1AC03F
-1C3ACB,-1C3AFC,-1C3B52
-1ABFA5,-1AC185,-1AC203
-1C3A65,-1C3C23,-1C3A03
-1AC34E,-1AC1B3,-1AC023
-1C3C1D,-1C3C3E,-1C3AD5
-1AC2D3,-1AC236,-1AC267
-1C3DB8,-1C3B68,-1C3DF9
-1AC317,-1AC3C9,-1AC2ED
-1C3E2F,-1C3C13,-1C3C30
-1AC28B,-1AC22A,-1AC1BC
-1C3B7E,-1C3E01,-1C3B51
-1AC00E,-1AC2C5,-1AC298
-1C3D56,-1C3B93,-1C3C2F
-1AC3AE,-1AC042,-1AC2CD
-1C3892,-1C3BE9,-1C3BA8
-1AC1C3,-1ABFB8,-1AC0B0
-1C3AAE,-1C3A11,-1C3B2E
-1AC190,-1AC24D,-1ABF35
-1C3981,-1C3945,-1C3A8C
-1ABDE5,-1AC016,-1ABF08
-1C3B1E,-1C3A70,-1C39A3
-1AC2A3,-1AC0C4,-1AC0A4
-1C3B30,-1C3B8A,-1C3C97
-1AC0E0,-1ABF6E,-1AC026
-1C3DD6,-1C3C21,-1C3CB0
-1AC053,-1ABFF8,-1AC26C
-1C3CBA,-1C3C71,-1C3CBE
-1AC1B4,-1AC374,-1AC068
-1C3C3E,-1C3CFD,-1C3AA1
-1AC163,-1AC23D,-1AC1E6
-1C3CE0,-1C3AA9,-1C3A3F
-1AC1AA,-1AC222,-1AC075
-1C3AA1,-1C3C33,-1C3C77
-1AC1EC,-1AC096,-1AC1B4
-1C3A5E,-1C3AF6,-1C3B32
-1AC18F,-1AC1E1,-1AC145
-1C3CDD,-1C3C61,-1C3EA1
-1AC0CC,-1AC188,-1AC19A
-1C3C73,-1C3D33,-1C3C20
-1AC1F6,-1AC279,-1AC3B7
-1C3CA1,-1C3E2F,-1C3F60
-1AC258,-1AC19C,-1AC3B0
-1C3CE1,-1C3E7F,-1C3C47
-1AC320,-1AC2CE,-1AC213
-1C3B95,-1C3D52,-1C3EA4
-1AB631,-1AB61D,-1AB4BA
-1C2C42,-1C2ADF,-1C2A67
-1AB1D3,-1AB0E5,-1AB0D9
-1C2C11,-1C2C66,-1C2B74
-1AB38F,-1AB07C,-1AB205
-1C2B8B,-1C2DD4,-1C2A59
-1AB20D,-1AB331,-1AB233
-1C2B24,-1C2BF9,-1C2D12
-1AB1A6,-1AB239,-1AB1C7
-1C2D99,-1C2D76,-1C2C7F
-1AB2D7,-1AB43B,-1AB35D
-1C2DC4,-1C2D29,-1C2B93
-1AB374,-1AB285,-1AB131
-1C2D51,-1C2E85,-1C2D6B
-1AB454,-1AB4AE,-1AB423
-1C2C5C,-1C2D6F,-1C2CB4
-1AB1BB,-1AB13B,-1AB0A9
-1C2DAC,-1C2B08,-1C2C70
-1AB407,-1AB454,-1AB24B
-1C2EA6,-1C2DD7,-1C2D11
-1AB244,-1AB3E3,-1AB326
-1C2D65,-1C2F18,-1C2EC6
-1AB50F,-1AB445,-1AB4A9
-1C2E1E,-1C2DB6,-1C2F1A
-1AB3E4,-1AB43B,-1AB400
-1C2F6C,-1C2EE8,-1C2DAD
-1AB4CA,-1AB49A,-1AB302
-1C2CCB,-1C2E8A,-1C2E65
-1AB4EE,-1AB38A,-1AB301
-1C2D95,-1C2FF0,-1C2E1F
-1AB6C4,-1AB5D5,-1AB3D5
-1C2EC4,-1C2FFB,-1C2ECD
-1AB3CF,-1AB2CF,-1AB4D5
-1C2CFF,-1C2DC6,-1C2D02
-1AB43B,-1AB391,-1AB25D
-1C2D5F,-1C2C6F,-1C2D3C
-1AB1CF,-1AB1E2,-1AB22C
-1C2CDB,-1C2DE7,-1C2BC7
-1AB293,-1AB17F,-1AB283
-1C2D48,-1C2E8B,-1C2E16
-1AB48F,-1AB4FC,-1AB1F8
-1C2D71,-1C2DAB,-1C2C99
-1AB372,-1AB324,-1AB3C7
-1C2DC6,-1C2D9D,-1C2F29
-1AB323,-1AB323,-1AB1E3
-1C2CA7,-1C2E4C,-1C2DC9
-1AB3AB,-1AB436,-1AB33D
-1C2E4F,-1C2D33,-1C2FDE
-1AB30F,-1AB13F,-1AB410
-1C2BE6,-1C2DF6,-1C2D69
