{'CALIB_RAW_DAC_START_I': 950272, 'CALIB_RAW_FILETYPE': 'CALIB_RAW_FILETYPE_LIMP', 'CALIB_RAW_DAC_A_INDEX': 0, 'CALIB_RAW_SERIAL': '20190606_02', 'CALIB_RAW_VERSION': '1.0'}
-CD6EC,-CD65E,-CD712
-E50B1,-E50DB,-E51A3
-CD637,-CD651,-CD734
-E5079,-E52B4,-E504A
-CD52D,-CD6D1,-CD445
-E4FFC,-E4E5D,-E4E9A
-CF585,-CF547,-CF4AE
-E504D,-E517C,-E5018
-CD5E4,-CD597,-CD5AB
-E4F13,-E500F,-E506E
-CD726,-CD4B3,-CD718
-E4FA1,-E4F44,-E4FA6
-CD50C,-CD47E,-CD361
-E4D16,-E4FDF,-E4F57
-CD3BA,-CD504,-CD3C0
-E4D6D,-E5109,-E4FDF
-CD37B,-CD433,-CD4C5
-E4E44,-E4FCB,-E4E87
-CD619,-CD58B,-CD53D
-E505D,-E50F4,-E50C2
-CD60B,-CD56C,-CD5CE
-E4EC2,-E4FE9,-E4F7B
-CD4E2,-CD4E1,-CD501
-E4ECB,-E507D,-E4EC2
-CD609,-CD451,-CD296
-E4EFF,-E4DD8,-E4C83
-CD364,-CD398,-CD2D5
-E4E2F,-E4C8F,-E4E23
-CD286,-CD3ED,-CD236
-E4ECF,-E4ECE,-E4F99
-CD4D8,-CD43C,-CD354
-E4E12,-E4F2E,-E5031
-CD568,-CD2E2,-CD256
-E4EB2,-E4DFB,-E4D5F
-CD519,-CD389,-CD4B3
-E4E02,-E4F2F,-E4D92
-CD26B,-CD355,-CD582
-E4D9C,-E4D0B,-E4D07
-CD37E,-CD238,-CD461
-E4D8C,-E4D7A,-E4CC8
-CD214,-CD2DE,-CD19F
-E4C0F,-E4B70,-E4BCA
-CD004,-CD0C0,-CD233
-E4C0F,-E4BCD,-E4B81
-CD21F,-CD1DC,-CD14D
-E4C2F,-E49E2,-E4BBF
-CD1C7,-CD2E2,-CD23D
-E4E80,-E4D9A,-E4D18
-CD12D,-CD196,-CD355
-E4CAD,-E4CF6,-E4C59
-CD28B,-CD1DA,-CD193
-E4BF1,-E4C6E,-E4BF0
-CD161,-CD1D0,-CD294
-E4C15,-E4D25,-E4CE9
-CCF5E,-CCFE6,-CD07B
-E4C4B,-E4BED,-E4C63
-CD10E,-CD16C,-CD078
-E4907,-E4C21,-E4B42
-CD0B7,-CCF3A,-CCF8C
-E4C7D,-E49F4,-E4ADB
-CCF77,-CD04A,-CD0F8
-E4A9F,-E4B6A,-E4A09
-CCEBD,-CCE9C,-CCE0C
-E4A05,-E4BF0,-E4BA5
-CCF35,-CCF9E,-CD087
-E4975,-E4A49,-E4B6B
-CD06F,-CCF8C,-CCE4C
-E4B0F,-E4A77,-E4BD7
-CD038,-CCFED,-CCFE9
-E4919,-E49E9,-E4A42
-CD172,-CCEBF,-CD031
-E4D38,-E4CE3,-E4EEB
-CD419,-CD39F,-CD3DA
-E4CFE,-E4BBD,-E4BCF
-CD1A2,-CD071,-CD18A
-E4BEE,-E4E2C,-E4CFC
-CD1F2,-CD286,-CD3CE
-E4B9A,-E4BC2,-E4BCA
-CD1F9,-CD190,-CD32A
-E4CAB,-E4C9E,-E4C92
-CD310,-CD229,-CD170
-E4B76,-E4C59,-E4D96
-CD2C5,-CD2AE,-CD38B
-E4B66,-E4C91,-E4C8B
-CD266,-CD235,-CD270
-E4CED,-E4D45,-E4AFE
-CD1E3,-CD0ED,-CD252
-E4C0D,-E4D0D,-E4DD4
-CD10B,-CD110,-CD29C
-E4CE0,-E4BCB,-E4E29
-CD336,-CD183,-CD03D
-E4BDF,-E4D04,-E4D82
-CD1F0,-CD250,-CD398
-E4B5C,-E4AFB,-E4D21
-CD204,-CD161,-CD1D2
-E4B87,-E4C56,-E4D01
-CD115,-CD286,-CD15C
-E4B15,-E4C92,-E4C9F
-CCFF6,-CD0A7,-CCF18
-E4B1D,-E4AAA,-E4C43
-CD0D7,-CD0DE,-CD0C3
-E4B24,-E4CF6,-E4AAC
-CD093,-CD130,-CD1DA
-E4A83,-E4ACD,-E4A2D
-CD14C,-CD044,-CCFFF
-E4A3A,-E494C,-E4ADF
-CCFB0,-CCEFC,-CD12A
-E4A6B,-E4ACA,-E4990
-CD0C4,-CCF22,-CCF96
-E492E,-E493E,-E4AB5
-CCF5A,-CCC47,-CCF12
-E4A58,-E4931,-E4AA2
-CCF79,-CCE50,-CCF39
-E4830,-E490E,-E49BE
-CCE54,-CCFCF,-CCE6A
-E488C,-E49F4,-E4AA5
-CCE9F,-CD066,-CCF5C
-E486F,-E47BE,-E49C0
-CCD6F,-CCAF7,-CCCC9
-E4758,-E47FF,-E478C
-CCE92,-CCF51,-CCE8A
-E49A1,-E4762,-E48D0
-CCD27,-CCECA,-CCCB6
-E4A91,-E4A73,-E49CE
-CCF11,-CCE50,-CCD7A
-E49E4,-E49A2,-E48E1
-CCDD6,-CCE66,-CCCF2
-E4883,-E4757,-E4676
-CCE72,-CCE4C,-CCD67
-E48CC,-E488D,-E4858
-CCE4F,-CCBAD,-CCD7D
-E4661,-E4753,-E47FD
-CCDEB,-CCF48,-CCD66
-E475B,-E48ED,-E48B1
-CDC41,-CDBF7,-CDB62
-E4737,-E4622,-E477B
-CCF3E,-CD013,-CD03A
-E47FF,-E4777,-E4882
-CCC2D,-CCCE3,-CCEA7
-E46F3,-E4747,-E491F
-CCFD1,-CD002,-CCE09
-E483D,-E47E2,-E474D
-CCC52,-CCB62,-CCE0E
-E46DB,-E494D,-E46F1
-CCBF2,-CCD4F,-CCD64
-E45DD,-E46E9,-E4682
-CCEAB,-CCBDC,-CCC75
-E46DA,-E4872,-E4899
-CCFA8,-CCF3A,-CCDE2
-E4850,-E485F,-E48E2
-CCC2A,-CCB55,-CCC11
-E46F3,-E4497,-E47E2
-CCD83,-CCA25,-CCBFF
-E45BD,-E47A0,-E46CC
-CCC85,-CCBA4,-CCA98
-E472C,-E4735,-E458F
-CCC0A,-CCC91,-CCD27
-E4631,-E47AE,-E46F5
-CCCAB,-CCB92,-CCB42
-E45E4,-E4733,-E46EC
-CCB28,-CCC30,-CCC20
-E466B,-E4822,-E45E3
-CCC43,-CCC1C,-CCD77
-E474E,-E4798,-E469A
-CCC2E,-CCB2A,-CCC61
-E45B5,-E4647,-E46B6
-CCC3F,-CCAB6,-CCA50
-E4473,-E45B2,-E45DD
-CC946,-CCBC4,-CCAB8
-E45AD,-E43CE,-E4569
-CCC08,-CC83E,-CCB27
-E4255,-E445F,-E46C0
-CCB2A,-CCCF5,-CCD2B
-E4525,-E44E3,-E4341
-CCAF5,-CC871,-CCB42
-E42E5,-E43C3,-E4486
-CC8BD,-CCA0A,-CC94B
-E45D3,-E42C2,-E4329
-CC8C4,-CC9A3,-CCA09
-E43B3,-E428F,-E450C
-CC7F1,-CC931,-CC7C7
-E4362,-E44B6,-E42E4
-CC93A,-CC9EE,-CC75F
-E42AA,-E43E0,-E420D
-CCABD,-CC931,-CC947
-E446A,-E4343,-E441D
-CC916,-CC928,-CCBE5
-E42E5,-E4275,-E43C3
-CC997,-CCB3F,-CC7F1
-E4349,-E4345,-E4391
-CC826,-CC78B,-CC82A
-E44C0,-E439A,-E42C2
-CC880,-CC910,-CC711
-E42CD,-E429F,-E444C
-CC7C4,-CC8CE,-CCACF
-E42DF,-E4302,-E448C
-CC861,-CC8B8,-CC7F0
-E427C,-E418B,-E4165
-CC6D2,-CC7C8,-CC93F
-E439A,-E44F8,-E46E3
-CCCF4,-CCCDD,-CCC75
-E48CC,-E47C5,-E4540
-CCCF2,-CCBA8,-CCCCE
-E4502,-E4536,-E4502
-CCB69,-CCA40,-CCBAB
-E4624,-E4628,-E45C9
-CCB1B,-CCBC5,-CCABC
-E4763,-E451E,-E4356
-CC964,-CCAEF,-CCA0A
-E47AB,-E45E9,-E46B8
-CCA81,-CC9FE,-CC9A5
-E4565,-E484B,-E45B6
