{'CALIB_RAW_DAC_START_I': 360448, 'CALIB_RAW_FILETYPE': 'CALIB_RAW_FILETYPE_LIMP', 'CALIB_RAW_DAC_A_INDEX': 4, 'CALIB_RAW_SERIAL': '20190606_02', 'CALIB_RAW_VERSION': '1.0'}
-87AEC,-87928,-87941
-9F2D2,-9F491,-9F3E1
-87BFB,-87A35,-87A85
-9F415,-9F508,-9F4BE
-87AD3,-87A73,-87A01
-9F7C6,-9F7CF,-9F56E
-87F4A,-87DE5,-87CB2
-9F915,-9F845,-9F770
-87DAB,-87B5A,-87B86
-9F7C2,-9F829,-9F734
-87B46,-87C0D,-87C3C
-9F432,-9F79F,-9F6C2
-87C3B,-879CA,-87B45
-9F5A4,-9F6FA,-9F7E3
-87C65,-87C3C,-87B59
-9F816,-9F89D,-9F81B
-87D17,-87E00,-87D57
-9F5FE,-9F756,-9F9D6
-87DD4,-87CC5,-87EAE
-9F7DD,-9F6D9,-9F904
-87C91,-87BC7,-87D03
-9F743,-9F7A2,-9F8CE
-87D9B,-87D02,-87BD5
-9F75F,-9FA02,-9F9FD
-87E90,-87BF5,-87E1F
-9F8EF,-9F966,-9FA44
-87E69,-87D88,-87D48
-9F969,-9F853,-9F923
-87EEC,-87ECE,-87E79
-9F8E0,-9F782,-9F947
-87F67,-87E59,-87EA9
-9FA22,-9F9FD,-9F941
-87DAF,-87D21,-87C9E
-9F80F,-9F9C1,-9F7F2
-87DBC,-87E19,-87DED
-9FB37,-9F991,-9F8E7
-87F30,-87F0C,-87D5A
-9F5BA,-9F788,-9F5BF
-87A68,-87D27,-87CB7
-9F681,-9F6ED,-9F976
-87EB3,-87FB7,-87D1B
-9F6F0,-9F808,-9F749
-87C34,-87D8D,-87D7C
-9F932,-9F964,-9F8DD
-87CDE,-87C84,-87DDC
-9F6AE,-9F6BE,-9F843
-87E24,-87E01,-87E17
-9F7BE,-9F8F6,-9F822
-87ECE,-87CC8,-87CB2
-9F732,-9F71C,-9F6F4
-87DFD,-87E09,-87D13
-9F6C4,-9F7C6,-9F826
-87CCD,-87BEC,-87E01
-9F70A,-9F645,-9F759
-87D1D,-87CA4,-87E10
-9F636,-9F682,-9F8C4
-87B71,-87CAA,-87FD2
-9F727,-9F7F6,-9F804
-87DB8,-87D0D,-87D7F
-9F7A5,-9F7D3,-9F841
-87D0A,-87D0C,-87E6A
-9F824,-9F8EA,-9F897
-87F77,-87ED6,-88024
-9F8D6,-9F8BD,-9F8DF
-87DA6,-87E37,-87CBD
-9F715,-9F898,-9F9E2
-880C9,-87EEB,-87E9F
-9F6AF,-9F96E,-9F992
-883E2,-88340,-88247
-9F49A,-9F438,-9F469
-87A95,-8799F,-87A18
-9F593,-9F3FB,-9F3B5
-879A3,-87A13,-87841
-9F428,-9F59B,-9F459
-87918,-878FD,-87985
-9F4ED,-9F322,-9F3AA
-87AE4,-879D0,-87800
-9F490,-9F5FA,-9F5DC
-87C49,-87C0F,-879CD
-9F7F0,-9F6E6,-9F5F6
-87AF0,-87CC8,-87958
-9F42C,-9F527,-9F531
-87C57,-87AE6,-87A26
-9F43E,-9F4E9,-9F576
-87A75,-8799D,-878F8
-9F2A9,-9F402,-9F510
-87A31,-87A7E,-87CCF
-9F52D,-9F654,-9F435
-87A51,-8783C,-878C4
-9F519,-9F3E1,-9F3DD
-87A56,-87BC5,-87A6C
-9F8E2,-9F6B6,-9F709
-87923,-87970,-87B61
-9F622,-9F5BD,-9F61F
-87C12,-87A4E,-87BEA
-9F5FE,-9F706,-9F5EB
-87AF0,-87D31,-87C34
-9F6AB,-9F607,-9F61F
-87DD2,-87CDF,-87CF2
-9F6DA,-9F625,-9F847
-87C38,-87D04,-87C29
-9F6D8,-9F4E7,-9F54E
-878D4,-87B15,-87B14
-9F43A,-9F590,-9F4F4
-87B03,-87B06,-87A6F
-9F4A8,-9F455,-9F682
-87ACB,-87D60,-87B7F
-9F686,-9F5E0,-9F6D0
-8791B,-87A56,-87A0B
-9F5C8,-9F65B,-9F45D
-87BAE,-87C33,-87D19
-9F6D9,-9F587,-9F584
-87B6E,-87C06,-87AC6
-9F483,-9F5B0,-9F4ED
-87C4E,-87992,-87C57
-9F727,-9F699,-9F66D
-87BB0,-87BDF,-879D5
-9F4EE,-9F504,-9F6C4
-87BC5,-87A60,-87BA7
-9F5BE,-9F5B5,-9F67B
-87C12,-87A2B,-87D0C
-9F6C7,-9F805,-9F640
-87D43,-87C38,-87C97
-9F6DD,-9F634,-9F7DC
-87D20,-87BCE,-87E63
-9F590,-9F7E0,-9F651
-87BF5,-87B21,-87CEE
-9F712,-9F703,-9F6E4
-87A80,-87BEA,-87BD2
-9F59C,-9F90A,-9F6A9
-87C84,-87C56,-87D73
-9F979,-9F7A6,-9F722
-87DD5,-87C9E,-87B4B
-9FA49,-9F965,-9F90B
-87EDC,-88200,-87E75
-9F96A,-9FBAA,-9FB01
-87F0E,-87DBE,-87F07
-9F8BE,-9F8FB,-9F741
-87E46,-87D8F,-87DB9
-9F8A9,-9F969,-9F9B5
-87E3B,-87E8A,-880AD
-9F8B1,-9FA33,-9FB89
-881BF,-8809F,-87FEA
-9F9CD,-9FC8C,-9F995
-8805F,-87FF0,-881AA
-9FD01,-9FCB6,-9FBDD
-88209,-881F2,-87FF5
-9FAA4,-9F991,-9FA47
-87E99,-8804B,-88086
-9FB10,-9FAC3,-9F9F0
-88051,-87ECB,-88016
-9FAB1,-9FCB2,-9FC05
-88274,-8813D,-88088
-9FBCB,-9FC5A,-9FB95
-88049,-880F7,-8814C
-9FB70,-9F8B6,-9FC21
-87ED5,-87FF9,-87F8F
-9FA71,-9F9A0,-9FAF5
-88010,-87F2B,-88179
-9FB03,-9FAF8,-9FADA
-88222,-8807D,-880F1
-9FBBD,-9FC3B,-9FA74
-88161,-88292,-880C5
-9FC6D,-9FB08,-9FB69
-88136,-87F8C,-87FBF
-9FA49,-9F955,-9F9DC
-87F29,-87E9D,-88024
-9F96F,-9F957,-9FA8E
-88134,-87F1E,-880CD
-9F996,-9FA01,-9F8F3
-8804C,-87E18,-881C9
-9FBAF,-9FC7D,-9FBC0
-87F07,-87F0D,-88148
-9FC44,-9FA22,-9F99A
-88112,-88165,-882C0
-9F9F7,-9FA0E,-9F9ED
-88144,-88171,-88357
-9FBF9,-9FD09,-9FC59
-881F2,-88152,-88123
-9FB5F,-9FB9A,-9FAAE
-880EF,-87E5C,-8805F
-9FB49,-9FC4D,-9FA49
-88260,-8800D,-881BC
-9FAE4,-9FCC0,-9FB45
-8825C,-88152,-880AF
-9FC5F,-9FAEF,-9FB45
-880E3,-88197,-87FB1
-9FA4F,-9FB0F,-9FB08
-880C1,-8803D,-88061
-9FC65,-9FBA8,-9FCB0
-88260,-87FC7,-880EC
-9FC72,-9FBCC,-9FB16
-8821C,-8806C,-88180
-9FC29,-9FC34,-9FE1F
-88222,-88439,-8820A
-9FCCF,-9FCD6,-9FC9B
-87654,-8764D,-8754A
-9EDFD,-9EB93,-9EBB6
-870C1,-870F4,-8708E
-9EBFE,-9EAFD,-9EB5C
-87178,-870E8,-87269
-9EC18,-9EC7E,-9EBDD
-87191,-87164,-87213
-9EC83,-9EC13,-9EC04
-872B0,-87170,-873F0
-9EB92,-9EBA7,-9EA43
-871CE,-87191,-871EB
-9EB51,-9EA2D,-9ED96
-870C8,-871F0,-8713E
-9ECA0,-9EC6B,-9EDE2
-8739F,-871BB,-870CC
-9EBCA,-9EAC0,-9E99B
-870EF,-870E0,-8708A
-9EC67,-9EA09,-9EB17
-87147,-87209,-8700D
-9ED4F,-9EAEE,-9EC03
-870D2,-87171,-8729D
-9ECC2,-9EAFC,-9EBD3
-872E9,-8723F,-8726C
-9EB14,-9EC6E,-9EB7A
-8716C,-8727A,-871D2
-9EC64,-9EBA9,-9EEB1
-87304,-8739D,-871A8
-9EDEF,-9EC53,-9ECF1
-871F7,-8740B,-87401
-9EDCE,-9ED79,-9EC84
-87688,-875A9,-872F1
-9EDA3,-9EDB1,-9ED42
-873FA,-872A5,-87228
-9EA44,-9EA55,-9E892
-871BB,-87084,-871A1
-9E995,-9EAFA,-9EB01
-8719E,-871BA,-8710D
-9EADB,-9EB2C,-9EC5C
-870D8,-8712C,-87189
-9EADF,-9EAFF,-9EB6B
-871A3,-87210,-86FAB
-9EC90,-9EB9F,-9EAF1
-8728E,-87392,-87144
-9ECCA,-9ED28,-9EDED
-872C3,-87350,-871C2
-9ED72,-9EBFF,-9EC48
-872EC,-871B8,-871C8
-9EB64,-9ECB4,-9EEE2
-8708E,-87335,-86FBB
-9EC83,-9EC5D,-9ECE0
-87311,-87310,-8740E
-9EE2A,-9EC5F,-9ED3C
-872BA,-871D1,-87213
-9EE44,-9EE37,-9ED68
-87295,-87281,-8730A
-9EE50,-9EF87,-9EE5F
-87125,-87263,-8745C
-9EDD1,-9ECC6,-9ED7F
-874DF,-8729C,-87277
-9EED2,-9ECC8,-9EEFD
-87198,-87316,-870E3
-9EE0B,-9ED38,-9ED06
-8740C,-873A0,-87384
-9EB9E,-9EC4C,-9EE30
-873FF,-872AF,-872F5
-9EFF1,-9EF3A,-9F19B
-87651,-87619,-874B9
-9F093,-9F015,-9F117
-876D2,-874DB,-87498
-9EF61,-9F11B,-9F0E1
-8773E,-876CF,-87686
-9F009,-9EF7A,-9F07A
-87613,-87630,-874F0
-9EFAB,-9EFBB,-9EEBC
-875C0,-8764B,-87511
-9EEBA,-9F111,-9F093
-874A0,-87606,-87444
-9F217,-9F0DF,-9EF0E
-87664,-875CF,-8766A
-9F15B,-9F1A7,-9F0A2
-877B3,-8756A,-8783C
-9EF13,-9F099,-9F173
-87765,-875B6,-877AE
-9F167,-9EFC4,-9F10D
-87731,-87703,-876EE
-9F198,-9F276,-9F1AF
-8781E,-87767,-877C2
-9F1D3,-9F231,-9F131
-87718,-876C5,-876F7
-9F23A,-9F27B,-9F0F9
-878DC,-87856,-87754
-9F368,-9F373,-9F466
-8775E,-877C4,-877C5
-9F44F,-9F3E6,-9F2B0
-879E0,-878B1,-878EA
-9F330,-9F30E,-9F1D3
-87726,-87961,-87AAE
-9F1C5,-9F186,-9F126
-87749,-87961,-87925
-9F198,-9F06F,-9F10E
-87668,-87632,-876A9
-9F26B,-9F351,-9F190
-87A24,-8779F,-87843
-9F0BA,-9F221,-9F171
-877C4,-8769C,-8756F
-9F254,-9F18B,-9F1F4
-87819,-877B3,-87526
-9F265,-9F0D4,-9F062
-87700,-87694,-876AB
-9F1B4,-9F2C3,-9F209
-87838,-877E6,-87761
-9EF2F,-9F1DF,-9EFFC
-8770F,-877EC,-87817
-9EFE9,-9F0D1,-9F03F
-8763C,-8775C,-877FA
-9F3A1,-9F3C2,-9F422
-87897,-8785D,-8787F
-9F11E,-9F28B,-9F040
-87964,-8783A,-877A6
-9F3FD,-9F2F8,-9F315
-8761D,-875B6,-878EA
-9F363,-9F148,-9F227
-87960,-87A61,-87969
-9F502,-9F331,-9F538
-8781D,-8797A,-877E0
-9F48A,-9F4D6,-9F1F9
-87B02,-87748,-878AB
-9F2CE,-9F32B,-9F2E8
-87D39,-87CA4,-87E78
-9EDAC,-9EE4F,-9EE0A
-87517,-872B2,-872E6
-9EBFE,-9EE6C,-9EE44
-872D6,-8733A,-8727F
-9EEEF,-9EF37,-9EF2F
-875ED,-873BE,-873D3
-9F05F,-9EEDB,-9EECA
-8744E,-87302,-873EA
-9EF76,-9EF4B,-9EF88
-8756C,-876F0,-874DE
-9EEE7,-9EFB2,-9EED6
-873D0,-8749D,-8725F
-9ED3B,-9EDED,-9EFB8
-87475,-87415,-87657
-9EF8A,-9EF77,-9EFCB
-8734D,-87424,-87520
-9EFED,-9EF01,-9EFBD
-87441,-87323,-87389
