{'CALIB_RAW_DAC_START_I': 0, 'CALIB_RAW_FILETYPE': 'CALIB_RAW_FILETYPE_LIMP', 'CALIB_RAW_DAC_A_INDEX': 2, 'CALIB_RAW_SERIAL': '20190606_02', 'CALIB_RAW_VERSION': '1.0'}
155066,154F63,154FA0
13D592,13D63A,13D62D
154F6E,154EAB,15510E
13D6EC,13D545,13D516
1550AC,154FD3,1550EA
13D681,13D5A8,13D6AE
15500E,1550A6,15503F
13D6AB,13D6F8,13D5B8
154F5D,154F6C,154F93
13D6F6,13D5F3,13D6B7
15505A,1551AC,155183
13D5F2,13D4E8,13D6A0
155163,155241,1552E2
13D6C3,13D642,13D593
154FD7,15519D,155113
13D768,13D3C5,13D6C8
1550DE,155159,15509D
13D6EB,13D658,13D6C2
154F61,15515F,155135
13D634,13D690,13D774
1550E6,154ECD,154EB6
13D6B3,13D32B,13D50C
155111,155197,154EBD
13D53C,13D4DD,13D54E
154FF0,15505D,155197
13D56F,13D672,13D590
154FC2,154F12,15506A
13D6EC,13D42F,13D641
155279,15520F,155192
13D8AB,13D57B,13D53B
15511E,155063,15502E
13D7B0,13D696,13D4D4
1551DC,1551AF,155138
13D6A3,13D608,13D7A0
154FFC,1551E8,1551A1
13D4BF,13D6F5,13D73B
155162,154FC7,155184
13D64D,13D765,13D892
15513B,1551F1,155087
13D8FE,13D70A,13D8E8
155191,155361,1551E7
13D804,13D699,13D88B
155154,1551BB,1552EB
13D6DE,13D73B,13D683
1552EE,1552DE,15526E
13D70C,13D7E9,13D80A
154FEB,15516C,155138
13D629,13D769,13D5D4
1551FD,1550B3,1551D8
13D8D4,13D779,13D70C
155008,154FC4,154FE7
13D6E5,13D5F4,13D5BE
15518D,155345,155215
13D5D3,13D5C5,13D74F
155023,15519D,155083
13D65D,13D745,13D7C1
155439,1551EB,1553D6
13D6F3,13D7CD,13D9D6
155293,1551AD,1551C9
13D68E,13D6A5,13D7B7
15524C,15517C,1551A0
13D667,13D6D4,13D5CE
1551FC,15514A,155281
13D755,13D89B,13D7D3
1552F6,1550DC,15512B
13D738,13D840,13D739
1550B4,15528D,15516C
13D89F,13D7F9,13D8C2
1552F4,15529A,15534E
13D6EB,13D7F9,13D8FB
1552C0,155443,155220
13D883,13D7DA,13D7FD
1552FE,155397,155100
13D925,13D967,13D751
1551BC,155040,155257
13D8D1,13DAE8,13D741
1553D5,155398,15552D
13D829,13DA19,13D8F6
1551D1,15535F,155098
13D778,13D76E,13D664
155337,15529A,15532F
13D98E,13D84A,13D71C
155378,155468,155270
13D997,13D64B,13D999
1551E1,1553A2,15548C
13D963,13D92E,13D765
1553A4,15510E,155111
13D891,13D8CB,13D938
15531F,15547D,1552D1
13D920,13D9E3,13D9C8
1552AB,155180,15525F
13D672,13D8E4,13D783
