{'CALIB_RAW_DAC_START_I': 589824, 'CALIB_RAW_FILETYPE': 'CALIB_RAW_FILETYPE_LIMP', 'CALIB_RAW_DAC_A_INDEX': 6, 'CALIB_RAW_SERIAL': '20190606_02', 'CALIB_RAW_VERSION': '1.0'}
25577,256B1,2551F
3D0DA,3D1BA,3D1B8
25760,25617,2556A
3D148,3D124,3CFB2
25674,2546D,2559F
3CF0D,3D124,3CF1A
25443,253FC,2533E
3CFCD,3CFDD,3CF8F
2550C,255E1,255DA
3D043,3D150,3D0EB
25490,254D0,255D4
3CEF6,3CEA1,3D06D
25535,25398,2567E
3CEE0,3CEFC,3CFF1
253BE,25426,2546A
3CD13,3CD34,3CD0B
2537D,253FA,2532B
3CE5D,3D0B1,3CE5A
255A5,25497,2559B
3D09F,3D0D9,3D0CB
254C6,254DA,2548C
3D02B,3D024,3CF91
2532E,25577,25419
3CF1F,3CEAD,3CE73
2538D,2539E,25276
3CCD8,3CF84,3CDB2
253A1,253DB,253A8
3CDE1,3CE4E,3CD49
2562F,25332,25533
3CEFB,3CF3A,3CEC2
2536C,25412,2540A
3CDB4,3CC96,3CCE2
25272,252F7,25227
3CE1E,3CD91,3CF44
2559E,2552F,254A8
3CE60,3CFCB,3CDFB
25405,25287,253CD
3CF5C,3CEC1,3CFA1
252E2,2541F,2538F
3CE4A,3CE53,3CE8A
25386,252A3,25307
3CF07,3CED1,3CE5B
25299,252B3,25392
3CB26,3CC68,3CCCC
25230,25298,251AF
3CE53,3CE03,3CC16
25247,250E0,252CC
3CDB8,3CDF3,3CCC8
25574,253AC,25327
3CDFF,3CDC5,3CF6E
25517,252FD,2546F
3CE7E,3CECC,3CE57
253EE,25334,2546D
3CF3E,3CD3F,3CD6B
2535E,252D5,25304
3CC96,3D011,3CE2D
25501,2538B,25410
3C3CE,3C340,3C5E0
257CB,258F6,2574C
3D2CE,3D1A3,3D337
25736,257B1,2562F
3D2A7,3D268,3D599
25A84,25677,258A4
3D40E,3D27C,3D2BA
258DA,2583B,25834
3D2E5,3D293,3D266
25699,25753,25AF3
3D325,3D2A1,3D28C
25868,259D8,259C6
3D43B,3D1B6,3D30E
25756,257C9,256E2
3D180,3D361,3D33A
2582E,25747,258BA
3D2AE,3D145,3D23A
257EB,256D9,25645
3CFC3,3CFB5,3CFC9
25843,257E8,25611
3D2AB,3D1C4,3D2C5
2588C,25600,255FD
3D0A3,3D1FD,3D2E9
25828,25884,2589D
3D1AE,3D2A5,3D12E
25697,256EA,256CA
3D0FB,3D2FE,3D102
255E4,25579,25793
3D03D,3D2F2,3D2A7
25672,2575A,25752
3D230,3D114,3D30F
2590D,2581A,255FF
3D2BC,3D1FF,3CFEB
257F6,25818,25364
3CECA,3CEF0,3D028
254D5,25596,25411
3CEDE,3D073,3D11A
25549,255C3,256BA
3D0BE,3CF61,3CFC1
2550F,25660,25612
3D207,3D00C,3D163
256FC,256BA,256F8
3D0E4,3D157,3D0A8
256AC,256FC,25749
3D0E7,3D250,3D33C
256A4,2576E,255C2
3D2FB,3D0DF,3D265
25838,255DF,255D6
3D0E4,3D1E7,3D315
25745,257EF,258C0
3D212,3D148,3D056
254E8,25681,25495
3D1D2,3D087,3CFA4
25488,2533F,25647
3CFB9,3CF98,3CFF8
255B7,25583,25734
3D06D,3D0BD,3D0BC
255BD,2560B,25754
3D058,3D1E7,3D093
256E4,25575,2565C
3D2CB,3D08B,3D395
25640,25698,2557A
3D0B6,3D2BC,3D125
2579D,2553B,2560A
3D23C,3D220,3D33C
25576,25547,256D4
3CE26,3D148,3D0CD
256A8,25635,25613
3CF40,3D0CA,3CEE3
25586,254F6,256F4
3D135,3D14B,3D08C
254AB,255F1,254D1
3D0A3,3CF90,3CF90
255C6,25703,25705
3D067,3D316,3D03B
254DF,2553B,25326
3D016,3D1CF,3D061
25553,25633,2543F
3D02C,3CFF6,3D1EF
256C4,25682,256EC
3D0C9,3D02F,3D1C0
2550F,25434,25338
3CFCD,3CD40,3CDD2
2547F,25443,2552B
3CDDE,3D1E9,3CD1E
25588,256F2,25539
3D107,3CE4B,3CF2D
2550A,254A1,255E4
3CFC8,3D0C3,3CFF2
2550A,25599,253E8
3CFD9,3CF87,3CF6D
254A5,25413,2546E
3CFE1,3D0E9,3CF72
253AA,25437,255E0
3D09A,3CF1A,3CD7B
2542C,25480,25477
3CDA1,3CDC5,3CE36
25520,25421,2540B
3CF2C,3CEF3,3D187
2551C,2553B,25543
3CE38,3CFD9,3CF72
