{'CALIB_RAW_DAC_START_I': 294912, 'CALIB_RAW_FILETYPE': 'CALIB_RAW_FILETYPE_LIMP', 'CALIB_RAW_DAC_A_INDEX': 0, 'CALIB_RAW_SERIAL': '20190606_02', 'CALIB_RAW_VERSION': '1.0'}
A283E,A2791,A2856
BA28E,BA389,BA2DC
A291B,A28B1,A276E
BA1FD,BA2C0,BA212
A29E9,A2937,A29D3
BA3C0,BA394,BA265
A2B04,A29DB,A29E9
BA49C,BA1BB,BA2D2
A27D5,A289A,A28E3
BA412,BA4F5,BA4DD
A2AE2,A2A96,A2A7C
BA543,BA55C,BA69A
A2AB9,A2B21,A29F9
BA550,BA432,BA451
A2AE8,A2D27,A2C63
BA570,BA515,BA56C
A2AA9,A2B4C,A2801
BA525,BA594,BA594
A2BC3,A2B07,A2AF3
BA817,BA7AE,BA5DA
A2AF8,A2BA8,A2B81
BA441,BA770,BA528
A2BB2,A2AEB,A2D0B
BA669,BA465,BA56E
A2C9C,A2B85,A2A9A
BA4F2,BA33C,BA591
A2B30,A2B21,A2BF0
BA584,BA60D,BA6FD
A2B7B,A2AEA,A2D08
BA463,BA6F0,BA5E1
A2A27,A28D4,A2C29
BA717,BA6F8,BA6BC
A2BFB,A2B20,A2A75
BA78F,BA4EA,BA526
A2A50,A2BAA,A2C95
BA38B,BA3A8,BA5B6
A26B3,A2888,A2970
BA24F,BA202,BA479
A29E8,A2AC5,A29DD
BA30D,BA40B,BA293
A2A0D,A27F0,A2754
BA2C9,BA38C,BA255
A293C,A299C,A2962
BA3A2,BA4FC,BA3AD
A28C3,A283F,A2854
BA417,BA237,BA384
A28A0,A2950,A2BC8
BA3AC,BA331,BA31B
A26B0,A29BD,A29ED
BA239,BA15C,BA37D
A2A85,A28B7,A2967
BA3BB,BA599,BA537
A2BB4,A2B9B,A29A5
BA4A0,BA32B,BA55C
A2912,A2920,A2A97
BA72C,BA55F,BA5A9
A2B29,A28F6,A2983
BA466,BA2D0,BA27E
A28BB,A2A3F,A29A9
BA5E5,BA3EC,BA453
A2AB8,A2971,A2B84
BA628,BA51E,BA5C4
A2BC3,A29C6,A2A59
BA67F,BA551,BA6DB
A2A53,A2AAF,A2B3A
BA67A,BA400,BA587
A2B63,A2BE8,A2BEE
BA6D1,BA45E,BA515
A2C02,A2CD5,A2D65
BA7D7,BA6EA,BA6EA
A2B4F,A2CC2,A2D7D
BA811,BA84B,BA8B1
A2C6D,A2C65,A2CF6
BA5F7,BA7C5,BA879
A2BF0,A2BE1,A2C13
BA52E,BA720,BA6D0
A2C35,A2ABD,A2D49
BA531,BA5E5,BA4DB
A2AF8,A2BA9,A2C2B
BA6DC,BA6F2,BA7F3
A2BCB,A2B92,A2DA7
BA667,BA5D8,BA74B
A2CAA,A2B46,A2C21
BA7AF,BA8DE,BA847
A2E54,A2C2E,A2C96
BA842,BA905,BA7B3
A2AFE,A2F69,A2C48
BA882,BA64E,BA6DE
