{'CALIB_RAW_DAC_START_I': 851968, 'CALIB_RAW_FILETYPE': 'CALIB_RAW_FILETYPE_LIMP', 'CALIB_RAW_DAC_A_INDEX': 6, 'CALIB_RAW_SERIAL': '20190606_02', 'CALIB_RAW_VERSION': '1.0'}
12FAF6,12FA1F,12F941
117ECB,11804F,118079
12FB5B,12FBCB,12FAC9
118234,11829D,1181A9
12FB99,12F9F5,12FABC
11816F,11813B,11812E
12FA02,12FBB2,12FB01
11832A,117E15,117E55
12FA3B,12F990,12F98C
1180E3,1180B9,117F37
12FA11,12FD5D,12FAF1
117F1B,117F22,118147
12F921,12F9E7,12F937
117E0F,1180CB,117F57
12F9F5,12FB4A,12F8B7
117EC1,117FBA,117E27
12F7E2,12F927,12FB47
117EC4,117EA1,117E06
12FA22,12FAA0,12FC2B
118015,117FE3,1180A5
12F8CA,12F9C1,12FA49
117ECA,117EB5,117F3C
12FB4E,12FB6C,12F9DF
1180C2,117E66,118131
12F991,12F994,12FB7F
1180B7,117F65,118081
12F901,12F859,12FA90
1180A4,118094,117E48
12F9CB,12F935,12FB5F
117F14,1180FA,118148
12FC58,12F9FD,12FADC
117E88,118010,117F7A
12F9E6,12FB86,12FD08
118089,117DBB,117F1F
12FAA3,12F9BF,12F96E
11804C,1180D3,117EF6
12F902,12FBE6,12FA90
117F71,117FF2,117EB1
12FB31,12FA66,12F98C
118041,118091,117ECB
12FA43,12F9AA,12FAF9
11812B,117F07,118143
12FC0B,12FBF2,12FB34
1180A0,118000,117D83
12FAF2,12FB6C,12F8EC
11811B,117E40,117D96
12FA41,12FB50,12FBC3
117ED2,117E41,118029
12FA33,12F9FB,12FA5F
117FB6,118061,117E9C
12F928,12FA0C,12F8E6
117E74,117E62,117E13
12F8E0,12FA27,12F8D9
117FCF,117FED,117E7A
12F950,12FB58,12F9A9
117DE8,117F94,117E6F
12F947,12F8BA,12FA07
117FBA,118079,117DD7
12F5B5,12F623,12F64B
117A74,117A09,117993
12F330,12F248,12F34D
11794B,11791E,1179DD
12F3A8,12F350,12F485
1178E5,1178FA,1178EB
12F451,12F3BF,12F466
1178DF,117998,117AB9
12F370,12F59B,12F617
117A6D,1179A9,1179EE
12F48E,12F5C1,12F5F3
117B6A,117B4D,117AFE
12F63E,12F66E,12F4A7
117AEB,117C31,117ADA
12F5B6,12F69C,12F6C0
117AA9,117B18,117A86
12F4E8,12F5E5,12F5F9
1179AF,117A55,117A9B
12F3E7,12F5FD,12F590
1179B4,117998,117A0C
12F5A2,12F552,12F3C9
1179F1,1179D2,117834
12F2BA,12F42F,12F454
1178C0,1178A1,1176E3
12F3A2,12F47E,12F35F
117993,1179A0,1179E2
12F36B,12F660,12F362
117A90,117B46,1178B3
12F352,12F376,12F394
117818,11781A,117A59
12F32F,12F291,12F3EE
11788F,117997,1179E4
12F219,12F2CE,12F4E6
1178C6,11781D,11789B
12F249,12F3F0,12F36D
117912,117870,1179D6
12F549,12F49E,12F2F1
117A92,117A1E,117959
12F30C,12F22A,12F3FE
1177EF,11793D,117874
12F23D,12F468,12F49C
117B45,117A4A,1178ED
12F23D,12F216,12F1FB
11795B,1178C7,117A6C
12F3F5,12F5A3,12F4E0
1178D3,11782C,117955
12F3B2,12F49E,12F380
11790C,117AC3,117B1F
12F462,12F507,12F4C9
117998,11788B,117A00
12F516,12F2BB,12F46C
11793E,1177AC,117940
12F496,12F519,12F1A9
117922,117850,117725
12F2B3,12F23E,12F345
1178FD,11777E,117769
12F088,12F423,12F356
1179D2,117A13,1178CC
12F37D,12F209,12F3DD
1177EF,11785B,1178BB
12F464,12F27C,12F537
117A0E,11783A,117993
12F365,12F205,12F34E
1177F8,117A13,1178D2
12F1D9,12F300,12F41D
117773,117824,1175BB
12F282,12F095,12F349
1176DD,11783A,117913
12F279,12F14B,12F2F4
1179F2,117A03,1179A7
12F521,12F356,12F2B4
117818,11787E,11767A
12F252,12F37C,12F32B
117946,1177F4,117802
12F3C6,12F24A,12F35D
1177A0,11789E,11781D
12F481,12F2B8,12F655
1179FB,117904,117807
12F433,12F3AA,12F283
1178FA,117831,117899
12F3E1,12F47D,12F3C8
11782A,1176CD,117737
12F365,12F38C,12F239
1175FB,11781B,117872
12F319,12F3E0,12F2E3
1177D8,117795,11777F
12F1AE,12F122,12F469
1179BD,1175FE,117761
12F363,12F414,12F1F2
117827,11795B,117939
12F2D3,12F322,12F322
1177A8,117900,117847
12F33F,12F2BE,12F2AB
11788E,11787A,11790D
12F2D1,12F447,12F2E8
1179F3,11781C,117855
12F18A,12F2EB,12F17F
117939,11758F,1179F3
12F186,12F30B,12F33F
117773,117804,11766E
12F2A4,12F126,12F32D
117832,117682,11774F
12F318,12F0F9,12F322
1175FE,1178EB,1178B3
12F22E,12F279,12F1D6
1177AF,117748,1177C6
12F321,12F15A,12F171
11778A,11767D,11780B
12F0E5,12F1D0,12F24B
117710,11760B,1177F0
12F1F4,12F25E,12F2B5
11789B,1178A7,1178AF
12F3DA,12F207,12F428
11776C,117923,117877
12F13A,12F0C7,12F133
117721,11780A,117647
12F0FE,12F192,12F1F4
117763,1178A8,1176D2
12F234,12F0B9,12F0AB
117764,1176FA,117727
12F19A,12F1D1,12EFBE
117799,11755D,11771F
12F09F,12F0C9,12F37F
1177D7,117862,11785B
12EFA9,12F296,12F169
11785D,1177A6,1176FF
12F151,12EF05,12EF64
117692,1175B4,117722
12E6CD,12E736,12E530
1179B7,117C95,117C00
12F590,12F45C,12F56C
117B54,117A55,117B71
12F577,12F608,12F5AE
117C0A,117B51,117A62
12F4B1,12F628,12F549
117B13,117B43,117A39
12F774,12F84B,12F7FD
117B0A,117AD8,117AA0
12F481,12F59E,12F67A
117C2E,117B34,117BC3
12F5F4,12F624,12F678
117A72,117C01,117CFD
12F5C6,12F3CB,12F3B9
117C70,117A52,117B37
12F5F5,12F5A3,12F4F4
117A22,117B9B,117AA0
12F3C3,12F2EC,12F399
117AFA,117ADB,117994
12F629,12F525,12F3D7
11780D,117978,117745
12F31D,12F32B,12F4E0
11793F,11796D,11789F
12F4FA,12F481,12F363
1179FE,117A89,11786C
12F4D3,12F5F4,12F5E6
117A65,117C6C,117BAF
12F534,12F444,12F4D7
1179F0,117953,117ABF
12F50C,12F4DE,12F4F1
117B13,1179D5,117A72
12F371,12F435,12F39C
117B7F,117AEE,117A36
12F517,12F4A9,12F302
117B97,1178BB,1179C9
12F2B0,12F521,12F571
117A13,11795E,117917
