{'CALIB_RAW_DAC_START_I': 884736, 'CALIB_RAW_FILETYPE': 'CALIB_RAW_FILETYPE_LIMP', 'CALIB_RAW_DAC_A_INDEX': 0, 'CALIB_RAW_SERIAL': '20190606_02', 'CALIB_RAW_VERSION': '1.0'}
-A6D5E,-A6B51,-A6CF6
-BE769,-BE648,-BE536
-A6CC7,-A6B90,-A6D02
-BE671,-BE65D,-BE739
-A6B90,-A6C10,-A6A9A
-BE81F,-BE68B,-BE635
-A6BE7,-A69A2,-A6B3B
-BE645,-BE6D3,-BE68D
-A6C55,-A6BD4,-A6B76
-BE612,-BE477,-BE5D1
-A6B9A,-A6966,-A698A
-BE7D8,-BE5FB,-BE727
-A6BF0,-A6B25,-A6D10
-BE3EC,-BE477,-BE59E
-A6A50,-A69F9,-A6A63
-BE62E,-BE3B1,-BE557
-A6A6C,-A69C5,-A6988
-BE3BB,-BE4DF,-BE2AC
-A6835,-A67F7,-A69D1
-BE38C,-BE573,-BE48A
-A6937,-A6938,-A6A9B
-BE33D,-BE3FE,-BE3EC
-A6A57,-A67AA,-A68A2
-BE365,-BE4F9,-BE5DA
-A6A89,-A6915,-A6963
-BE735,-BE54F,-BE555
-A7A86,-A7A8F,-A7947
-BE5C5,-BE57D,-BE4BB
-A6B63,-A680E,-A6941
-BE549,-BE46A,-BE468
-A6A77,-A699D,-A69A8
-BE4B6,-BE3E7,-BE29B
-A69B4,-A6A22,-A6A41
-BE2F2,-BE498,-BE40D
-A6A86,-A690E,-A6A3D
-BE38D,-BE3EC,-BE4BF
-A6818,-A697D,-A67B8
-BE3AD,-BE525,-BE3BE
-A6B91,-A689F,-A6A48
-BE162,-BE53A,-BE4E5
-A6962,-A690F,-A696E
-BE349,-BE41D,-BE423
-A68B9,-A6860,-A66D8
-BE50F,-BE449,-BE2F0
-A69D0,-A69B1,-A68BF
-BE2CC,-BE2FF,-BE46A
-A685B,-A6AAC,-A68AF
-BE317,-BE3AB,-BE0AE
-A69FE,-A68D7,-A67FA
-BE1B9,-BE2C8,-BE24A
-A6847,-A6843,-A66DA
-BE05E,-BE3B2,-BE223
-A6714,-A689E,-A6611
-BE209,-BE099,-BE19D
-A67B3,-A67AF,-A6797
-BE32B,-BE220,-BE333
-A6740,-A67E8,-A6694
-BE4CC,-BE2A0,-BE27C
-A67F8,-A6863,-A697A
-BE0D9,-BE260,-BE18F
-A68AD,-A67BC,-A66F5
-BE0B1,-BDFCC,-BE222
-A6719,-A6617,-A663A
-BDF42,-BE06C,-BE134
-A66D4,-A6817,-A6744
-BE13B,-BE1E8,-BE1DC
-A659A,-A65C3,-A6649
-BE138,-BDFE7,-BE19E
-A661C,-A66B5,-A642F
-BDF78,-BE057,-BE060
-A6713,-A6628,-A656D
-BDF77,-BDFC8,-BE11D
-A65B1,-A651F,-A66CA
-BDF93,-BE03B,-BE203
-A6300,-A643F,-A6393
-BDFD4,-BDF7F,-BDDDC
-A64A3,-A648D,-A63E3
-BDDE1,-BDF1D,-BDF2D
-A62FF,-A65E4,-A6670
-BE112,-BDEEE,-BDFF7
-A654E,-A64D7,-A62DC
-BE048,-BDF49,-BDE5C
-A640B,-A654E,-A644A
-BDF85,-BDDB8,-BDD0F
-A6319,-A63B0,-A645A
-BDDD4,-BDF59,-BDD1E
-A62D0,-A64C3,-A61E1
-BDC4D,-BDD57,-BDC18
-A628F,-A6233,-A61AD
-BDD4E,-BDD2C,-BDD6E
-A6387,-A63FD,-A632F
-BE16A,-BE0A2,-BE078
-A6688,-A67A6,-A6726
-BE05E,-BE08C,-BDFC7
-A6437,-A6710,-A66BE
-BDF33,-BE0EE,-BE076
-A66A5,-A6755,-A6616
-BE13E,-BE116,-BE0DA
-A65EF,-A648C,-A64EF
-BE11B,-BE2DA,-BE112
-A6541,-A661A,-A65A4
-BE107,-BDFF7,-BE008
-A659A,-A6650,-A656D
-BE112,-BE1BC,-BE15F
-A6602,-A6422,-A66A1
-BE21A,-BE2B8,-BE1A7
-A6501,-A649E,-A631A
-BDF44,-BE0ED,-BE079
-A664F,-A668A,-A65C8
-BDF19,-BDF5A,-BE154
-A6483,-A652D,-A6648
-BDF4E,-BDDDA,-BE087
-A63B2,-A653F,-A63C3
-BDF58,-BDF03,-BDF48
-A64F9,-A646D,-A653A
-BE087,-BE0AB,-BDE95
-A6476,-A6308,-A6203
-BDE76,-BDF31,-BDFE5
-A64A5,-A6446,-A630D
-BE026,-BDF4F,-BDF5D
-A646C,-A62C0,-A64B1
-BDF69,-BDEE4,-BE0D8
-A6682,-A6597,-A64F5
-BDDD2,-BDF7F,-BDDB0
-A6549,-A6454,-A652A
-BDF26,-BDF95,-BDE6B
-A63F2,-A63DF,-A64E5
-BDE23,-BDEF9,-BDE56
-A6242,-A62D9,-A65A9
-BDD6A,-BDDAB,-BDFEB
-A63A5,-A6436,-A64B0
-BDE92,-BDFAB,-BDE92
