{'CALIB_RAW_DAC_START_I': 294912, 'CALIB_RAW_FILETYPE': 'CALIB_RAW_FILETYPE_LIMP', 'CALIB_RAW_DAC_A_INDEX': 2, 'CALIB_RAW_SERIAL': '20190606_02', 'CALIB_RAW_VERSION': '1.0'}
C3087,C3170,C324A
AB94F,AB83D,AB8AF
C3369,C324A,C33D2
AB99E,AB992,ABA8A
C3511,C324F,C349E
ABB10,ABA0B,ABA78
C3535,C3509,C3421
AB818,AB840,AB9E8
C3018,C33E1,C345D
AB90E,AB99E,AB7E6
C3304,C329A,C3324
AB9DE,AB8FB,ABBB0
C34C0,C33FF,C3497
AB8F6,AB9CC,AB94B
C350F,C3424,C3627
AB938,AB8CA,ABA9D
C3210,C332F,C32AA
AB912,AB7A2,AB75A
C3378,C353D,C33CF
AB977,AB980,AB80F
C3385,C33E0,C35DD
ABA15,AB98E,ABA30
C3459,C34D3,C34A7
ABAEE,AB962,ABABE
C3382,C34CC,C3502
AB98A,ABA42,ABB0A
C359A,C35E8,C3438
ABAD7,ABB14,AB9F4
C3626,C361D,C33D7
ABA12,ABA6F,AB977
C3720,C34F6,C362D
ABBD9,ABD19,ABC18
C375F,C3551,C3568
ABB43,ABD08,ABBD2
C33D6,C3449,C35B1
ABC0B,ABC07,ABBD0
C38C7,C35D2,C3457
ABBF2,ABB69,ABBEC
C3639,C36A0,C3532
ABBC4,ABB70,ABB41
C3633,C35F4,C3677
ABA25,ABC01,ABB4F
C3673,C368E,C358A
ABB81,ABB05,ABB3C
C343E,C3675,C3784
ABB14,ABB85,ABAB3
C3800,C37F9,C3843
ABC9D,ABAE4,ABAAB
C3574,C3597,C352F
ABB45,AB9D5,ABA31
C332A,C35A1,C350C
ABC6A,ABD62,ABC55
C3688,C348C,C36E5
ABCDA,ABB86,ABB54
C3623,C37EC,C3623
ABB47,ABAB5,ABBBB
C36F3,C384F,C360E
ABF69,ABC46,ABC16
C362D,C375D,C35AD
ABBBE,ABA2D,ABBF6
C36FC,C354A,C36A8
ABBBE,ABC1E,ABB8D
C3750,C37D9,C36CA
ABB9E,ABAD3,ABB58
C34EB,C3506,C3697
ABAF0,ABB91,ABD60
C3736,C3748,C3699
ABC42,ABCCC,ABB8A
C34D6,C36BF,C35C6
ABBC8,ABB0E,ABC8C
C3540,C3577,C3511
ABD71,ABA63,ABB65
C37B5,C35D3,C370D
ABAD1,ABB66,ABC28
C34AC,C35F0,C34E1
ABC5C,ABD70,ABD3E
C36BA,C3749,C35F2
ABC6A,ABBC9,ABA1D
C37C1,C36E0,C36AB
ABE4C,ABB90,ABB6A
C3538,C3597,C3486
ABB69,ABB9A,ABBD9
C3696,C3736,C35BB
ABE43,ABD0A,ABB77
C369E,C38BD,C3544
ABDC4,ABB7D,ABDDC
C37FD,C36BF,C374E
ABC5A,ABEAB,ABE9E
C3534,C371C,C3798
ABCD7,ABD6E,ABBE3
C363C,C35CB,C378D
ABBEC,ABA4B,ABCC0
C37A5,C3812,C3747
ABC2A,ABC50,ABBDE
C3710,C38A8,C387F
ABB55,ABCFE,ABC76
C34CE,C3696,C3553
ABD47,ABDD0,ABD31
C3684,C3718,C376F
ABAA1,ABCED,ABC8D
C3820,C3547,C3815
ABD27,ABCD1,ABAD8
C37C9,C3699,C3887
ABCD2,ABC13,ABC7D
C36DA,C3800,C3767
ABC3B,ABD97,ABF77
C37E8,C37A3,C37A7
ABE06,ABC4F,ABEEF
C3523,C369A,C361F
ABE09,ABF27,ABD12
C3B53,C38EB,C3913
ABF96,ABF51,AC006
C38E0,C38FD,C38D1
ABD64,ABD22,ABF5A
C38B7,C3803,C3802
ABF2D,ABF91,ABBCC
C3791,C383B,C393D
ABD9C,ABDEE,ABC67
C378B,C361B,C3874
ABDC6,ABD29,ABDDE
C3760,C36BA,C3663
ABCDD,ABC89,ABE51
C3729,C3867,C364E
ABDC1,ABD32,ABCB3
C387A,C37D3,C39EF
ABD2D,ABE3B,ABE19
C3708,C359C,C3710
AB987,ABA6F,AB87C
C3252,C3440,C3499
AB807,ABA3C,AB92D
C34A4,C35CC,C339A
AB9B5,AB975,AB7C1
C33D7,C32D9,C325E
AB94E,AB999,ABA43
C34EA,C33EE,C3455
AB951,AB8FD,AB9A6
C3301,C34EC,C3462
AB766,AB8B4,AB973
C3439,C34CD,C3473
AB9D0,AB96E,AB8F9
C32B7,C3592,C32DE
ABAC3,AB769,AB99E
C33E2,C350C,C3574
ABA9E,AB9F1,AB7AA
C3230,C3168,C33CF
ABAA7,ABA43,ABA20
C349D,C31FA,C337D
AB841,ABA44,AB86F
