{'CALIB_RAW_DAC_START_I': 491520, 'CALIB_RAW_FILETYPE': 'CALIB_RAW_FILETYPE_LIMP', 'CALIB_RAW_DAC_A_INDEX': 2, 'CALIB_RAW_SERIAL': '20190606_02', 'CALIB_RAW_VERSION': '1.0'}
6129E,6154A,61478
49955,4986E,49A82
613DA,6141A,6127F
498F4,499C4,497EB
61368,61474,613A3
49B06,4992F,498AB
6142E,612D1,613C5
49958,499A0,49837
6133C,61440,613C1
49954,497A1,49A7B
61356,61449,612C8
49A78,499DD,498FC
612EB,614E0,613D7
49B70,49AD8,49873
61240,61387,6142A
49919,49A76,49A24
613FC,61400,6132C
49957,49A69,49AC6
6125D,6163D,6138D
498A1,498D9,49757
61179,612F3,6130A
4996E,498D1,499EA
61310,61343,61331
498EA,499B4,499DB
615EE,612D4,61524
49A4E,49A38,49A4F
6149F,614F7,61499
49919,499FB,499CA
6127E,6149A,614FD
49977,498E6,49941
614E1,613BE,61374
49A67,49859,498E6
61251,61423,61473
49C19,499A9,49B10
614C3,614E1,614FE
49BDD,499E9,4985B
616B0,61734,61488
49BCB,49ABD,49AF2
61464,61283,61693
49AC3,49B19,49ABD
61654,61534,61716
49922,49A40,49A91
61393,6163F,612A0
49974,49B04,49B6D
61492,612E3,61469
49B80,4999B,49A45
61765,61610,61649
49AAA,49AAA,49B3E
6172D,61569,6166F
499C8,49C02,49B4C
615BB,61435,61550
499B3,49AC6,49AF6
614E0,6155F,6150D
49A38,49A94,49B58
6144D,614CE,614E6
49A8D,4982E,49927
615C9,61618,6166C
49A22,49C74,49C08
615B8,61662,615A2
49D80,49D08,49BC3
615E1,61647,617C9
49C0D,49C2E,49C20
615EC,61552,614E7
49AAA,499FC,49969
615E5,61528,61792
4998D,49A7D,49B41
615BF,61611,617C0
49BEB,49B38,49C8C
6164C,614FD,61628
49BC0,49C0A,49B52
61670,617C3,614E1
49AED,49CE1,49B0A
618E3,61705,615ED
49C49,49C51,49AB8
6141B,61551,61627
499F6,49BFB,49B42
61659,61587,61583
49BA5,49BC3,49A6E
615EE,615B3,61490
49A80,49AE8,49A62
615D9,617FD,6171B
49AF0,49C2D,49C2F
6159C,6147D,61534
49B3D,49A03,49A44
61502,614BF,613B5
49A8B,499EC,49A3B
616EE,6156D,6172C
49C09,49A04,49B6B
616C7,6156A,6157F
49D0F,49C29,49B00
615C1,61634,61585
49AD1,49AAE,49BC3
614F6,61574,61535
