{'CALIB_RAW_DAC_START_I': 327680, 'CALIB_RAW_FILETYPE': 'CALIB_RAW_FILETYPE_LIMP', 'CALIB_RAW_DAC_A_INDEX': 8, 'CALIB_RAW_SERIAL': '20190606_02', 'CALIB_RAW_VERSION': '1.0'}
1A32,1A38,1A7E
-15FD1,-16059,-16139
19B3,1B1B,1B27
-16134,-16148,-15EED
1AEB,1A28,1A75
-15FB3,-16030,-1613F
1A68,1BF6,1955
-15F45,-15EA4,-161E2
1995,1A0F,1910
-1609C,-15FB5,-16098
1AE6,190E,1A57
-15EF8,-15FAA,-15F7C
1971,1A15,19D8
-16066,-16047,-1605F
1B43,1AF1,1AAC
-15EA4,-15FD9,-16014
1B64,1B8B,1B15
-15E76,-15D14,-15E9E
1A81,1AF3,1A84
-15F76,-1604F,-15FEA
1A59,18E9,18BF
-15E62,-15F56,-16110
1B38,1BEB,17FD
-1610C,-15D4A,-16061
1A84,19B9,1932
-15D74,-1613E,-161AD
181A,1A9A,18D6
-160D0,-16054,-161D8
1AFF,1B9F,1932
-15E93,-15E00,-16080
1A1B,1C45,1A7E
-160D3,-15F40,-15FE7
1B1F,1A92,1C19
-15F84,-15DFF,-16003
1B82,1B46,1B70
-16022,-15FCE,-15DFA
1C40,1C29,1ADF
-15D8C,-15DDB,-15FF3
1A46,1B06,1A95
-15EDA,-15EBC,-15F6D
1A83,1AB1,1942
-15EDE,-15F98,-160AA
1B8F,1B65,1AE5
-1617F,-1607A,-16014
1A98,1C1C,197D
-15E69,-15D7D,-15F74
19C8,1A2D,1A8A
-15E42,-15F33,-15D12
1B25,1D51,1BB3
-15D60,-15E36,-15EFF
1BF8,1CC1,1B6A
-15DB2,-15EB6,-15F59
108B,12D7,1138
-15A86,-15CEB,-15A26
1E1E,1D81,1DBD
-15B41,-15BE9,-15BF0
1DBC,1D8A,1FA5
-15B11,-15C0D,-15CFB
1F98,1FC4,1FE7
-159D8,-15AB2,-158BC
2089,1F40,1ED0
-15B47,-15A77,-15B2B
1F8C,2191,203F
-15862,-15A07,-15AE1
2034,2003,21BA
-15A19,-158A0,-15A85
2020,1FFE,2298
-1590E,-15A98,-159DB
1FB2,2123,2150
-15A20,-15A60,-159CE
1E9F,1FD4,21A1
-15919,-159D4,-15B06
1F22,2093,20D3
-15A17,-159BA,-15A68
1F5D,209C,2051
-15B3A,-15A70,-15A50
1FB0,214F,224A
-15A64,-15A3E,-15C2E
2093,1FAF,201B
-1596A,-15AA8,-15AB4
1F0F,1ECA,1F01
-159D8,-15855,-15AA7
1F9E,2008,1DF5
-15AFB,-15B93,-1594E
2015,2055,1F7A
-15D03,-15D16,-15CAF
1E3F,1DD4,1EF3
-15D15,-15B41,-15C37
1F18,1DA7,1EBA
-15B85,-15BFC,-15A92
1ED9,1E56,1E8A
-15B5D,-15ADD,-15D02
2009,1F8F,214F
-158C8,-1590D,-15A8C
1E68,1E66,1D1A
-15AC8,-15CB7,-15C43
1FF7,1D8A,1DDC
-15ABA,-15BAB,-15B4A
1EF5,1F8C,1E59
-15AA6,-15CCD,-15BCC
1FD3,1ED0,20DE
-15D60,-15CED,-15DCE
1F6A,1E57,1E66
-15CE5,-15A82,-15C14
1E95,1F5F,1D7C
-15DC1,-15C14,-15C3B
20AC,1E84,1F9C
-15AF3,-15978,-15AC8
1F49,2210,1EF4
-15A5F,-15ACB,-15CCB
1EE6,1FC5,2048
-15AC0,-15B5D,-15B2F
1FBE,1E55,1F25
-15A11,-15AB9,-15B63
205D,1E2F,1FB4
-15AD5,-15C9F,-15968
2225,2327,21F6
-15945,-15A0F,-15A12
2060,21BA,1FC0
-15962,-15962,-15924
2119,2120,1F9D
-1598B,-15B0B,-157EB
2001,21D2,2104
-1579A,-15B28,-159A9
208A,2091,2162
-159E4,-15BC1,-156E9
2017,2169,215D
-15872,-157F2,-15854
2248,21E0,21BD
-1593E,-158AB,-15929
1FEA,2303,232F
-158C6,-159B2,-158FC
23E0,2236,232A
-15900,-15A58,-1598A
200B,20A9,21C8
-15740,-15947,-1593E
21EF,211A,214C
-159F1,-1584F,-15A63
20AA,205B,2227
-15773,-1554F,-1577D
22AF,2319,2262
-157A8,-1589F,-15657
2318,23C0,248C
-156DD,-15759,-1588A
20A0,2205,2239
-159AE,-159AB,-15938
2220,22FC,2157
-156C7,-157F8,-15776
21AB,21A5,1FBD
-15997,-15ACE,-1579B
1FE9,2157,2155
-15827,-1591C,-159C9
20A6,2134,2442
-15838,-158D2,-1590F
209C,2070,217A
-157C8,-1567C,-158A5
22BD,20CE,2234
-158BC,-157B1,-1593A
20CF,2335,243D
-15AA0,-15786,-1582A
23F8,23F2,25EE
-15569,-15749,-1585F
2154,2128,23B3
-15860,-1588E,-157E7
2350,2345,228F
-158C5,-1568D,-1585F
229C,1ED6,21E5
-157D4,-158ED,-15881
2252,2482,264C
-1565C,-156B5,-156C3
2224,2288,2332
-1578F,-156D0,-15676
227B,2410,2300
-1561A,-15736,-15812
250A,220F,225F
-1578B,-156CF,-155B5
2448,25BE,2348
-154A7,-15801,-154A1
2417,234F,2467
-15636,-1554D,-15795
20B5,1FDB,220D
-154EF,-1538D,-153B7
24DD,264C,25B4
-153A7,-15564,-153F2
24BA,2436,2497
-15404,-154E8,-15527
2616,259D,27C2
-153AB,-15468,-15369
2601,2631,27BB
-1532F,-15496,-15364
273C,2683,2618
-1541A,-153DB,-15508
2747,2692,2817
-15370,-152D1,-15299
253C,273D,27A3
-15186,-150E4,-154CC
29C2,276A,28FB
-1539D,-155EC,-152E0
27C0,266A,26F8
-151D7,-15220,-153B1
280C,26BE,2729
-15027,-15157,-153BA
2649,2862,26C1
-15206,-1537E,-15173
2696,28D2,2923
-153F6,-1511F,-151D1
28F1,2854,2737
-1533D,-1532E,-151B9
2AF9,2830,28FB
-15132,-151BB,-15043
275C,2995,27F0
-15166,-151DE,-1524C
250F,275F,260B
-15456,-15623,-1531F
25B4,261E,26CB
-152A9,-15558,-1560E
2585,2586,269B
-153C6,-1555D,-154E5
258B,2579,25EF
-15461,-1561C,-1547E
260A,261E,28A3
-152C4,-1533D,-153C3
272E,25C6,2880
-152D4,-152F3,-1527C
2942,2639,2734
