{'CALIB_RAW_DAC_START_I': 327680, 'CALIB_RAW_FILETYPE': 'CALIB_RAW_FILETYPE_LIMP', 'CALIB_RAW_DAC_A_INDEX': 8, 'CALIB_RAW_SERIAL': '20190606_02', 'CALIB_RAW_VERSION': '1.0'}
-D7D,-DC4,-B81
-1895F,-188E7,-18815
-CDB,-E59,-FDC
-18914,-18748,-1887B
-EE2,-110C,-E5D
-189B4,-187C7,-18879
-CDA,-E70,-D6F
-187EB,-18759,-1879B
-D0A,-CE1,-CE6
-186A8,-18652,-1868C
-17A0,-15F4,-15E6
-184EC,-18525,-1849E
-AD7,-A9A,-9C2
-18484,-1841A,-18421
-B46,-9D8,-A1B
-18632,-1855C,-184EE
-9E9,-99A,-85D
-1847D,-18472,-1864D
-786,-91E,-8FA
-18172,-183DB,-180ED
-8AE,-6AC,-7B5
-18118,-1838A,-181F9
-915,-7EE,-76B
-182F3,-1833D,-1818B
-9E8,-878,-7E9
-182C2,-1822A,-18319
-789,-791,-86A
-18207,-181F0,-1816F
-94D,-85F,-798
-1825A,-18169,-182B5
-963,-931,-75E
-181F6,-182E1,-183BF
-964,-789,-826
-180F3,-18192,-18402
-949,-8D8,-B1A
-1811F,-183CB,-182BF
-5E1,-674,-6B2
-18119,-18282,-182C5
-85C,-89E,-9AD
-1824D,-1829C,-181E2
-85D,-7E2,-828
-1832E,-181E2,-180D7
-799,-79B,-896
-183AD,-1847E,-18464
-AE9,-932,-91D
-182F7,-184FC,-18516
-AE0,-9C4,-8BA
-183CC,-18163,-18480
-993,-A16,-7F1
-183B3,-181AC,-181CD
-8A0,-84C,-889
-1821B,-18354,-183CE
-9C5,-8E4,-941
-1823C,-181DF,-18231
-961,-668,-7DF
-181D0,-18326,-18316
-8D0,-7EB,-7F2
-17FFD,-181C9,-18365
-824,-8E1,-80A
-18404,-181F5,-1826D
-822,-78E,-92D
-18299,-1826C,-181BE
-920,-736,-9E3
-182C4,-182DA,-18134
-914,-827,-9DC
-181D4,-1812F,-1823C
-791,-9C2,-94E
-182BA,-1842D,-1844B
-7C8,-814,-876
-18376,-181F1,-182E1
-8D7,-6D5,-671
-18228,-18145,-18184
-6D4,-6E1,-829
-18249,-1817B,-1829F
-599,-49F,-52A
-17F7C,-18071,-17FFE
-646,-73E,-528
-17E73,-17EBD,-17F2C
-624,-4C9,-30E
-17FB6,-17E3B,-180C9
-58A,-6F0,-539
-18145,-17F7E,-17ED0
-4D1,-302,-317
-17F89,-17E41,-17DD3
-695,-419,-547
-17E17,-17E58,-17F96
-515,-405,-494
-17F77,-18168,-17F4A
-5BD,-70F,-6CC
-17FFD,-17F41,-180E0
-3D4,-391,-412
-17F61,-180F0,-17F42
-57B,-5B0,-44D
-18191,-17FFA,-180E8
-6D2,-593,-6DB
-1804D,-17FDC,-18021
-45D,-445,-514
-17F41,-1806C,-17D57
-708,-57D,-530
-18108,-17F45,-180ED
-65E,-713,-711
-1805E,-1819C,-180CA
-579,-4D9,-484
-17FF7,-17E9A,-18166
-407,-40E,-544
-17F59,-17E91,-17FD1
-5B0,-4E7,-66F
-182BA,-180F2,-1809A
-4EF,-570,-719
-180B4,-181A4,-18181
-55A,-597,-574
-17EEE,-17FA4,-18092
-86B,-7D2,-5D4
-18141,-18232,-1831F
-79E,-546,-5CB
-18013,-181ED,-181F6
-79D,-4D2,-5C0
-17EC1,-18099,-17E24
-56C,-674,-3E7
-17EA1,-18007,-17FE2
-4AD,-4DA,-3E7
-1811E,-1802D,-17EE6
-307,-4E9,-59A
-1804C,-180C0,-17F05
-77F,-4ED,-2D6
-17FBC,-1809E,-17FA3
-63B,-475,-5D5
-17EC6,-1806A,-17DB8
-61F,-4E2,-539
-18082,-17E2D,-17F9F
-4DE,-4F2,-39A
-180EA,-18068,-17E96
-5FE,-5CB,-44E
-17E36,-17F2F,-17E44
-661,-541,-5DF
-17E97,-17ED4,-17FE1
-31A,-4E3,-509
-182B8,-17E30,-17E00
-1866,-159A,-170E
-18217,-180AD,-18200
-6D0,-559,-4E8
-18036,-18116,-17F2C
-5EB,-392,-504
-17D9F,-180D8,-17FE1
-5CB,-5A3,-5E6
-17FA3,-17D09,-17E92
-4EC,-4E0,-52A
-17F5E,-17D70,-17FAD
-655,-621,-68E
-17F9F,-180A9,-18140
-738,-6F8,-657
-17F2E,-1818D,-17F5E
-6E9,-70A,-702
-180EF,-1815F,-17FE8
-433,-405,-5CB
-18121,-18071,-17EAF
-5ED,-743,-715
-17FB9,-180C2,-181BA
-802,-577,-5E7
-1800E,-18026,-180EB
-587,-4F8,-4F1
-180A2,-18155,-18162
-6D9,-475,-403
-18007,-17EA1,-17E1F
-591,-566,-4D7
-180AA,-17FB9,-17F73
-5B4,-4A6,-4C5
-1812D,-17F6E,-17EB3
-6B9,-55C,-6C8
-17F35,-1814D,-17FD9
-62A,-7E9,-901
-180E4,-1817B,-181AB
-7DB,-7CF,-630
-17FB2,-18161,-182A0
-628,-608,-6EA
-1818E,-18271,-18393
-890,-5FD,-844
-18118,-1827C,-18098
-7EF,-6E9,-535
-18264,-182D5,-181D8
-781,-695,-75F
-17FBD,-18160,-18090
-4E7,-4EE,-695
-18122,-17F78,-180F1
-68E,-57A,-58F
-17E78,-1801B,-18022
-540,-411,-667
-1822B,-18218,-18006
-739,-6E7,-6B0
-180B5,-17F5C,-181DF
-766,-7BE,-795
-1819F,-180A0,-180EE
-566,-698,-5F9
-1829B,-1814E,-17FC3
-668,-4CD,-534
-18082,-17FE3,-17F8F
-522,-65A,-77C
-180CC,-1806F,-17E5C
-47E,-588,-396
-17EFF,-17F24,-17E58
-4F7,-471,-4A5
-17DDE,-180E7,-18009
-2B8,-330,-370
-17EE6,-17C7F,-17ED5
-369,-4CA,-303
-17D4D,-17BA9,-17CF2
-474,-214,-2B1
-17ECE,-17E57,-17EB7
-1DC,-53C,-263
-17D45,-17CBC,-17EA0
-32E,-2DC,-42E
-17CCD,-17D87,-17E67
-260,-3D8,-3DE
-17CA5,-17E20,-17E95
-2C4,-35F,-2EF
-17DCE,-17DF6,-17F17
-4A3,-68B,-34F
-17D87,-17D1C,-17E00
-1E9,-2F9,-177
-17E70,-17ECC,-17D91
-40D,-32E,-39B
-17E18,-17EEE,-17D76
-2C7,-403,-3D0
-18009,-17EE8,-17F50
-2A7,-278,-3D7
-17E30,-17D3E,-17F14
-572,-2DC,-34F
-17CFB,-17DD8,-17C90
-2D0,-BD,-276
-17BE8,-17CD3,-17CBD
-B7,-2EB,-1F8
-17BC8,-17DDE,-17D44
-25A,-E4,-82
-17B10,-17B76,-17B19
-453,-433,-2AB
-17E40,-17DE1,-17FA2
-44E,-3F3,-4A7
-17D2B,-17CCE,-17E23
-203,-2EF,-282
-17D1E,-18004,-17ECF
-3B7,-4CE,-31A
-17E80,-17E36,-17FBE
-148,-4EC,-3A5
-17CEF,-17C3E,-17DB8
-2C0,-38B,-346
-17D2F,-17DD7,-17DA8
-337,-362,-104
-17C93,-17CFD,-17E10
-3CC,-31C,-275
-17B29,-17E9E,-17FAA
-361,-454,-361
-17E1C,-17FB3,-17DBB
-42B,-3A9,-406
-17DF7,-17EDE,-17FAF
-363,-34C,-36D
-17C9D,-17E9B,-17CF3
-2ED,-402,-4F0
-17C0B,-18026,-17C4E
-24E,-336,-37E
-17D4D,-17E44,-17CAF
-3C5,-258,-3E4
-17D7B,-17E99,-17DA3
-4B9,-35E,-3DD
-17E64,-1802D,-17B23
-316,-2D3,-38D
-17F83,-17D94,-17E23
-D23,-F20,-B32
-1797C,-17A17,-17AC8
-2A4,8A,-74
-17715,-179ED,-17AB8
DC,-14,1B6
-179A8,-17AE0,-17B08
-50,1DB,-169
-17AD4,-17AEE,-17B80
47,114,-F8
-17ADF,-17A65,-17BF9
-38,4,AD
-1791B,-179C6,-17A98
213,1EC,1B0
-1794A,-17787,-17758
-E,AA,321
-17935,-17859,-17894
31B,20C,3C9
-17A28,-177B8,-17A0D
EB,129,1A2
-178A1,-17AAC,-179A8
1C6,C3,-2A
-177E3,-177F7,-177D9
85,5B,-21
-17763,-1796D,-178BD
1CF,-10B,1A6
-17880,-178D3,-17936
-79,1E,-A8
-17A19,-17AB9,-1799C
67,1D2,-C
-17955,-1798E,-179DB
-16D,-30,249
-1783A,-179A5,-17AED
-1EE,-1CD,-2A
-17C3D,-17D8D,-17BB0
-105,-1E1,-191
-17C74,-17CA4,-17AD5
20,-16C,-65
-17C11,-17B24,-17A19
188,9,-131
-17B7C,-17A4B,-17B6D
-64,-143,16C
-17B4F,-179DF,-17C2E
50,-20A,-81
-179FD,-177C8,-179D6
-91,DF,-A6
-17A2C,-1795D,-179C8
2AD,-E4,1BC
-1782C,-17A33,-17B65
-31,-17C,158
-179D0,-17A66,-179B9
-BF,40,-31
-17AED,-17ACA,-17924
F7,-BA,1B0
-17994,-17C26,-17B47
-252,-1F,-4C
-17A10,-17B92,-17BCD
-F6,9E,-86
-17A93,-17937,-17AB1
-C0,-CB,-C3
-17A4F,-17A62,-17B96
54,-2A,-BF
-17884,-17910,-17A49
-165,D0,125
-17903,-1791C,-17AB3
2B8,1C2,255
-175E9,-17782,-17867
2C1,182,3A9
-1769C,-17530,-174B5
517,524,37C
-1767B,-177EC,-17570
3D8,273,37E
-17628,-1763C,-17558
3D2,3AF,2CA
-17822,-17992,-1795F
24E,34F,2E9
-17721,-17676,-177B8
3BB,293,D4
-1798C,-176CA,-17759
1B0,2D4,39D
-176D2,-1776D,-1770A
42E,54D,343
-1780A,-177A1,-1779B
492,25D,33F
-1759E,-1759B,-17653
5C6,671,524
-17627,-17548,-177B3
46D,2EC,3CE
-17565,-17665,-176B0
3A5,38E,489
-17460,-17529,-176DF
242,3B1,4FB
-1763B,-177A7,-1759B
456,264,33F
-17588,-17524,-176AD
2AA,37D,3CE
-175C2,-17735,-17422
360,313,31D
-17697,-176AC,-176CE
252,467,2E0
-17705,-17813,-176A8
2AC,3EA,147
-179E7,-1785D,-1786C
20D,27A,23C
-177DD,-177F8,-17639
1E6,4A9,368
-17442,-17633,-17469
275,3FC,375
-1762F,-176BA,-1751A
3B4,43D,323
-17400,-175A1,-1752C
440,5A3,509
-17523,-175F7,-175C2
6AB,4F3,37C
-17697,-17899,-177A0
3B7,1F4,D0
-1773C,-177A2,-177C8
FF,237,2CE
-1752E,-1769D,-17714
276,467,2E3
-17842,-174FC,-17642
648,52C,497
-175A4,-1759D,-177CE
2DB,303,4EF
-175DA,-177A1,-17624
4C3,543,534
-174CD,-174EA,-175BC
607,57D,4A8
-17642,-177D6,-17773
24C1,231B,244B
-1AAD1,-1A893,-1A8CA
-31CC,-3036,-308B
-1AA3A,-1AA27,-1A98E
-2F7F,-2F2A,-3049
-1A881,-1A940,-1AAD8
-2FD4,-2ED9,-2F1C
-1A9CE,-1A98A,-1A954
-302C,-2E36,-2F34
-1A95C,-1A8D6,-1A8C8
-2E1B,-2E6D,-2ED6
-1A84F,-1A716,-1A8AE
-2FE4,-2F7C,-2E86
-1A8C8,-1AB74,-1A953
-2C4F,-2DE5,-2D96
-1A9AB,-1A8CF,-1A781
-2D66,-2D3E,-2EB5
-1A8A2,-1A867,-1A841
-2F69,-2DA3,-2DEF
-1A8C3,-1A9C1,-1A8AE
-2F5B,-2DD5,-2E63
-1A6AC,-1A92B,-1A96E
-2E3D,-304E,-2DAD
-1A861,-1A6D2,-1A86B
-2D36,-2FF1,-2DF4
-1A8A9,-1A9F6,-1A89F
-2DB9,-2E16,-2FD7
-1A95E,-1A921,-1A83F
-2F4D,-2E3D,-2F39
-1A80C,-1A686,-1A7AC
-2CF0,-2D3E,-2D03
-1A83A,-1A790,-1A87C
-300A,-2DF7,-2E0B
-1A983,-1A956,-1A900
-2E4E,-2F49,-2F47
-1A86A,-1A98D,-1A896
-2CB8,-2F6E,-3032
-1A8B0,-1A6D3,-1A87A
-2CB1,-2D65,-2E0C
-1A8E7,-1A919,-1A8AA
-2CFF,-2C55,-2DC7
-1AB9C,-1A9B8,-1A985
-308F,-2FEE,-2ECC
-1AA7B,-1AADB,-1A9DC
-2E6B,-2C83,-2C08
-1A88A,-1A72C,-1A8EB
-2F2B,-2E62,-2D2C
-1A91C,-1A81E,-1AAE3
-2E66,-2DF4,-2C8D
-1A738,-1A969,-1AA63
-2EE4,-2CC9,-2F59
-1A8F1,-1A8C5,-1A85E
-2DDB,-2C61,-2EA6
-1A941,-1A880,-1A8D2
-2F7F,-2DE4,-2D48
-1AA47,-1AAA0,-1A60B
-2E4F,-2ED3,-2F69
-1A9CE,-1A7F5,-1A898
-3011,-2DD7,-2C63
-1A83A,-1AADA,-1A958
-2FCC,-2E42,-2E4A
-1A930,-1A692,-1A779
-2DA5,-2DA1,-2E98
-1A7A7,-1A7B5,-1A7F3
-2DED,-2DAA,-2E4F
-1A7F1,-1A76A,-1A75D
-2C5B,-2D79,-2DAF
-1A9BC,-1A8E4,-1A870
-2CDB,-2BBC,-2AC0
-1A698,-1A903,-1A6AD
-2E22,-2B71,-2CD3
-1A568,-1A6D1,-1A5E5
-2B4E,-29DF,-2AB7
-1A49F,-1A6C1,-1A4FF
-2B7C,-2AC1,-2CDB
-1A5DF,-1A73D,-1A68A
-2B8D,-2A41,-2C88
-1A612,-1A732,-1A744
-2C26,-2BB4,-2B3D
-1A791,-1A536,-1A48D
-2C2A,-2867,-2989
-1A5C6,-1A63F,-1A701
-2A6C,-2AC7,-2A7F
-1A737,-1A6D2,-1A430
-2AB0,-2CCC,-2AC8
-1A68D,-1A6A4,-1A5F8
-2B5A,-2B5B,-2A99
-1A7DC,-1A604,-1A5CD
-2B68,-295C,-2C94
-1A668,-1A57A,-1A58D
-2C26,-2C82,-2A56
-1A5A3,-1A620,-1A59A
-2A17,-2CB6,-2A30
-1A525,-1A679,-1A40A
-2AA9,-298E,-2AC6
-1A562,-1A615,-1A52C
-2E9F,-2CDB,-2DF9
-1A749,-1A8B9,-1A718
-2D55,-2BCC,-2B6B
-1A798,-1A6FF,-1A642
-2C29,-2D7B,-2B8B
-1A6CD,-1A667,-1A730
-2DAB,-2C02,-2C53
-1A508,-1A5D3,-1A75F
-2BF2,-2B83,-2CA3
-1A532,-1A67B,-1A839
-2BCF,-2B65,-2C27
-1A4C2,-1A7D8,-1A683
-2D10,-2D1F,-2A80
-1A623,-1A8B7,-1A6DF
-2D72,-2C1D,-2E1B
-1A81E,-1A650,-1A828
-2B05,-2BE2,-2B41
-1A5C5,-1A8A4,-1A54E
-2B11,-2A21,-2A3F
-1A5EA,-1A52E,-1A484
-2B39,-2B6E,-2C12
-1A4BA,-1A5E9,-1A62F
-2A66,-2C35,-2B30
-1A4ED,-1A699,-1A65D
-2B3E,-2AE9,-2B4F
-1A697,-1A731,-1A66E
-2CF8,-2B42,-2BD7
-1A4AE,-1A571,-1A4F9
-2B6D,-2C42,-2C28
-1A6EF,-1A633,-1A545
-2E58,-2B71,-2BF3
-1A477,-1A611,-1A505
-38A2,-368D,-37BD
-1A02E,-1A250,-1A14E
-2752,-27C1,-28CD
-1A15F,-1A12D,-1A37C
-26E6,-28C1,-2788
-1A343,-1A304,-1A1D4
-2657,-261C,-25FC
-1A0A4,-1A221,-1A2D9
-2556,-264A,-2666
-1A1E1,-1A304,-1A262
-27D2,-27BD,-26D5
-1A22A,-1A01D,-1A08A
-267A,-2555,-24ED
-1A098,-1A21D,-1A33A
-2738,-274F,-275D
-19F2A,-1A103,-1A259
-25E3,-26E9,-26AA
-1A268,-1A174,-1A1E6
-27A1,-270B,-2A70
-1A0E7,-1A2EB,-1A257
-2949,-26F8,-2703
-1A183,-1A07C,-1A090
-26FA,-274E,-2811
-1A2E3,-1A121,-1A135
-2506,-26F6,-27A0
-19E68,-1A117,-19F3B
-26CA,-26A7,-2811
-1A308,-1A1F0,-1A057
-273A,-2639,-26C8
-1A273,-1A015,-1A0A5
-25B2,-254B,-2673
-19F6D,-1A270,-1A094
-2819,-26F4,-28AE
-1A331,-1A02E,-1A35E
-282C,-280C,-2962
-1A2F0,-1A2C7,-1A28F
-2678,-26E9,-28D8
-1A1ED,-1A2BE,-1A1D4
-27B8,-2972,-2A30
-1A2D1,-1A240,-1A240
-27B5,-27B3,-287A
-1A13F,-1A108,-1A1FF
-274B,-2928,-2865
-1A1E1,-1A068,-1A36A
-28D0,-2854,-2763
-1A1D9,-1A29F,-19FD3
-25BB,-262B,-282A
-19FB1,-1A025,-1A16E
-241D,-2809,-273B
-1A162,-1A39B,-1A26F
-2898,-258C,-2921
-1A1D4,-1A22E,-1A168
-28E3,-2780,-267C
-1A2EE,-1A299,-1A34D
-2736,-271D,-2850
-1A129,-1A2D3,-1A173
-2824,-288A,-2740
-1A0A6,-1A081,-1A128
-25DE,-2689,-263A
-1A0C0,-1A1C8,-1A008
-2654,-25AB,-2635
-19FE6,-1A094,-1A14D
-25F7,-2581,-2645
-1A08E,-19FEA,-19F9D
-24DB,-23F9,-2428
-19E69,-1A021,-19F07
-240B,-2503,-246D
-19E5F,-1A0EE,-19E09
-23FD,-231A,-2402
-19EE4,-19F91,-19D3E
-2405,-236D,-23F8
-19F9F,-19EF1,-1A13F
-24C3,-23C1,-2445
-19E45,-19F1E,-19EE2
-2504,-2624,-2609
-19EEE,-19F21,-19F69
-24AD,-24AE,-23D9
-19DC0,-19D9E,-19F68
-258E,-2414,-254F
-19F99,-19FCC,-1A0B2
-2484,-23D4,-23DD
-19E69,-19DF3,-19FB5
-22A2,-2616,-2478
-1A03F,-19E21,-19F61
-253D,-2346,-24A6
-19E58,-19E88,-19E0E
-2348,-242A,-24C2
-19E86,-19EFD,-19F7A
-245B,-2335,-2319
-19C3E,-19CCA,-19D5C
-258E,-2351,-218D
-19C8E,-19DD7,-19CEA
-21D8,-228D,-22CD
-19F12,-19DB4,-19E27
-20F0,-2314,-22E7
-19D66,-19C0D,-19E6A
-2249,-2442,-243D
-1A047,-19FBC,-19F9B
-2525,-247C,-23B8
-1A02B,-19F31,-19F5B
-24FC,-27BF,-24DD
-19DDA,-19DFC,-19D10
-2312,-2636,-21E8
-1A003,-19F24,-19EBD
-23D1,-2441,-249E
-1A021,-1A08F,-19F82
-24D1,-2355,-24CF
-19F7C,-19DD5,-19FFF
-25D1,-23E4,-2325
-1A021,-19D98,-19D82
-2417,-22C5,-22FC
-19CE7,-19D51,-19D91
-231E,-2144,-21D8
-19E9E,-19D5E,-19DBA
-2433,-23B7,-2443
-19D4B,-19DA0,-19F5D
-2471,-21FE,-23DE
-19D2E,-19FBF,-19D53
-23D6,-2450,-248C
-1A044,-19DB4,-19E4A
-228D,-23AE,-23C4
-19F99,-19E60,-19E39
-25C6,-2208,-2341
-19D3E,-19D7D,-19D26
-2503,-2411,-2279
-19DCE,-19F18,-19E94
-23E0,-2345,-22B7
-19DF6,-19E00,-19DA1
-37DB,-37FC,-37C8
-1A15B,-1A09F,-19F84
-2694,-25D8,-2754
-19FAE,-1A11C,-1A14E
-24C6,-28F1,-27B9
-1A1EF,-1A106,-1A279
-2608,-25AD,-2549
-19F92,-1A10A,-1A0C2
-2655,-24EE,-2678
-19F0C,-19F57,-1A0C5
-2632,-254E,-248E
-1A0E4,-19EFB,-19FB0
-26AE,-2462,-2354
-19F58,-19FFD,-19F3E
-2631,-24ED,-23A3
-19F10,-1A036,-1A12C
-2485,-2433,-24B4
-19F6A,-1A248,-1A140
-259D,-261A,-26E4
-1A011,-19F4C,-1A189
-26C5,-25B7,-2634
-19F66,-19FB6,-19FA0
-25A1,-25AD,-25F8
-1A05B,-1A0EB,-1A1B9
-2475,-2411,-2504
-19FFE,-1A06E,-19F76
-257C,-25A7,-26E2
-1A017,-19F91,-1A080
-25FE,-27BF,-2693
-1A0B6,-1A0FA,-19EE4
-2626,-2607,-26AE
-19E9D,-1A037,-1A0EF
-258F,-2575,-266A
-1A290,-1A01D,-1A08B
-2803,-282E,-2725
-1A228,-1A1A2,-1A0B7
-2660,-272C,-254F
-1A1CB,-19F72,-1A24F
-2566,-23C3,-246C
-19F7F,-19EE9,-1A086
-23EF,-255F,-24C4
-1A0AA,-19F01,-1A0E3
-2498,-2636,-25E5
-19E7B,-19EBE,-19F6B
-2463,-2505,-257F
-1A097,-19FB4,-19FE2
-23B1,-259E,-254E
-19DD8,-19FFE,-19F15
-2373,-22FA,-2326
-19FE1,-19FA2,-1A085
-25DF,-2636,-2581
-1A1C1,-1A062,-19F52
-25F6,-2597,-2674
-19FE7,-1A04B,-19EB8
-2669,-25CA,-269D
-19F14,-1A06B,-19FDB
-2621,-2572,-261D
-19EE5,-19E4A,-1A0B2
-23F7,-24B7,-2506
-19F71,-19F10,-19EAB
-24A1,-270E,-26C9
-19E28,-19FEC,-1A12A
-25C9,-2541,-274C
-19EB9,-19F99,-19EE6
-23F9,-22D0,-2395
-19D6E,-19E03,-19EE7
-23C6,-22D6,-2341
-19C59,-19D35,-19CEF
-247D,-223E,-232D
-19BE5,-19C72,-19CC0
-22F5,-2046,-2158
-19F13,-19DF0,-19D40
-22CB,-236B,-207A
-19BE2,-19C66,-19DB6
-21E8,-204F,-226A
-19B6C,-19C82,-19C6D
-2164,-2187,-21F3
-19D78,-19BDB,-19D49
-2122,-20D0,-21DE
-19CCB,-19D0B,-19D59
-219E,-200D,-21FD
-19C3A,-19DFD,-19CC8
-2457,-2248,-2031
-19B84,-19B43,-19CF2
-23FC,-2192,-22EE
-19BFE,-19BB3,-19AE1
-21E6,-20BB,-2105
-19C59,-19C90,-19B18
-20E8,-2177,-2002
-19B15,-19C8B,-19A28
-215C,-1F0E,-206D
-19C03,-19BE9,-19BA6
-20BE,-201A,-210A
-19BA9,-199F6,-19ACC
-22F4,-225F,-2217
-19A98,-19AEC,-19C2E
-237D,-2437,-23E0
-19D31,-19D82,-19D40
-22A7,-225E,-239C
-19B84,-19AF7,-19E03
-23A1,-221B,-22B6
-19B92,-19D61,-19B87
-2313,-2391,-21DF
-19C9F,-19D22,-19C21
-20D6,-2117,-20AA
-19C5D,-19CFC,-19B8A
-22BA,-2262,-2257
-19BFC,-19B43,-19C7C
-20B6,-2194,-21C5
-19CFA,-199BC,-19A73
-214F,-2061,-1EEB
-1994E,-19A8F,-19AF8
-1F6E,-1FD6,-2082
-199EA,-19AB6,-19B3C
-22A7,-20E4,-2210
-19BBE,-19ACD,-19EA4
-2376,-21EB,-2392
-19BB7,-19E58,-19C36
-21E0,-223F,-22D0
-19CE3,-19CFB,-19CB9
-23A1,-2348,-21AE
-19CFD,-19D64,-19AF8
-2167,-213E,-21C2
-19ADD,-19C53,-19BF0
-20E4,-2001,-2084
-19C00,-19B3A,-19C74
-221C,-2168,-1FAA
-19A65,-19D28,-19B29
-2B8C,-2AD9,-29C8
-19742,-196AF,-19900
-1D96,-1C64,-1DFF
-198D7,-198AA,-198D9
-1CE1,-1C64,-1ADE
-19825,-196FF,-19930
-1FC2,-1EFE,-1C84
-197CB,-19AAB,-199BC
-1E9F,-1CDD,-1D42
-19817,-198BB,-19788
-1D9F,-2105,-1D4B
-19824,-19992,-198C5
-1E87,-1CDB,-1E3F
-197AD,-19739,-195B2
-1E2C,-1D53,-1CEA
-1964E,-196E7,-196A3
-1CD8,-1C73,-1C53
-197BD,-19821,-1990D
-1D48,-1CDC,-1DB5
-197FA,-19677,-19640
-1CA9,-1DC6,-1C3B
-196F0,-19817,-196DF
-1C7E,-1DB9,-1EEB
-1976C,-19669,-1974C
-1E5A,-1CA6,-1CD1
-19719,-19711,-196A1
-1CFD,-1E42,-1D6F
-195A2,-196A1,-19626
-1CD4,-1C6D,-1B96
-19622,-19790,-194B2
-1CE0,-1AD3,-1C20
-198CA,-197FE,-19789
-1F10,-1D9C,-1F53
-1978F,-19887,-19843
-1F4C,-1E6E,-1D69
-19611,-197D0,-199F5
-1E25,-1D39,-1EB6
-198BD,-198B2,-199CC
-1D6D,-1DE1,-1D76
-1960A,-19723,-1982E
-1DD4,-1F33,-1C3D
-19912,-19865,-196F6
-1D9F,-1F44,-1DA2
-195E5,-19831,-19897
-1D2E,-1CEB,-1E0A
-19708,-1990A,-199A2
-1D0B,-1CB1,-1C6A
-19932,-1989C,-199A3
-1CB4,-1D4F,-1E1F
-19897,-1999E,-1992E
-1C46,-1E8B,-1E91
-19995,-199A8,-197F9
-1D4A,-205A,-1D47
-19995,-19983,-19928
-1DFB,-1D22,-1F01
-1979A,-19738,-19936
-1C9E,-1CC3,-1BB6
-1942C,-195A6,-196C7
-1E63,-1CE8,-1C3B
-19720,-195DD,-19707
-1C61,-1E93,-1D1D
-196FB,-1973F,-1962A
-1B31,-1C88,-1D5C
-19788,-1977D,-197FC
-1939,-1BBA,-1A0B
-195D5,-195D5,-195ED
-1B61,-1A91,-1B5C
-1955E,-19645,-19770
-1BA9,-1AED,-19DC
-19526,-19724,-194CE
-1AEC,-1BDF,-1B72
-196C6,-196ED,-196FD
-1B88,-1B4E,-1DBD
-1971E,-19739,-197E2
-1B67,-1B20,-1AC6
-1948A,-19593,-19640
-1A8F,-1B91,-1BB0
-195E1,-19646,-194C4
-1A9C,-1B44,-1B21
-19530,-196CD,-19664
-1D07,-1AB9,-198A
-194CA,-197FF,-197C8
-1ACF,-1C20,-1BAC
-194F1,-19592,-19560
-1CE4,-1B0F,-1C69
-195AD,-196EF,-196C0
-1A14,-1B4E,-19EC
-1956C,-19413,-195D3
-1933,-18F6,-1812
-192A1,-195DE,-19530
-1AD6,-1B4A,-1AF1
-1975C,-1958C,-194B0
-1C00,-19DA,-198A
-193FD,-193DA,-192D6
-192B,-1B6F,-18CF
-19429,-191EB,-193D9
-1A8E,-18D2,-195A
-1941F,-19874,-19534
-1B08,-1B11,-1B4D
-19670,-19559,-19531
-1AB8,-1995,-1AD3
-1922C,-19303,-19324
-196D,-187E,-1A1C
-1948E,-1969D,-19569
-18DC,-17DE,-17DA
-193B8,-193D8,-19361
-1AC4,-186A,-196F
-19274,-19391,-19667
-1A89,-1A6B,-19F0
-1940B,-19374,-194E4
-184F,-1A54,-1949
-192B0,-19296,-1932D
-19CE,-1991,-1A7D
-19433,-19417,-1937D
-1AA9,-19FC,-18E9
-19527,-1950E,-1940E
-19C6,-1849,-1946
-19397,-194E1,-194B7
-1B5B,-18D5,-19D3
-193DE,-194A9,-194EF
-191F,-1A85,-1A3F
-194C9,-19316,-19302
-196D,-1993,-1962
-1934E,-194C6,-1931C
-1B0D,-197A,-17FA
-19367,-19452,-1946E
-1767,-1940,-1B77
-19465,-1942C,-1943B
-1A22,-19FA,-18E5
-19016,-1905C,-18F70
-16C0,-159B,-17E8
-1908E,-18F9B,-1906B
-15FB,-16B1,-172C
-191F7,-19198,-19037
-1588,-1728,-1743
-1910B,-190F8,-19155
-1502,-14E2,-1738
-18E5A,-1903B,-19183
-183A,-1548,-16A2
-190D2,-18F27,-19274
-13BE,-1474,-1506
-190A2,-18F9E,-18FE3
-15B7,-1356,-1506
-18F0E,-18F07,-18E68
-1297,-1410,-1243
-18E3C,-18FAD,-18E9B
-1406,-147F,-15BA
-18F28,-18FC0,-18EF4
-1537,-12F2,-152C
-18E8D,-18E80,-18EB2
-1516,-145D,-159B
-18E7E,-18ECE,-18FE2
-1513,-15BB,-1314
-19014,-18EFC,-18E26
-14AA,-144B,-14B0
-1906B,-19139,-18FCC
-149D,-1519,-13BA
-18CE5,-18E42,-18FF8
-1411,-1555,-1498
-18E11,-18E08,-1903D
-1749,-1704,-171F
-19091,-190B9,-190C3
-16AA,-1547,-16CF
-190D2,-1925A,-190EF
-16FA,-184C,-16FD
-190ED,-1911D,-19193
-156C,-171B,-1701
-1926F,-1916A,-190B9
-1576,-1677,-15F6
-18F33,-19097,-18F4B
-1712,-1615,-15AC
-1904F,-18F35,-18FF8
-13F5,-1368,-160C
-19016,-18F2A,-18F10
-1587,-16A3,-1442
