{'CALIB_RAW_DAC_START_I': 294912, 'CALIB_RAW_FILETYPE': 'CALIB_RAW_FILETYPE_LIMP', 'CALIB_RAW_DAC_A_INDEX': 8, 'CALIB_RAW_SERIAL': '20190606_02', 'CALIB_RAW_VERSION': '1.0'}
-F26D,-F472,-F2E7
8903,8845,8902
-F254,-F3DE,-F2A1
87DD,86FF,88AA
-F3E0,-F164,-F074
86CA,8775,88C8
-F0DC,-F0A5,-F310
85FE,8819,8783
-F35F,-F479,-F47E
84B8,8817,85F1
-F25E,-F361,-F2F7
882B,8753,87E4
-F4DA,-F3E7,-F4B3
8642,8611,852F
-F2CC,-F315,-F356
862F,8845,8990
-F102,-F188,-F38B
8879,86A3,8945
-F1C5,-F30B,-F1DC
8890,8A25,88A7
-F1FF,-F0EA,-F156
8789,884B,8918
-F326,-F0E2,-F062
8708,87FF,885E
-F24D,-F285,-F26B
877E,88D7,894A
-F324,-F21D,-F38D
8719,87CD,8786
-F2A6,-F1B7,-F23A
877D,8744,86B7
-F147,-F1B8,-F199
87F7,8894,8805
-F296,-F0FB,-F2EA
8986,8889,866C
-F26A,-F41E,-F2F0
86E3,8533,881B
-F1F7,-F2D6,-F480
8685,86B7,85D4
-F1D1,-F2CF,-F296
880D,8AC1,89D5
-F100,-F069,-F0F8
8A07,895B,88EE
-EEBB,-EF77,-F0F9
8943,8A3B,8AF8
-EF4D,-EFAB,-EEE9
8B50,89FB,8B59
-EF72,-F022,-EEF6
8878,8A87,8BF7
-F09E,-EEE1,-EFA1
896C,88BC,88E8
-EEEC,-EFF8,-F11E
8A30,8A52,8A86
-F172,-F05D,-EF59
89A7,8B0E,8A1C
-EE83,-F037,-F016
8D91,8CAB,8CB2
-EE6F,-F10C,-F01C
89D4,8AF7,8C08
-EEDA,-EF49,-F023
8A56,8A1A,8BD1
-EF3C,-F050,-EE61
8963,8B4C,8A53
-EEFD,-EFEF,-EE21
8BD5,8C0D,8C21
-EEDF,-EE00,-EE93
8B04,8D60,8C94
-EC91,-EEEE,-EEC2
8D08,8C0D,8C10
-EDAD,-EEB8,-ED7C
8BA9,8CAD,8B89
-EE50,-ED30,-EBC0
8A1A,8B5F,8ADE
-F070,-F171,-EFF7
8B21,8987,8850
-EE99,-EE7C,-EFC6
8A5A,8C61,89E1
-EEE0,-EF4B,-EF5C
89EC,8934,8A37
-F136,-EFC9,-F09B
881F,8A30,8A97
-F0CA,-F053,-EFD3
8A7A,890A,8BBD
-EFDB,-F379,-F222
8872,89A7,86E4
-F1F2,-F056,-F175
8A0B,88C2,87F6
-F2B3,-F246,-F1D8
8914,8AA3,88B0
-F098,-F005,-EEE5
8B52,8B2B,88EB
-F14C,-EF5F,-EFAB
896B,8B4C,89C6
-F044,-EFC2,-EFE6
8A7D,89E9,8AD3
-EF04,-F1D2,-F0DE
89FD,8B7D,8ADC
-EDEA,-EF6C,-EEEE
8AE1,8B3E,8B72
-EE98,-EF28,-EF35
8A43,89F5,8801
-EE48,-EED6,-EEDD
8C85,8C7A,890C
-EE46,-EE36,-F077
8170,8226,82DE
-EAFC,-EB5C,-E928
8F6D,8F94,8EE2
-ECC5,-EC31,-EAC9
8F5B,8F26,8ED9
-EAD0,-EA73,-E9E9
913D,8F09,90A9
-E982,-EAD0,-EA28
9233,8E10,8EBC
-E9A3,-E972,-E76F
8FDC,90A0,900C
-E9AB,-EB4C,-E99D
8E30,8FA9,90BB
-EC16,-EB05,-EA8B
8F9C,9006,8FDB
-EB52,-EBC3,-EC15
90B6,918D,90CA
-EA59,-E96E,-E9AB
8DB2,8F6D,9084
-EC02,-ED5A,-EAD8
8D70,8DE4,8F89
-EBAA,-ED31,-EA7D
8E6D,8FAE,8F7E
-EAA2,-EAFF,-EBF6
8F06,9214,9063
-EB00,-EAD4,-EBE1
8D60,901D,8F93
-E862,-EA0F,-E98D
8F1E,8EC1,8F8D
-EA9C,-EC48,-EB14
9026,8F92,904A
-E7C4,-E974,-EA3C
8C9F,8E1C,8F3D
-EC70,-ED78,-EDBE
8D0C,8CD2,8D5B
-EBF1,-EC29,-ECB2
8F63,8BDF,8C8D
-EBD0,-ECEF,-EC1F
8DF2,8DF7,8CAB
-ECB1,-EC2D,-EBC8
8E43,8CF8,8BB2
-EC67,-EC80,-ECB0
8E6C,8D1C,8D1F
-EABB,-EC4C,-EC16
8D6F,8DFF,8D4B
-EAF5,-ECAC,-ECBE
8CAF,8DEB,8D3B
-ED23,-EC08,-ED66
8DE4,8DBE,8EA2
-ECAE,-ED6A,-EDCE
8D3E,8EDB,8DD0
-EA46,-ECA4,-ECFB
8CB3,8F05,8F44
-EC07,-EBF5,-E9F1
8E63,90D0,8E7D
-EB24,-EAE4,-ECB6
8E89,9035,9157
-EB53,-EB7C,-EB72
90F4,91F5,910D
-EC3B,-EA3F,-E9C0
9002,912B,91DF
-E951,-E95B,-E904
9214,9135,928F
-EA26,-EA44,-EA4F
91EC,9477,9310
-E793,-E705,-E8EF
9147,9203,9262
-E869,-E8CA,-E814
91AF,9231,91DD
-E7E4,-E5CE,-E766
9227,918E,904E
-E76A,-E8C0,-E6F1
9263,9220,938A
-E74B,-E8CE,-E7F9
925C,9214,9137
-E910,-E801,-E6CF
91BB,900B,9085
-E743,-E989,-E7B3
9323,9335,93C5
-E902,-E64F,-E700
9331,93B6,9276
-E678,-E84B,-E946
90A2,90CC,92E7
-E7EE,-E7EC,-E85C
9293,9299,938F
-E772,-E6CB,-E752
9290,92D6,9496
-E7EB,-E64B,-E777
91EC,92F8,941B
-E786,-E886,-E73A
9290,93C0,93FF
-E5EF,-E5AF,-E6B6
9326,9126,930C
-E8B8,-E88E,-E692
91DF,9348,941F
-E5E4,-E5C4,-E77C
93B8,91F5,9268
-E61D,-E7A4,-E8FA
92C9,9286,90AC
-E8D9,-E976,-E854
920E,92D0,9306
-E60C,-E8AB,-E81E
92BC,9194,91F0
-E748,-E818,-E643
9286,92D9,909D
-E931,-E973,-E8C0
9228,922C,8FFF
-E784,-E88F,-E6DF
911A,91ED,92C3
-EA45,-EAAF,-E90C
91B5,90BD,92D1
-EA90,-E974,-E95F
934D,913A,9290
-E775,-E8B9,-E981
9086,9143,9112
-E898,-E8FB,-E8AF
9382,9311,90C8
-EA8A,-E8C6,-E885
9110,9198,929A
-E842,-E897,-E831
9183,9152,9073
-E6E9,-E6B2,-E6E9
911A,9224,901C
-E8F9,-E7FE,-E8E0
928D,91F6,9155
-E8A6,-E83C,-E716
9102,9240,929F
-E840,-E959,-E82C
80A7,80EC,80FD
-EA4C,-E9B1,-EA32
8F79,9135,9127
-E8F4,-EA91,-EA28
8F0C,8E9B,900F
-E7B8,-E85E,-E96A
9152,918C,916F
-E98D,-E9F9,-E7AE
8F47,9340,8FB3
-E7AF,-E8B6,-E7C3
9151,91F1,9210
-E80D,-EA83,-E7F7
923D,90AD,913E
-EA90,-E963,-E977
90A5,9275,9050
-E9BF,-E96B,-E811
9496,9111,9381
-E87F,-E8C1,-E747
8FA5,8FF1,90CF
-E8F7,-E6E1,-E70A
9282,90E3,9300
-E6B5,-E7B5,-E7D6
93BA,91CC,9202
-E869,-E723,-E919
92A1,926C,93DB
-E78D,-E792,-E83E
92DD,937C,9210
-E948,-E881,-EA70
8F81,915B,91B0
-E6D2,-E8A2,-E806
90A2,9102,8F9D
-E806,-E89F,-E906
91B6,8E53,90C3
-E908,-EC01,-E94A
8F99,8FC9,9017
-EB25,-E916,-EA01
902F,9039,8FBC
-E942,-E99E,-E850
9096,90BA,907B
-E95F,-EA3D,-E78D
91F9,911A,90BC
-E888,-E88F,-E8A4
91D2,9072,8F5D
-E92A,-E953,-E891
8F9B,90DE,90C5
-E7F1,-E87B,-E899
9250,921C,91AD
-E780,-E91D,-E781
9200,91D5,912E
-E786,-E8C9,-E7A5
90F0,8E4B,91ED
-E950,-EA0E,-E881
91FA,9167,91F8
-E86D,-E931,-EAA6
9124,90B7,93C0
-E5A7,-E859,-E8C8
9410,9313,930A
-E683,-E935,-E81C
927C,9108,907A
-E91B,-E7CF,-E749
90EA,919A,90AE
-E881,-E9CC,-E77A
9254,9419,9321
-E7E3,-E66E,-E805
9395,94E0,9584
-E4EF,-E60C,-E5F6
9467,9385,9218
-E78C,-E513,-E686
9481,97F5,95DA
-E5F8,-E54A,-E63B
947E,926E,92BA
-E678,-E5B2,-E776
94D7,9504,955A
-E642,-E543,-E554
954C,965E,941B
-E65E,-E632,-E6FF
9439,94D0,94D0
-E63F,-E501,-E3E3
9617,95C4,9737
-E5EA,-E575,-E2B5
9599,9668,94FA
-E510,-E699,-E4C0
9455,9499,94CA
-E382,-E694,-E4A5
9510,9552,959A
-E57C,-E471,-E655
94F4,94DE,942F
-E5F7,-E817,-E600
959F,9676,95F3
-E324,-E359,-E340
9451,95C9,962E
-E2A4,-E372,-E2B2
95FD,96F0,9753
-E432,-E489,-E468
94E2,9624,95D5
-E363,-E3C8,-E48C
93C6,9446,947D
-E62E,-E749,-E7E6
948B,9362,95EA
-E646,-E49A,-E5C7
9493,9500,93C3
-E618,-E7DC,-E705
917F,9323,9300
-E670,-E50D,-E4F0
9308,95A7,9254
-E73B,-E80A,-E646
926C,9276,940C
-E607,-E69E,-E600
92BB,93F5,9281
-E74C,-E543,-E606
95FD,9418,957D
-E3BC,-E384,-E3D9
94B4,96AB,97DF
-E690,-E5C4,-E56B
9226,9655,93F7
-E625,-E597,-E5FF
9431,94F6,944C
-E4CA,-E805,-E5A1
92AC,9393,9839
-E5EE,-E5C4,-E57C
9397,9661,966F
-E3B5,-E60D,-E70A
96FC,940B,9615
-E458,-E571,-E77A
939F,94AC,9506
-E315,-E510,-E3BC
9744,96CD,966B
-E4FF,-E35C,-E406
8ED8,8DB0,8ED9
-DF0C,-DF17,-DE5D
9ADA,9B34,9AF1
-DF14,-E0CC,-E0D6
983B,9AB1,9A8D
-E006,-E008,-E123
9BB5,9A15,9AF5
-DF54,-DD28,-DE9D
9915,9A4F,9A3F
-DE00,-E09A,-DD6A
9A15,99C5,9972
-E07A,-DEAB,-E167
98AC,9AA4,9A16
-E091,-E0BA,-E0E5
98BF,996A,9B29
-DCDB,-E03F,-DF38
9C05,9B0B,9D68
-DFDC,-E047,-DE7D
993D,9970,9A6E
-E08C,-DF59,-DDEA
9ACF,99F3,9A35
-DF88,-E2D0,-E128
98BB,99D2,9AC5
-E230,-E0C9,-E1DD
9BAC,9B98,9A30
-E0C6,-DF2D,-DF5A
99D4,9A78,9A68
-E056,-E14F,-E074
9980,9A56,96BB
-E19A,-E1F2,-E160
9A6B,9AD4,9885
-E002,-DF83,-E027
98E1,98DB,987A
-E290,-E134,-E249
996A,98AF,99F6
-DF47,-E231,-E106
98C7,9A9C,9A7F
-E0CB,-E0D0,-E21D
9A69,998D,97A6
-E040,-E257,-E1E8
984D,9A37,990F
-E16C,-E052,-DFF2
9ACC,9B25,9880
-E014,-E0C1,-DFD7
9BBF,9ABF,99A1
-DF59,-DE62,-E09F
992A,9A3F,9A5D
-DEFA,-E13E,-DF84
9A94,9AF1,9AE3
-E0DE,-DDF1,-E0CF
9925,9A37,99C4
-E207,-DF4E,-DFD7
9942,990A,997B
-E261,-E0D3,-E11B
99F7,98ED,97A7
-E1F1,-E2CF,-E107
9A04,9A16,9B2F
-DF6C,-E145,-E121
998C,9B3D,9A74
-E137,-DF6F,-DD27
996E,9A8F,9B1D
-DE23,-E05D,-E12C
9B7E,9C26,9C7D
-DF84,-DEEA,-DF23
9F08,9E7B,9DA2
-DCBA,-DF33,-DEB0
9C87,9B61,9CFD
-DD54,-DD31,-DDA3
9BF8,9C39,9D79
-DDDA,-DD4D,-DCEE
9B6B,9C31,9CAE
-DEC5,-DEAB,-DD5A
9C4F,9E05,9C5D
-DDB0,-DEED,-DE9A
9D1D,9CCB,9C63
-DD29,-DDF1,-DEB1
9B1E,9E1A,9DF7
-DBFD,-DEBD,-DE70
9BB2,9A8B,9A76
-E021,-DDB2,-DCDF
9C1B,9D62,9E12
-DDB8,-DEA9,-DEA0
9A87,9BC4,9A55
-DE64,-DE0E,-DCE7
9D81,9D19,9DBB
-DD6C,-DD9C,-DB61
9E24,9CFE,9DB1
-DC5D,-DD54,-DBA6
9CD8,9D76,9E02
-DC02,-DCE1,-DE84
9CEC,9D01,9C6D
-DF0A,-DCF2,-DD83
9E03,9E67,9D70
-DCA5,-DD78,-DCEA
9C19,9DED,9E2D
-DDDF,-DDBD,-DC34
9B52,9C35,9AED
-DE9E,-DEA6,-E053
9968,9CD3,9A9F
-DEEE,-DEA3,-DE1B
9BA0,9DAB,9B6A
-DE28,-DF18,-DE3D
9B1B,9AB4,9BBC
-DF82,-DF65,-DEA7
9DE7,9D64,9D6C
-DCB9,-DD7E,-DD80
9B09,9D0C,9C89
-DD47,-DEB1,-DE6D
9DAD,9D71,9D38
-DE81,-DFF2,-DE51
9B1D,9D49,9AB9
-DF22,-DFC7,-DECA
9AD2,9C07,9BB7
-DF03,-DEE8,-DE23
9B1E,9AFF,9C2C
-DC74,-DE52,-DE34
