{'CALIB_RAW_DAC_START_I': 131072, 'CALIB_RAW_FILETYPE': 'CALIB_RAW_FILETYPE_LIMP', 'CALIB_RAW_DAC_A_INDEX': 0, 'CALIB_RAW_SERIAL': '20190606_02', 'CALIB_RAW_VERSION': '1.0'}
1051B2,105336,1054E4
11CD9D,11CE4D,11CE52
105134,1053BE,1052FF
11CFB3,11CE72,11CCDE
1052D7,105311,1052EC
11CDEC,11CC6A,11CCCB
10501B,10522F,105428
11CC67,11CDBF,11CE10
1053C1,1053B7,105337
11CF34,11CD98,11CE72
10516B,1052C4,10541B
11CD27,11CF1F,11CCED
1050A1,10525A,105252
11CDD9,11CEE7,11CC33
105385,105208,105238
11CE7E,11CE90,11CF50
10555C,10547B,105336
11CE3A,11CCF5,11CE30
105399,1051D6,105488
11D098,11CEAE,11CE48
1053EA,105238,10532C
11CFB1,11CF6D,11CE6A
105617,1055A1,1055E8
11CE76,11D023,11D0B0
105509,105450,105647
11CF73,11D0E6,11CF5A
1055A1,1054AE,1056D2
11CE40,11D045,11D0C9
1056D2,105657,105684
11CF7B,11D200,11D121
105626,1055CC,10548C
11D00D,11CE6A,11CEDD
1056F8,105570,105699
11D10A,11D11D,11D0F8
105535,1055EB,105697
11D1DC,11D0AB,11CEE6
1056C0,105655,10573D
11D0EC,11D0E5,11D096
105691,1056CE,1056E9
11D026,11D1B7,11D1A1
10559F,10567F,1054DA
11CE83,11CFBC,11CFF2
1056B0,1055AE,10564D
11CFA4,11D032,11D057
105575,1056C6,10564C
11D1BD,11D35B,11D162
10554C,105562,1055E0
11D1F0,11D096,11D372
1057D5,105715,1055DC
11D2E8,11D307,11D3A1
105849,1057C2,1057ED
11D46A,11D28E,11D1C4
105724,105866,1056F1
11D2FF,11D1B9,11D32D
105832,105968,1058DF
11D444,11D353,11D48F
105934,105806,1057BD
11D4B7,11D313,11D2A0
10579F,1056E5,105854
11D366,11D23E,11D43E
105A74,1059DE,1059B4
11D411,11D22E,11D2EE
105A2C,105917,105799
11C027,11BF44,11BF37
104C70,104D1C,104C35
11C850,11C801,11C827
104C3F,104DDF,104D15
11C7AA,11C807,11C869
104E1F,104DA9,104D1D
11C7EE,11C768,11C729
104D21,104C4F,104F1C
11C82B,11C8D6,11C78D
104E11,104D91,104DAB
11C8D9,11C5FB,11C7FA
104E21,104DCF,104E6C
11C8CC,11C7D7,11C83B
104D24,104F0C,104DF6
11C87A,11C80C,11C8CB
10505D,104D8B,104F62
11C8DA,11CAAF,11C9A8
104FB5,104E34,104E04
11C711,11CB53,11C885
104DA9,104E37,104F37
11CA00,11C785,11C872
104E61,104EE9,104E4A
11C9BA,11CA0A,11C771
104FAD,104ED3,104F9B
11CA81,11C7AC,11C818
104DCE,104DFD,104E4D
11C7F1,11C7D0,11C987
104E22,104FE4,10502E
11C943,11CA13,11C9D8
104EDC,104E8A,104E97
11C93E,11C8AA,11C90C
104EE2,104DBB,104DB5
11C81C,11C99B,11C806
104F10,104E90,1050FA
11C9F9,11CB31,11C9D0
10509F,104F13,1050A2
11C9C8,11CBB8,11CA3B
10509E,105019,1051CD
11CA22,11CCBB,11CACF
105274,104F8E,105042
11CD32,11CC1C,11CC76
1050A7,105337,105110
11CAAD,11CBD2,11CC87
1052EB,1052AD,1051B3
11CB7E,11CB52,11CB04
105014,104FA1,104ED4
11CA96,11CAB7,11CC00
104FA5,10508F,1051A5
11CB40,11CB0B,11CC9B
1051C6,1050A4,10505C
11CC1C,11CB1E,11C952
1052B2,10506B,104F02
11CC48,11CBEC,11C952
105106,105188,104FBC
11CC5E,11CB5D,11CBD8
10515C,1052AB,105143
11CBCB,11CCAB,11CBB3
10517D,104FF8,10521D
11CBC6,11CC9B,11CBF9
105264,10535C,10520E
11CD1F,11CDEA,11CE86
105373,10530F,105106
11CCA5,11CCD3,11CC17
10520F,1053D7,1052C9
11CB42,11CBBA,11CD5A
105107,104F39,104F07
11C905,11C83C,11C869
104F63,105055,1050CF
11C960,11CA1F,11C8F1
10504B,104E23,104F6F
11C8F0,11C81C,11C918
105020,104F3E,105125
11CBBF,11CA10,11C942
104EBA,104E20,10505E
11C9E2,11C9C7,11C96C
104E21,104F09,104DBD
11CA3E,11CAE3,11CA6A
104F52,104F3F,104C74
11C9AF,11CB91,11CAEE
104F9D,105259,104E8E
11C996,11CB09,11CA69
1052A0,1050EE,105080
11CA19,11CB13,11CADF
10517D,10526F,104EB6
11CC11,11C88E,11CCAA
1052F9,1051B4,10506E
11CB90,11CAF9,11CB4C
105035,10506A,105112
11CA1C,11CAEE,11CB0F
105172,104F86,105147
11CC35,11CBBD,11C8A8
105072,1050D8,10514E
11CB38,11C9D8,11CBCB
1052A8,1051D1,1050A8
11CD76,11CC36,11CB9D
105234,105101,1051AE
11CD35,11CB7D,11CB93
105235,105153,105290
11CC12,11CB92,11CDBA
1052FF,1053B7,10515B
11CCD0,11CCAF,11CD3B
1054B7,105446,105335
11CBFA,11CBD8,11CDA9
105164,1051AA,10530B
11CDB8,11CE1B,11CE0F
10540D,10531B,1054A3
11CE28,11CA71,11CD6D
1053D5,10539C,10521D
11CE1F,11CE53,11CD79
10543F,105344,105494
11CE25,11CDF0,11CE45
1052A5,105391,1054F1
11CEC5,11D14C,11CF96
105613,1053CF,105444
11CCE3,11CDE1,11CF6D
1054B5,10542B,10526E
11CF75,11CE84,11CF1E
1052E9,10533E,1053C9
11CF90,11CDAE,11CFA9
10548A,10553F,1053F1
11D0F3,11D12F,11CFF1
1055C0,1054CF,10551E
11CFDE,11CF66,11CE42
105715,10553E,105461
11CE07,11CEA2,11CF89
105480,10545B,105646
11CCCF,11D0A0,11D03F
105412,10550E,105572
11C02C,11C0DB,11C212
105518,105743,1057BD
11CE62,11D085,11CFC1
1055A0,105396,10552A
11D081,11D040,11CF25
10556E,105578,1055C1
11D0EA,11D235,11D10B
1055C2,1055A6,1055F8
11CF48,11D0DC,11CFE1
105685,1054BC,1056AD
11D10B,11CF1C,11D08A
10561F,1054E2,105636
11D2FA,11D05C,11D03F
1055EB,1053EE,105697
11D05B,11D39B,11D0B4
1057D3,105763,105483
11D0C6,11D1F8,11D229
1056DE,1056AF,105807
11D06C,11D15E,11D23A
1055FE,1055C0,1055CD
11D096,11D07D,11D226
1056D7,10587A,10562F
11D1E9,11D029,11CF74
10568D,1057B6,1056AC
11D1A5,11D241,11D2D7
10570B,1056E2,1057C9
11D181,11D22A,11D0F3
1058E5,10557B,1057E2
11D1AA,11D1E6,11D1FA
105776,105826,1054E4
11D164,11D14D,11D372
105798,105744,1057D8
11D054,11D2FC,11D201
10581C,105887,105918
11D39B,11D2BB,11D2CE
1058AF,105A24,1059EA
11D352,11D52F,11D241
105879,105714,1058AF
11D305,11D344,11D290
105859,1058DC,105922
11D302,11D530,11D4BB
105963,105986,105B61
11D49F,11D2B9,11D2AC
105AE0,1059AA,105A34
11D507,11D411,11D4EF
105872,105942,10588E
11D3A3,11D316,11D260
1058DA,105A89,1058C9
11D4C0,11D6B7,11D41F
105AFF,10597A,105941
11D66D,11D39C,11D4A3
10587A,105A6C,105A4E
11D57C,11D48E,11D4C3
1059DA,105AD6,10597F
11D6C5,11D6E2,11D3A9
105A50,105BDB,105B48
11D531,11D598,11D34F
105A55,1059F5,105A7A
11D4FA,11D530,11D57C
105AF7,105A75,105AAF
11D43D,11D4E9,11D520
105A47,105994,105B67
11D2AC,11D41D,11D3C4
105B26,105B44,105AC4
11D3EE,11D466,11D5F7
105624,1056C9,1055FB
11D21E,11D21E,11D3E4
1057F5,10591A,105737
11D0E1,11D211,11D1C0
10575B,10590A,105633
11D3ED,11D26F,11D066
10572A,1057E9,105686
11D1AA,11D397,11D29A
1058CB,1059B0,10577E
11D42B,11D267,11D337
1057AC,10590D,1056B2
11D36C,11D395,11D286
105876,105769,105886
11D35F,11D330,11D09F
105655,105870,105858
11D1FB,11D5A0,11D61C
10595B,105AB3,1058B2
11D555,11D344,11D21B
105856,105C2D,105A58
11D416,11D254,11D4E3
105A68,105B82,1058E8
11D10C,11D332,11D447
1059C4,105977,1059BF
11D41F,11D324,11D45A
1059A6,105968,105916
11D2FA,11D20B,11D1BA
105799,1057DC,1058B1
11D344,11D501,11D58C
10592D,10591F,1058A8
11D245,11D303,11D2E5
10599E,105949,1059B3
11D37A,11D339,11D1BF
105AC1,105ACF,1059FC
11D30A,11D37C,11D6B7
105B30,105B81,105B97
11D642,11D5B7,11D535
105A6E,1059AF,105AEE
11D69D,11D5ED,11D6BC
105C1E,105B20,105AA1
11D5E9,11D77D,11D79B
105B93,105AF2,105B14
11D66B,11D66B,11D70F
105C96,105B7E,105CF2
11D726,11D6A5,11D6AB
105B99,105BC0,105BB8
11D6AD,11D5DE,11D825
105BD4,105BF9,105ADF
11D5E4,11D769,11D5B6
105B76,105AA9,105AF7
11D63E,11D492,11D453
105E49,105C9E,105B92
11D90B,11D71E,11D7E3
105C4E,105C21,105C54
11D638,11D803,11D79E
105CF8,105CD4,105D4A
11D6C4,11D8F5,11D898
105DD7,105D2A,105DEF
11D843,11D788,11D824
105C53,105D34,105CF0
11D82A,11D969,11D89D
105C85,105BE8,105D57
11D73D,11D69C,11D568
105C12,105D6A,105DD6
11BAC6,11BBDA,11BA7E
105D58,105DE5,105E4C
11D731,11D893,11D85B
105C7E,105C77,105B74
11D892,11D6CE,11D82B
105BE3,105D7B,105C79
11D5FF,11D86D,11D7FC
105EC2,105D6C,105DE7
11D891,11D820,11D809
105DE8,105ED0,105D08
11D6BD,11D7CC,11D938
105DF5,105D25,105E41
11D5EA,11D786,11D97D
105DBE,105B71,105E71
11D8D2,11D7E3,11D7C6
105E51,105F2C,105E8A
11D9AB,11D933,11D933
105F6E,105E6D,105E1D
11DA42,11DAC5,11D84E
106011,105EC8,105E4D
11DB36,11D8D9,11DB2A
105FEA,105E22,105EE3
11D912,11DA2B,11D9C3
10605C,105E5B,105EEE
11DB0F,11DB7C,11DB47
106087,105FE5,105F92
11DAAD,11DA1D,11D863
106019,105F4A,105FBD
11D994,11D904,11D753
105EFF,105EC1,105FBA
11D9E1,11DA21,11D8D2
105EDE,105E2A,105EC7
11D91A,11D840,11DB55
105FF5,10605A,106093
11DA31,11D9CC,11DABF
10614C,106216,1061FB
11DAEF,11DB4A,11DA3F
106125,1060B3,10608C
11DA6A,11DBED,11DB30
1063D2,10615B,106169
11DD7B,11DC5A,11DC2D
10620F,1062BB,106253
11DC9B,11DC3A,11DAE1
10632C,106080,1061AB
11DCC9,11DBC4,11DA7E
106034,10619B,10621C
11DBF5,11DCDE,11DAE2
106332,106054,10625B
11DC98,11DB54,11DCE5
10616C,10616C,105F8F
11DA53,11DBFB,11DCE3
106116,10624E,1064AC
