{'CALIB_RAW_DAC_START_I': 425984, 'CALIB_RAW_FILETYPE': 'CALIB_RAW_FILETYPE_LIMP', 'CALIB_RAW_DAC_A_INDEX': 2, 'CALIB_RAW_SERIAL': '20190606_02', 'CALIB_RAW_VERSION': '1.0'}
6B076,6B101,6B0F4
82C77,82CF7,82AE9
6B203,6B1AC,6B1F0
82D9A,82CB0,829DF
6B385,6B184,6B100
82C4C,82B93,82CF7
6B29E,6B2C0,6B1FA
82D1F,82B0E,82C4D
6B1F1,6B2FF,6B1E1
82BF7,82B50,82A76
6B1E3,6B2D2,6B217
82CBD,82ACD,82CCA
6B24D,6B175,6B1C7
82BA4,82D3C,82E47
6B327,6AFBE,6B086
82C2C,82CCF,82DAB
6B280,6B2C3,6AFC4
82BA8,82D41,82C1E
6B2D3,6B02D,6B20C
82EE3,82E06,82D44
6B2C9,6B3E3,6B1CD
82CB7,82DE1,82DA1
6B276,6B2C0,6B43C
82D10,82BB3,82D6D
6B2B5,6B2D5,6B18E
82BEE,82B1A,82E71
6B295,6B387,6B226
82B9E,82BCE,82E4E
6B21D,6B1D2,6B33C
82C8C,82D7B,82C4A
6B33E,6B3BD,6B1F5
82CAC,82BA9,82DE3
6B20D,6B3F7,6B4C9
82BAB,82BEC,82D07
6B3AA,6B202,6B27E
829DD,82A96,82BB2
6AC84,6AEF2,6AD48
82582,828E3,82644
6AC12,6AE4B,6AC60
826C6,827BC,82660
6AE70,6ADF5,6AD38
826C6,82765,82797
6ACBB,6AD85,6AC5C
8267A,82861,827DA
6AE3A,6AD39,6AD2F
828AF,828EB,828BE
6AE51,6AE43,6AD73
828EC,82932,82891
6AE83,6ADD4,6ADB1
82A30,8298E,82A4D
6AC69,6ADA5,6AD2D
82A40,82BD2,82898
6ADD6,6AF37,6AE88
8272A,826C0,82867
6AEEC,6AE14,6AE41
828A4,827FA,8287B
6B038,6B0B8,6B0B4
82942,82ADB,8297A
6B0B7,6AF0B,6AF62
82A8B,8278C,82A4D
6AEC2,6AF1E,6AF35
82956,829F8,82791
6AFB1,6AED0,6AEAF
8290C,826AE,828CF
6AF91,6AEF4,6B0D8
82AC0,82AC5,828DF
6AE2E,6AFF3,6AEFB
82A60,82ABC,828FF
6AE2C,6AF7A,6AEF2
828FC,828C8,82AB7
6AEEC,6ACF6,6ADA2
826ED,82808,82A1D
6AD93,6AE0C,6AD7D
82784,826AF,825DD
6AD13,6AC18,6AD7F
82870,8291E,82793
6AD4D,6ACCA,6AD11
8277A,827F2,828E0
6ADC9,6ADAD,6AEEE
8280D,8281D,82716
6AEBE,6AE79,6ADB6
82851,8297F,828F4
6B02E,6B019,6AD82
829DC,82B56,8294D
6AEEA,6AC18,6ADB7
82851,827AF,829EE
6AD46,6AC58,6AC29
8295B,8289D,82A5C
