{'CALIB_RAW_DAC_START_I': 950272, 'CALIB_RAW_FILETYPE': 'CALIB_RAW_FILETYPE_LIMP', 'CALIB_RAW_DAC_A_INDEX': 6, 'CALIB_RAW_SERIAL': '20190606_02', 'CALIB_RAW_VERSION': '1.0'}
172A4D,172D52,172AE9
18A6C0,18A53D,18A6AC
172AB7,172B1E,172BDB
18A5F1,18A4DB,18A77F
172ACC,172CBD,172B66
18A553,18A53F,18A5A2
172C40,172B53,1729F4
18A337,18A598,18A769
172AE9,1729D3,172B53
18A5AE,18A52A,18A4F3
17298B,172BB1,172B8D
18A52F,18A59D,18A643
172B59,172B60,172B58
18A689,18A681,18A524
172A91,172A93,172BD4
18A4B4,18A5C1,18A626
172CC4,172A85,172BBF
18A2C7,18A442,18A555
172C37,172BF1,172A86
18A3D3,18A548,18A4DC
172A1D,1728BE,1729B4
18A477,18A49B,18A590
172C4D,172A38,172BCB
18A507,18A40B,18A524
172AFF,172A37,172AFF
18A448,18A41F,18A5F6
172A17,172B4E,172915
18A4FC,18A617,18A596
172AB8,172BB2,172B45
18A5B6,18A725,18A51F
172C27,172CB8,172C30
18A48D,18A6BD,18A769
1729FB,172B21,172B07
18A5AF,18A60E,18A705
172B71,172A0A,172A9E
18A439,18A3EB,18A5E8
172BB8,172AF6,172B26
18A4CA,18A4CB,18A58E
172A0C,172A47,1729C3
18A33C,18A3D2,18A5A5
1729FC,17277A,1727FA
18A3DF,18A450,18A467
172ADE,17296A,172730
18A46C,18A34D,18A383
172A9E,172973,1728B2
18A3CC,18A465,18A3C9
172BA9,172987,172A34
18A412,18A2B0,18A518
172ADC,1729A5,172AC4
1894C0,18945A,1894CC
173214,1731F9,17321D
18AB9A,18ADEA,18ABBF
173461,17322F,17319F
18ADDC,18ADE3,18AD7A
1733BF,1732C7,173396
18ACE1,18AEB3,18ACC3
1731D1,173222,17330E
18ABD0,18AEF7,18AD4A
1735B2,17342C,173381
18ABED,18AD8B,18AC08
173457,17336C,17324E
18ACF2,18ACBB,18AC4D
1734D6,17333B,1731DF
18AD94,18AE8F,18AF57
173378,173561,1735B0
18ADC6,18B06C,18AEFF
173483,17320F,173335
18AB3D,18AEEB,18AD57
1732E6,1733F2,1733D5
18AE02,18ADA0,18AE80
173256,17344E,173398
18AD4A,18AE1D,18ADEE
173147,173145,173154
18ADB9,18AF21,18AECB
1733F6,173472,1734F6
18AE5E,18AF18,18ADC5
17334E,1732A1,1733AC
18AD9C,18AD94,18ADF9
1733BD,17328D,1731D6
18AD58,18AD1A,18AD80
173351,17312A,17316A
18A937,18AB84,18ADB3
17337F,17308F,1732E1
18AD18,18ACD6,18AC5B
