{'CALIB_RAW_DAC_START_I': 262144, 'CALIB_RAW_FILETYPE': 'CALIB_RAW_FILETYPE_LIMP', 'CALIB_RAW_DAC_A_INDEX': 6, 'CALIB_RAW_SERIAL': '20190606_02', 'CALIB_RAW_VERSION': '1.0'}
-F2097,-F1DE1,-F1EB3
-109AE8,-109B6F,-109A65
-F20F1,-F21A1,-F1F73
-109A78,-109B0C,-109AAF
-F1E05,-F203D,-F1DED
-10987D,-1098F5,-109BD8
-F1EE1,-F1F79,-F1F39
-109816,-109833,-109940
-F1F2D,-F2085,-F1F0C
-109A26,-109A4D,-1099F0
-F2058,-F1EEE,-F1F01
-109A05,-109956,-1098EF
-F2486,-F230E,-F250C
-109E33,-109DBA,-10A0B0
-F24F7,-F2447,-F22D8
-109F70,-109ECA,-109D3C
-F25A6,-F251C,-F2478
-109F2D,-109E9A,-109E1A
-F24A2,-F2652,-F262B
-109EC2,-109FB8,-109F95
-F2529,-F22D8,-F25E9
-10A0B7,-109DF3,-109D9C
-F243D,-F249F,-F2330
-109DF8,-109E92,-109DD3
-F235D,-F237C,-F23D3
-109D25,-109BAA,-109D45
-F22FF,-F2393,-F2402
-109CC8,-109EA9,-109D7A
-F208A,-F2200,-F22A4
-109E56,-109E22,-109F3A
-F2414,-F2473,-F24DF
-10A0E2,-109DB3,-109FBA
-F23FC,-F241C,-F2505
-10A0EC,-109EF5,-109FD0
-F269D,-F257A,-F24A9
-109F1B,-109EE5,-10A0B1
-F25C1,-F2585,-F256B
-109F2D,-109EC3,-109E94
-F24C2,-F24DE,-F2542
-10A12B,-109DC7,-10A098
-F23BE,-F23FF,-F23CA
-109DB8,-109F60,-109E80
-F26A3,-F24CB,-F2443
-109E21,-10A00F,-109EFB
-F2644,-F25CA,-F25A2
-109ECC,-109EBF,-10A024
-F24F0,-F254F,-F250D
-109DF7,-109F3C,-10A06C
-F25E9,-F256A,-F2512
-109F68,-109E19,-109F99
-F26DA,-F2558,-F2561
-10A060,-10A23E,-109FD0
-F2518,-F258B,-F271C
-109FC8,-109F8F,-10A061
-F2591,-F263B,-F2562
-109F9C,-10A024,-109FAA
-F249E,-F24D3,-F2563
-109E5E,-109EF1,-109F83
-F275C,-F26E8,-F23C7
-109E11,-10A066,-109E98
-F2304,-F2545,-F24D6
-109FC4,-109FED,-109E37
-F2499,-F27BD,-F2734
-10A0D8,-10A24D,-10A11C
-F25A7,-F25B2,-F267A
-10A1A8,-109FE9,-10A085
-F26AE,-F26C4,-F24A9
-10A072,-10A0CE,-10A098
-F26E7,-F25EE,-F24F5
-109F3B,-109EE8,-109F31
-F286C,-F24DC,-F2559
-10A125,-109FB6,-10A045
-F2544,-F26CA,-F2467
-109EB1,-109FD6,-10A025
-F2566,-F2601,-F25D9
-109F79,-109FC0,-109F90
-F25DC,-F2534,-F2604
-10A104,-10A297,-10A07C
-F285A,-F280F,-F2948
-109FDB,-109F5A,-10A14C
-F27CA,-F263E,-F26B7
-10A109,-10A1B5,-10A204
-F2827,-F2637,-F271A
-10A17E,-10A04B,-10A17A
-F2710,-F27A9,-F269D
-10A1BF,-109FF0,-10A230
-F2747,-F28DE,-F2772
-10A101,-10A28E,-10A214
-F26D8,-F2713,-F24AB
-109D93,-10A043,-10A26B
-F274C,-F261E,-F261F
-10A23A,-10A263,-10A22B
-F26D6,-F26C6,-F2569
-10A1EE,-10A234,-10A229
-F27E0,-F25D7,-F27B3
-10A068,-10A39E,-10A188
-F274C,-F28BE,-F26C2
-10A21F,-10A2ED,-10A258
-F28B6,-F269B,-F28E2
-10A1A8,-10A3E4,-10A32B
-F27E2,-F27BC,-F281D
-10A269,-10A27F,-10A35A
-F283A,-F2767,-F2669
-10A254,-10A1CF,-10A1B3
-F26F4,-F273E,-F2672
-10A23A,-10A3C2,-10A21A
-F2708,-F28C9,-F26BF
-109F61,-10A3A8,-10A1A8
-F2808,-F2867,-F286B
-10A245,-10A1E7,-10A2FD
-F2861,-F291C,-F267C
-10A364,-10A2E1,-10A283
-F275B,-F2785,-F286F
-10A19F,-10A3BC,-10A3AC
-F2860,-F2831,-F2754
-10A31A,-10A26D,-10A148
-F2819,-F27D7,-F26AB
-10A1A4,-10A10F,-10A37B
-F26C0,-F275B,-F288F
-10A0E1,-10A533,-10A17A
-F2680,-F26B0,-F29C3
-10A209,-10A346,-10A34F
-F25BF,-F2846,-F26C6
-10A146,-10A29A,-10A1C6
-F26C4,-F275F,-F23C4
-10A032,-10A264,-10A2F9
-F2771,-F2807,-F2883
-10A288,-10A208,-10A19E
-F2838,-F27EC,-F25DB
-10A1D3,-10A233,-10A11D
-F2721,-F2603,-F272E
-10A280,-10A1F3,-10A16A
-F2735,-F27DF,-F26F8
-10A3E2,-10A167,-10A113
-F2834,-F2868,-F274B
-10A170,-10A3AC,-10A1EF
-F2787,-F2714,-F25D2
-10A0DA,-10A22A,-10A2A9
-F2806,-F29BE,-F2802
-10A244,-10A298,-10A29F
-F323F,-F32C5,-F330B
-109EC3,-10A085,-109CE9
-F26B1,-F2571,-F22EC
-109F80,-109E95,-109EAB
-F2517,-F24F4,-F256D
-109E03,-109F07,-109F00
-F24C6,-F2509,-F2507
-109E6F,-109F86,-109E08
-F25B4,-F23CA,-F243B
-109DA7,-109E2C,-109F91
-F25B0,-F235E,-F253C
-109EED,-109E4E,-109F09
-F245C,-F23BC,-F234F
-109F95,-109FBF,-109EFC
-F234C,-F2476,-F26D8
-109F2D,-109E8C,-109DD7
-F24C1,-F2429,-F244B
-109F0D,-109F40,-10A089
-F25EA,-F245A,-F2471
-109E84,-10A073,-109EB5
-F24AF,-F2421,-F230C
-109F45,-10A023,-109FED
-F260B,-F25B1,-F24DA
-10A036,-109F8E,-109FEC
-F2579,-F24A4,-F231D
-109EC2,-109F0C,-109F96
-F271E,-F2507,-F2459
-109E82,-10A19A,-109FE4
-F25D7,-F2515,-F2478
-109E7D,-109F60,-10A16E
-F2591,-F24B6,-F247C
-109FBA,-109F2C,-109F04
-F2661,-F2414,-F269D
