{'CALIB_RAW_DAC_START_I': 1015808, 'CALIB_RAW_FILETYPE': 'CALIB_RAW_FILETYPE_LIMP', 'CALIB_RAW_DAC_A_INDEX': 0, 'CALIB_RAW_SERIAL': '20190606_02', 'CALIB_RAW_VERSION': '1.0'}
-F580C,-F58CE,-F55EF
-10D1D0,-10D0B9,-10D1F3
-F575C,-F5813,-F5863
-10CF9C,-10D0FB,-10D2E1
-F56A3,-F56A5,-F5515
-10CEBE,-10D05E,-10D1D0
-F56CE,-F5748,-F5762
-10D014,-10CF45,-10D116
-F5572,-F55A6,-F5613
-10D005,-10D0D8,-10D260
-F57C9,-F56FB,-F5809
-10D007,-10CFCB,-10D0F6
-F567C,-F559F,-F55D9
-10CFE8,-10CEEA,-10CEE6
-F541B,-F546B,-F539B
-10CE65,-10CE00,-10CEC5
-F5458,-F5493,-F54A7
-10D014,-10CEB8,-10CFC8
-F5501,-F552C,-F5519
-10CE47,-10CE55,-10CED4
-F545A,-F5415,-F548C
-10CE46,-10CEBA,-10D00A
-F5436,-F53E7,-F5320
-10CDBB,-10CE4B,-10CF5E
-F55BA,-F52AA,-F547C
-10CD0B,-10CFCE,-10CF09
-F54C3,-F525F,-F52DE
-10CF09,-10CF5C,-10CF39
-F5356,-F52FD,-F53B2
-10CE9C,-10CAE4,-10CDB5
-F537D,-F5228,-F52D2
-10CFE5,-10CE11,-10CC6B
-F5214,-F535B,-F536F
-10CD31,-10CF94,-10CECB
-F54AC,-F52F1,-F50CF
-10CEFF,-10CE04,-10CD04
-F539F,-F526B,-F5118
-10CE01,-10CBF5,-10CE3A
-F5345,-F52D7,-F5232
-10CFDC,-10CF00,-10CE24
-F52CD,-F52B3,-F5265
-10CDF6,-10CC8F,-10CE16
-F6478,-F63B7,-F622D
-10CC87,-10CDED,-10CD51
-F52D6,-F523F,-F52A0
-10CB95,-10CC76,-10CDDB
-F5174,-F51B4,-F51E4
-10CCAC,-10CD57,-10CDD6
-F5202,-F5140,-F529D
-10CB62,-10CC24,-10CB66
-F5276,-F51A3,-F5286
-10CB9B,-10CE0D,-10CAB8
-F51D0,-F51D3,-F5213
-10CD6D,-10CC17,-10CB1B
-F539E,-F516E,-F5106
-10CB81,-10CD0F,-10CC7E
-F52BE,-F5179,-F50CA
-10CABE,-10C988,-10CDBB
-F51BB,-F4FAD,-F5011
-10CCDE,-10CC24,-10CB3F
-F4F3D,-F51F2,-F505D
-10CAD2,-10CB22,-10CA21
-F5012,-F506B,-F51E7
-10CB6A,-10CACE,-10CB9E
-F513F,-F516C,-F5306
-10CC8A,-10CC69,-10CBE1
-F5110,-F5065,-F4F57
-10CBF7,-10CC5E,-10CBCF
-F4F0F,-F51C1,-F52A4
-10CB5E,-10CC0E,-10C9FC
-F4F29,-F4FBF,-F4E4B
-10CB75,-10CB17,-10C90F
-F4FD5,-F515D,-F519B
-10C9F7,-10CAB4,-10CA0B
-F5044,-F4EE0,-F4FD4
-10C8E5,-10C7C3,-10C908
-F4E39,-F4E38,-F5015
-10C994,-10C8CD,-10C9AB
-F4E39,-F4E13,-F4F7C
-10C9AD,-10C7F2,-10C90B
-F4F87,-F4FB8,-F4DD4
-10C94B,-10C9BF,-10C988
-F4ECB,-F4F4D,-F4EC6
-10CB01,-10CA73,-10C9A4
-F4E07,-F4F47,-F4D44
-10C7D4,-10C7D6,-10C802
-F4E4C,-F4F55,-F4E86
-10C77A,-10C7D9,-10C8ED
-F4F88,-F4DD5,-F4DB3
-10C81B,-10C838,-10C99A
-F4EB6,-F4DC0,-F4D62
-10C752,-10C833,-10CA3A
-F506B,-F4E08,-F5032
-10C840,-10C7EC,-10C77B
-F4E26,-F4D7D,-F4C0A
-10C54B,-10C775,-10C803
-F4DC9,-F4C70,-F4C2F
-10C672,-10C761,-10C83A
-F4CBF,-F4B52,-F4B42
-10C5FA,-10C670,-10C6DD
-F4C48,-F4DB7,-F4C6B
-10C660,-10C6A7,-10C73C
-F4DB5,-F4D12,-F4C76
-10C843,-10C702,-10C6B5
-F4B0B,-F4AD4,-F4C5D
-10C7B5,-10C653,-10C5F8
-F4C7F,-F4B94,-F4D13
-10C828,-10CA47,-10CAF9
-F4F36,-F4F52,-F5097
-10C941,-10C9C7,-10C782
-F501B,-F4FDC,-F4DED
-10C8B8,-10CA5B,-10C984
-F5072,-F4F55,-F4E32
-10CB5D,-10C885,-10C8AC
-F4FF1,-F4E21,-F5030
-10C96B,-10C905,-10CAA3
-F5019,-F4ECB,-F4F0E
-10C91F,-10C8EA,-10C7CA
-F4F84,-F4EAF,-F4D14
-10C809,-10CA4F,-10CB47
-F4E0B,-F4E73,-F4CD5
-10C97F,-10C7C7,-10C89C
-F4C9E,-F4D49,-F4D8E
-10C938,-10C93A,-10CA2C
-F4F51,-F4DFB,-F4F4E
-10C9DB,-10C720,-10C9D3
-F4E4E,-F501D,-F4F71
-10CA89,-10CA69,-10CBA3
-F4F82,-F4EB2,-F4F1B
-10C925,-10C949,-10C848
-F4DE4,-F4E08,-F4ECE
-10C790,-10C7EF,-10C8AA
-F4EC4,-F4DC0,-F4E91
-10CA4D,-10C95C,-10C845
-F4E9A,-F4F26,-F4F4A
-10CB28,-10CBB8,-10C948
-F4E5B,-F4EDC,-F4EAD
-10C997,-10C8B7,-10C9D9
-F4D86,-F4E51,-F507D
-10C6A4,-10C7B9,-10C5FC
-F4DC7,-F4C3D,-F4C29
-10C771,-10C570,-10C4E0
-F4CDB,-F4CB5,-F4AD1
-10C792,-10C637,-10C5FC
-F4DCE,-F4C90,-F4CA6
-10C5D3,-10C75D,-10C67B
-F4CFB,-F4C32,-F4CB8
-10C65B,-10C740,-10C76D
-F4C2C,-F4CEC,-F4E0F
-10C72D,-10C7A0,-10C5AB
-F4D7B,-F4BDE,-F4AD8
-10C5C2,-10C660,-10C71E
-F4D3D,-F4D1B,-F4D2B
-10C57A,-10C64B,-10C6CC
-F4BC1,-F4BD5,-F4C23
-10C689,-10C6C3,-10C7D7
-F4B5F,-F4CE4,-F4B70
-10C536,-10C5BD,-10C692
-F4A13,-F4A08,-F4A6C
-10C4D7,-10C7ED,-10C549
-F4AAF,-F4C30,-F4B95
-10C57A,-10C5AF,-10C535
-F4C51,-F4B36,-F498F
-10C58B,-10C527,-10C702
-F4953,-F4957,-F49FB
-10C597,-10C437,-10C5B4
-F4A6A,-F4B13,-F4BCD
-10C34F,-10C450,-10C461
-F4A42,-F4B60,-F4AAF
-10C3F2,-10C564,-10C35A
-F6041,-F5EEC,-F5D73
-10D03F,-10D2BF,-10D113
-F5691,-F55D7,-F55B3
-10CF12,-10D0AB,-10D0D4
-F5644,-F55BA,-F556C
-10D105,-10D026,-10D124
-F5638,-F5712,-F582F
-10CFC9,-10D04C,-10D0D6
-F5575,-F569C,-F53B7
-10D167,-10D0F9,-10CFCA
-F556E,-F5506,-F567F
-10D17B,-10D294,-10D0A8
-F55F5,-F5428,-F552F
-10CFBF,-10D12D,-10D139
-F561F,-F548F,-F541A
-10CE69,-10CF4A,-10CF57
-F54A0,-F5455,-F553D
-10D140,-10D053,-10D03B
-F5723,-F5647,-F543E
-10D06D,-10D060,-10CEEE
-F55AB,-F54B7,-F53C5
-10CE2B,-10CFAA,-10CFAC
-F55C3,-F55E5,-F53A9
-10D011,-10CF40,-10CD53
-F52C1,-F54FC,-F543E
-10CE36,-10CFDB,-10D054
-F5445,-F5504,-F562F
-10CE9F,-10D0A8,-10CEDA
-F54EE,-F5430,-F5589
-10CED9,-10D161,-10CE71
-F556A,-F54A8,-F5420
-10CECD,-10CEFC,-10CD18
-F553F,-F54A5,-F5555
-10CEAD,-10CE3F,-10CF74
-F545C,-F52F3,-F5263
-10CCDC,-10CC3B,-10CD0E
-F523C,-F527E,-F5336
-10CCC5,-10CE93,-10CDC1
-F51D1,-F5416,-F5471
-10CE2F,-10CD94,-10CD03
-F5266,-F52A6,-F52EF
-10CC5E,-10CCCA,-10CED9
-F5304,-F5222,-F524C
-10CD57,-10CDD5,-10CED9
-F51BB,-F537D,-F5334
-10CEC4,-10CD2E,-10CD6B
-F5398,-F5214,-F5226
-10CD4D,-10CB59,-10CE13
-F511B,-F51B1,-F4FDA
-10CC9D,-10CAFD,-10CC2E
-F5377,-F51ED,-F52E8
-10CEA8,-10CC10,-10CC7C
-F50AA,-F5210,-F520C
-10CA53,-10CC3A,-10CDE2
-F5310,-F5203,-F5257
-10CD3B,-10CC89,-10CB9F
-F5294,-F51F7,-F51BF
-10CD7D,-10CCB2,-10CCAC
-F5112,-F50CC,-F508E
-10CC81,-10CB5C,-10CB61
-F4FC2,-F5302,-F4F1C
-10CA91,-10CAC1,-10C9BF
-F50EC,-F50B1,-F524D
-10CCA5,-10CC0A,-10CB6B
-F51E9,-F5251,-F545D
-10CE08,-10CDA1,-10CE32
-F5530,-F5386,-F53D3
-10CFE0,-10CF19,-10CF64
-F5464,-F52EA,-F5466
-10CDBB,-10CF99,-10CD41
-F537C,-F5416,-F534B
-10CD1B,-10CEE4,-10CE88
-F52D0,-F53CF,-F51AB
-10CCB2,-10CD6A,-10CFA2
-F5270,-F53A5,-F5213
-10CF26,-10CFCD,-10CE9E
-F52A1,-F52FD,-F5389
-10CC3A,-10CC60,-10CD2A
-F5293,-F5312,-F53F5
-10CBB0,-10CE4B,-10CD60
-F521A,-F5347,-F5278
-10CD1A,-10CCFB,-10CE98
-F5432,-F53FB,-F5229
-10CE12,-10CC0C,-10CC8F
-F52BF,-F527D,-F5396
-10CCB4,-10CCF5,-10CD2A
-F5247,-F537E,-F518E
-10CCA4,-10CD24,-10CD59
-F501A,-F5321,-F511B
-10CBB4,-10CAA7,-10CD36
-F529D,-F5350,-F51E7
-10CD1A,-10CBB4,-10CB5B
-F5191,-F5242,-F5151
-10CB44,-10CCEE,-10CD88
-F5124,-F5194,-F5246
-10CD8C,-10CB5A,-10CBD8
-F51E4,-F5318,-F523F
-10CA77,-10CAE7,-10CBF4
-F5194,-F52B5,-F5107
-10CBFB,-10CC4E,-10CA77
-F5097,-F5096,-F5013
-10CC34,-10CAAC,-10CA83
-F51B7,-F5271,-F51A3
-10CB28,-10CC1F,-10CBC4
-F5043,-F50C4,-F4FB8
-10CBD8,-10CBF3,-10CB59
-F5193,-F5201,-F52B7
-10C9D4,-10CA0E,-10CA09
-F5234,-F510A,-F4FA1
-10CA60,-10CBE7,-10C9A1
-F5144,-F5110,-F5078
-10CA88,-10CAAC,-10CB10
-F4F9E,-F5118,-F50EB
-10CAA6,-10C971,-10C9C9
-F4F97,-F4FB6,-F5086
-10C8C2,-10CB79,-10C97E
-F5188,-F5193,-F5197
-10CA5E,-10C85C,-10C8A2
-F5119,-F4F2B,-F5058
-10C9E4,-10C909,-10CB55
-F4E7F,-F4E5D,-F4DA2
-10C85B,-10C90C,-10CA88
-F4E4E,-F50C7,-F4F6C
-10C907,-10C74C,-10C82F
-F4E60,-F4F61,-F4E6C
-10C8A5,-10C7C6,-10C8B3
-F4EEB,-F4F75,-F4F34
-10C9AA,-10C9F0,-10CA62
