{'CALIB_RAW_DAC_START_I': 458752, 'CALIB_RAW_FILETYPE': 'CALIB_RAW_FILETYPE_LIMP', 'CALIB_RAW_DAC_A_INDEX': 4, 'CALIB_RAW_SERIAL': '20190606_02', 'CALIB_RAW_VERSION': '1.0'}
-166DA,-1670D,-167DB
-2E22D,-2E01C,-2E14D
-165BF,-1653F,-164BE
-2E084,-2E0B1,-2E40A
-1673A,-164A3,-16759
-2DF91,-2E0AE,-2DFB6
-1669D,-164D0,-16692
-2E0ED,-2E1C9,-2E1B4
-16742,-166C0,-165F1
-2E12B,-2E026,-2E091
-1661D,-167AA,-165F6
-2E1EE,-2DFF2,-2E16C
-1674B,-166F1,-16819
-2E1A2,-2E1DD,-2E1E7
-16640,-1673C,-1670F
-2E2B1,-2E0EC,-2E2A9
-16A43,-1690B,-16743
-2E085,-2E114,-2E35F
-16631,-16776,-165E1
-2DF69,-2E13B,-2E170
-168B1,-168C0,-166E0
-2E014,-2E111,-2E221
-167F1,-16933,-1687F
-2E538,-2E38D,-2E2DB
-16945,-169C8,-168BC
-2E433,-2E3F0,-2E402
-168F3,-16A38,-16A2D
-2E1AC,-2E27F,-2DFBC
-166D6,-166CA,-1661E
-2E108,-2E167,-2E157
-168EE,-1662A,-16717
-2E241,-2E2D9,-2E24D
-1685C,-16796,-1662A
-2E0EE,-2E090,-2E29A
-1672F,-166D8,-16625
-2E147,-2E10E,-2E285
-168EC,-168D5,-1677D
-2E1F3,-2E086,-2E05C
-16784,-16509,-168CB
-2E263,-2E0FD,-2E103
-1681E,-16806,-16840
-2E090,-2E336,-2E1D7
-166CE,-16655,-16779
-2E1C4,-2E35B,-2E45B
-1698D,-166F1,-16633
-2E23B,-2E1DE,-2E20F
-169DF,-168FC,-1676E
-2E2CB,-2E322,-2E1E5
-1699A,-169B0,-168FA
-2E31E,-2E291,-2E3C8
-16A08,-1675A,-16A77
-2E3DF,-2E343,-2E162
-168F4,-16A14,-167DB
-2E334,-2E05F,-2E1E6
-166B3,-1658E,-16784
-2DFC4,-2E28F,-2E251
-1687C,-16926,-167D8
-2E367,-2E2F5,-2E3E7
-16878,-1678F,-1660B
-2E489,-2E5CB,-2E5FA
-169EF,-16C99,-16A33
-2E488,-2E555,-2E67B
-16BB4,-16BB0,-16A1E
-2E3DD,-2E61D,-2E73D
-16AC0,-16C85,-16AD0
-2E5AD,-2E571,-2E6F8
-16CAB,-16ABE,-16DF5
-2E5CB,-2E897,-2E4A4
-16BB7,-16C8E,-16C87
-2E7B6,-2E5AB,-2E6D6
-16BE3,-16C54,-16CD0
-2E645,-2E651,-2E6F7
-16E01,-16C50,-16C5B
-2E771,-2E771,-2E8FC
-16DD6,-16B35,-16D00
-2E700,-2E88F,-2E6B9
-16D75,-16C0C,-16F83
-2E6F2,-2E757,-2E4E3
-16D6A,-16EA5,-16E23
-2E881,-2E8A8,-2E832
-16F1B,-16EE0,-16DFF
-2E9A8,-2E86F,-2E8FD
-16F89,-16F28,-16DE8
-2EB0A,-2E98C,-2E957
-16E6E,-16FAE,-17078
-2E989,-2E838,-2E716
-16C00,-16F07,-16C10
-2E6A2,-2E7C2,-2E7FB
-16FFA,-16E6F,-16D91
-2E778,-2E8F0,-2EBBF
-16DAB,-16C49,-16C99
-2E600,-2E7BC,-2E752
-16DB1,-16B9C,-16BCC
-2E41F,-2E4DB,-2E750
-16FB9,-16EC3,-16E10
-2EA0D,-2E85D,-2E897
-16FD2,-16C88,-16CD8
-2E7CD,-2E90F,-2E99C
-16B63,-16E61,-16E12
-2E911,-2E755,-2E9FF
-16F73,-16E11,-16EF3
-2E82E,-2E8AA,-2E864
-16E40,-16D20,-16CDB
-2E6EC,-2E86A,-2E893
-16ECE,-16CDB,-16DD7
-2E8E3,-2E928,-2E8BE
-16C6B,-16CBD,-16C44
-2E6A2,-2E72C,-2E604
-16BD7,-16D88,-16D37
-2E6C1,-2E775,-2E781
-16E68,-16EE6,-16E40
-2E9EC,-2E7D2,-2E88D
-16E20,-16D66,-16D14
-2E6DF,-2E792,-2E647
-16C74,-16CD9,-16CE9
-2E610,-2E63D,-2E5E2
-16D1D,-16E4C,-16CE0
-2E881,-2E97C,-2E7CD
-16CF1,-16D45,-16E75
-2E95C,-2E7DD,-2E8F4
-16FAB,-16D6C,-16EA6
-2E910,-2E9AA,-2E93A
-1751A,-171EA,-1726A
-2E378,-2E34C,-2E470
-169E2,-16A06,-16A17
-2E389,-2E3F3,-2E345
-167C6,-16722,-167D7
-2E2E7,-2E3F1,-2E20F
-16821,-16A01,-16A0B
-2E31D,-2E436,-2E393
-16B00,-168F9,-1696D
-2E2EA,-2E517,-2E25C
-1694D,-1692D,-168D6
-2E1F7,-2E3A8,-2E4CF
-16A03,-1694C,-16A5D
-2E341,-2E3B8,-2E415
-16904,-16B84,-168FE
-2E535,-2E5A3,-2E54B
-1690C,-169D4,-16A69
-2E4DC,-2E4E2,-2E70D
-16B35,-16A18,-16AA2
-2E39E,-2E505,-2E538
-16A09,-16AA1,-1693A
-2E42D,-2E5A2,-2E58A
-16A9E,-168CC,-16B83
-2E4CF,-2E4CC,-2E4D1
-16B99,-169B6,-16B0B
-2E5FB,-2E568,-2E3BD
-16B79,-16BDF,-16C73
-2E568,-2E4DB,-2E5C2
-16A52,-16ABB,-16AFF
-2E4DF,-2E5D1,-2E645
-16CB3,-16D60,-16A88
-2E76C,-2E639,-2E3D7
-16BB4,-16B14,-16A3F
-2E2A8,-2E2DF,-2E296
-16973,-169CC,-1678A
-2E4FF,-2E49B,-2E4D4
-16887,-169B8,-16986
-2E332,-2E479,-2E4F0
-16991,-1692D,-16849
-2E2B2,-2E257,-2E353
-16888,-169EC,-16916
-2E49A,-2E677,-2E59A
-16C07,-16AD4,-16B46
-2E648,-2E60B,-2E4CB
-16D08,-16ABA,-16A68
-2E348,-2E510,-2E505
-16C3C,-16BCF,-16B00
-2E431,-2E6CB,-2E5BB
-16A2C,-16AAE,-16A73
-2E2C0,-2E5DA,-2E3FA
-16B57,-1699A,-16C56
-2E448,-2E591,-2E50D
-169F4,-169E9,-168F0
-2E63B,-2E5D7,-2E531
-16B9E,-16A16,-16B9D
-2E5AC,-2E4EF,-2E617
-16DA1,-16D0D,-16A55
-2E4A1,-2E7A1,-2E6A1
-16BA1,-16CB8,-16B43
-2E76E,-2E75B,-2E5E5
-16BDD,-16B1E,-16B59
-2E322,-2E6D2,-2E560
-16ABB,-16BE1,-16C73
-2E6E4,-2E907,-2E7FB
-16ACF,-16B20,-16B7E
-2E87B,-2E9D3,-2E9C3
-16F4E,-171FF,-170B3
-2E973,-2EA24,-2E98A
-170C1,-16F09,-16FAE
-2E900,-2E902,-2E8DF
-16F91,-16E6E,-16F9E
-2E9ED,-2E840,-2E9A4
-16DDC,-16EF0,-16F13
-2E945,-2E923,-2E9DF
-16FE8,-16F38,-16EE6
-2E99E,-2E761,-2E925
-1701E,-171DB,-16E89
-2E82D,-2E85E,-2E8BA
-16ED1,-16DF6,-16F2F
-2EA82,-2EA18,-2E9B9
-16F7F,-16F6B,-16EDA
-2E7C4,-2E9E0,-2E947
-16FE9,-16E75,-16F61
-2E86A,-2E8E6,-2E8C8
-170AF,-16F0A,-16D58
-2EA12,-2E9D1,-2E9EC
-16E0E,-16EA0,-16F55
-2E7BE,-2EA0C,-2E996
-16D41,-16FF8,-16D91
-2E99B,-2E8D5,-2E983
-17115,-16F87,-16D60
-2E8BE,-2EB1D,-2E922
-170A1,-16EF5,-16F85
-2EAB8,-2EAEB,-2E9FA
-16FE9,-1713A,-17134
-2EB57,-2E947,-2E905
-17016,-16F3D,-16F85
-2E74D,-2E888,-2E7C6
-16FC2,-1703C,-16F1E
-2E821,-2E96E,-2E830
-16C3D,-16FB7,-16D66
-2E9C0,-2E901,-2E7E0
-16F34,-16E5F,-16F54
-2E8F2,-2E939,-2E837
-16E88,-16C99,-16DF9
-2E8F3,-2E847,-2E871
-1700F,-16D90,-1708D
-2EA23,-2E98F,-2E8A6
-170B5,-16E79,-170AB
-2E8D8,-2EA33,-2EA28
-17005,-16EF2,-16D5B
-2E8DD,-2EA30,-2EAB1
-16E5D,-17000,-16CDE
-2E9DD,-2E9C9,-2EBC7
-17097,-16FBB,-16F91
-2E981,-2E94A,-2E67E
-16D05,-16E07,-16DFB
-2E996,-2E85C,-2EA1F
-16E63,-16FFC,-16E4B
-2E965,-2E8E9,-2E906
-17046,-16FC8,-16F9D
-2EA6E,-2E93F,-2E86A
-16F87,-170D1,-16DA9
-2E8A1,-2E879,-2E91E
-16F13,-17050,-1704D
-2E915,-2E97E,-2EBBD
-170E7,-16F40,-170DF
-2EA33,-2EA38,-2E8F9
-162DE,-163B2,-1631C
-2D56B,-2D777,-2D85C
-15E36,-15E08,-15E08
-2D94F,-2D92D,-2D875
-1615D,-15DC3,-15E75
-2D9A4,-2D767,-2D8C8
-15ED9,-16034,-15F6F
-2D74F,-2DAA4,-2DB55
-15FD7,-1602A,-16058
-2DAAC,-2D947,-2DA3B
-15F75,-15D9A,-15FDC
-2D848,-2DA31,-2D996
-15FE0,-1615D,-1600B
-2D909,-2DAE6,-2D9F8
-16227,-1603B,-160E4
-2D956,-2DAD2,-2DAFF
-15DF4,-15FAB,-161DB
-2DC2A,-2DB6F,-2DC42
-16140,-1607C,-160B7
-2DBFF,-2DD15,-2DB7F
-16298,-1615A,-160C6
-2DD73,-2DC31,-2D996
-16128,-1615C,-16174
-2D9DE,-2DAA6,-2DAC3
-16035,-16024,-160D2
-2DCC9,-2DB0D,-2DA16
-16198,-16115,-15F8B
-2DB1A,-2DB7F,-2DABD
-15E5E,-16003,-16037
-2DB5F,-2DAEE,-2DA56
-1617D,-1615E,-16056
-2DC43,-2DA78,-2DBF6
-16142,-16154,-15FEF
-2D8AF,-2D96E,-2DACC
-16091,-15E2C,-15E7A
-2D8A3,-2DA80,-2DAEC
-15E63,-15F7E,-160B0
-2DCA1,-2DACD,-2D9E5
-15FA6,-16044,-16034
-2DA8A,-2DBE1,-2DA75
-15FE8,-15F7F,-160A2
-2DA47,-2DA15,-2D90D
-160B8,-16082,-1612B
-2DC76,-2DAE0,-2D9BC
-15FF0,-16130,-16083
-2DC67,-2DB21,-2DAAA
-161B0,-1628C,-162AA
-2DBD0,-2DB62,-2DD03
-15FED,-1607B,-1603D
-2DAD9,-2D9CA,-2DBE0
-16139,-16176,-15F3E
-2DCFA,-2DB41,-2DCD7
-161A9,-16093,-16153
-2DC7A,-2DB3A,-2D9DC
-16380,-16420,-1637F
-2DCE7,-2DAF8,-2DAAD
-16131,-16249,-16219
-2DBFA,-2DD4C,-2DCFC
-160B6,-16121,-162B4
-2DBBE,-2DB89,-2DB92
-16322,-15FD5,-15FE7
-2DB5A,-2DA9F,-2DB5B
-15FFE,-1614D,-16112
-2DC57,-2DBBB,-2DB50
-16313,-1631A,-1620C
-2DE8E,-2DE85,-2DE10
-16518,-165A6,-1633B
-2DDF6,-2DD5E,-2DD70
-163F6,-164BF,-163FC
-2DFF3,-2DFD9,-2DED9
-16568,-166FD,-1649A
-2DF2E,-2E0B3,-2DFCD
-16541,-16622,-16597
-2DE3E,-2DFDD,-2E05A
-163FE,-164C5,-164B1
-2DD58,-2DE54,-2DC31
-1642E,-16545,-1657F
-2DEDB,-2DF5D,-2DEAD
-1656C,-163A5,-1672D
-2DE8D,-2DE18,-2E00A
-16546,-16343,-166D5
-2DE75,-2DF9A,-2DEF4
-166EC,-16624,-1656B
-2DF78,-2E044,-2E0C9
-1664C,-16634,-16416
-2DE7F,-2DF67,-2E047
-1652D,-165E6,-1659A
-2E14D,-2E15C,-2E112
-165E0,-165E6,-16720
-2E009,-2DF8A,-2DE65
-165CC,-165AC,-16703
-2E260,-2E349,-2E27C
-16807,-16731,-1675C
-2E20B,-2E297,-2E205
-16699,-1680A,-1660A
-2E0CD,-2E0E5,-2DFBC
-16548,-16701,-164B4
-2DD63,-2DECA,-2DE31
-162F4,-1661F,-16504
-2DC53,-2DE01,-2DDFB
-1652A,-163F5,-16480
-2DD9A,-2DE33,-2DDCC
-16551,-164A0,-16677
-2DE4A,-2DF7C,-2DF69
-1656C,-1644C,-1635A
-2DD13,-2DDD6,-2DF06
-16602,-165CE,-16424
-2E001,-2DFFE,-2DE66
-1669D,-164AF,-165AD
-2DEBA,-2E122,-2DE55
-164A6,-16550,-163FE
-2DFD4,-2E095,-2E092
-162DF,-16576,-165DA
-2DF05,-2DE82,-2DDDA
-167BE,-163CE,-16488
-2DEA4,-2DF92,-2DD85
-16504,-166C0,-1651A
-2DFBB,-2E135,-2DF82
-16697,-1662E,-16624
-2E1A9,-2E1BB,-2E0AF
-16526,-16585,-166D3
-2E02F,-2E031,-2E0EB
-16619,-167EB,-1675C
-2E0BE,-2E1A0,-2E0A6
-167FE,-16611,-165DF
-2E187,-2E025,-2E138
-16663,-16641,-166CC
-2E0D1,-2DE09,-2DFEB
-16A4E,-16A34,-16ACC
-2DB21,-2DC39,-2D9D8
-16108,-161E6,-16335
-2DCC7,-2D9D3,-2DBCF
-16125,-16127,-16205
-2DD08,-2DB15,-2DB79
-16181,-1612F,-160F8
-2DA6A,-2DB49,-2DA81
-160B0,-15FA6,-160AF
-2DC2F,-2DD4F,-2DE5B
-1629F,-161E0,-1621E
-2DD08,-2D9DD,-2DA05
-1623F,-15F3E,-161F4
-2DB61,-2DC4A,-2DC53
-16294,-162A4,-16126
-2DCE1,-2DE14,-2DBB6
-16315,-15F51,-1619E
-2DD69,-2DB43,-2DABE
-16320,-16416,-16358
-2DC4D,-2DCBA,-2DB7C
-1621D,-1632B,-16336
-2DD28,-2DD5D,-2DD66
-1628F,-163C8,-16444
-2DC39,-2DE2C,-2E05B
-164C0,-16449,-16328
-2DE7A,-2DE87,-2DEC1
-16369,-16418,-162CD
-2DE88,-2DCAB,-2DE35
-1652F,-16284,-16399
-2DDB4,-2DD79,-2DD57
-16320,-1636B,-163A6
-2DFAF,-2DEF4,-2DD95
-1651A,-162D1,-16456
-2DD29,-2DCA7,-2DC70
-16210,-161E7,-162EC
-2DB49,-2DABE,-2DC8F
-160B9,-1626D,-160E3
-2DBFC,-2DB03,-2DC97
-1633E,-160ED,-162BC
