{'CALIB_RAW_DAC_START_I': 753664, 'CALIB_RAW_FILETYPE': 'CALIB_RAW_FILETYPE_LIMP', 'CALIB_RAW_DAC_A_INDEX': 8, 'CALIB_RAW_SERIAL': '20190606_02', 'CALIB_RAW_VERSION': '1.0'}
-6FABF,-6FBC0,-6FC3B
-57FCF,-57E56,-57F7E
-6FB1B,-6FAF6,-6FA82
-580B6,-57EAE,-58060
-6FA80,-6FA60,-6FA01
-580C5,-58063,-57FC4
-6F944,-6F921,-6F94B
-580D3,-5806A,-58119
-6F8D0,-6FADE,-6F9D4
-57E01,-57DC4,-57CB1
-6F95E,-6F586,-6F863
-57D45,-57AA6,-57D69
-6F9AD,-6FA70,-6F923
-57D9F,-57EC4,-57CE2
-6F8A3,-6F8AD,-6F74B
-57C5D,-57DF6,-57C96
-6F7A6,-6F9A3,-6F59C
-57D20,-57D5C,-57D13
-6F828,-6F733,-6F887
-57C03,-57D47,-57CA7
-6F77B,-6F637,-6F670
-57CE9,-57C6B,-57B2D
-6F6B9,-6F8B8,-6F944
-57E29,-57FAE,-57CB9
-6F786,-6F783,-6F784
-57C41,-57D37,-57C8D
-6F868,-6F8BF,-6FA28
-57E69,-57D3B,-57DAB
-6F8BF,-6F724,-6F75F
-57CE3,-57D21,-57EA5
-6F855,-6F8F0,-6F7F4
-57CED,-57C91,-57E26
-6F9B4,-6F7E3,-6F713
-57E88,-57CD9,-57D1E
-6F58D,-6F81B,-6F81D
-57D3A,-57E39,-57FA3
-6F814,-6F84B,-6F87A
-57CC8,-57C89,-57D58
-6F8A3,-6F7CE,-6F712
-57C7A,-57A9E,-57BC6
-6F7CE,-6F602,-6F784
-57E91,-57F15,-57F34
-6F9AB,-6F955,-6F939
-57F73,-57F9A,-58091
-6FAC0,-6F9B6,-6F8AF
-57DF2,-57D1F,-57E9B
-6F9D9,-6FA3A,-6F9B0
-57E94,-57F08,-57F5E
-6F868,-6FA7B,-6F992
-57FB7,-57F0D,-57EAD
-6F6C6,-6F813,-6F865
-57D35,-57E2A,-57CF9
-6F7F5,-6F708,-6F76A
-57C92,-57DB5,-57C8F
-6F848,-6F65F,-6F840
-57E43,-57DAB,-57E2C
-6F71E,-6F813,-6F451
-57BD1,-57C71,-57CCF
-6F852,-6F77A,-6F900
-57E43,-57F5B,-57E31
-6F9BE,-6FA2C,-6F7D2
-57F35,-57F5B,-57E0E
-6F7EE,-6F96C,-6FA23
-57F99,-57D61,-57DEE
-6F9A3,-6FBDE,-6F9B1
-57E49,-57E7D,-57E0C
-6F79B,-6F929,-6F8A0
-57E82,-57E13,-57EC9
-6F8FE,-6F87B,-6F6E3
-57D3B,-57E51,-57D98
-6F8BF,-6F8D0,-6F85C
-57DAD,-57BF8,-57DCF
-6F7C4,-6F75C,-6F61C
-5858D,-586C0,-5864A
-6F2BC,-6F2C9,-6F3B1
-578D4,-57718,-57991
-6F542,-6F554,-6F3A4
-57B34,-57961,-57C0D
-6F624,-6F400,-6F3D2
-5796E,-57AFC,-57957
-6F30B,-6F3B6,-6F445
-57976,-57A6C,-57A32
-6F2E3,-6F1D0,-6F30A
-579A1,-57B32,-57A32
-6F433,-6F458,-6F40F
-57A69,-579A6,-57853
-6F567,-6F3A2,-6F2C0
-57960,-5792D,-5798E
-6F173,-6F332,-6F38C
-5779A,-579E9,-578E8
-6F637,-6F5A7,-6F5B6
-57C39,-579CC,-57BA8
-6F3DC,-6F4CA,-6F4DC
-57A21,-57924,-57A4A
-6F3E6,-6F3A3,-6F6E8
-57B03,-57A42,-579EC
-6F479,-6F588,-6F731
-57A90,-57A5F,-57A33
-6F3D5,-6F4C6,-6F488
-579FC,-5780E,-57AB8
-6F4C1,-6F5CD,-6F36B
-578EC,-57995,-578FC
-6F48B,-6F2E8,-6F379
-579B4,-5781F,-5794F
-6F319,-6F34E,-6F311
-57B13,-57AA9,-57B21
-6F5B3,-6F53D,-6F638
-57A42,-57A3E,-57C35
-6F5B7,-6F4E5,-6F52E
-57C85,-5797C,-579FB
-6F454,-6F5E0,-6F3B7
-57A53,-57A2E,-57ADD
-6F397,-6F318,-6F526
-57857,-578B6,-578F0
-6F52E,-6F572,-6F4B2
-57888,-579F2,-57B75
-6F499,-6F2CA,-6F5B3
-57AD3,-57BED,-57998
-6F3EA,-6F4F9,-6F50C
-579EC,-57994,-57B14
-6F4D0,-6F677,-6F4EE
-5794F,-5794A,-578FD
-6F39D,-6F4C3,-6F5F6
-5794A,-57911,-578F1
-6F3EA,-6F54D,-6F402
-57B7B,-57AE4,-57979
-6F422,-6F357,-6F49B
-579A5,-5771C,-5795F
-6F405,-6F2F2,-6F2CF
-578BD,-578FC,-57920
-6F2EB,-6F435,-6F585
-57A2B,-57987,-578F8
-6F4A2,-6F465,-6F563
-5782B,-57903,-57810
-6F285,-6F2BA,-6F2AE
-578F8,-57B6E,-578D8
-6F36B,-6F381,-6F26B
-573BF,-573EE,-574CC
-6F21D,-6F101,-6F21D
-5775D,-576B7,-577D5
