{'CALIB_RAW_DAC_START_I': 393216, 'CALIB_RAW_FILETYPE': 'CALIB_RAW_FILETYPE_LIMP', 'CALIB_RAW_DAC_A_INDEX': 4, 'CALIB_RAW_SERIAL': '20190606_02', 'CALIB_RAW_VERSION': '1.0'}
-61295,-611EE,-6135E
-78CB9,-78BC4,-78D4D
-614F1,-61431,-614BD
-78D46,-78D19,-78E35
-611AF,-610FD,-61397
-78E1E,-78DBE,-79051
-613EF,-61552,-61425
-7905E,-78E62,-78DD1
-613BF,-61305,-61319
-78E04,-78D64,-78E88
-613AF,-61351,-613EA
-78CDD,-78E9B,-78CD2
-61403,-61537,-613E4
-78FD9,-78EAB,-78DC5
-615ED,-61393,-6145E
-78F4C,-78DE8,-78F80
-6142F,-61410,-613E8
-78D8A,-78EDB,-78E9E
-61477,-61652,-61542
-79098,-78EEA,-79214
-61560,-615CA,-615BC
-790B2,-78FBD,-79035
-61860,-615A5,-6153A
-78FAD,-7905E,-79138
-61517,-615D0,-6160D
-78D67,-78CBD,-78DBC
-612B4,-61384,-61380
-78E91,-78E33,-78CB0
-61335,-612E8,-613ED
-78C86,-78CBC,-78EEE
-61503,-612CE,-613AD
-78C55,-78C9B,-78DC3
-613AC,-612F6,-613AD
-78DC2,-78D44,-78C7B
-61252,-613B9,-6133C
-78D22,-78DB6,-78BFD
-61328,-612FF,-61240
-78D0C,-78D2B,-78DE3
-613F2,-6140B,-6129A
-78C8B,-78F5B,-78D70
-61270,-6119F,-61256
-78C7B,-78D67,-78E56
-61367,-613DA,-61502
-78F83,-79074,-78F03
-613F4,-6152C,-61550
-78E27,-78E5B,-78CBB
-61543,-614CD,-613C1
-78F21,-7900A,-78EAA
-6142B,-6123B,-6140C
-78EA8,-78F19,-78F71
-61527,-6153A,-61465
-78E25,-78FA9,-78DE8
-61577,-613E2,-614FA
-79169,-7901D,-78FE4
-616A2,-61629,-61565
-78F80,-79120,-78F89
-61784,-61602,-61744
-7924A,-793FC,-794A5
-6191A,-617F9,-617E6
-7947D,-791E8,-7922B
-6181B,-6179B,-617AB
-790A9,-792CE,-79430
-617AB,-616A8,-6180F
-79464,-7922A,-79435
-617CE,-61A4B,-618BD
-7919A,-79322,-792E1
-618C5,-619FB,-61927
-79399,-793B1,-794BF
-61959,-61908,-61A1E
-7946A,-793F8,-793B4
-61964,-618EE,-61994
-79368,-79492,-7961F
-618D9,-6177B,-616AD
-794B1,-79325,-79218
-6184F,-61A54,-619E3
-79220,-7930B,-792EE
-6195E,-6187D,-61941
-79486,-79493,-79506
-619C3,-61A97,-61938
-7936A,-7959B,-796AE
-6193C,-619E9,-6198E
-793B4,-79451,-79475
-619ED,-61940,-619E4
-7941A,-79459,-792D8
-61872,-619D1,-61A93
-7943E,-79580,-7932D
-61B2F,-61A3C,-61BBC
-792A3,-795F2,-793EA
-61B36,-61A7C,-61ACC
-79225,-7932C,-7944C
-618D8,-6182A,-6196D
-79097,-7939D,-79403
