{'CALIB_RAW_DAC_START_I': 786432, 'CALIB_RAW_FILETYPE': 'CALIB_RAW_FILETYPE_LIMP', 'CALIB_RAW_DAC_A_INDEX': 0, 'CALIB_RAW_SERIAL': '20190606_02', 'CALIB_RAW_VERSION': '1.0'}
-830AA,-82F81,-83075
-6B609,-6B700,-6B72A
-830FD,-8307E,-8300D
-6B4E3,-6B590,-6B4B4
-8317A,-83060,-82FEB
-6B745,-6B61E,-6B6A3
-8312D,-82F0B,-83291
-6B461,-6B40B,-6B3CE
-83072,-82DD5,-82FA3
-6B61E,-6B5A7,-6B635
-82FD2,-83056,-83042
-6B282,-6B5DF,-6B436
-83042,-82E9B,-8305A
-6B610,-6B3A0,-6B495
-82D80,-82E9F,-82CEF
-6B20B,-6B383,-6B308
-82F01,-82DB8,-82F15
-6B394,-6B60E,-6B259
-82EB1,-82F65,-82EC9
-6B695,-6B3B0,-6B423
-82EBC,-82E6D,-8301E
-6B64D,-6B576,-6B3F0
-82FF8,-82FD4,-82DE5
-6B419,-6B3CC,-6B2E0
-82EC0,-82E15,-82DE8
-6B517,-6B276,-6B450
-82D72,-82EE5,-82F90
-6B491,-6B354,-6B2AC
-82EC9,-82F79,-82E9F
-6B403,-6B43F,-6B2CD
-82F69,-82F4C,-82E6D
-6B3E0,-6B5E2,-6B516
-82E10,-82C84,-82CA4
-6B304,-6B2F7,-6B349
-82D6C,-82F0A,-82F1C
-6B2D7,-6B46D,-6B18D
-82D04,-82BFA,-82D92
-6B3E1,-6B304,-6B34D
-82CD5,-82D69,-82F2F
-6B29A,-6B2C5,-6B218
-82DBC,-82D9F,-82CDA
-6B16C,-6B1C7,-6B10F
-82DF2,-82B89,-82D8F
-6B231,-6B27C,-6B21C
-82AC3,-82CF7,-82C6D
-6B1E4,-6AF92,-6B162
-82CB7,-82C66,-82CB1
-6AEFA,-6AFE3,-6B0A2
-82A79,-82D40,-82C00
-6B0D2,-6B074,-6B1E7
-82C8A,-82C20,-82AB5
-6B0F1,-6B0B0,-6B219
-82C5C,-82B19,-82CB4
-6B274,-6B1B1,-6B352
-82DED,-82D6B,-82D9B
-6B263,-6B16A,-6B1CC
